Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_Ca
0.0,0.04399265858439086,0.16178787434378045,0.5085640627196669,0.09018632256357144,0.33040132093376273,1.9332556016381837,7.818726255556049
0.05,0.04399175900176519,0.16174222524335677,0.507136120683376,0.0901863180129083,0.3303986414156456,1.8632953882192553,7.67584074286683
0.1,0.04398906014249373,0.16160537625160462,0.5028794238680575,0.09018627710106485,0.3303747989022124,1.6694789093330797,7.279271995210134
0.15000000000000002,0.04398456159932219,0.16137762684992507,0.49587426532231416,0.09018611826715904,0.3302837121143363,1.3935589862462323,6.712409862324559
0.2,0.04397826250570574,0.16105948774073187,0.4862509355163074,0.0901857062966548,0.33005285687830593,1.087442754394722,6.078894259364699
0.25,0.04397016141059977,0.16065168805980276,0.4741848007079334,0.09018485337313177,0.3295891604488629,0.7969486129077734,5.470154609104187
0.30000000000000004,0.04396025630767565,0.1601551721853247,0.459890048845354,0.09018332049914568,0.32878630245840024,0.55185670868429,4.945542109790564
0.35000000000000003,0.043948544855109864,0.15957108372021966,0.44361253852690413,0.09018081924614064,0.3275326667744896,0.36418223624841817,4.528909722825086
0.4,0.04393502473271551,0.15890073998791632,0.4256221416331398,0.09017701379492635,0.32571919780606307,0.23222590082766692,4.216744883968813
0.45,0.0439196940347234,0.15814560352089385,0.4062049102596932,0.09017152323459052,0.3232465179201397,0.14658826898127447,3.990225200521551
0.5,0.04390255160179174,0.15730725670752893,0.38565534804928164,0.09016392409647567,0.320030827207299,0.09536150590285954,3.825621832345572
0.55,0.04388359723564544,0.15638738323693094,0.3642690284694522,0.09015375310841536,0.3160082962008332,0.06740794540051141,3.7008682045405714
0.6000000000000001,0.04386283178581795,0.15538775706585226,0.3423357706469871,0.09014051016068589,0.31113784430540065,0.05384198751855056,3.598526820830935
0.65,0.0438402571309272,0.15431023756024612,0.32013354927282184,0.09012366147786018,0.3054023495646951,0.048310029194045354,3.5063442125714124
0.7000000000000001,0.043815876091152166,0.1531567685809411,0.29792327537433827,0.09010264298971814,0.2988084481420755,0.04666001727713613,3.416578421437897
0.75,0.04378969230792616,0.15192937933231238,0.27594454014691544,0.09007686389016754,0.2913851531047121,0.04640728914148064,3.324913903826547
0.8,0.043761710118310884,0.15063018532811248,0.25441236751546137,0.0900457103668724,0.2831815566377507,0.04621462150857412,3.2294013709686564
0.8500000000000001,0.04373193444100608,0.14926138847717182,0.23351497612152705,0.09000854947725806,0.27426388549780556,0.045473743308298925,3.1295986945463894
0.9,0.04370037068194515,0.14782527584111504,0.2134125109771075,0.08996473313994018,0.2647121646668832,0.04400372945002705,3.0259451607413297
0.9500000000000001,0.0436670246611829,0.14632421699271927,0.19423667121080135,0.08991360220529528,0.25461671615189646,0.041850297430114196,2.9193383307327863
1.0,0.04363190255920478,0.14476066011585123,0.1760911343739123,0.08985449056538257,0.24407468452748132,0.03916111337692519,2.8108646714089707
1.05,0.04359501087921535,0.14313712707843207,0.15905266008584784,0.0897867292619212,0.23318674245248497,0.03611362241787803,2.701637671209183
1.1,0.04355635642165671,0.1414562077246273,0.14317274613260877,0.08970965055142874,0.22205409105569918,0.032876873099076075,2.592706816398705
1.1500000000000001,0.04351594626756672,0.13972055360798516,0.12847970774445586,0.08962259188865201,0.21077583389202742,0.029594095613353376,2.485011161150799
1.2000000000000002,0.04347378776801121,0.13793287134773968,0.11498105458745324,0.0895248997926875,0.19944677053612084,0.02637719393703234,2.3793598372533227
1.25,0.04342988853748323,0.13609591574968113,0.10266604873871918,0.08941593356428591,0.18815562771009559,0.023307559953813627,2.2764281936056836
1.3,0.043384256449745286,0.13421248279734205,0.09150833924711024,0.0892950688273834,0.17698372262626683,0.02043984300718241,2.1767625917246614
1.35,0.04333689963505914,0.1322854025908742,0.08146858352351076,0.08916170087257488,0.16600403510953354,0.01780675257232894,2.080789692536196
1.4000000000000001,0.04328782647810268,0.13031753228976797,0.07249698159205564,0.08901524778479343,0.1552806518994687,0.015423868065825918,1.9888278149570773
1.4500000000000002,0.04323704561613046,0.12831174910041715,0.06453566517079665,0.08885515334170728,0.14486853793599047,0.013293963333214578,1.9010989941073042
1.5,0.04318456593711513,0.12627094333914562,0.05752089884091478,0.08868088967318379,0.1348135848486761,0.01141065696985544,1.817740977305221
1.55,0.043130396577729095,0.12419801159447183,0.05138506461577223,0.08849195967554599,0.12515288563582339,0.009761362852299007,1.7388187431487605
1.6,0.043074546921106946,0.12209585000808715,0.04605841363859506,0.08828789917725462,0.11591518592974447,0.008329595683120802,1.6643353231438145
1.6500000000000001,0.04301702659437942,0.11996734769148394,0.04147057929896891,0.08806827885510794,0.10712146560591299,0.007096719740408237,1.5942418134166068
1.7000000000000002,0.04295784546599961,0.11781538029379945,0.03755185468939892,0.08783270590210744,0.09878560916637115,0.006043236910802411,1.5284465251308725
1.75,0.04289701364289737,0.11564280373581032,0.03423424406608781,0.08758082544984065,0.09091512875614637,0.005149705080785879,1.4668232582870848
1.8,0.04283454146750317,0.11345244812479931,0.03145230296052694,0.08731232174964079,0.08351190939748034,0.004397367227996941,1.4092187064443797
1.85,0.04277043951468177,0.1112471118649926,0.029143784995177245,0.08702691911794876,0.07657295169461953,0.00376855901435462,1.355459015653822
1.9000000000000001,0.04270471858861103,0.10902955597826768,0.02725011550438446,0.08672438265227697,0.07009109261316229,0.003246950369676332,1.3053555324745145
1.9500000000000002,0.04263738971963414,0.10680249864974568,0.025716712979678095,0.08640451872499723,0.06405568980055303,0.0028176654277146914,1.2587097847068467
2.0,0.042568464161105365,0.10456861001263429,0.02449317937218411,0.08606717526288023,0.05845325918917498,0.002467315600466192,1.2153177450051111
2.0500000000000003,0.042497953386241565,0.10233050718623336,0.02353337960489798,0.08571224182092861,0.05326805926959141,0.0021839725987039802,1.1749734320952738
2.1,0.042425869084984115,0.10009074958033837,0.022795429463172066,0.08533964945958705,0.0484826184414607,0.001957101716694453,1.1374719070966648
2.15,0.04235222316086962,0.09785183447837181,0.022241609506554193,0.08494937043489424,0.04407820427687663,0.0017774705182910275,1.1026117235987984
2.2,0.04227702772790238,0.09561619291045688,0.021838220915790525,0.08454141771156982,0.0400352354185051,0.0016370439918451723,1.0701968898724394
2.25,0.04220029510741778,0.09338618582633884,0.02155539736580376,0.08411584430940794,0.03633363824697501,0.0015288740904806602,1.0400384001183798
2.3000000000000003,0.04212203782492284,0.09116410057659001,0.021366885184785855,0.08367274249367763,0.032953151456811436,0.0014469891684398416,1.0119553892124116
2.35,0.04204226860689873,0.08895214770893525,0.02124980228543266,0.08321224282050838,0.029873582345366717,0.00138628701277733,0.9857759622233384
2.4000000000000004,0.04196100037754948,0.08675245808483933,0.021184384682277915,0.08273451304846229,0.02707501900833085,0.0013424338258291942,0.9613377462817506
2.45,0.041878246255481276,0.0845670803197432,0.021153727868906454,0.08223975692766228,0.024538002806137865,0.0013117705331843928,0.9384882083574314
2.5,0.0417940195502979,0.08239797854855083,0.02114352893775583,0.08172821287795203,0.02224366546855111,0.0012912270898082113,0.9170847783318444
2.5500000000000003,0.04170833375909939,0.08024703051618778,0.021141834090578366,0.08120015256760944,0.020173835083213514,0.0012782449661108701,0.8969948125688907
2.6,0.041621202562872814,0.07811602599129942,0.021138795109286884,0.08065587940411718,0.018311115004132104,0.0012707076630528486,0.8780954291025198
2.6500000000000004,0.0415326398227664,0.07600666549945859,0.021126437429295684,0.08009572694841188,0.016638939447428724,0.00126687888954208,0.8602732416571691
2.7,0.041442659576240375,0.0739205593706299,0.02109844167134323,0.07952005726388908,0.015141609237755602,0.0012653479046323387,0.8434240160555598
2.75,0.04135127603309048,0.07185922709410533,0.02104993983156995,0.07892925921123413,0.013804310847859233,0.0012649814571854183,0.8274522691864625
2.8000000000000003,0.041258503571342114,0.06982409697270206,0.02097732679050037,0.0783237466998842,0.012613121549764962,0.0012648817284913953,0.8122708276239669
2.85,0.04116435673301545,0.06781650606670538,0.02087808736628703,0.07770395690660614,0.011555003179133706,0.0012643496852802185,0.7978003602170154
2.9000000000000004,0.041068850219763774,0.06583770041685724,0.020750638793020155,0.07707034847130262,0.010617786711689225,0.0012628532716167766,0.783968896500467
2.95,0.04097199888838909,0.06388883553464023,0.020594188238578368,0.07642339967974217,0.009790149566992486,0.0012599999010986331,0.7707113406058206
3.0,0.04087381774624066,0.06197097714718791,0.020408604776728984,0.07576360664244908,0.009061587293120546,0.0012555127503867632,0.7579689884545064
3.0500000000000003,0.0407743219465035,0.06008510218337038,0.02019430508433524,0.07509148147849606,0.008422381047415524,0.0012492103977588178,0.7456890543794055
3.1,0.04067352678338488,0.05823209998695335,0.01995215203703359,0.07440755051241918,0.007863562073739613,0.0012409893935926548,0.7338242119188817
3.1500000000000004,0.04057144768720783,0.05641277374221053,0.019683365317155168,0.07371235249192794,0.007376874185156021,0.001230809391816652,0.722332152339284
