Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_B
0.0,0.1859912379999635,0.9997697940376488,0.6146447137540892,2.9861667778293137
0.05,0.185921549034515,0.990028895322973,0.6145694247368805,2.9664703134518566
0.1,0.18571270626774491,0.9614767175631757,0.6139219485146804,2.9083007961765217
0.15000000000000002,0.18536538059304214,0.916035557119572,0.6115745536704283,2.8143764290956566
0.2,0.18488068512893627,0.8566306512219027,0.6060492414048265,2.6890719141065045
0.25,0.1842601675041406,0.7868328218570106,0.5959552143940284,2.538141193116331
0.30000000000000004,0.1835057988187824,0.7104608442795004,0.5803571767090314,2.368290462905597
0.35000000000000003,0.18261995920202692,0.6312106655431297,0.5589746344459721,2.186635883936285
0.4,0.18160542002439117,0.5523622308601186,0.5321911091943345,2.000126410963354
0.45,0.18046532299756451,0.4765903460032985,0.5009173981304379,1.815028736132164
0.5,0.1792031565632608,0.40588176798056214,0.4663824968274434,1.6365523459150895
0.55,0.17782273009918464,0.3415424838010035,0.42992104407970594,1.468651471880082
0.6000000000000001,0.1763281465336939,0.28426939487805175,0.39280228725037003,1.3139973700738614
0.65,0.17472377395826055,0.2342587921079037,0.3561186564940059,1.1740837886263344
0.7000000000000001,0.17301421677008655,0.19132770867370053,0.32073185641803836,1.0494157073056125
0.75,0.1712042867860635,0.15503066525990428,0.2872636797078446,0.9397335837997801
0.8,0.1692989746649538,0.1247611649683116,0.2561158525834032,0.844236131849934
0.8500000000000001,0.1673034218750106,0.09983311820940446,0.22750499930143825,0.7617780794702684
0.9,0.165222893361064,0.07954158154006598,0.20150248221154587,0.6910314320138058
0.9500000000000001,0.16306275100393444,0.06320476853483695,0.17807265817203988,0.6306076972495827
1.0,0.16082842792627083,0.050190537814654636,0.15710615375221715,0.5791440852340681
1.05,0.15852540367946666,0.03993088382149129,0.1384468867737086,0.5353594617756245
1.1,0.15615918034134282,0.03192771996172581,0.12191285391991359,0.49808665452605083
1.1500000000000001,0.15373525955856224,0.025752735654755835,0.10731137648934116,0.4662873669159773
1.2000000000000002,0.1512591205765358,0.021043518595540493,0.09444976139008654,0.4390550397342391
1.25,0.14873619930914878,0.017497571671133166,0.08314236052161347,0.41560990248217733
1.3,0.14617186850837363,0.014865373629894907,0.07321491557698531,0.3952893998535224
1.35,0.14357141909819446,0.012943250426289563,0.0645069302629621,0.37753626931193013
1.4000000000000001,0.14094004273758576,0.011566536330345961,0.05687265959490586,0.3618858177307693
1.4500000000000002,0.1382828156735572,0.010603297021357181,0.050181167152412866,0.34795339254224167
1.5,0.1356046839379304,0.009948744677811882,0.04431578434143591,0.33542264157292045
1.55,0.1329104499312418,0.009520381870993045,0.03917321224135774,0.3240348758458274
1.6,0.13020476042476803,0.009253853455024377,0.03466243455507412,0.31357966231465895
1.6500000000000001,0.12749209599794795,0.009099452914248378,0.030703556206030297,0.3038866540304229
1.7000000000000002,0.1247767619141776,0.009019213648358853,0.02722664267304788,0.29481859379812075
1.75,0.12206288042372138,0.008984510507983124,0.024170606949322136,0.28626538881273117
1.8,0.11935438446884152,0.008974098343976727,0.021482171287841172,0.2781391369134777
1.85,0.11665501275360365,0.008972519532048496,0.019114917425266973,0.2703699819965713
1.9000000000000001,0.11396830612946006,0.008968819479413694,0.017028430030783352,0.26290268124853083
1.9500000000000002,0.11129760523783278,0.008955516799878719,0.015187532396797444,0.2556937764722204
2.0,0.10864604934261847,0.008927782422538605,0.013561609904216222,0.2487092734345304
2.0500000000000003,0.10601657627884556,0.008882788962452221,0.012124014848934566,0.24192274533153013
2.1,0.10341192343860599,0.00881919802443279,0.01085154530035783,0.2353137882264354
2.15,0.10083462971178744,0.008736758661130342,0.009723990417914824,0.2288667671637504
2.2,0.09828703829694857,0.008635994971374426,0.00872373482702319,0.2225698013636692
2.25,0.09577130029678298,0.008517964856539766,0.007835415079841934,0.2164139453864874
2.3000000000000003,0.09328937901287547,0.008384075325811858,0.007045621782454107,0.21039253045982875
2.35,0.09084305485572304,0.008235942537831002,0.006342641582475511,0.2045006363695836
2.4000000000000004,0.08843393078812843,0.008075287067790869,0.005716233830641391,0.19873466954248
2.45,0.0860634382229413,0.007903856771767725,0.005157437326786696,0.19309202731620473
2.5,0.08373284329958142,0.007723371152234069,0.004658403117736227,0.18757083202136718
2.5500000000000003,0.08144325346771099,0.007535482370189259,0.0042122498234198665,0.18216972149922037
2.6,0.07919562431070958,0.007341749051462851,0.0038129384250158637,0.17688768514936073
2.6500000000000004,0.07699076654614329,0.0071436198409468785,0.0034551638555656286,0.17172393662974597
2.7,0.07482935314511655,0.006942424305123672,0.003134261091827876,0.16667781599230833
2.75,0.07271192651716604,0.006739369300401788,0.002846123759809853,0.1617487153949455
2.8000000000000003,0.07063890571213362,0.00653553933725846,0.0025871335396058094,0.15693602363838996
2.85,0.0686105935951748,0.006331899798317753,0.0023540988921850713,0.15223908567917016
2.9000000000000004,0.06662718395567244,0.006129302128814261,0.002144201835782252,0.14765717400475567
2.95,0.06468876851528929,0.005928490323831173,0.0019549516764688305,0.14318946935470978
3.0,0.06279534380467308,0.005730108199122372,0.0017841447499157995,0.1388350487575067
3.0500000000000003,0.060946817882400146,0.00553470705999599,0.0016298293625205585,0.13459287924731284
3.1,0.05914301687358665,0.005342753482706193,0.0014902752328367003,0.1304618159454224
3.1500000000000004,0.057383691309197585,0.005154637000738157,0.0013639468311394069,0.1264406034510109
3.2,0.05566852225043602,0.00497067754882237,0.001249480098189895,0.12252787969670667
3.25,0.05399712718569163,0.004791132564116169,0.001145662095749126,0.11872218159536471
3.3000000000000003,0.052369065690372814,0.004616203679650899,0.0010514132027954896,0.11502195194284291
3.35,0.05078384484253952,0.004446042972183013,0.0009657715241564943,0.11142554715360156
3.4000000000000004,0.04924092438960352,0.00428075874685676,0.0008878792236042038,0.10793124549652476
3.45,0.0477397216634763,0.004120420856057168,0.0008169705324475283,0.10453725557151447
3.5,0.04627961624343033,0.0039650655606742495,0.000752361218189881,0.10124172482639902
3.5500000000000003,0.044859954367611435,0.003814699949641005,0.0006934393266865392,0.09804274796119142
3.6,0.04348005309560665,0.003669305938783028,0.0006396570360983986,0.09493837510487776
3.6500000000000004,0.04213920422574845,0.0035288438733066902,0.0005905234823678208,0.09192661968047809
3.7,0.040836677971935,0.0033932557601131976,0.0005455984344255784,0.08900546589852197
3.75,0.03957172640567872,0.0032624681569160333,0.0005044867132925679,0.08617287583848207
3.8000000000000003,0.03834358666987717,0.0031363947451408213,0.0004668332630228913,0.08342679609305888
3.85,0.03715148397144187,0.0030149386130182234,0.0004323187933513286,0.08076516396227151
3.9000000000000004,0.03599463436043581,0.0028979942743121074,0.00040065592421949974,0.07818591319371535
3.95,0.03487224730377065,0.002785449446887815,0.00037158577128488965,0.07568697927260182
4.0,0.03378352806181093,0.002677186613918868,0.0003448749192570259,0.07326630427071662
4.05,0.03272767987643727,0.002573084389030937,0.0003203127366198144,0.07092184126755623
4.1000000000000005,0.03170390597924168,0.0024730187051459043,0.0002977089911292004,0.06865155835990437
4.15,0.030711411428577834,0.0023768638452583463,0.00027689173054191903,0.06645344227821429
4.2,0.029749404784173955,0.002284493331881784,0.00025770539743794144,0.06432550162954942
4.25,0.028817099627946544,0.0021957806904638667,0.00024000915083561625,0.06226576978765644
4.3,0.027913715939535018,0.002110600100702184,0.00022367537064116704,0.06027230745111557
4.3500000000000005,0.02703848133491912,0.0020288269484046765,0.00020858832388925762,0.05834320489053685
4.4,0.026190632176288416,0.0019503382893352463,0.00019464297427567058,0.056476583905522994
4.45,0.025369414561111782,0.001875013235367909,0.00018174391870582772,0.054670599511665204
4.5,0.02457408519811121,0.0018027332722412807,0.0001698044365262746,0.052923441377231255
4.55,0.023803912177581238,0.0017333825172570726,0.0001587456388068737,0.05123333502848349
4.6000000000000005,0.02305817564321888,0.001666847924398523,0.00014849570653092869,0.049598542841765736
4.65,0.02233616837234214,0.0016030194435532406,0.00013898920785610058,0.04801736483964686
4.7,0.021637196271080857,0.0015417901398053322,0.00013016648575443152,0.04648813930752681
