Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_Ne
0.0,0.08996529214104206,0.4526333004996506,0.2735457874408078,2.7264719099262322
0.05,0.08995728629615139,0.45168240697722956,0.27354383255380765,2.7245423818696075
0.1,0.08993327584067702,0.4488445245080611,0.2735264618882823,2.7187143720271703
0.15000000000000002,0.08989328198152417,0.44416357929667116,0.27346024331900903,2.708875182470445
0.2,0.08983733996194741,0.43771124615674917,0.2732929386472206,2.694854804120717
0.25,0.08976549891159889,0.42958472995729474,0.2729582689907703,2.676450071682409
0.30000000000000004,0.08967782164132433,0.41990382226386297,0.2723817520452759,2.6534538000820302
0.35000000000000003,0.08957438438714138,0.40880738055588783,0.2714869470663673,2.625685212284262
0.4,0.08945527650870905,0.39644939959863545,0.27020145394310613,2.5930180758733257
0.45,0.08932060014821955,0.38299485476986733,0.26846211179671137,2.555403580616442
0.5,0.089170469856002,0.36861549549256944,0.2662190027834794,2.512885947398019
0.55,0.08900501218922467,0.3534857545542123,0.2634380540542116,2.4656098578121437
0.6000000000000001,0.08882436528994017,0.33777891796870874,0.260102212310258,2.413819840378846
0.65,0.08862867844836869,0.3216636726561194,0.25621131582570505,2.3578525971632063
0.7000000000000001,0.08841811165680087,0.30530111828562745,0.2517808936040512,2.2981238215091637
0.75,0.08819283515887,0.28884229777493564,0.2468401767329666,2.235111326265411
0.8,0.0879530289982405,0.2724262704678405,0.24142961785777373,2.1693363060788045
0.8500000000000001,0.08769888257003035,0.25617872474055664,0.2355981912440266,2.1013443620853334
0.9,0.0874305941775668,0.2402111039701395,0.22940070042034558,2.031687598817486
0.9500000000000001,0.0871483705964002,0.2246202021177243,0.22289526457017478,1.9609087328492978
1.0,0.08685242664689098,0.20948817280104884,0.21614109811949195,1.8895277876128311
1.05,0.08654298477615711,0.1948828883983062,0.2091966468666355,1.8180316275487396
1.1,0.08622027464972926,0.18085858287437528,0.2021181021735937,1.7468663280897712
1.1500000000000001,0.08588453275291166,0.16745671289557718,0.19495828347628466,1.6764321921546856
1.2000000000000002,0.08553600200158247,0.15470697556013044,0.18776585828821293,1.6070811048527034
1.25,0.08517493136198286,0.14262842688025923,0.18058485657801765,1.53911585595259
1.3,0.08480157547892803,0.1312306522361942,0.17345443105921202,1.4727910417855166
1.35,0.08441619431181557,0.12051494771672276,0.16640881464954732,1.4083151719543605
1.4000000000000001,0.08401905277779557,0.11047547902753518,0.15947742943682475,1.34585364023161
1.4500000000000002,0.08361042040149207,0.10110039208104706,0.15268510653343226,1.285532264165672
1.5,0.0831905709707169,0.09237285619724,0.1460523821562015,1.2274411472731228
1.55,0.08275978219768629,0.08427202687066963,0.13959584138771775,1.1716386664630183
1.6,0.08231833538532993,0.0767739202100956,0.13332848687954652,1.1181554324681302
1.6500000000000001,0.08186651509836697,0.06985219541973683,0.12726011497097503,1.0669981108620579
1.7000000000000002,0.08140460883890735,0.06347884510103148,0.1213976861911386,1.0181530250267092
1.75,0.08093290672641824,0.05762479578081374,0.1157456808606209,0.9715894901781894
1.8,0.08045170118197063,0.05226042300564648,0.11030643354638352,0.9272628496535353
1.85,0.07996128661674932,0.04735598668118905,0.10508044252177645,0.8851172017265354
1.9000000000000001,0.07946195912486956,0.04288199317923299,0.10006665222763858,0.8450878179740366
1.9500000000000002,0.07895401618059528,0.03880949117790194,0.09526270811040338,0.8071032633794147
2.0,0.07843775634009725,0.03511030832862614,0.09066518421342729,0.7710872346180104
2.0500000000000003,0.07791347894792443,0.03175723573274416,0.0862697845946098,0.736960136928996
2.1,0.07738148384838965,0.02872416692585061,0.08207152010262499,0.7046404221642305
2.15,0.07684207110209146,0.02598619766334198,0.07806486232104608,0.6740457114571433
2.2,0.0762955407078083,0.02351969231990077,0.07424387662972885,0.6450937258337912
2.25,0.0757421923300103,0.0213023221936295,0.07060233637257536,0.6177030472827318
2.3000000000000003,0.07518232503223783,0.019313080468952422,0.06713382008915735,0.5917937315373245
2.35,0.07461623701659578,0.01753227806120851,0.06383179368716554,0.5672877922786018
2.4000000000000004,0.0740442253696087,0.015941524054399157,0.06068967932052384,0.5441095747711588
2.45,0.07346658581467509,0.014523693961603221,0.057700912607282946,0.5221860351962543
2.5,0.07288361247134945,0.0132628885912722,0.054858989681695496,0.5014469402154162
2.5500000000000003,0.072295597621669,0.012144385895308156,0.05215750543313483,0.4818249996327633
2.6,0.07170283148372894,0.01115458780771003,0.04959018414562836,0.4632559434566481
2.6500000000000004,0.0711056019926945,0.010280963755296522,0.04715090361903149,0.44567855321017097
2.7,0.070504194589423,0.009511992233114509,0.0448337137283622,0.42903465601524826
