Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_P
0.0,0.059134943142339136,0.2506291370359367,0.8983971402662912,0.13419039158743462,0.6155602636289857,5.0681455813006995
0.05,0.059132735740808136,0.2504711486814336,0.8909522374509062,0.13419035406458737,0.6155028635421368,5.052762958760231
0.1,0.05912611400000412,0.24999789857752883,0.8690336199251665,0.1341900172788755,0.6150046155966511,5.006469215468606
0.15000000000000002,0.059115079310482495,0.24921152428157783,0.8338461951261306,0.13418871311538882,0.6131726396451029,4.928995795064024
0.2,0.05909963398795966,0.24811556416283986,0.7872606737560498,0.13418534289331946,0.6087755831897329,4.820390550742814
0.25,0.05907978127320685,0.24671492167892392,0.7316305106638944,0.13417839872387635,0.6005442548545366,4.681553584138918
0.30000000000000004,0.05905552533666396,0.24501581656309168,0.6695764930506491,0.13416599180195368,0.5874586250497572,4.514667495861803
0.35000000000000003,0.05902687129118272,0.24302572405058104,0.6037688792661903,0.13414588642284536,0.5689511035633764,4.323371578443109
0.4,0.05899382521573375,0.24075330349596616,0.5367335101773251,0.13411553857315614,0.544991631746105,4.112629404455302
0.45,0.05895639419172122,0.23820831789206828,0.47070071277771675,0.13407213809828236,0.5160585885083926,3.888339443837885
0.5,0.058914586352009427,0.23540154588951973,0.4075063804429603,0.1340126536113991,0.48302697387007965,3.6568018686476123
0.55,0.05886841094118642,0.23234468793593827,0.34854559223159914,0.1339338794204851,0.4470161412620881,3.424169082526623
0.6000000000000001,0.05881787838424907,0.22905026811160223,0.2947721524972185,0.1338324837898701,0.4092356371797899,3.19598241226473
0.65,0.05876300035998368,0.22553153314598967,0.24673325096700144,0.133705057834885,0.3708557341755911,2.9768531184820333
0.7000000000000001,0.05870378987492094,0.22180234997100665,0.20462701750824921,0.1335481643046786,0.3329154539886447,2.7703016625023595
0.75,0.058640261333844645,0.21787710301757196,0.16837148738562208,0.13335838547292195,0.2962695756562253,2.578736743280285
0.8,0.05857243060333727,0.2137705923068346,0.13767558573244754,0.13313236935291337,0.26156901539471067,2.403538479586851
0.8500000000000001,0.058500315065616766,0.2094979332375061,0.11210539817054466,0.13286687349260068,0.22926584926658047,2.2452060817026807
0.9,0.0584239336608153,0.2050744588349473,0.09114161546720279,0.13255880568406633,0.19963400612016816,2.1035348683908333
0.9500000000000001,0.05834330691674745,0.20051562511039533,0.07422625479398412,0.132205261031054,0.17279802123880705,1.977796003544999
1.0,0.05825845696601868,0.19583692008128376,0.06079841045022477,0.13180355494406135,0.14876420632470316,1.866901523633532
1.05,0.05816940755097798,0.1910537769245418,0.050319867566386574,0.13135125176286153,0.12745052814709634,1.7695451991022708
1.1,0.058076184017496535,0.18618149167080622,0.04229200684979968,0.13084618883118065,0.10871308862275127,1.6843157639315427
1.1500000000000001,0.05797881329886036,0.18123514579449806,0.03626565642695375,0.13028649596113184,0.09236827359992691,1.6097830276071963
1.2000000000000002,0.05787732389121721,0.17622953400845215,0.031845528384781656,0.12967061032250754,0.07821041614404084,1.5445596829360697
1.25,0.05777174582204794,0.17117909752844587,0.028690714338033288,0.12899728687321096,0.0660252822053704,1.487342683232431
1.3,0.057662110613069736,0.1660978630296017,0.026512482523080878,0.12826560451264496,0.055599920245558924,1.4369383001440512
1.35,0.05754845123885638,0.1609993874712648,0.025070370101628218,0.12747496819134962,0.0467294987171524,1.3922747229230539
1.4000000000000001,0.05743080208230342,0.15589670891861188,0.02416732967739024,0.12662510724950535,0.03922174570220815,1.3524055619602675
1.4500000000000002,0.057309198887895756,0.1508023034378335,0.023644484510595667,0.12571607028599735,0.032899545709906476,1.3165070325183532
1.5,0.05718367871356668,0.14572804808785045,0.023375878440358145,0.12474821688024704,0.02760216749756736,1.2838710142577348
1.55,0.05705427988178086,0.14068518997626178,0.023263473798600817,0.12372220650233573,0.023185510990248976,1.2538956592980481
1.6,0.05692104193033513,0.1356843212919484,0.023232550017800252,0.12263898495415597,0.019521680618835874,1.2260747780616108
1.6500000000000001,0.05678400556325254,0.13073536017293802,0.023227582187636306,0.12149976868625464,0.016498121422722493,1.199986872233349
1.7000000000000002,0.05664321260204782,0.1258475372171987,0.023208627240858894,0.12030602733231462,0.014016494741385237,1.1752844023382543
1.75,0.05649870593756388,0.1210293873972319,0.023148210864701008,0.11905946479636954,0.011991422131520001,1.1516836635717707
1.8,0.05635052948251829,0.11628874709772198,0.023028686428877433,0.11776199921729844,0.010349188237274319,1.1289554860338489
1.85,0.05619872812485241,0.11163275595984411,0.022840024734674065,0.11641574212131241,0.009026464252051824,1.106916863122771
1.9000000000000001,0.05604334768194138,0.10706786318663329,0.022577987482900668,0.11502297705643386,0.007969091799006013,1.0854235344385716
1.9500000000000002,0.05588443485569899,0.10259983794131866,0.0222426359279286,0.11358613798380074,0.007130951072437922,1.0643634985700108
2.0,0.05572203718859384,0.09823378345472233,0.021837127657780907,0.11210778767944456,0.006472925647762094,1.0436513996221477
2.0500000000000003,0.055556203020581875,0.09397415444851157,0.021366757670249727,0.11059059637744519,0.005961968411075239,1.0232237137765832
2.1,0.05538698144695259,0.08982477747790436,0.020838204089572473,0.1090373208615196,0.005570267708865127,1.0030346543245718
2.15,0.05521442227708147,0.08578887379986373,0.02025894342851565,0.1074507841876101,0.0052745093836344195,0.9830527122874856
2.2,0.055038575994078416,0.08186908438029139,0.01963680487714291,0.1058338561953422,0.00505522830716166,0.9632577525965637
2.25,0.054859493715320194,0.07806749666560127,0.018979637460243746,0.10418943494173317,0.0048962419429128936,0.9436385911614681
2.3000000000000003,0.054677227153854056,0.07438567275965156,0.018295067916638874,0.102520429166625,0.00478415805861989,0.9241909848358987
2.35,0.05449182858065937,0.07082467866567371,0.017590330749639952,0.10082974187632175,0.004707948745615337,0.9049159734867226
2.4000000000000004,0.05430335078775352,0.06738511427390265,0.016872155058753963,0.09912025511010877,0.004658583221399759,0.8858185205656721
2.45,0.05411184705212853,0.06406714379847799,0.016146695497554618,0.09739481593395176,0.004628712381130317,0.8669064054434237
2.5,0.053917371100504166,0.06087052639127184,0.015419497038448542,0.09565622368688935,0.004612398642131009,0.8481893271081781
2.5500000000000003,0.05371997707488361,0.05779464668509807,0.01469548519835818,0.09390721848857159,0.004604885238575508,0.8296781845638357
2.6,0.05351971949889691,0.054838545043804324,0.013978975030683266,0.09215047100113002,0.004602399735162451,0.8113845043590364
2.6500000000000004,0.05331665324491769,0.0520009473216461,0.013273693559284823,0.0903885734251283,0.004601987116087261,0.7933199901507287
2.7,0.053110833501937835,0.04928029395875038,0.012582811458855066,0.08862403169772538,0.00460136835540511,0.7754961730916542
