Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_N
0.0,0.1302926381934203,0.675382891390405,0.39541043530460124,2.797582365081454
0.05,0.13026847877230788,0.6722932351197696,0.39540083004933946,2.7913259179321734
0.1,0.13019604249561773,0.663126853510676,0.3953162231585689,2.772594461488294
0.15000000000000002,0.13007545502939521,0.648184723660908,0.39499803271447054,2.741514455524018
0.2,0.12990692484857386,0.6279465966497523,0.3942094641700663,2.698335435506851
0.25,0.1296907418222661,0.6030406445384516,0.3926709806480519,2.643475714665591
0.30000000000000004,0.12942727530533113,0.5742054919236573,0.39009997740784513,2.5775654666815124
0.35000000000000003,0.12911697180003134,0.5422483119105312,0.3862478434065913,2.501474097640899
0.4,0.12876035225935434,0.5080027117470004,0.3809289572390493,2.4163129997298576
0.45,0.12835800910571366,0.47228971754476695,0.3740384515495532,2.323410807949621
0.5,0.12791060303586685,0.4358844146608902,0.36555807115003713,2.2242642488436255
0.55,0.12741885967612462,0.39948987106208567,0.35555153199467593,2.1204720574604483
0.6000000000000001,0.12688356614263122,0.3637190248986945,0.3441521063857467,2.0136615012398917
0.65,0.12630556755104538,0.3290843835941488,0.33154564632434463,1.9054168412634223
0.7000000000000001,0.12568576350953228,0.2959947423298546,0.3179520600742567,1.7972171919015438
0.75,0.12502510461948496,0.26475771796765374,0.303607630423781,1.6903885364456204
0.8,0.12432458900039166,0.23558670189235348,0.2887497649978911,1.5860718767791635
0.8500000000000001,0.12358525884900363,0.20861082560417318,0.27360499874182853,1.4852071651318393
0.9,0.12280819703843769,0.1838866559909541,0.2583804447146344,1.388531040202687
0.9500000000000001,0.12199452375989772,0.16141054112453224,0.2432584561727711,1.2965854982871732
1.0,0.12114539320804853,0.1411307666141452,0.22839401317016383,1.2097343591548788
1.05,0.12026199031041827,0.12295892209404291,0.21391424504252676,1.1281845599365026
1.1,0.11934552750124768,0.10678009403114211,0.19991950166424663,1.0520097480575195
1.1500000000000001,0.11839724154068508,0.09246168191078023,0.1864854497924795,0.9811741962803691
1.2000000000000002,0.11741839038094044,0.07986077545298345,0.17366576345222823,0.9155556220245324
1.25,0.11641025008180118,0.0688301320256352,0.1614950765763198,0.8549659939438322
1.3,0.1153741117786731,0.05922286049232088,0.14999195836198712,0.7991698196279493
1.35,0.11431127870697223,0.05089595661351834,0.13916175023571914,0.7478997213481386
1.4000000000000001,0.11322306328722259,0.043712852385665274,0.1289991657421984,0.700869328572371
1.4500000000000002,0.1121107842755971,0.037545143446879856,0.11949060167053559,0.6577836604565607
1.5,0.1109757639848755,0.03227365009110119,0.11061614229107825,0.6183472550251881
1.55,0.10981932558089345,0.027788952653329545,0.10235126120532287,0.5822703400844146
1.6,0.10864279045953809,0.023991524170718065,0.09466823950584406,0.5492733477780445
1.6500000000000001,0.10744747570922165,0.020791564495587805,0.08753732691806702,0.5190900611638201
1.7000000000000002,0.10623469166355523,0.018108621901287945,0.08092767618090779,0.49146965567240974
1.75,0.10500573954866335,0.015871071567318838,0.0748080815534635,0.46617786689235485
1.8,0.10376190922924161,0.014015505618265138,0.06914755108891062,0.44299748296174535
1.85,0.10250447705707577,0.012486076786821626,0.06391573997634638,0.42172832761683393
1.9000000000000001,0.10123470382532136,0.011233827244276606,0.05908326936279607,0.40218687022758415
1.9500000000000002,0.09995383283139789,0.010216025543695401,0.054621951997939525,0.38420557274400513
2.0,0.0986630880508876,0.009395527740399475,0.050504943028009334,0.36763206066660215
2.0500000000000003,0.09736367242435222,0.00874017335526476,0.04670683144299524,0.3523281858882197
2.1,0.09605676625849867,0.008222222693204353,0.04320368512740978,0.3381690332856354
2.15,0.09474352574263993,0.007817838901488487,0.039973060210122584,0.3250419099186246
2.2,0.0934250815809169,0.007506615852987011,0.03699398345556836,0.3128453452345129
2.25,0.09210253774027322,0.007271151297097995,0.03424691477219425,0.30148812239132516
2.3000000000000003,0.09077697031371251,0.007096663591763151,0.031713695510035785,0.2908883543410587
2.35,0.08944942649792122,0.0069706495942771585,0.029377487049099194,0.2809726133316943
2.4000000000000004,0.08812092368390972,0.006882580849713378,0.02722270321400638,0.27167511870926536
2.45,0.08679244865891775,0.006823634996316592,0.025234939259333053,0.26293698508846786
2.5,0.08546495691744424,0.006786459246220851,0.02340089952757102,0.2547055309100432
2.5500000000000003,0.08413937207890433,0.0067649628500475786,0.021708325363730553,0.24693364594909548
2.6,0.08281658540908433,0.006754135579146063,0.020145924456228047,0.23957921534514492
2.6500000000000004,0.0814974554422637,0.006749889432189769,0.018703302444713542,0.23260459708304754
2.7,0.08018280770060175,0.006748920973325985,0.01737089737640261,0.2259761494770633
2.75,0.07887343450714528,0.006748591922394624,0.01613991739024156,0.21966380502980448
2.8000000000000003,0.07757009488860402,0.006746825833441341,0.015002281851963135,0.21364068699998012
2.85,0.07627351456386249,0.006742018908652496,0.013950566043753792,0.20788276507629133
2.9000000000000004,0.07498438601404861,0.006732963196179198,0.012977949422427342,0.20236854668773763
2.95,0.07370336862986324,0.006718780609152254,0.012078167393606676,0.197078800658851
3.0,0.07243108893178578,0.006698866377901054,0.011245466501511658,0.19199631012390864
3.0500000000000003,0.07116814085871247,0.0066728407073077655,0.010474562900537375,0.1871056518336526
3.1,0.06991508612055074,0.006640507556347814,0.009760603952657673,0.18239299921177013
3.1500000000000004,0.06867245461028626,0.00660181958763135,0.009099132781220945,0.17784594673949805
3.2,0.06744074487105632,0.006556848451901171,0.008486055604855528,0.17345335346048157
3.25,0.0662204246138019,0.006505759676865805,0.007917611673331583,0.16920520360133015
3.3000000000000003,0.06501193128113068,0.006448791522447042,0.007390345629041458,0.16509248249427982
3.35,0.06381567265310147,0.006386237246522931,0.006901082122242337,0.1611070661659758
3.4000000000000004,0.06263202749073467,0.006318430297562965,0.006446902514559184,0.15724162312027282
3.45,0.0614613462131646,0.006245732014155906,0.006025123512855807,0.15348952699320842
3.5,0.06030395160447098,0.006168521467240977,0.0056332775839721475,0.14984477889534037
3.5500000000000003,0.05916013954636239,0.006087187129723349,0.005269095009636081,0.14630193838107972
3.6,0.058030179773027796,0.006002120100868484,0.004930487449814929,0.14285606209723734
3.6500000000000004,0.05691431664462428,0.005913708650139887,0.004615532891674648,0.13950264926455228
3.7,0.05581276993602785,0.005822333877615131,0.0043224618700164995,0.13623759323733547
3.75,0.054725735637636816,0.005728366316363575,0.004049644853458519,0.13305713846837633
3.8000000000000003,0.053653386765184705,0.0056321633267125346,0.003795580698652729,0.12995784227975266
3.85,0.05259587417568844,0.005534067153625813,0.003558886082434103,0.12693654090593082
3.9000000000000004,0.05155332738682755,0.005434403536876797,0.003338285828959394,0.12399031933428688
3.95,0.05052585539722088,0.005333480779677426,0.00313260405560315,0.12111648452060607
4.0,0.04951354750523546,0.005231589195241227,0.0029407560676352894,0.11831254160385925
