Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_total_Na
0.0,0.08151189511821949,0.3899910798713028,2.0530657653205333,0.2245680831012726,4.343480213907213
0.05,0.08150596166275495,0.3893895468889473,1.9756578257317259,0.22456746026711782,4.264853604437837
0.1,0.08148816586470578,0.38759198736414263,1.7621697772828107,0.22456189885881186,4.047701476893379
0.15000000000000002,0.08145852112571937,0.3846192823295335,1.4607851441904969,0.22454053668392412,3.7401839712045475
0.2,0.0814170489562886,0.3805054771185749,1.1301248577032081,0.2244859738254174,3.40088575280544
0.25,0.08136377825018515,0.3752967538748829,0.8201719150914811,0.22437526742378486,3.0797445838843265
0.30000000000000004,0.08129874492165445,0.3690501673030075,0.5616229726796524,0.22418121033767485,2.8074080591550254
0.35000000000000003,0.08122199200618765,0.36183224739533465,0.3652185797192363,0.22387379607019367,2.5945698349434427
0.4,0.08113357006545696,0.353717543279904,0.22732622577782283,0.22342176478736644,2.4375590411927437
0.45,0.08103353762878679,0.34478715013329436,0.13700723344103397,0.22279412823762748,2.3254133783909614
0.5,0.08092196145483813,0.3351272383191378,0.08155673193873222,0.221961583332826,2.24542463148364
0.55,0.08079891652405136,0.32482759421666024,0.04965969871739043,0.22089774254157052,2.1862991754482364
0.6000000000000001,0.08066448578770195,0.31398018292927826,0.03258942363805488,0.21958013113663685,2.1393595478918366
0.65,0.08051875976093081,0.3026777489702868,0.024238745296606724,0.21799092389947985,2.098577306155921
0.7000000000000001,0.08036183605586908,0.2910124772886238,0.020642508779091663,0.21611741478022883,2.0600956241494504
0.75,0.08019381892833471,0.27907474062882653,0.019389117436830822,0.2139522306100316,2.0216396202113427
0.8,0.08001481887940931,0.2669519591658096,0.019104898117599953,0.21149331338221045,1.9819983345013004
0.8500000000000001,0.07982495232524496,0.254727594958757,0.019066303862602295,0.2087437046410664,1.9406336262770045
0.9,0.07962434132998,0.2424802980680335,0.018934087177486594,0.20571117042815285,1.8974103885424305
0.9500000000000001,0.0794131133874948,0.23028321436154187,0.01858275597766922,0.20240770664289445,1.8524216513331093
1.0,0.07919140123541704,0.21820345811728128,0.017996910534633575,0.19884896333908028,1.8058804092745118
1.05,0.07895934268646064,0.206301746225042,0.01721134587050402,0.1950536231854886,1.758055262806441
1.1,0.078717080465609,0.19463218552226416,0.016278322040450224,0.19104276478715063,1.7092334427391005
1.1500000000000001,0.07846476204538735,0.18324220074611255,0.015250955694685145,0.18683923639958303,1.6597002996751833
1.2000000000000002,0.078202539474743,0.17217258775540775,0.014175762422311802,0.18246706024685924,1.6097283783637688
1.25,0.07793056919957467,0.16145767497658225,0.013090133489333182,0.17795088252304964,1.559571916979945
1.3,0.07764901187469932,0.15112557530534,0.012022291602484927,0.1733154794499022,1.5094643426619767
1.35,0.07735803216812907,0.14119851077555465,0.010992350945783887,0.16858532562319942,1.459617390572348
1.4000000000000001,0.07705779855910788,0.13169319301322993,0.010013747430718065,0.16378422737494955,1.4102210948250908
1.4500000000000002,0.07674848313157698,0.12262124366146807,0.009094672829692542,0.15893502102335896,1.3614442525559363
1.5,0.07643026136472843,0.1139896404458033,0.008239350219705146,0.154059333654006,1.3134351557648045
1.55,0.07610331192216228,0.10580117622245208,0.007449096182924687,0.14917740242486466,1.2663224870213414
1.6,0.07576781644095387,0.09805492011120696,0.0067231688857432685,0.14430794725032664,1.2202163254920246
1.6500000000000001,0.07542395932170802,0.09074667157698378,0.006059424953828865,0.13946809102276092,1.175209232887778
1.7000000000000002,0.07507192752045447,0.08386940002587526,0.005454816096910909,0.1346733211998978,1.1313773983889572
1.75,0.07471191034303812,0.07741366407664556,0.004905756661868459,0.1299374865499227,1.088781824800772
1.8,0.07434409924248604,0.0713680061255039,0.004408390051527095,0.12527282303605086,1.047469539003812
1.85,0.07396868761969205,0.06571931912183146,0.003958777523634772,0.12069000317780992,1.0074748100735413
1.9000000000000001,0.07358587062764754,0.06045318360661733,0.003553028410740697,0.11619820369446349,0.9688203590460513
1.9500000000000002,0.07319584497936099,0.055554174033051025,0.0031873867801074174,0.11180518677246676,0.931518545439732
2.0,0.0727988087595449,0.051006134195466374,0.002858286156842618,0.10751739086726934,0.8955725172704811
2.0500000000000003,0.07239496124010333,0.04679242224846233,0.002562381173505294,0.10334002752163371,0.8609773132804388
2.1,0.07198450269942255,0.042896126315282314,0.002296562823082037,0.09927718123641438,0.827720908270978
2.15,0.07156763424544871,0.0393002520778728,0.002057962291558687,0.09533190995009083,0.7957851946387466
