Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(5),J_total_Mn
0.0,0.034983039344462195,0.13328078718848435,0.06815430803198089,0.37360319848160667,0.23582221352766947,1.6014971650122842,0.20892337149080362,7.155204366865595
0.05,0.034982584068108724,0.13325673688595627,0.06815430690783292,0.37302156987473284,0.23582170105885178,1.5617480009223859,0.20892336775514647,7.074490670078208
0.1,0.0349812182699224,0.1331846050266486,0.06815429679742198,0.3712830567255433,0.23581711545253747,1.4489530708189453,0.208923246982378,6.8452486100937655
0.15000000000000002,0.03497894204852961,0.13306445228139305,0.06815425752130588,0.36840653571311255,0.23579944349504245,1.280589599840188,0.20892227178805176,6.502412624804794
0.2,0.03497575558596045,0.13289639022039823,0.06815415556127917,0.36442271636967233,0.23575409342831904,1.0803379235937776,0.20891796863776327,6.093304908666022
0.25,0.0349716591669551,0.13268059301819526,0.06815394422938875,0.35937317514266365,0.23566151408883118,0.8722938869956665,0.20890463754446006,5.66605456627858
0.30000000000000004,0.0349666531949601,0.1324173076645706,0.06815356390015222,0.3533092548962712,0.2354980114505775,0.6762560393824686,0.20887190357706506,5.260167480266245
0.35000000000000003,0.03496073819968077,0.13210685967637903,0.06815294230193078,0.34629095592879877,0.23523671733612816,0.5052594519580191,0.2088037206237526,4.901592572472873
0.4,0.034953914834519546,0.13174965313318757,0.06815199486271628,0.3383858769061307,0.23484865864782398,0.3653936339417786,0.20867811854487098,4.602360671418829
0.45,0.03494618386565812,0.13134616571824306,0.06815062510517855,0.3296681983038277,0.234303872912203,0.2571652511646939,0.208467803476179,4.36331760359003
0.5,0.03493754615667364,0.13089694065501967,0.06814872508568276,0.3202176625550115,0.23357251712830804,0.17746443943371545,0.2081415334688212,4.178068298228891
0.55,0.03492800265301093,0.1304025777541527,0.06814617587209879,0.31011850091162196,0.232625921426138,0.12141274179593747,0.20766604613599599,4.036686460698847
0.6000000000000001,0.03491755436971737,0.12986372539268073,0.0681428480555396,0.2994582781945766,0.2314375461791727,0.08373148166750588,0.207008239026084,3.928465639787655
0.65,0.0349062023842873,0.1292810744958312,0.06813860229162427,0.2883266578014252,0.2299838101282439,0.059567393101829465,0.2061373004320939,3.843583632246425
0.7000000000000001,0.03489394783491843,0.1286553548229621,0.06813328986739915,0.27681411711192694,0.22824476687645429,0.04487580822024375,0.20502654260241804,3.7738795094553135
0.75,0.03488079192335568,0.12798733328531253,0.06812675329060776,0.26501066034028403,0.22620461697712216,0.03651018494209228,0.2036547755712066,3.713040040444502
0.8,0.034866735920910566,0.12727781371191985,0.06811882689852049,0.25300458052583485,0.22385205206075132,0.03215017191497005,0.20200715262563299,3.6564596410310664
0.8500000000000001,0.03485178117612653,0.1265276373996716,0.06810933748398076,0.24088131724388748,0.2211804355104348,0.03016124648701656,0.20007549854737536,3.600960095316774
0.9,0.03483592912275598,0.12573768385812972,0.0680981049366662,0.22872244574812164,0.21818783076686238,0.02944116381384804,0.1978581887376457,3.544481002995111
0.9500000000000001,0.03481918128706269,0.12490887131105732,0.0680849428977905,0.21660482036920803,0.21487689327543785,0.029280773061199927,0.1953596787857475,3.485796703025163
1.0,0.03480153929384025,0.1240421566845742,0.0680696594265848,0.20459988276529387,0.2112546453856381,0.02924962587942106,0.19258979326331285,3.4242812044361606
1.05,0.034783004870868946,0.12313853496027516,0.06805205767690721,0.19277313552283243,0.2073321553020912,0.02910760503355333,0.18956287564535365,3.359724216875818
1.1,0.034763579851785194,0.12219903788425394,0.06803193658225674,0.18118377414847378,0.20312414167232665,0.028739623187606988,0.18629688489568808,3.29219292415018
1.1500000000000001,0.03474326617750487,0.12122473209718196,0.06800909154733398,0.16988446555873835,0.19864852482398512,0.028109061635748042,0.18281250405109734,3.2219312694217477
1.2000000000000002,0.03472206589643449,0.12021671679128655,0.06798331514412269,0.15892125833370568,0.19392594429147256,0.027225618124521008,0.1791323061231842,3.149288405521388
1.25,0.03469998116373985,0.11917612101515518,0.06795439781028671,0.14833360872875961,0.1889792603431775,0.02612380720251889,0.17528000518932935,3.0746690110877792
1.3,0.034677014239937715,0.11810410074490453,0.06792212854750541,0.13815450624345077,0.18383305495239843,0.02484909201587763,0.17127980670007775,2.9984995609881535
1.35,0.03465316748904878,0.1170018358273972,0.06788629561722678,0.12841068303087594,0.17851314522931014,0.023449332188367547,0.16715586089918585,2.92120598664653
1.4000000000000001,0.034628443376510304,0.11587052688321853,0.06784668723121072,0.11912289230379873,0.17304611989078655,0.021969834359084735,0.16293181641104734,2.843199318632445
