Q,J_1s_one_electron,J_2s_one_electron,J_total_Be
0.0,0.2369960560085938,1.3383904004758893,3.150772912968966
0.05,0.2368524476464381,1.3156587561122086,3.1050224075172936
0.1,0.23642233894044132,1.2501247908471464,2.9730942595751757
0.15000000000000002,0.2357078721784943,1.1491845288688955,2.7697848020947795
0.2,0.23471259488991367,1.0234094821329545,2.516244154045736
0.25,0.23344142513979996,0.8845212675034828,2.2359253852865657
0.30000000000000004,0.2319006026570677,0.7434843649966313,1.950769935307398
0.35000000000000003,0.2300976260175711,0.6091508400788198,1.6784969321927818
0.4,0.2280411766169623,0.48762562177641733,1.4313335967867593
0.45,0.22574103070906906,0.38227676119810866,1.2160355838143555
0.5,0.22320796122983874,0.2941758443578009,1.0347676111752793
0.55,0.22045363140512264,0.22272931030244494,0.8863658834151351
0.6000000000000001,0.21749048224588474,0.16631302061367706,0.7676070057191235
0.65,0.21433161600230988,0.12280055237886309,0.674264336762346
0.7000000000000001,0.21099067752934605,0.08994509683114586,0.6018715487209838
0.75,0.20748173535542624,0.06562065954087413,0.5462047897926008
0.8,0.20381916407348366,0.04795050830156726,0.5035393447501019
0.8500000000000001,0.2000175295036853,0.0353562898668035,0.4707476387409776
0.9,0.19609147791449721,0.026557549881770226,0.4452980555925349
0.9500000000000001,0.19205563043106813,0.02054425031130974,0.42519976148475574
1.0,0.1879244836042011,0.016537604311726357,0.4089241758318549
1.05,0.18371231695688447,0.013948602682069463,0.39532183927790787
1.1,0.17943310816767039,0.012339333394279381,0.38354488312389956
1.1500000000000001,0.1751004563920294,0.011389407907004953,0.3729797285980687
1.2000000000000002,0.1707275140663382,0.010868143182444848,0.36319131449756614
1.25,0.16632692738724308,0.010612250150260976,0.35387835507500814
1.3,0.16191078551483842,0.010508363982569425,0.3448382989948157
1.35,0.1574905784142604,0.010479617856365184,0.3359403925412512
1.4000000000000001,0.15307716312931427,0.010475478501778908,0.32710528326218635
1.4500000000000002,0.14868073817543415,0.010464148511773923,0.31828977337441616
1.5,0.14431082564877282,0.010426951241746484,0.3094755537810386
1.55,0.13997626057407558,0.01035422493842751,0.30066097102500616
1.6,0.1356851869561768,0.01024235219058537,0.2918550782935243
1.6500000000000001,0.13144505995795416,0.010091634823926401,0.28307338956376116
1.7000000000000002,0.12726265360048092,0.009904792694817333,0.2743348925905965
1.75,0.12314407336771839,0.009685918969551602,0.26565998467454
1.8,0.11909477309697579,0.009439766558407862,0.2570690793107673
1.85,0.11511957554598118,0.009171272629802904,0.24858169635156815
1.9000000000000001,0.11122269604614848,0.00888525258380469,0.24021589725990636
1.9500000000000002,0.10740776867788791,0.008586213240079538,0.2319879638359349
2.0,0.10367787443602966,0.008278248702165312,0.22391224627638995
2.0500000000000003,0.10003557089014836,0.007964992518698548,0.21600112681769382
2.1,0.09648292288443401,0.007649607247563569,0.20826506026399516
2.15,0.09302153386353368,0.007334798013894774,0.2007126637548569
2.2,0.08965257745341934,0.007022840649807142,0.19335083620645296
2.25,0.08637682896889119,0.006715617899469746,0.18618489373672187
2.3000000000000003,0.08319469656103348,0.0064146592577633745,0.1792187116375937
2.35,0.08010625175816949,0.006121181500628678,0.17245486651759634
2.4000000000000004,0.07711125919211262,0.005836128020915104,0.16589477442605544
2.45,0.07420920533741604,0.005560205823801877,0.15953882232243582
2.5,0.07139932612461157,0.0052939195481033945,0.15338649134542992
2.5500000000000003,0.0686806333189431,0.005037602228136243,0.1474364710941587
2.6,0.06605193958375165,0.0047914427422029735,0.14168676465190924
2.6500000000000004,0.06351188217245088,0.0045555100422866165,0.136134784429475
2.7,0.06105894521499066,0.0043297743500148814,0.13077743913001108
2.75,0.05869148058393134,0.004114125554222086,0.12561121227630684
2.8000000000000003,0.05640772734187753,0.003908389068348257,0.12063223282045157
2.85,0.05420582978619732,0.0037123394106281706,0.11583633839365098
2.9000000000000004,0.052083854118857506,0.003525711763024422,0.11121913176376386
2.95,0.05003980377902226,0.003348211750696153,0.10677603105943682
3.0,0.04807163348397817,0.0031795236656191957,0.10250231429919474
3.0500000000000003,0.046177262030157415,0.0030193173379316402,0.09839315873617811
3.1,0.04435458391071404,0.0028672538381022674,0.09444367549763262
3.1500000000000004,0.04260147980944952,0.0027229901730324206,0.09064893996496388
3.2,0.040915826033051265,0.0025861831202732043,0.08700401830664894
3.25,0.039295502944761404,0.0024564923269909914,0.0835039905435048
3.3000000000000003,0.037738402462882896,0.00233358278429862,0.08014397049436303
3.35,0.036242434687089695,0.002217126773127778,0.07691912292043494
3.4000000000000004,0.034805533714462294,0.002106805364917763,0.07382467815876012
3.45,0.033425662705630944,0.002002309548959526,0.07085594450918094
3.5,0.03210081825947361,0.0019033410481582038,0.06800831861526363
3.5500000000000003,0.030829034152574653,0.0018096128761463355,0.06527729405744198
3.6,0.029608384497177828,0.0017208496809737333,0.06265846835630312
3.6500000000000004,0.02843698636873173,0.001636787913900732,0.06014754856526493
3.7,0.02731300195138451,0.001557175856017099,0.057740355614803215
3.75,0.026234640246985574,0.0014817735303944992,0.055432827554760145
3.8000000000000003,0.025200158390337988,0.001410352523160356,0.05322102182699669
3.85,0.024207862610648716,0.0013426957331682478,0.051101116687633924
3.9000000000000004,0.023256108876374224,0.0012785970667567922,0.04906941188626203
3.95,0.022343303257978685,0.0012178610913659814,0.047122328698689334
4.0,0.02146790204052787,0.0011603026594556667,0.04525640939996707
4.05,0.020628411615549208,0.0011057465121914857,0.043468316255481386
4.1000000000000005,0.019823388179205793,0.0010540268706814764,0.04175483009977454
4.15,0.019051437261567473,0.0010049870211206744,0.040112848565376294
4.2,0.01831121310961914,0.0009584788989950268,0.03853938401722833
