Q,J_1s(2),J_2s(2),J_2p(2),J_total
0.0,1.6976527263135504,5.4324887242033615,2.7162443621016807,9.846385812618593
0.05,1.684983728576446,5.040898160560156,2.713633975179782,9.439515864316384
0.1,1.6477250107624375,4.036459204586893,2.6790658437523622,8.363250059101693
0.15000000000000002,1.588030740949017,2.8078249036513303,2.5597900724894243,6.955645717089771
0.2,1.5092070919804974,1.7174217822222513,2.3278307289157025,5.554459603118451
0.25,1.4153441007490946,0.945687637109321,2.002632643290327,4.363664381148743
0.30000000000000004,1.3108993901399506,0.495074033504222,1.6346784125139413,3.440651836158114
0.35000000000000003,1.200300000324432,0.2775800134146062,1.276017383451555,2.753897397190593
0.4,1.08761424612117,0.19415360101143428,0.9616098163302172,2.2433776634628213
0.45,0.9763231790815338,0.17205115070297272,0.7061018375050897,1.854476167289596
0.5,0.8691981958725378,0.16976527263135505,0.5092958178940651,1.548259286397958
0.55,0.768273156754313,0.16850842637814775,0.3632424418180527,1.3000240249505135
0.6000000000000001,0.6748886588807557,0.16230885393117436,0.25753339826540816,1.0947309110773382
0.65,0.5897827009880734,0.1510069485744872,0.18223812834798592,0.9230277779105465
0.7000000000000001,0.5132040204711589,0.13637029975147574,0.12910231743653033,0.778676637659165
0.75,0.44502947628673933,0.12032757759464478,0.09176733544183026,0.6571243893232144
0.8,0.38487288125026076,0.10435406421245746,0.06555380945611404,0.5547807549188323
0.8500000000000001,0.332178227597392,0.08938076312027574,0.047113928121603504,0.4686729188392713
0.9,0.2862945829022802,0.07589309011254405,0.034093218500202624,0.3962808915150269
0.9500000000000001,0.24653288553020797,0.0640676164149135,0.024851876741309942,0.3354523786864314
1.0,0.2122065907891938,0.05389028814409734,0.01825316211332329,0.28435004104661443
1.05,0.1826589016405885,0.045242476182985825,0.013509940679459556,0.24141131850303388
1.1,0.15727946897903822,0.037957616472446595,0.010076394057661113,0.20531347950914594
1.1500000000000001,0.13551322697223,0.031855663639049715,0.007572825673153873,0.17494171628443358
1.2000000000000002,0.11686363109092485,0.02676239771650805,0.0057339199064760414,0.14935994871390892
1.25,0.10089211658246837,0.02251906615697963,0.004373292486639627,0.12778447522608763
1.3,0.08721516670230563,0.01898620194452165,0.00335922795325263,0.10956059660007991
1.35,0.07550000900899191,0.01604413931737038,0.0025980530047520997,0.0941422013311144
1.4000000000000001,0.06545965650763333,0.013591804399854123,0.002022709740841881,0.08107417064832934
1.4500000000000002,0.056847776766065734,0.011544725691834054,0.0015848708460028471,0.06997737330390265
1.5,0.04945369799001694,0.009832804590808084,0.001249472406566773,0.0605359749873918
1.55,0.04309773571323932,0.008398136175499015,0.0009909025136681097,0.05248677440240644
1.6,0.037626936572599946,0.007193021239310539,0.000790328757392336,0.04561028656930282
1.6500000000000001,0.032911277163844996,0.006178224705902779,0.0006338129600485264,0.0397233148297963
1.7000000000000002,0.028840318435635785,0.00532148851217137,0.0005109730170676397,0.03467277996487479
1.75,0.025320293370888675,0.004596283131995711,0.00041402713208535115,0.030330603634969738
1.8,0.022271593201643992,0.003980771384047545,0.00033710689860378334,0.02658947148429532
1.85,0.01962661170808267,0.0034569550796765083,0.00027576053249172124,0.0233593273202509
1.9000000000000001,0.017327905829855415,0.0030099758834904555,0.00022659140847035417,0.020564473121816224
1.9500000000000002,0.01532663216723342,0.0026275444227056915,0.00018699345532133138,0.018141170045260443
2.0,0.013581221810508403,0.002299475033926811,0.00015495630428292154,0.016035653148718135
2.0500000000000003,0.012056259538613974,0.0020173069560881552,0.00012892096823396935,0.014202487462936099
2.1,0.010721537277670558,0.0017739959572216132,0.00010767234016864437,0.012603205575060816
2.15,0.009551255503152636,0.001563663189789138,9.02586738049094e-05,0.011205177366746682
2.2,0.00852334983067874,0.001381390471101706,7.593094839715813e-05,0.009980671250177604
2.25,0.0076189232802770564,0.0012230531984244843,6.409696744153687e-05,0.008906073446143078
2.3000000000000003,0.006821767582313915,0.0010851837722497197,5.4286433489218386e-05,0.007961237788052853
2.35,0.006117959418764289,0.0009648597632994778,4.6124242429454354e-05,0.0071289434244932205
2.4000000000000004,0.005495519679492022,0.0008596121664440543,3.930996429007665e-05,0.006394441810226153
2.45,0.004944125688423631,0.0007673499813411361,3.3602003523556265e-05,0.005745077673288324
2.5,0.004454867952112314,0.0006862980832379386,2.8805315952025403e-05,0.005169971351302278
2.5500000000000003,0.004020044337131316,0.0006149459303295821,2.4761841664368615e-05,0.004659752109125267
2.6,0.0036329857255349416,0.0005520051232288686,2.1343021359110036e-05,0.00420633387012292
2.6500000000000004,0.0032879081592386236,0.0004963742095760979,1.8443918031354504e-05,0.0038027262868460757
2.7,0.0029797872914533352,0.00044710943059248734,1.597858096032092e-05,0.0034428753030061434
2.75,0.002704251639887756,0.00040340035100413466,1.3876375094201563e-05,0.0031215283659860923
2.8000000000000003,0.0024574917027974704,0.0003645495109450428,1.2079063714108322e-05,0.0028341202774566213
2.85,0.0022361824727059887,0.00032995539758358573,1.0538481200143915e-05,0.0025766763514897184
2.9000000000000004,0.002037417278730324,0.0002990981628318403,9.21466985560712e-06,0.0023457301114177716
2.95,0.0018586512195966456,0.00027152761761071006,8.074383038438506e-06,0.002138253220245794
3.0,0.0016976527263135503,0.000246853117568194,7.089878495690752e-06,0.0019515957223774352
3.0500000000000003,0.0015524620250513448,0.00022473502373146118,6.2379424250651225e-06,0.0017834349912078712
3.1,0.0014213554645629179,0.0002048774773933599,5.499097610936466e-06,0.0016317320395672142
3.1500000000000004,0.0013028148347477072,0.00018702227405452464,4.856958909235442e-06,0.0014946940677114673
3.2,0.0011955009389359435,0.00017094365843762474,4.297707068925043e-06,0.0013707423044424932
3.25,0.0010982307965143707,0.0001564438930445166,3.809657892964701e-06,0.001258484347451852
3.3000000000000003,0.0010099579482560448,0.00014334947771273094,3.3829084490935644e-06,0.0011566903344178694
3.35,0.0009297554171756832,0.00013150791816882033,3.0090457375019328e-06,0.0010642723810820054
3.4000000000000004,0.0008568009454217859,0.00012078495849789463,2.6809061352659514e-06,0.0009802668100549463
3.45,0.0007903641847291374,0.00011106220641748428,2.392376240067501e-06,0.0009038187673866892
3.5,0.0007297955660314704,0.0001022350917985279,2.138227561846443e-06,0.0008341688853918447
3.5500000000000003,0.0006745166144244795,9.421110845344108e-05,1.913978963771369e-06,0.0007706417018416919
3.6,0.0006240115099823618,8.690829716528639e-05,1.7157819131326173e-06,0.0007126355890607809
3.6500000000000004,0.0005778197239745097,8.025393455131015e-05,1.5403245305117114e-06,0.0006596139830563315
3.7,0.000535529584643959,7.418339787342755e-05,1.3847511702361807e-06,0.0006110977336876227
3.75,0.0004967726475981213,6.863918051938512e-05,1.2465948645143437e-06,0.0005666584229820208
3.8000000000000003,0.00046121876361268974,6.357003673819177e-05,1.1237204474343728e-06,0.0005259125207983158
3.85,0.00042857175175282545,5.893023745053774e-05,1.0142765665527433e-06,0.000488516265769916
3.9000000000000004,0.0003985655985837106,5.467892167489473e-05,9.166551075145622e-07,0.0004541611753661199
3.95,0.00037096111522063295,5.077953039966443e-05,8.294568156250819e-07,0.00042257010243592247
4.0,0.0003455429933469469,4.7199311662708716e-05,7.514621091027427e-07,0.00039349376711875835
4.05,0.0003221172093503192,4.3908887230982714e-05,6.816062511022266e-07,0.0003667077028324041
4.1000000000000005,0.0003005087325987579,4.0881872653718686e-05,6.189581888537665e-07,0.0003420095634413304
4.15,0.000280559499770924,3.809454363323014e-05,5.627024843061768e-07,0.00031921674588846036
4.2,0.0002621266222159432,3.552554265159325e-05,5.121238562061822e-07,0.0002981642887237427
4.25,0.0002450807976695953,3.315562063723922e-05,4.665939323926473e-07,0.0002787030122392272
4.3,0.00022930490140048328,3.0967409176202595e-05,4.255598762927558e-07,0.00026069787045297863
4.3500000000000005,0.00021469273508982614,2.8945219387916875e-05,3.8853460565294046e-07,0.00024402648908339596
