Q,J_1s_one_electron,J_1s(2),J_total_helium
0.0,0.5349430873870221,1.0698861747740442,1.0698861747740442
0.05,0.5332243828223995,1.066448765644799,1.066448765644799
0.1,0.5281150823889479,1.0562301647778958,1.0562301647778958
0.15000000000000002,0.5197528972038266,1.0395057944076531,1.0395057944076531
0.2,0.5083585197226145,1.016717039445229,1.016717039445229
0.25,0.4942232879950866,0.9884465759901732,0.9884465759901732
0.30000000000000004,0.4776935872172501,0.9553871744345002,0.9553871744345002
0.35000000000000003,0.45915337246011884,0.9183067449202377,0.9183067449202377
0.4,0.4390062444918005,0.878012488983601,0.878012488983601
0.45,0.4176583918216824,0.8353167836433648,0.8353167836433648
0.5,0.39550346413538695,0.7910069282707739,0.7910069282707739
0.55,0.3729101173299364,0.7458202346598728,0.7458202346598728
0.6000000000000001,0.3502126232363032,0.7004252464726064,0.7004252464726064
0.65,0.3277046152356857,0.6554092304713715,0.6554092304713715
0.7000000000000001,0.3056357778805721,0.6112715557611442,0.6112715557611442
0.75,0.2842111017745949,0.5684222035491898,0.5684222035491898
0.8,0.26359221704809677,0.5271844340961935,0.5271844340961935
0.8500000000000001,0.24390028136412184,0.4878005627282437,0.4878005627282437
0.9,0.22521991644182224,0.4504398328836445,0.4504398328836445
0.9500000000000001,0.20760374310533028,0.41520748621066056,0.41520748621066056
1.0,0.19107714217605457,0.38215428435210913,0.38215428435210913
1.05,0.1756429532569157,0.3512859065138314,0.3512859065138314
1.1,0.16128590542284815,0.3225718108456963,0.3225718108456963
1.1500000000000001,0.14797664654178283,0.29595329308356566,0.29595329308356566
1.2000000000000002,0.13567529808679524,0.2713505961735905,0.2713505961735905
1.25,0.12433450895810937,0.24866901791621873,0.24866901791621873
1.3,0.11390201573178385,0.2278040314635677,0.2278040314635677
1.35,0.10432273954401139,0.20864547908802278,0.20864547908802278
1.4000000000000001,0.09554046356407117,0.19108092712814234,0.19108092712814234
1.4500000000000002,0.0874991418011148,0.1749982836022296,0.1749982836022296
1.5,0.0801438917419085,0.160287783483817,0.160287783483817
1.55,0.07342172164491206,0.14684344328982413,0.14684344328982413
1.6,0.0672820395081874,0.1345640790163748,0.1345640790163748
1.6500000000000001,0.061676985757481505,0.12335397151496301,0.12335397151496301
1.7000000000000002,0.05656162626457452,0.11312325252914904,0.11312325252914904
1.75,0.051894036877989214,0.10378807375597843,0.10378807375597843
1.8,0.04763530552726839,0.09527061105453678,0.09527061105453678
1.85,0.043749473317752134,0.08749894663550427,0.08749894663550427
1.9000000000000001,0.040203431943091957,0.08040686388618391,0.08040686388618391
1.9500000000000002,0.03696679122397044,0.07393358244794088,0.07393358244794088
2.0,0.0340117276110236,0.0680234552220472,0.0680234552220472
2.0500000000000003,0.03131282202264864,0.06262564404529727,0.06262564404529727
2.1,0.02884689336804681,0.05769378673609362,0.05769378673609362
2.15,0.02659283247294283,0.05318566494588566,0.05318566494588566
2.2,0.024531439821834436,0.04906287964366887,0.04906287964366887
2.25,0.022645269502504776,0.04529053900500955,0.04529053900500955
2.3000000000000003,0.020918480937710177,0.04183696187542035,0.04183696187542035
2.35,0.01933669937345431,0.03867339874690862,0.03867339874690862
2.4000000000000004,0.01788688562721442,0.03577377125442884,0.03577377125442884
2.45,0.01655721525275526,0.03311443050551052,0.03311443050551052
2.5,0.015336967025746646,0.030673934051493292,0.030673934051493292
2.5500000000000003,0.014216420475792614,0.028432840951585228,0.028432840951585228
2.6,0.013186762069037069,0.026373524138074138,0.026373524138074138
2.6500000000000004,0.012239999567844015,0.02447999913568803,0.02447999913568803
2.7,0.011368884049478065,0.02273776809895613,0.02273776809895613
2.75,0.01056683904578006,0.02113367809156012,0.02113367809156012
2.8000000000000003,0.009827896263912138,0.019655792527824276,0.019655792527824276
2.85,0.009146637359172276,0.018293274718344552,0.018293274718344552
2.9000000000000004,0.00851814125066934,0.01703628250133868,0.01703628250133868
2.95,0.00793793649626472,0.01587587299252944,0.01587587299252944
3.0,0.007401958272328202,0.014803916544656404,0.014803916544656404
3.0500000000000003,0.006906509534813844,0.013813019069627688,0.013813019069627688
3.1,0.0064482259696809945,0.012896451939361989,0.012896451939361989
3.1500000000000004,0.006024044371867062,0.012048088743734125,0.012048088743734125
3.2,0.005631174122234909,0.011262348244469818,0.011262348244469818
3.25,0.005267071460748712,0.010534142921497423,0.010534142921497423
3.3000000000000003,0.004929416281315956,0.009858832562631911,0.009858832562631911
3.35,0.004616091199123179,0.009232182398246358,0.009232182398246358
3.4000000000000004,0.0043251626648297525,0.008650325329659505,0.008650325329659505
3.45,0.004054863921669132,0.008109727843338264,0.008109727843338264
3.5,0.0038035796213856444,0.007607159242771289,0.007607159242771289
3.5500000000000003,0.003569831933082312,0.007139663866164624,0.007139663866164624
3.6,0.0033522679955645344,0.006704535991129069,0.006704535991129069
3.6500000000000004,0.0031496485787405413,0.006299297157481083,0.006299297157481083
3.7,0.002960837833192156,0.005921675666384312,0.005921675666384312
3.75,0.0027847940192690015,0.005569588038538003,0.005569588038538003
3.8000000000000003,0.0026205611180949626,0.005241122236189925,0.005241122236189925
3.85,0.0024672612368117778,0.0049345224736235555,0.0049345224736235555
3.9000000000000004,0.002324087729320688,0.004648175458641376,0.004648175458641376
3.95,0.0021902989618122507,0.0043805979236245015,0.0043805979236245015
4.0,0.0020652126595832715,0.004130425319166543,0.004130425319166543
4.05,0.0019482007781085515,0.003896401556217103,0.003896401556217103
4.1000000000000005,0.0018386848471369684,0.0036773696942739367,0.0036773696942739367
4.15,0.0017361317417835314,0.003472263483567063,0.003472263483567063
4.2,0.001640049839252321,0.003280099678504642,0.003280099678504642
4.25,0.0015499855240050885,0.003099971048010177,0.003099971048010177
4.3,0.0014655200079365081,0.0029310400158730162,0.0029310400158730162
4.3500000000000005,0.0013862664354749412,0.0027725328709498824,0.0027725328709498824
4.4,0.001311867246537511,0.002623734493075022,0.002623734493075022
4.45,0.0012419917729667932,0.0024839835459335865,0.0024839835459335865
4.5,0.0011763340464962893,0.0023526680929925785,0.0023526680929925785
4.55,0.0011146107984622503,0.0022292215969245007,0.0022292215969245007
4.6000000000000005,0.0010565596334267803,0.0021131192668535606,0.0021131192668535606
4.65,0.0010019373606248634,0.0020038747212497267,0.0020038747212497267
4.7,0.0009505184687170784,0.0019010369374341568,0.0019010369374341568
4.75,0.000902093730739131,0.001804187461478262,0.001804187461478262
4.800000000000001,0.0008564689274056114,0.0017129378548112228,0.0017129378548112228
4.8500000000000005,0.0008134636780637347,0.0016269273561274693,0.0016269273561274693
4.9,0.00077291036961648,0.00154582073923296,0.00154582073923296
4.95,0.0007346531746556315,0.001469306349311263,0.001469306349311263
5.0,0.0006985471508742801,0.0013970943017485601,0.0013970943017485601
5.050000000000001,0.0006644574145750381,0.0013289148291500761,0.0013289148291500761
5.1000000000000005,0.0006322583817630074,0.0012645167635260148,0.0012645167635260148
5.15,0.0006018330709190526,0.0012036661418381052,0.0012036661418381052
5.2,0.0005730724620960176,0.0011461449241920352,0.0011461449241920352
5.25,0.0005458749074741951,0.0010917498149483902,0.0010917498149483902
5.300000000000001,0.0005201455889581337,0.0010402911779162675,0.0010402911779162675
