Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
0.0,0.031148528750293905,0.11694643228260268,0.05950563347878019,0.3245859518259549,0.2025336321008811,0.17894670466112406,1.4694600882779736,6.88809123304061
0.05,0.031148208121545184,0.11693014384965893,0.05950563290506732,0.3242013104414105,0.20253338800048304,0.17894670296714543,1.438712844970817,6.825792763937329
0.1,0.031147246244739343,0.11688128669448669,0.05950562774456281,0.32305047808959314,0.20253120058825452,0.17894664802181037,1.3507414802258526,6.6474351366807305
0.15000000000000002,0.031145643152283624,0.11679988728806961,0.05950560769367261,0.3211426701318994,0.20252275153920565,0.1789462021405283,1.2172785299484372,6.3764732335628755
0.2,0.03114339891054845,0.11668599590662602,0.059505555627842016,0.3184930516616663,0.20250099827468046,0.17894422130012755,1.0546943509649516,6.04562668870374
0.25,0.031140513634475384,0.11653969386943257,0.05950544767286936,0.3151224666014129,0.20245639881352545,0.17893803184518242,0.8804468046961639,5.689774291282798
0.30000000000000004,0.031136987501693223,0.11636110044811968,0.05950525330311121,0.31105709132005643,0.202377212836588,0.17892267650356083,0.7099334560034716,5.339653479413364
0.35000000000000003,0.031132820762635054,0.1161503776626223,0.05950493546504658,0.3063280330435863,0.2022498662685278,0.17889031026803545,0.5545097213344339,5.017893198152286
0.4,0.03112801374473714,0.11590773198965898,0.059504450724365346,0.3009708877318266,0.20205936442578754,0.17882989244948222,0.42086806629032647,4.737771430009873
0.45,0.031122566850665126,0.11563341296285305,0.0595037494345305,0.295025265437438,0.20178973738997058,0.17872725785682222,0.31150318184491016,4.504147837993317
0.5,0.031116480551996457,0.11532770940195411,0.05950277592463982,0.2885342862885538,0.2014245007755382,0.17856557518918506,0.22577478574623547,4.315594785692029
0.55,0.031109755380535013,0.11499094438881442,0.05950146870437803,0.28154404851367637,0.2009471154367993,0.17832613227819813,0.161107872832764,4.166805805304229
0.6000000000000001,0.031102391919436347,0.11462347010520157,0.059499760683897826,0.2741030711411909,0.2003414308103964,0.1779893393189446,0.11402810986397315,4.0506759495769264
0.65,0.031094390795807163,0.11422566337971296,0.059497579406585455,0.2662617169412618,0.19959209837932376,0.17753581917117486,0.08090424762846696,3.9597966575753523
0.7000000000000001,0.031085752675712026,0.11379792241416957,0.05949484729283745,0.2580716043980222,0.1986849440069624,0.17694745753839441,0.058395337584187766,3.887359642250137
0.75,0.031076478261825184,0.11334066480356372,0.05949148189318287,0.24958501991271187,0.1976072904460155,0.17620830934335857,0.043664096040529066,3.827591626819318
0.8,0.031066568293450728,0.11285432670223615,0.05948739614931149,0.24085434251528742,0.19634822400191845,0.1753052923034058,0.03443357270063181,3.7758736797578383
0.8500000000000001,0.03105602354834263,0.11233936284343203,0.059482498661797126,0.2319314930793613,0.19489880196377304,0.1742286359674429,0.02895411687366844,3.7286788841825733
0.9,0.031044844845661144,0.11179624707498252,0.05947669396352049,0.22286741868444856,0.19325219987440967,0.1729720875642501,0.02592864384724835,3.6834243724462628
0.9500000000000001,0.031033033049445283,0.11122547309987085,0.0594698827979883,0.21371162076007733,0.19140379989270495,0.171532900878992,0.024426009442198058,3.6382975758792786
1.0,0.03102058907210125,0.11062755517481689,0.05946196240190438,0.2045117333665802,0.18935122333727733,0.1699116496224391,0.023798578162019135,3.592089222965638
1.05,0.03100751387755397,0.1100030285971304,0.05945282679147084,0.195313155713628,0.18709431195510073,0.1681119130342277,0.023611141920908914,3.5440478169716934
1.1,0.03099380848385031,0.10935244988310205,0.05944236705198143,0.18615874097738191,0.1846350635241532,0.1661398806461545,0.023583191218743933,3.4937600097522
1.1500000000000001,0.030979473965120168,0.10867639660124045,0.05943047163031506,0.1770885417435266,0.18197752809226117,0.16400391756597288,0.02354391335648117,3.441055990195977
1.2000000000000002,0.030964511452889292,0.10797546686769584,0.059417026629950874,0.16813961100095667,0.17912767150870293,0.1617141235638009,0.023398176991550425,3.3859367099685147
1.25,0.030948922136795808,0.10725027853984856,0.059401916108109895,0.1593458565219546,0.17609321296637354,0.15928191045567236,0.02310146628318953,3.3285191050558565
1.3,0.030932707264795765,0.10650146815975042,0.05938502237459088,0.1507379456506835,0.17288344309194972,0.15671961403063847,0.02264182936333206,3.2689956059214755
1.35,0.030915868142957232,0.10572968970498901,0.05936622629181413,0.14234325693744382,0.16950902875256085,0.15404014977679156,0.02202716959408984,3.2076046972395424
1.4000000000000001,0.03089840613494327,0.10493561320360803,0.05934540757552466,0.13418587465797255,0.1659818102408849,0.15125671621718864,0.02127651285880491,3.1446098503466238
1.4500000000000002,0.03088032266127638,0.10411992326451999,0.059322445095540605,0.12628662200763943,0.1623145959026459,0.14838254575977627,0.020414173170003578,3.080284694274208
1.5,0.030861619198464644,0.10328331756738189,0.05929721717586963,0.11866312862943836,0.15852095862133447,0.1454307004098438,0.019465989385924743,3.0149027676243945
1.55,0.03084229727805543,0.10242650534760396,0.05926960189345953,0.11132992809869074,0.15461503790791223,0.1424139082226831,0.01845701198485723,2.94873059000811
1.6,0.03082235848566812,0.10155020590398531,0.059239477374802695,0.10429858102847164,0.15061135068471354,0.13934443570813515,0.017410182703842817,2.8820231102661142
