Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_K
0.0,0.046375088537554565,0.18545276336431027,0.5697192311338256,0.09649732681008368,0.37612837837485824,2.4329261269808917,6.871774524161925
0.05,0.04637402019155635,0.18538829386629774,0.567722154304635,0.09649732030392624,0.37612313767617095,2.302393867653874,6.737085552259435
0.1,0.04637081555091131,0.1851950010683524,0.5617814642978571,0.09649726181881066,0.3760766595269463,1.9538209157833881,6.375959005692171
0.15000000000000002,0.04636547569482871,0.18487325780269595,0.552044624987971,0.09649703480397483,0.3759000084794408,1.4922699970303388,5.893218973701823
0.2,0.04635800211958728,0.18442375331516433,0.5387450962208491,0.09649644616155258,0.375455587233933,1.0318479860609082,5.402613889745023
0.25,0.04634839648409056,0.18384754675184,0.5221881078346823,0.09649522794175136,0.3745714953571937,0.6512769827155881,4.982445424650484
0.30000000000000004,0.04633666049676182,0.18314608370503177,0.502736183053407,0.09649303965214993,0.3730587893027446,0.3799796037111083,4.661728431950877
0.35000000000000003,0.046322795968207126,0.18232117119230334,0.4807955920157667,0.09648947112924529,0.37072947077036217,0.2098323288232636,4.432025098573463
0.4,0.046306804962387996,0.1813749288325748,0.45680334424986035,0.09648404591905008,0.3674131651545452,0.11532445209327874,4.267677874624496
0.45,0.046288689953597105,0.18030973957823027,0.4312139650021707,0.09647622511713726,0.3629708780523497,0.06921791334169533,4.141525321426613
0.5,0.046268453926710265,0.1791282151313656,0.40448586164474415,0.0964654116245571,0.3573048108562576,0.050109851848902064,4.032496248139431
0.55,0.04624610040488601,0.17783317916687527,0.3770678133149498,0.09645095478190704,0.35036384307999874,0.04395950924409456,3.927142482188952
0.6000000000000001,0.046221633422207566,0.17642766322490994,0.34938649544496103,0.0964321553474966,0.34214484024315134,0.04276355451992645,3.818297112247971
0.65,0.046195057470402937,0.17491490754313296,0.3218359001131551,0.0964082707859805,0.33269035489574816,0.04256092326797527,3.7030444076117295
0.7000000000000001,0.04616637744474543,0.1732983604723008,0.29476920477548235,0.0963785208310399,0.32208353172850873,0.04174438668612348,3.5809845874284725
0.75,0.04613559860393642,0.17158167297225488,0.26849327839735815,0.09634209328049859,0.31044111750333925,0.03991460929079205,3.453034973940918
