Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_total_potassium
0.0,0.04637446837618685,0.1854527105575142,0.5697192253733142,0.09649732657261766,0.37612837835308266,2.4971882537764705,0.0927489367523737,0.3709054211150284,0.5789839594357059,1.1394384507466284,2.256770270118496,2.4971882537764705,6.936035291944703
0.05,0.04637340003018863,0.18538824105950166,0.5677221485441236,0.09649732006646022,0.37612313765439537,2.364238044237564,0.09274680006037726,0.3707764821190033,0.5789839203987613,1.1354442970882472,2.256738825926372,2.364238044237564,6.798928369830326
0.1,0.046370195389543595,0.18519494826155633,0.5617814585373457,0.09649726158134464,0.3760766595051707,2.008841972171141,0.09274039077908719,0.37038989652311266,0.5789835694880678,1.1235629170746915,2.256459957031024,2.008841972171141,6.430978703067124
0.15000000000000002,0.046364855533460994,0.18487320499589988,0.5520446192274596,0.09649703456650881,0.3759000084576652,1.537214625907962,0.09272971106692199,0.36974640999179975,0.5789822073990528,1.1040892384549192,2.2554000507459913,1.537214625907962,5.938162243566648
0.2,0.04635738195821956,0.18442370050836826,0.5387450904603377,0.09649644592408656,0.37545558721215744,1.0649857608845146,0.09271476391643912,0.3688474010167365,0.5789786755445193,1.0774901809206754,2.2527335232729446,1.0649857608845146,5.43575030555583
0.25,0.04634777632272284,0.18384749394504393,0.5221881020741709,0.09649522770428534,0.37457149533541817,0.6723744095885251,0.09269555264544568,0.36769498789008787,0.5789713662257121,1.0443762041483418,2.247428972012509,0.6723744095885251,5.003541492510622
0.30000000000000004,0.0463360403353941,0.1831460308982357,0.5027361772928955,0.09649303941468391,0.3730587892809691,0.38998115313101356,0.0926720806707882,0.3662920617964714,0.5789582364881035,1.005472354585791,2.2383527356858144,0.38998115313101356,4.671728622357982
0.35000000000000003,0.04632217580683941,0.18232111838550727,0.4807955862552553,0.09648947089177927,0.37072947074858664,0.21041742010182246,0.09264435161367882,0.36464223677101454,0.5789368253506756,0.9615911725105106,2.22437682449152,0.21041742010182246,4.4326088308392215
0.4,0.04630618480102028,0.18137487602577873,0.45680333848934895,0.09648404568158406,0.36741316513276967,0.10848662154304484,0.09261236960204056,0.36274975205155746,0.5789042740895043,0.9136066769786979,2.204478990796618,0.10848662154304484,4.260838685061463
0.45,0.04628806979222939,0.1803096867714342,0.4312139592416593,0.09647622487967124,0.36297087803057415,0.056946998203500826,0.09257613958445877,0.3606193735428684,0.5788573492780275,0.8624279184833186,2.1778252681834447,0.056946998203500826,4.129253047275619
0.5,0.04626783376534255,0.17912816232456952,0.40448585588423275,0.09646541138709108,0.35730481083448207,0.03419583616303525,0.0925356675306851,0.35825632464913904,0.5787924683225465,0.8089717117684655,2.1438288650068924,0.03419583616303525,4.016580873440764
0.55,0.046245480243518294,0.1778331263600792,0.3770678075544384,0.09645095454444103,0.3503638430582232,0.0258993580690507,0.09249096048703659,0.3556662527201584,0.5787057272666462,0.7541356151088768,2.1021830583493393,0.0258993580690507,3.909080972001108
