Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(2),J_total_Kr
0.0,0.02410825596524878,0.08814317178320231,0.22827891411199494,0.0444685832074471,0.13711355496087765,0.10250400316498723,0.7155793664803392,0.5052611354798665,0.04821651193049756,0.17628634356640463,0.2668114992446826,0.4565578282239899,0.822681329765266,1.4311587329606783,1.0250400316498722,3.0315668128791993,7.258319090220591
0.05,0.024108107101936074,0.08813603808346059,0.22813855876155087,0.044468583107761694,0.13711352293537893,0.10250400315367801,0.7115822722325524,0.5052391636065212,0.04821621420387215,0.17627207616692117,0.26681149864657017,0.45627711752310174,0.8226811376122736,1.4231645444651049,1.02504003153678,3.0314349816391273,7.249897601793751
0.1,0.024107660594336174,0.08811464561244771,0.22771817130126873,0.044468582203066334,0.13711323540134449,0.10250400278175441,0.699740070682645,0.5050461575618491,0.04821532118867235,0.17622929122489542,0.26681149321839803,0.45543634260253746,0.822679412408067,1.39948014136529,1.025040027817544,3.030276945371095,7.224168975196499
0.15000000000000002,0.024106916682802605,0.08807901994873091,0.2270197766604266,0.04446857864040504,0.13711212140570275,0.10250399969883661,0.6804897252777161,0.5043234213930008,0.04821383336560521,0.17615803989746182,0.26681147184243026,0.4540395533208532,0.8226727284342166,1.3609794505554322,1.0250399969883661,3.0259405283580048,7.179855602762371
0.2,0.02410587574643254,0.08802920273167492,0.2260467141589199,0.04446856921856186,0.13710924050198195,0.1025039855989733,0.6545263569937498,0.5025434509104797,0.04821175149286508,0.17605840546334983,0.2668114153113712,0.4520934283178398,0.8226554430118918,1.3090527139874997,1.025039855989733,3.015260705462878,7.115183719037428
0.25,0.024104538273222693,0.08796525027062901,0.22480358614457804,0.044468549242523234,0.1371032986196456,0.10250393986509451,0.6227572480649892,0.49909956413856343,0.048209076546445385,0.17593050054125803,0.2668112954551394,0.4496071722891561,0.8226197917178736,1.2455144961299784,1.0250393986509452,2.9945973848313807,7.028329116162177
0.30000000000000004,0.024102904822744336,0.08788723177814013,0.22329618982883379,0.04446851236324553,0.13709266877288884,0.10250382111363227,0.5862443191932014,0.49340420486038755,0.04820580964548867,0.17577446355628026,0.2668110741794732,0.44659237965766757,0.822556012637333,1.1724886383864028,1.0250382111363225,2.9604252291623254,6.917891818361293
0.35000000000000003,0.024100975985079442,0.08779522737995721,0.2215314355907692,0.04446845043667498,0.1370754154661162,0.10250355705341804,0.5461407002289057,0.4849776832164331,0.048201951970158884,0.17559045475991442,0.2668107026200499,0.4430628711815384,0.8224524927966972,1.0922814004578114,1.0250355705341805,2.9098660992985987,6.78330154361895
0.4,0.024098752339945056,0.08768932606399969,0.21951725536028746,0.044468353433327494,0.1370493217334061,0.10250303315295377,0.5036271173965227,0.4735132251941787,0.04819750467989011,0.17537865212799938,0.26681012059996495,0.4390345107205749,0.8222959304004365,1.0072542347930453,1.0250303315295377,2.8410793511650723,6.625080636016522
0.45,0.024096234419662105,0.08756962372204304,0.21726250471298902,0.044468209420653604,0.13701191797526382,0.10250208066482705,0.45985321601510865,0.4589108284445419,0.04819246883932421,0.17513924744408607,0.2668092565239216,0.43452500942597805,0.822071507851583,0.9197064320302173,1.0250208066482704,2.7534649706672516,6.444929699430633
