Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_N
0.0,0.12972593447411468,0.609481315700054,0.43534509776720437,2.7844497936499506
0.05,0.12970180456430935,0.6067136285315813,0.43533084993151,2.778823415986311
0.1,0.1296294642755942,0.5985036799447825,0.43520599695634477,2.7618842793097875
0.15000000000000002,0.1295090608826886,0.5851243922535698,0.43474014847455417,2.733487351696179
0.2,0.12934083646205388,0.5670099979770848,0.4335983673100263,2.6934967708083564
0.25,0.12912512318570163,0.544727574856446,0.43140187474401087,2.6419110203163276
0.30000000000000004,0.12886233740158462,0.5189417319463709,0.427791762839386,2.5789834272140695
0.35000000000000003,0.12855297303771027,0.4903760524151861,0.4224828494017777,2.505306599111126
0.4,0.1281975948651775,0.45977484832276305,0.41529914767128573,2.4218423293897384
0.45,0.12779683208430972,0.42786827388852455,0.40618804947718584,2.329894360377226
0.5,0.1273513725785957,0.3953430309119772,0.39521531209408717,2.2310347432634074
0.55,0.1268619580390247,0.3628199634161519,0.3825461002752263,2.127002143736032
0.6000000000000001,0.12632938002140234,0.3308389410073612,0.36841840036676976,2.0195918431578366
0.65,0.12575447688061878,0.2998506884167912,0.35311452895526163,1.910553917460605
0.7000000000000001,0.1251381314400583,0.27021469240312634,0.3369349397824663,1.801510467033768
0.75,0.12448126920496885,0.24220201587245885,0.3201767800433998,1.6938969102850547
0.8,0.12378485691288532,0.21600174539780212,0.3031181242162341,1.588927577270077
0.8500000000000001,0.1230499012253077,0.19172984532976808,0.286007729648028,1.4875826820542355
0.9,0.1222774473942138,0.16943933734744618,0.26905953076074807,1.390612161765564
0.9500000000000001,0.12146857777620401,0.14913092150309482,0.25245083048930583,1.2985514900265152
1.0,0.12062441010902115,0.13076336659883536,0.23632313779919376,1.2117449668132942
1.05,0.11974609550464166,0.11426319864651074,0.2207847285511813,1.1303727739558487
1.1,0.11883481614682982,0.09953339121853778,0.20591419176331477,1.0544789900206797
1.1500000000000001,0.11789178270741811,0.08646090396707187,0.19176441298964086,0.9839986123179025
1.2000000000000002,0.116918231514356,0.07492302452337908,0.17836661408436752,0.9187823543285727
1.25,0.11591542151635793,0.06479254701893467,0.16573420366163408,0.8586185480554874
1.3,0.11488463109486442,0.055941872082739784,0.153866294424373,0.8032518896283274
1.35,0.11382715477529178,0.04824614350666254,0.14275081629590203,0.7523990454516147
1.4000000000000001,0.11274429988745246,0.04158555086317392,0.13236720366406776,0.7057613124934561
1.4500000000000002,0.11163738322071669,0.035846929703601774,0.12268866672376036,0.663034626019918
1.5,0.11050772771389304,0.03092478533106752,0.11368407577634498,0.6239172534189561
1.55,0.10935665921366242,0.026721855537375716,0.10531949730596163,0.5881155214199612
1.6,0.10818550332923205,0.023149314407603275,0.09755942463757913,0.555347909386408
1.6500000000000001,0.10699558240504223,0.020126704995800136,0.09036774612185726,0.5253478131672564
1.7000000000000002,0.10578821262807447,0.017581674509558786,0.08370849159124744,0.49786524904900886
1.75,0.10456470128168556,0.015449572350994274,0.07754639432506878,0.472667730240566
1.8,0.10332634415396086,0.013672959376788994,0.07184730164277536,0.4495405119898258
1.85,0.10207442310532276,0.012201066263279953,0.06657846296657628,0.4282863676369343
1.9000000000000001,0.10081020379749357,0.010989229938674369,0.06170872004007432,0.4087250275925588
1.9500000000000002,0.09953493358382767,0.00999832961377144,0.05720862012510017,0.3906923867704987
2.0,0.09824983955941705,0.009194237882391801,0.05305046951170631,0.3740395634187367
2.0500000000000003,0.09695612676816126,0.008547297517474028,0.04920834160095433,0.3586318733741336
2.1,0.09565497656310464,0.008031830791065418,0.04565805115726365,0.344347768180131
2.15,0.09434754511571446,0.007625685231039325,0.042377104056274206,0.3310777728623302
2.2,0.09303496206934925,0.007309817540125382,0.03934462994302432,0.3187234490480222
2.25,0.0917183293318954,0.007067915805359034,0.036541303625539714,0.307196401151128
2.3000000000000003,0.09039872000239628,0.006886058997840508,0.033949259720735245,0.2964173371626793
2.35,0.08907717742642769,0.006752412001345818,0.0315520040038234,0.2863151908670172
2.4000000000000004,0.0877547143749618,0.0066569539286356755,0.02933432405268994,0.27682630876526476
2.45,0.08643231234149032,0.006591237216630101,0.027282201091822653,0.2678937023917088
2.5,0.08511092095223062,0.006548174880007076,0.02538272439700752,0.25946636485549796
2.5500000000000003,0.08379145748430747,0.0065218533029991685,0.02362400919661025,0.25149864916444403
2.6,0.08247480648687844,0.0065073680267605655,0.021995118675960563,0.2439497050551597
2.6500000000000004,0.08116181950024987,0.00650068011827592,0.020485990439654597,0.23678297055601538
2.7,0.07985331486810904,0.0064984908665172945,0.019087367597015802,0.22996571426030007
2.75,0.07855007763807477,0.006498132727755663,0.01779073449569599,0.22346862421874886
2.8000000000000003,0.0772528595458439,0.00649747462400765,0.016588257026948813,0.21726543942054954
2.85,0.07596237907828425,0.006494839879114377,0.015472727354914418,0.2113326199795405
2.9000000000000004,0.0746793216108965,0.00648893525088737,0.014437512874415363,0.20564905234681385
2.95,0.07340433961513979,0.006478789681909197,0.013476509171750887,0.20019578610935063
3.0,0.07213805293118808,0.006463701544076829,0.012584096746391759,0.1949557991897051
3.0500000000000003,0.07088104910175996,0.006443193291927415,0.011755101244854826,0.18991378852193924
3.1,0.06963388376274154,0.0064169725669798216,0.010984756958657553,0.18505598353541539
3.1500000000000004,0.06839708108640401,0.006384898910022036,0.010268673344011697,0.18036998002488716
3.2,0.06717113427310377,0.006346955341044014,0.009602804330190262,0.17584459221886634
3.25,0.06595650608744356,0.0063032241581162125,0.008983420195057322,0.17146972107629152
3.3000000000000003,0.06475362943496987,0.00625386638780636,0.00840708179915904,0.1672362370430296
3.35,0.06356290797558373,0.006199104391611673,0.007870616983345529,0.1631358756844274
3.4000000000000004,0.06238471676994961,0.006139207196259073,0.007371098948626075,0.1591611447782956
3.45,0.0612194029553003,0.006074478171459668,0.0069058264504966585,0.15530524160500994
3.5,0.06006728644715338,0.006005244727614737,0.006472305653071129,0.15156197930874962
3.5500000000000003,0.05892866066357855,0.005931849748818836,0.0060682335008338684,0.14792572132729637
3.6,0.057803793268782135,0.0058546445139876745,0.0056914824776113405,0.14439132299837362
3.6500000000000004,0.05669292693290636,0.005773982891685643,0.005340086633380103,0.14095407954932432
3.7,0.05559628010507585,0.005690216622808324,0.0050122287697704025,0.13760967976507954
3.75,0.0545140477968607,0.005603691530196832,0.004706228684592093,0.13435416470789133
3.8000000000000003,0.053446402373465214,0.005514744515974961,0.0044205323844258996,0.13118389093215804
3.85,0.05239349435009171,0.005423701226306599,0.00415370218232051,0.12809549769975814
3.9000000000000004,0.05135545319107044,0.0053308742797226125,0.003904407604954979,0.12508587775645105
3.95,0.05033238810948841,0.005236561969473893,0.0036714170403103845,0.12215215127885576
4.0,0.04932438886519059,0.0051410473628029614,0.003453590062989683,0.11929164264495616
4.05,0.04833152655916746,0.0050445977308296195,0.003249870379876137,0.11650185971962257
4.1000000000000005,0.047353854422480954,0.004947464252125523,0.0030592793438723002,0.11378047538082985
4.15,0.046391408598017304,0.004849881941191203,0.0028809099880559774,0.11112531104258494
4.2,0.04544420891348863,0.004752069760106563,0.0027139215367665177,0.10853432195748995
4.25,0.04451225964423633,0.004654230877741814,0.0025575343539318645,0.10600558410575188
4.3,0.0435955502645158,0.004556553046211581,0.0024110252923981203,0.10353728249864913
4.3500000000000005,0.04269405618606601,0.004459209068836836,0.002273723411161262,0.10112770074328949
4.4,0.041807739482886484,0.004362357337839807,0.0021450060302539236,0.09877521173221436
4.45,0.040936549601259316,0.004266142423416741,0.0020242950956355483,0.09647826933625875
4.5,0.0400804240541646,0.004170695698782814,0.0019110538287960064,0.09423540099228284
4.55,0.03923928909934315,0.004076135988323759,0.0018047836379327304,0.092045201089132
4.6000000000000005,0.038413060400361576,0.003982570228173498,0.0017050212695196353,0.08990632506562905
4.65,0.03760164367013088,0.003890094130412884,0.0016113361808704567,0.0878174841436989
4.7,0.03680493529642056,0.0037987928436919974,0.0015233281159258844,0.08577744062800277
4.75,0.03602282294899684,0.0037087416044531024,0.001440624867977816,0.08378500371083333
4.800000000000001,0.035255186168094164,0.0036200063741038584,0.0013628802143982493,0.0818390257275908
