Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_total_Mg
0.0,0.07449025403104817,0.34187254168486164,1.579167732409399,0.19178354322954877,5.14176231562791
0.05,0.0744857382680637,0.34147264123515675,1.5418907921318732,0.19178328005387316,5.066398023593426
0.1,0.07447219401758341,0.34027622722312084,1.4358990538946694,0.19178092503078634,4.851980500455465
0.15000000000000002,0.07444963023364018,0.33829311458648664,1.2770407301420534,0.19177184847794002,4.530198040792
0.2,0.07441806136228322,0.33553950324464765,1.086889599757853,0.19174855246864958,4.144185643541466
0.25,0.07437750680833119,0.332037737163839,0.8875874500996749,0.19170098298871027,3.738211286075952
0.30000000000000004,0.07432799046630248,0.3278159643033584,0.6976079286175095,0.1916169383679592,3.349205396982096
0.35000000000000003,0.07426954043956999,0.3229077017644332,0.5294757777884448,0.19148254913036858,3.0022013347671077
0.4,0.0742021889846256,0.3173513168097619,0.3894899227171991,0.1912828019266612,2.7097836685831402
0.45,0.07412597263653452,0.3111894396742247,0.278826509360405,0.19100208014227388,2.4742963241959717
0.5,0.07404093242642591,0.30446832683030206,0.19521770572530633,0.1906246957767278,2.2912021046244355
0.55,0.07394711409778296,0.297237193511511,0.13457892262231638,0.19013539073213276,2.1523388048560173
0.6000000000000001,0.07384456825314745,0.28954753266401173,0.09225618777241408,0.1895197901135375,2.0484153180603717
0.65,0.07373335039853147,0.28145243515381707,0.06381739682663576,0.18876479494785345,1.9705951344450892
0.7000000000000001,0.07361352088475272,0.2730059237911203,0.045455453037605814,0.18785890639470046,1.9113032337951603
0.75,0.07348514476575797,0.26426231188796595,0.03412105117545897,0.1867924777201295,1.8644918819791425
0.8,0.07334829160286674,0.25527559563209595,0.02749650467365091,0.18555789384697896,1.825588146899101
0.8500000000000001,0.07320303524353834,0.24609888835835672,0.023893506159856356,0.18414968111996288,1.7912889462432802
0.9,0.07304945359762746,0.23678390363258978,0.02212728327756532,0.1825645520524873,1.7593085933304888
0.9500000000000001,0.07288762842652792,0.22738049280119102,0.021395704308547328,0.18080139132919298,1.7281359990476903
1.0,0.0727176451533765,0.21793624125952238,0.021176026590767904,0.17886119031766723,1.696826967913337
1.05,0.0725395926967532,0.20849612618190264,0.02114275413818239,0.17674693788952506,1.6648385733708269
1.1,0.07235356332640824,0.19910223690404225,0.02110539704979466,0.17446347554953084,1.6319032478576752
1.1500000000000001,0.07215965253732241,0.18979355763801908,0.020963009821450926,0.17201732479183765,1.5979363887446107
1.2000000000000002,0.07195795893749726,0.1806058108064402,0.02067196554823081,0.16941649430167321,1.562970436394376
1.25,0.0717485841448665,0.17157135806527396,0.020223711878117723,0.16667027414554259,1.5271089530497717
1.3,0.07153163268925257,0.16271915508179607,0.019629808201548745,0.16378902348301805,1.4904953328433028
1.35,0.07130721191608523,0.1540747553625469,0.018912134805679732,0.1607839576240576,1.4532919499129693
1.4000000000000001,0.07107543188945682,0.14566035788627113,0.01809669252392141,0.15766693948060234,1.4156666014829127
1.4500000000000002,0.07083640529289384,0.13749489297554168,0.01720984219024542,0.15445027965104216,1.377783958823615
1.5,0.07059024732691303,0.12959414071625822,0.016276166187876563,0.1511465485598876,1.3398003998214212
1.55,0.07033707560297914,0.12197087627930103,0.015317382449265341,0.14776840327866428,1.3018610883350767
1.6,0.07007701003389069,0.11463503668383931,0.014351921150662835,0.1443284309000285,1.2640985211369569
1.6500000000000001,0.0698101727209047,0.1075939038375822,0.013394902074264178,0.1408390096434818,1.226632015126393
1.7000000000000002,0.06953668783809072,0.10085229906754609,0.012458339742771869,0.1373121882512593,1.1895677828043731
1.75,0.06925668151450182,0.09441278479010026,0.01155146468500154,0.13375958369567018,1.1529993641532283
1.8,0.06897028171478527,0.08827586943862711,0.010681090684336019,0.13019229676857452,1.1170082642869439
1.85,0.06867761811884687,0.08244021225188779,0.009851985560961538,0.12662084475996827,1.081664700423202
1.9000000000000001,0.06837882200114473,0.07690282501024447,0.009067221234411381,0.12305511015263627,1.0470283974074188
1.9500000000000002,0.068074026110133,0.07165926827756947,0.008328490538727078,0.11950430405771029,1.0131493941991208
2.0,0.06776336454831175,0.06670384015420965,0.007636385634785495,0.11597694298404419,0.9800688385788788
2.0500000000000003,0.06744697265327236,0.06202975596364219,0.006990637342648159,0.11248083746373279,0.9478197567015222
2.1,0.06712498688006277,0.05762931767761023,0.006390317297882619,0.10902309103745053,0.9164277899358144
2.15,0.0667975446851369,0.053494072228662155,0.005834006193972044,0.10561010812714722,0.8859118949784256
2.2,0.06646478441209815,0.04961495816386094,0.005319931960071389,0.10224760938097695,0.8562850053579227
2.25,0.06612684517939964,0.045982440358997616,0.00484608183928406,0.09894065315780226,0.8275546537021761
2.3000000000000003,0.065783866770124,0.042586632739995495,0.00441029217386914,0.09569366191874158,0.7997235548804268
2.35,0.06543598952393175,0.03941740914915928,0.004010319397305679,0.09251045240453515,0.7727901505680043
2.4000000000000004,0.06508335423124018,0.03646450265089485,0.0036438953593485013,0.089394268594531,0.746749116050153
2.45,0.06472610202967358,0.03371759369727616,0.00330876971864331,0.08634781656138707,0.7215918302595085
2.5,0.0643643743028082,0.031166387671346267,0.0030027417573809815,0.08337330045162418,0.697306810172816
2.5500000000000003,0.06399831258122363,0.028800682398398402,0.0027236836199696327,0.08047245893328969,0.6738801107989214
2.6,0.06362805844586265,0.02661042626575798,0.0024695566605167176,0.07764660155628023,0.6512956920819561
2.6500000000000004,0.0632537534336958,0.024585767622766923,0.002238422304563534,0.0748966445670542,0.6295357541243777
2.7,0.06287553894568272,0.022717096147596167,0.0020284485884013016,0.07222314580679548,0.6085810422041332
2.75,0.06249355615702055,0.020995076868831092,0.0018379133320614901,0.0696263384002546,0.5884111231173539
2.8000000000000003,0.062107945929668326,0.01941067751992668,0.001665204726467175,0.0671061630115216,0.5690046344212539
2.85,0.061718848727137135,0.017955189885816587,0.0015088199676713912,0.06466229850314995,0.5503395081801499
2.9000000000000004,0.06132640453153602,0.016620245775152857,0.0013673624480030765,0.06229419088681889,0.5323931708302971
2.95,0.06093075276286549,0.015397828220583706,0.0012395379118890603,0.060001080497679105,0.5151427207767512
3.0,0.060532032200551505,0.014280278474649286,0.0011241499000087395,0.0577820273613326,0.4985650853184147
3.0500000000000003,0.0601303809072148,0.013260299331581935,0.001020094736487162,0.055635934752755446,0.48263715846710054
3.1,0.059725936154671734,0.012330955266624413,0.0009263562576032155,0.05356157097108132,0.46733592118428663
3.1500000000000004,0.05931883435216428,0.01148566984533333,0.0008420004348717457,0.051557589373716975,0.45263854550704063
3.2,0.0589092109768182,0.01071822081645372,0.0007661700085437537,0.04962254672841355,0.4385224839741127
3.25,0.058497200506329075,0.010022733263923242,0.0006980792180220172,0.04775491995328224,0.42496554569624206
3.3000000000000003,0.05808293635387692,0.009393671156852242,0.0006370086921163606,0.045953121322886106,0.4119459603430077
3.35,0.05766655080527032,0.008825827601272795,0.000582300543378394,0.0442155122239698,0.3994424312436618
3.4000000000000004,0.05724817495832113,0.008314314064305542,0.0005333536960555887,0.04254041554756487,0.3874341787227537
3.45,0.05682793866445094,0.007854548810323096,0.0004896194657385363,0.0409261268055344,0.37590097471423156
3.5,0.05640597047252962,0.007442244759789122,0.00045059739992284675,0.03937092405944913,0.36482316962117795
3.5500000000000003,0.05598239757494606,0.007073396954763875,0.0004158313819578851,0.03787307674832771,0.3541817123133019
3.6,0.055557345755910044,0.006744269790583033,0.0003849059957894899,0.0364308534994871,0.3439581640814877
3.6500000000000004,0.055130939341983064,0.006451384150895097,0.00035744314518061296,0.03504252900376016,0.3341347072986785
3.7,0.05470330115483486,0.006191504563012995,0.00033309891843353234,0.0337063900328363,0.3246941494695806
3.75,0.05427455246622064,0.005961626472305754,0.0003115606878133803,0.03242074067262152,0.31561992328840865
3.8000000000000003,0.053844812955172586,0.00575896371802024,0.000292544431701998,0.031183906842430734,0.306896083264374
3.85,0.05341420066739748,0.0055809362783639975,0.0002757922668457642,0.029994240165619503,0.2985072994189315
3.9000000000000004,0.05298283197687027,0.005425158339776072,0.0002610701777824242,0.028850121253022432,0.29043884850699214
3.95,0.05255082154961183,0.005289426733938786,0.0002481659305451473,0.02774996245635885,0.2826766031663446
4.0,0.052118282309636804,0.00517170977611501,0.00023688715797149447,0.02669221014464395,0.2752070193553103
4.05,0.05168532540705579,0.0050701365297110305,0.00022705960433087343,0.02567534655264854,0.2680171223980866
4.1000000000000005,0.051252060188313874,0.004982986514446392,0.00021852551747925122,0.024697891246609597,0.2610944919201366
4.15,0.050818594168545596,0.004908679869046662,0.00021114217731757945,0.023758402248730534,0.25442724592220284
4.2,0.05038503300602426,0.00484576797385624,0.0002047805499419829,0.02285547685853607,0.2480040242108614
4.25,0.0499514804786818,0.004792924534096259,0.00019932405750736686,0.021987752205872436,0.24181397137580546
4.3,0.04951803846267316,0.004748937120574165,0.00019466745446506978,0.021153905567269978,0.23584671947904465
4.3500000000000005,0.04908480691295734,0.004712699161400878,0.0001907158014671509,0.02035265447451452,0.23009237059873786
4.4,0.048651883845865586,0.004683202375609423,0.00018738352884578805,0.019582756641601164,0.22454147935024857
4.45,0.04821936532362489,0.004659529637423521,0.00018459358216965554,0.01884300973376494,0.21918503548902576
4.5,0.047787345440804006,0.004640848258230256,0.00018227664294570076,0.018132250999990565,0.21401444668390332
4.55,0.04735591631264682,0.004626403672008329,0.00018037041807167654,0.017449356788289086,0.20902152153518816
4.6000000000000005,0.0469251680652568,0.0046155135089992454,0.00017881899215060266,0.016793241961084983,0.2041984528993232
4.65,0.04649518882759465,0.00460756204173528,0.00017757223725243176,0.016162859226273335,0.19953780157080472
4.7,0.046066064725249774,0.004601994987112537,0.0001765852751507054,0.015557198397873149,0.19503248036226492
4.75,0.04563787987594524,0.004598314647982132,0.00017581798747354387,0.014975285598711438,0.19067573861507045
4.800000000000001,0.04521071638673429,0.004596075377693779,0.0001752345695899249,0.014416182416211964,0.18646114716530776
4.8500000000000005,0.04478465435284577,0.004594879351134526,0.0001748031244051418,0.013878985021125227,0.18238258378352223
4.9,0.04435977185813447,0.0045943726260350235,0.0001744952925650201,0.013362823257911756,0.17843421910093957
4.95,0.04393614497709197,0.004594241478643946,0.00017428591586845049,0.012866859714471992,0.1746105030300407
5.0,0.04351384777837226,0.004594208998278332,0.0001741527309636375,0.012390288777993213,0.17090615168318773
5.050000000000001,0.043092952329786126,0.004594031925726581,0.0001740760906567566,0.011932335682850766,0.16731613478944352
5.1000000000000005,0.042673528704717675,0.0045934977209969976,0.0001740387103940142,0.011492255555749191,0.16383566360671253
5.15,0.04225564498991545,0.004592421846455455,0.0001740254376909346,0.011069332462611806,0.16046017932379453
5.2,0.0418393672946109,0.004590645251970232,0.00017402304247750896,0.010662878461119322,0.15718534194483322
5.25,0.041424759760916106,0.004588032049271311,0.0001740200265060245,0.010272232662251904,0.1540070196468983
5.300000000000001,0.04101188457545267,0.004584467363327662,0.0001740064501312544,0.009896760303700429,0.15092127860002574
5.3500000000000005,0.04060080198216364,0.00457985534914296,0.00017397377492146853,0.009535851837575693,0.14792437323791027
5.4,0.04019157029626009,0.004574117362962453,0.0001739147206945704,0.009188922034454303,0.14501273696656006
5.45,0.039784245919254314,0.004567190277467062,0.00017382313569765388,0.008855409105453108,0.14218297329755672
5.5,0.0393788833550315,0.004559024931101671,0.00017369387876140107,0.008534773843715395,0.1394318473920815
5.550000000000001,0.03897553522691205,0.00454958470224025,0.00017352271236393085,0.008226498786418927,0.136756278001546
5.6000000000000005,0.03857425229565705,0.004538844199428824,0.00017330620563281234,0.0079300873981742,0.13415332979048258
5.65,0.03817508347836962,0.004526788059466645,0.00017304164639975832,0.007645063276468182,0.13162020602728114
5.7,0.03777807586824545,0.00451340984558517,0.00017272696150073743,0.007370969379621653,0.12915424162839265
5.75,0.03738327475512623,0.004498711038462807,0.00017236064458554925,0.007107367277564018,0.12675289654173327
5.800000000000001,0.036990723646810254,0.004482700113270291,0.00017194169076590208,0.006853836425586271,0.12441374945521053
5.8500000000000005,0.03660046429107503,0.004465391696377024,0.00017146953749027575,0.006609973461108271,0.12213449181653428
5.9,0.03621253669836746,0.004446805795762516,0.0001709440110878479,0.00637539152338855,0.11991292215076693
5.95,0.035826979165117866,0.0044269670995696914,0.0001703652784729788,0.0061497195960122965,0.11774694066239484
6.0,0.035443828297634816,0.004405904337608409,0.00016973380354660944,0.0059326018719135535,0.11563454410906099
6.050000000000001,0.035063119036538484,0.004383649700968724,0.00016905030787181817,0.005723697140620344,0.11357382093448011
6.1000000000000005,0.03468488468169129,0.00436023831523473,0.0001683157352380564,0.0055226781973546175,0.11156294664845585
6.15,0.03430915691758513,0.004335707763101841,0.00016753121976256468,0.005329231273571497,0.10960017944232807
6.2,0.03393596583914572,0.0043100976524939605,0.0001666980572084506,0.005143055488483482,0.10768385602859715
6.25,0.03356533997791526,0.004283449226552689,0.00016581767922715758,0.004963862321083572,0.10581238769389165
6.300000000000001,0.033197306328575746,0.004255805012129481,0.00016489163025880987,0.004791375102156429,0.10398425655486664
6.3500000000000005,0.03283189037577603,0.004227208503654141,0.0001639215468474091,0.004625328525747404,0.1021980120070396
6.4,0.032469116121227,0.004197703879480051,0.0001629091391492787,0.004465468179545154,0.10045226735698358
6.45,0.03210900611102995,0.004167335748018879,0.0001618561744326934,0.004311550093623902,0.09874569662870646
6.5,0.03175158146320451,0.004136148921175889,0.00016076446238445408,0.004163340306985516,0.0970770315354428
6.550000000000001,0.0313968618953833,0.004104188212782233,0.00015963584205542887,0.004020614451339187,0.09544505860847705
6.6000000000000005,0.031044865752641707,0.0040714982598933774,0.0001584721702919172,0.0038831573515569298,0.09384861647499558
6.65,0.030695610035432055,0.004038123364983881,0.00015727531151323008,0.0037507626422460644,0.09228659327733472
6.7,0.03034911042759266,0.004004107357218737,0.0001560471287082325,0.0036232323998850505,0.09075792422634957
6.75,0.030005381324403155,0.0039694934711211275,0.00015478947553486733,0.0035003767899759,0.0892615892819737
6.800000000000001,0.02966443586065861,0.003934324241086283,0.00015350418941696836,0.0033820137286749486,0.08779661095437341
6.8500000000000005,0.02932628593873603,0.003898641410311857,0.00015219308554206143,0.0032679685583735392,0.08636205221942113
6.9,0.028990942256627718,0.003862485852827328,0.00015085795167242398,0.0031580737367109786,0.08495701454252082
6.95,0.028658414335917246,0.003825897507409077,0.00014950054368949916,0.0030521685385139124,0.08358063600511512
7.0,0.028328710549674584,0.0037889153222643236,0.00014812258179890264,0.002950098770168597,0.08223208952848719
7.050000000000001,0.028001838150248103,0.0037515772094566923,0.00014672574732978237,0.0028517164959455236,0.08091058118974229
7.1000000000000005,0.027677803296932115,0.0037139200081291717,0.00014531168006824455,0.0027568797758091928,0.07961534862511421
7.15,0.027356611083489538,0.003675979455657117,0.00014388197606999366,0.0026654524142594184,0.0783456595159898
7.2,0.027038265565510432,0.0036377901659351286,0.00014243818590229767,0.002577303719764416,0.07710081015328221
7.25,0.026722769787587933,0.0035993856140675083,0.00014098181326991857,0.0024923082743597497,0.07588012407600922
7.300000000000001,0.02641012581029413,0.0035607981267929004,0.00013951431398378407,0.00241034571300116,0.07468295078014858
7.3500000000000005,0.02610033473693941,0.0035220588780300603,0.00013803709523495234,0.0023313005122731372,0.07350866449404767
7.4,0.025793396740099596,0.00348319788898369,0.00013655151513986653,0.0022550617880688234,0.07235666301685924
7.45,0.0254893110878962,0.003444244032297366,0.00013505888252604315,0.0021815231018704412,0.07122636661666187
7.5,0.025188076170015974,0.003405225039784904,0.0001335604569302078,0.0021105822752727904,0.07011721698509892
7.550000000000001,0.02488968952345668,0.0033661675133124327,0.00013205744878351267,0.002042141212405507,0.0690286762455383
7.6000000000000005,0.024594147857987067,0.0033270969384411857,0.0001305510197608611,0.001976105729922665,0.06796022601191422
7.65,0.024301447081309532,0.0032880377004757665,0.0001290422832735446,0.0019123853942408606,0.06691136649556285
7.7,0.02401158232391511,0.0032490131025947086,0.0001275323050863893,0.001850893365719247,0.06588161565750789
7.75,0.023724547963620883,0.0032100453857696093,0.0001260221040424218,0.0017915462494869023,0.06487050840378725
7.800000000000001,0.023440337649780832,0.0031711557502062736,0.0001245126528797201,0.001734263952634575,0.06387759582154111
7.8500000000000005,0.023158944327161864,0.003132364378066254,0.00012300487912662373,0.0016789695474991352,0.06290244445370428
7.9,0.02288036025947733,0.003093690457250108,0.00012149966606285146,0.0016255891407799916,0.06194463561026053
7.95,0.02260457705257124,0.0030551522060447873,0.00011999785373532904,0.0015740517482373654,0.061003764714126905
8.0,0.022331585677246843,0.0030167668984568984,0.00011850024001866875,0.0015242891747325328,0.06007944067984002
8.05,0.022061376491733998,0.002978550890071341,0.00011700758171128301,0.0014762358993800706,0.059171285323313665
