Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(2),J_total_Kr
0.0,0.02409982696791716,0.08810486397317425,0.22632332448911469,0.044457731650267465,0.137115189000435,0.10066514026893854,0.7154396821044693,0.5054165184354898,0.04819965393583432,0.1762097279463485,0.2667463899016048,0.45264664897822937,0.8226911340026101,1.4308793642089386,1.0066514026893854,3.032499110612939,7.23652343227589
0.05,0.024099679124887086,0.08809791447843832,0.22618975985574452,0.04445773152430814,0.1371151575041293,0.10066514025711547,0.7114505752863025,0.5053942911979024,0.04819935824977417,0.17619582895687663,0.2667463891458488,0.45237951971148904,0.8226909450247759,1.422901150572605,1.0066514025711546,3.032365747187414,7.228130341419938
0.1,0.02409923560308023,0.08807706870635243,0.22578961214935964,0.0444577303907245,0.13711487456663454,0.10066513986845334,0.6996312282067108,0.5051991020406251,0.04819847120616046,0.17615413741270486,0.266746382344347,0.4515792242987193,0.8226892473998073,1.3992624564134215,1.0066513986845333,3.031194612243751,7.202475930003445
0.15000000000000002,0.024098496424399887,0.08804233487035192,0.2251245141143553,0.04445772598268124,0.13711377747215447,0.10066513664882933,0.680415469644334,0.504468536954188,0.048196992848799775,0.17608466974070383,0.2667463558960874,0.4502490282287106,0.8226826648329268,1.360830939288668,1.0066513664882932,3.0268112217251284,7.158253239049318
0.2,0.02409746162552072,0.08799372690829318,0.22419716778591678,0.04445771452319384,0.13711093705302319,0.10066512193651155,0.6544937860126542,0.5026704885300736,0.04819492325104144,0.17598745381658637,0.26674628713916304,0.44839433557183356,0.8226656223181391,1.3089875720253084,1.0066512193651154,3.0160229311804416,7.093650344667629
0.25,0.024096131258115678,0.08793126482833312,0.22301131653105305,0.04445769072718933,0.1371050704748286,0.10066507426928674,0.6227680819674449,0.49919460372194213,0.048192262516231356,0.17586252965666624,0.266746144363136,0.4460226330621061,0.8226304228489716,1.2455361639348899,1.0066507426928675,2.995167622331653,7.006808521406521
0.30000000000000004,0.024094505389123878,0.087854975142085,0.2215717075103774,0.04445764780520597,0.13709455865594833,0.10066495066598304,0.5862949942189932,0.4934522019570597,0.048189010778247755,0.17570995028417,0.2667458868312358,0.4431434150207548,0.82256735193569,1.1725899884379865,1.0066495066598304,2.960713211742358,6.896308321690274
0.35000000000000003,0.024092584101018177,0.08776489134170376,0.21988404596060696,0.04445757746937135,0.13707746789677794,0.1006646762550332,0.5462232222213836,0.4849659120857952,0.04818516820203635,0.17552978268340752,0.26674546481622813,0.4397680919212139,0.8224648073806676,1.0924464444427673,1.006646762550332,2.909795472514771,6.761581994511424
0.4,0.024090367492030064,0.08766105437483936,0.21795494284203187,0.04445746994227693,0.13705157523754322,0.10066413280577378,0.5037304709889827,0.47343463863402163,0.04818073498406013,0.1753221087496787,0.2667448196536616,0.43590988568406375,0.8223094514252594,1.0074609419779654,1.0066413280577378,2.84060783180413,6.603177102336557
0.45,0.024087855676293766,0.08754351307383004,0.2157918574031458,0.04445731396925683,0.13701439703678672,0.10066314676808662,0.45996505013620426,0.4587664101801161,0.04817571135258753,0.17508702614766009,0.266743883815541,0.4315837148062916,0.8220863822207203,0.9199301002724085,1.006631467680866,2.7525984610806966,6.422836747376772
