Q,J_1s,J_2s,J_2p,J_total
0.0,0.15207638843849963,13.573024492360354,0.47975319370905706,28.40970814901582
0.05,0.1205050064594768,9.438722331325652,0.4797057118420822,20.077866099254422
0.1,0.09683663535753143,6.361850403153085,0.47949834475524233,13.876370766531718
0.15000000000000002,0.0837100648751842,4.70452135038312,0.47872850610751383,10.533919842731635
0.2,0.07454494808484893,3.5965820788286305,0.4768552110680927,8.295964475963144
0.25,0.0674986341109367,2.792254089699715,0.47328528868660347,6.66607602499451
0.30000000000000004,0.06178126071821518,2.1841910213985036,0.4674853876076678,5.426915339448773
0.35000000000000003,0.056978940663508344,1.71437786733049,0.4590717183477881,4.460857052683573
0.4,0.052846962880592055,1.3470289082457587,0.4478626381136519,3.6954770184800054
0.45,0.049228330700462286,1.0579996111584262,0.4338907228823115,3.0822373294824
0.5,0.04601616753318607,0.8299552550511481,0.41738061211873206,2.5867040694061325
0.55,0.043134352582214784,0.6499096697949761,0.39870438837023225,2.1834968214948463
0.6000000000000001,0.040526701289829326,0.5078564798519679,0.3783273435077939,1.853421049299182
0.65,0.038150527168419844,0.3959471195662063,0.35675487617031515,1.5817050458098825
0.7000000000000001,0.03597261296712855,0.3079610279491258,0.334487634968454,1.3568425517694167
0.75,0.03396658331494177,0.23894145363603952,0.31198830028576696,1.1697926744734966
0.8,0.03211113116991372,0.1849308776447954,0.2896604451506404,1.013404907930699
0.8500000000000001,0.030388785006299754,0.14277025640208707,0.26783803249282667,0.881994147802427
0.9,0.02878502998631634,0.10994188273424801,0.2467832095348271,0.771020244510783
0.9500000000000001,0.027287667582278897,0.08444391425118287,0.22668988845878008,0.6768429405844837
1.0,0.025886339885798155,0.06468906851607611,0.20769086583912752,0.5965325484820035
1.05,0.024572170192219772,0.04942243699137861,0.189866693807506,0.5277226019822088
1.1,0.02333748730265383,0.03765476857567161,0.17325501312930444,0.46849453801525975
1.1500000000000001,0.02217561116690227,0.02860841723487039,0.15785950288434397,0.41728706257223325
1.2000000000000002,0.02108068418477098,0.02167369938050776,0.1436579558169823,0.3728246787645221
1.25,0.020047536979292173,0.01637380141181213,0.13060924738840154,0.3340611715590117
1.3,0.0190715805336726,0.012336685025952076,0.11865914142491853,0.3001348139690864
1.35,0.018148718728577796,0.009272691189936566,0.10774498352926641,0.27033278689556156
1.4000000000000001,0.017275276834848318,0.006956759078637074,0.09779939295154269,0.24406285773005615
1.4500000000000002,0.01644794260772787,0.005214361463760474,0.08875308979034068,0.22083078772365805
1.5,0.015663717423209867,0.0039104170105816695,0.08053699924575224,0.20022226735908755
1.55,0.014919875483025624,0.0029405753791868126,0.07308376694899499,0.18188843562241486
1.6,0.014213929551916592,0.0022243852478728197,0.06632880518501319,0.1655342399696052
1.6500000000000001,0.013543602020472036,0.0016999506668117122,0.06021097303160511,0.15090905143777772
1.7000000000000002,0.01290680033790081,0.0013197598233492098,0.05467297646033875,0.13779907324317753
1.75,0.012301596052150194,0.001047434635516127,0.04966155862700247,0.1260211786293376
1.8,0.011726206844499449,0.0008552017530746725,0.04512753657707606,0.11541789034930036
1.85,0.011178981062812813,0.000721927523300522,0.04102572862677646,0.10585327442577959
