Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(1),J_total_scandium
0.0,0.04184037013651619,0.07246464304030796,0.5998636170716296,0.0846704055608697,0.30380993706803755,0.31004424969273975,1.8262576910764423,0.08368074027303238,0.14492928608061592,0.5080224333652182,1.1997272341432592,1.8228596224082252,3.6525153821528846,0.31004424969273975,7.7217789481159755
0.05,0.04183958903081246,0.07245310106759187,0.5985164484185743,0.0846704022423152,0.303808162033448,0.31004419434255864,1.7670548508833346,0.08367917806162492,0.14490620213518374,0.5080224134538912,1.1970328968371486,1.822848972200688,3.534109701766669,0.31004419434255864,7.600643558797763
0.1,0.041837245511198135,0.07241847153956743,0.5944960754094213,0.08467037240564884,0.3037923403625522,0.31004244121326746,1.6017217593994804,0.08367449102239627,0.14483694307913486,0.508022234433893,1.1889921508188426,1.8227540421753132,3.2034435187989607,0.31004244121326746,7.261765821541809
0.15000000000000002,0.041833339089387446,0.07236074872621753,0.5878648708838408,0.08467025655817939,0.30373173377563933,0.31002871899195217,1.3626081193722013,0.08366667817877489,0.14472149745243507,0.5080215393490763,1.1757297417676815,1.822390402653836,2.7252162387444026,0.31002871899195217,6.769774817138159
0.2,0.04182786929386919,0.0722799376513832,0.5787236340003257,0.08466995604061872,0.30357754093444783,0.3099706537255573,1.0911152804140947,0.08365573858773838,0.1445598753027664,0.5080197362437123,1.1574472680006513,1.8214652456066869,2.1822305608281893,0.3099706537255573,6.207349078295302
0.25,0.04182083602187591,0.07217606886081637,0.5672076331726779,0.08466933375031901,0.30326628801219113,0.3098000305661388,0.8256138297513399,0.08364167204375182,0.14435213772163275,0.508016002501914,1.1344152663453557,1.8195977280731468,1.6512276595026798,0.3098000305661388,5.651050496754619
0.30000000000000004,0.041812239800378515,0.0720492089600041,0.5534821907639124,0.08466821511789237,0.3027241081644098,0.3094066825744717,0.5932363951238054,0.08362447960075703,0.1440984179200082,0.5080092907073542,1.1069643815278247,1.8163446489864588,1.1864727902476109,0.3094066825744717,5.154920691564485
0.35000000000000003,0.04180208187513263,0.07189946347514728,0.5377382406250113,0.08466638930802618,0.30187152481549423,0.3086443516178493,0.40740680763601944,0.08360416375026526,0.14379892695029456,0.5079983358481571,1.0754764812500226,1.8112291488929655,0.8148136152720389,0.3086443516178493,4.745565023581594
0.4,0.04179036412976303,0.07172697229382159,0.5201879483880909,0.0846636106148588,0.3006283416572057,0.3073476039906742,0.2699371511986748,0.08358072825952606,0.14345394458764318,0.5079816636891528,1.0403758967761818,1.803770049943234,0.5398743023973496,0.3073476039906742,4.426384189643763
0.45,0.041777088898623985,0.0715319006610283,0.5010602599884699,0.08465960002526726,0.29891827566562484,0.30535472617903064,0.17520418362989634,0.08355417779724797,0.1430638013220566,0.5079576001516035,1.0021205199769398,1.7935096539937492,0.3504083672597927,0.30535472617903064,4.185968846680421
