p,I_1s,I_2s,I_2p
0.0,0.0,0.0,0.0
0.05,0.00015648115167942898,0.020673911261617262,9.496187359365714e-05
0.1,0.0006252099721844924,0.08078701665382461,0.0014689802325705376
0.15000000000000002,0.0014040487491389893,0.17487434172132552,0.007034409386543373
0.2,0.0024894554431941778,0.29464554189152004,0.020592902428993063
0.25,0.0038765154067040607,0.4300448309756548,0.045655850310213755
0.30000000000000004,0.0055589863919927275,0.5704467593523475,0.0844076784343002
0.35000000000000003,0.007529356707420887,0.7057903528826036,0.137102037832565
0.4,0.009778915632489709,0.8274924237654847,0.20199458571558349
0.45,0.012297834374735861,0.9290455832223998,0.2757335880331393
0.5,0.015075255167331448,1.0062772640757185,0.354018295936677
0.55,0.01809938573619173,1.0573055617402125,0.43231387659903536
0.6000000000000001,0.021357596374045933,1.0822658991445306,0.506458690222262
0.65,0.024836517205261473,1.0828974039326382,0.5730760037076703
0.7000000000000001,0.02852213379477296,1.0620734740447435,0.6297739067255952
0.75,0.03239987990636075,1.023344276675114,0.6751658223591392
0.8,0.0364547268241079,0.970537037869076,0.7087662254084104
0.8500000000000001,0.040671269130944536,0.9074385390435026,0.7308178137334062
0.9,0.04503380715192596,0.8375666480070886,0.7420961633789158
0.9500000000000001,0.04952642641990346,0.7640253479806335,0.7437234604445145
1.0,0.05413307453689028,0.689430493644353,0.7370091809167291
1.05,0.05883763572721238,0.6158904966774597,0.7233249201825451
1.1,0.06362400325052428,0.5450261033749817,0.7040134699616236
1.1500000000000001,0.06847614969929659,0.4780152000083712,0.6803282349999261
1.2000000000000002,0.07337819507189285,0.4156512192849863,0.6533973530611841
1.25,0.07831447240422922,0.35840655421337314,0.6242066143055128
1.3,0.08326959066718237,0.3064950029026866,0.5935958192476821
1.35,0.08822849459410843,0.25992946202613487,0.5622641155383418
1.4000000000000001,0.09317652108989888,0.2185727923022657,0.5307808328047456
1.4500000000000002,0.09809945188473218,0.1821810177219395,0.49959923964823927
1.5,0.10298356212625114,0.1504388575879646,0.46907141022510357
1.55,0.10781566464769236,0.12298810917187182,0.43946299286455814
1.6,0.11258314970160738,0.09944968016257125,0.4109671300445574
1.6500000000000001,0.11727402000522645,0.07944018505550562,0.38371710976313594
1.7000000000000002,0.12187692100110671,0.06258402543162918,0.3577975580604811
1.75,0.12638116629315446,0.04852181403950933,0.33325413490443595
1.8,0.130776758271791,0.036915907768037874,0.31010179118938497
1.85,0.13505440399181662,0.027453706022262336,0.28833169961288674
1.9000000000000001,0.13920552641173545,0.019849262074094785,0.2679169993415683
1.9500000000000002,0.1432222711435226,0.013843653475649127,0.2488175030933718
2.0,0.14709750889688308,0.009204467574284732,0.2309835123741113
2.0500000000000003,0.15082483383193188,0.005724681011772527,0.21435887691249875
2.1,0.15439855805902938,0.003221147728315827,0.19888342111519391
2.15,0.15781370254439683,0.0015328574523906606,0.18449484577233635
2.2,0.1610659846953561,0.0005190845436973141,0.17113019864853812
2.25,0.1641518029098625,5.751383846830999e-05,0.15872699380390878
2.3000000000000003,0.1670682183817322,4.2404330489315326e-05,0.14722404693762295
2.35,0.16981293445594084,0.00038283174370004684,0.1365620829186815
2.4000000000000004,0.1723842738279304,0.0010010361206870065,0.1266841619941164
2.45,0.17478115387734777,0.0018308894546505503,0.11753596287973078
2.5,0.1770030604204204,0.002816490292756717,0.10906595392704399
2.5500000000000003,0.1790500201565856,0.003910886454464529,0.10122547768367751
2.6,0.18092257207437645,0.0050749229928144695,0.0939687692784736
2.6500000000000004,0.18262173806927098,0.00627620984679426,0.08725292502759642
2.7,0.1841489930125274,0.007488201949439982,0.08103783434489212
2.75,0.1855062344952759,0.008689383605885255,0.07528608533358937
2.8000000000000003,0.18669575245658582,0.009862548535483713,0.06996285223610002
2.85,0.18772019888813304,0.010994166927835135,0.06503577113733797
2.9000000000000004,0.1885825577916997,0.012073831077195825,0.06047480888075557
2.95,0.18928611554924835,0.013093771545851444,0.05625212900302727
3.0,0.18983443184892734,0.01404843629976418,0.0523419575710728
3.0500000000000003,0.1902313112942371,0.014934125811764938,0.048720451070841525
3.1,0.19048077580787373,0.015748677704612028,0.045365567915432385
3.1500000000000004,0.19058703792657564,0.016491195084297174,0.042256944681503414
3.2,0.19055447506874335,0.01716181327652163,0.039375777823634876
3.25,0.19038760484276168,0.017761500215400332,0.0367047113368485
3.3000000000000003,0.19009106145087484,0.01829188623645106,0.03422773062199786
3.35,0.1896695732312281,0.018755119492096683,0.03193006264435099
3.4000000000000004,0.1891279413692854,0.019153743635741186,0.029798082351968364
3.45,0.18847101979931685,0.01949059481000462,0.02781922522901203
3.5,0.18770369630699968,0.019768715326996675,0.025981905793116045
3.5500000000000003,0.18683087483540203,0.019991281745353133,0.024275441799939724
3.6,0.18585745898870976,0.020161545332349828,0.02268998388762557
3.6500000000000004,0.18478833672097353,0.02028278315218569,0.021216450375581095
3.7,0.18362836619088746,0.020358258246014855,0.01984646692298632
3.75,0.18238236275811878,0.02039118756802923,0.01857231075046198
3.8000000000000003,0.18105508709195395,0.02038471651730059,0.017386859131639232
3.85,0.17965123435897132,0.020341899059514272,0.01628354186854192
3.9000000000000004,0.17817542445305054,0.020265682568352768,0.015256297474623292
3.95,0.17663219322824053,0.02015889663514676,0.01429953280111908
4.0,0.1750259846927838,0.020024245199362533,0.013408085855414205
4.05,0.17336114412089573,0.01986430144323616,0.012577191573847442
4.1000000000000005,0.17164191203767024,0.019681504972932976,0.011802450325400868
4.15,0.16987241903169611,0.019478160877387386,0.011079798936732837
4.2,0.16805668134955867,0.01925644031570429,0.010405484042794217
4.25,0.166198597226361,0.01901838233578399,0.009776037580653592
4.3,0.1643019439066445,0.01876589667165482,0.009188254257031885
4.3500000000000005,0.16237037531063273,0.018500767305731875,0.008639170832335306
4.4,0.16040742030148208,0.0182246566156406,0.008126047075629347
