Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_C
0.0,0.15320023457489682,0.8047656271303917,0.47971565843028324,2.8753630402711434
0.05,0.15316111428697696,0.7995971493149874,0.4796919179618848,2.864900363127698
0.1,0.15304384275253405,0.784330294417855,0.4794845549644151,2.833717384269608
0.15000000000000002,0.15284868744358274,0.7596590555260164,0.47871473165313183,2.7824449492454617
0.2,0.15257609241595485,0.7266708473476859,0.4768414744691078,2.712176828465497
0.25,0.15222667568042,0.6867532594306832,0.47327162555178504,2.624503121325777
0.30000000000000004,0.1518012254770851,0.6414824029088859,0.4674718464348452,2.521510949641632
0.35000000000000003,0.1513006954473918,0.5925069896186356,0.45905835848225296,2.4057320870965606
0.4,0.1507261987371829,0.5414410530587284,0.44784952632747793,2.2800335562467784
0.45,0.15007900111325828,0.48977509305987915,0.4338779291896121,2.1474640467254993
0.5,0.14936051322366567,0.4388113397018084,0.4173682054569413,2.0110801167648304
0.55,0.14857228216865984,0.3896247362421833,0.3986924326812736,1.8737789021842333
0.6000000000000001,0.147715982568378,0.34304785815227345,0.37831589459105897,1.738159470623421
0.65,0.1467934073130483,0.2996757018444681,0.3567439794991015,1.606426177313236
0.7000000000000001,0.1458064581644141,0.25988515401804146,0.33447732450000794,1.480337873364927
0.75,0.14475713634821094,0.2238638183226573,0.31197859817392243,1.3611991056895814
0.8,0.14364753324314491,0.19164343916136772,0.28965136219593035,1.249884669200886
0.8500000000000001,0.14247982123753375,0.1631341135469648,0.2678295691337268,1.1468870078364506
0.9,0.14125624479477253,0.1381565590380567,0.24677535718548915,1.0523763220366367
0.9500000000000001,0.13997911174547073,0.11647072382183879,0.22668263102159975,0.9662649331778185
1.0,0.13865078480823456,0.09779987754627607,0.20768418125429178,0.8882696872176048
1.05,0.13727367333215185,0.08184996665337094,0.18986055553827855,0.8179683910476027
1.1,0.1358502252508425,0.06832445848357724,0.1732493915159787,0.7548481505007969
1.1500000000000001,0.13438291923891238,0.05693516264473891,0.15785436632866856,0.6983448964246397
1.2000000000000002,0.13287425706525446,0.047409645052458295,0.14365327178138346,0.6478743477981924
1.25,0.13132675614254663,0.03949587930943932,0.1306049832106077,0.6028552373251873
1.3,0.12974294227747374,0.03296474643170283,0.11865526495940178,0.5627259073371567
1.35,0.12812534263094214,0.027610924818080303,0.10774146363330336,0.5269554621646516
1.4000000000000001,0.1264764789014242,0.023252627751647447,0.09779619983674195,0.49505061297962716
1.4500000000000002,0.12479886074736643,0.019730558948390053,0.08875019526116057,0.4665592299138341
1.5,0.12309497946627355,0.016906375786979386,0.08053437684565048,0.44107146419780685
1.55,0.12136730194870782,0.014660879050317273,0.07308139203303893,0.418219146064128
1.6,0.11961826492515036,0.012892088833951444,0.0663266549354968,0.3976740173891972
1.6500000000000001,0.1178502695226124,0.011513318623927524,0.06020902643078782,0.3791452291546555
1.7000000000000002,0.11606567614622777,0.010451322382588184,0.0546712142320484,0.3623764255217287
1.75,0.11426679969895762,0.009644561339006184,0.04965996315665605,0.3471426483892397
1.8,0.11245590515013494,0.009041616482398313,0.04512609181772982,0.33324722690052616
1.85,0.11063520346099048,0.008599757998123004,0.04102441999714589,0.32051876291251874
1.9000000000000001,0.10880684787263287,0.008283672733971603,0.03731362099982588,0.3088082832128607
1.9500000000000002,0.10697293055928746,0.00806434411505049,0.03395602516786412,0.2979865996844041
2.0,0.1051354796469927,0.007918074824277562,0.03091739422133765,0.2879418973852158
2.0500000000000003,0.10329645659546076,0.007825640310403083,0.028166680946362252,0.2785775557044522
2.1,0.1014577539384687,0.007771560220485053,0.025675784736134633,0.2698101977901768
2.15,0.09962119337598214,0.007743474760169717,0.023419310396379456,0.26156795706506264
2.2,0.0977885242092467,0.007731613454238933,0.021374335270075276,0.25378894586712186
2.25,0.09596142210832184,0.007728344588915829,0.019520187963691923,0.2464199093218592
2.3000000000000003,0.09414148819998468,0.007727794609273128,0.01783824064156959,0.2394150469016548
2.35,0.09233024846259862,0.0077255278118930175,0.01631171589361312,0.2327349843362095
2.4000000000000004,0.09052915341341887,0.007718277743035538,0.014925508491815663,0.22634587929654013
2.45,0.08873957807289153,0.007703722740512484,0.013666021868097686,0.2202186453630034
2.5,0.08696282218978256,0.0076802990163208915,0.012521018818463844,0.2143282800491346
2.5500000000000003,0.08520011071044228,0.007647045552825419,0.011479485726849807,0.20865328398023503
2.6,0.08345259447515424,0.007603475872559045,0.010531509475647568,0.20317515964672173
2.6500000000000004,0.08172135112432477,0.007549472440896085,0.009668166145350564,0.19787797942114282
2.7,0.08000738619722794,0.007485200075850033,0.00888142058527287,0.1927480137167017
2.75,0.07831163440611398,0.007411035276023686,0.008164035947479699,0.18777341125923475
2.8000000000000003,0.0766349610687075,0.007327508843281707,0.007509492306922349,0.18294392443782312
2.85,0.07497816368244804,0.007235259578363056,0.006911913534902565,0.17825067359142732
2.9000000000000004,0.0733419736242479,0.007134997172645073,0.006366001644992651,0.17368594488377123
2.95,0.07172705796004811,0.007027472714490929,0.0058669778865078365,0.16924301712209375
3.0,0.07013402134902823,0.006913455480420508,0.005410529917801981,0.16491601349450144
3.0500000000000003,0.06856340802796,0.006793714895516716,0.004992764448123978,0.16069977474320138
3.1,0.06701570386187573,0.006669006729182055,0.004610164791247092,0.15658975076460976
3.1500000000000004,0.06549133844793924,0.006540062746167655,0.00425955282575007,0.15258190803971391
3.2,0.06399068726015206,0.00640758316272173,0.003938054905207833,0.14867265065616325
3.25,0.06251407382328877,0.006272231367243393,0.0036430713064040735,0.14485875299387246
3.3000000000000003,0.06106177190522762,0.006134630457011124,0.0033722488449435904,0.14113730241436467
3.35,0.059634007717616275,0.005995361219996165,0.0031234563253709417,0.13750565052596675
3.4000000000000004,0.058230962115582374,0.005854961255715148,0.0028947625272257613,0.13396137179704656
3.45,0.05685277278795907,0.00571392498344605,0.0026844164595649224,0.1305022284619401
3.5,0.05549953643023986,0.005572704331569079,0.002490829644567208,0.12712614081275228
3.5500000000000003,0.05417131089320388,0.005431709939698279,0.0023125602161312405,0.1238311620980668
3.6,0.05286811730085513,0.0052913127368294285,0.002148298642108497,0.12061545735958612
3.6500000000000004,0.0515899421319964,0.005151845784954479,0.001996854899203316,0.11747728563230839
3.7,0.05033673926040779,0.005013606299337078,0.0018571469478347957,0.11441498501515933
3.75,0.04910843194921782,0.004876857774630534,0.0017281903705934376,0.11142696018888358
3.8000000000000003,0.04790491479564266,0.004741832160860018,0.0016090890525272943,0.10851167201805995
3.85,0.04672605562282302,0.004608732045499661,0.001499026794532361,0.10566762892571009
3.9000000000000004,0.04557169731600963,0.004477732807887053,0.0013972597627602882,0.10289337977331395
3.95,0.04444165960083624,0.004348984720397549,0.0013031096873390565,0.1001875080171457
4.0,0.04333574076187307,0.004222614977456039,0.0012159577329613968,0.09754862694458101
4.05,0.04225371930007573,0.004098729638852365,0.001135238972151353,0.0949753758221589
4.1000000000000005,0.04119535552813335,0.003977415478164583,0.0010604373993791086,0.09246641681135409
4.15,0.04016039310307731,0.0038587417305632316,0.0009910814307550872,0.09002043252879127
4.2,0.03914856049583851,0.0037427617370210634,0.0009267398398831181,0.08763612414548538
4.25,0.03815957239773883,0.0036295144841134754,0.0008670180856669976,0.0853122099350386
4.3,0.037193131064170715,0.003519026040270518,0.0008115549925143329,0.08304742419391113
4.3500000000000005,0.03624892759596058,0.003411310890620459,0.0007600197475282787,0.08084051646821863
4.4,0.03532664315912788,0.0033063731735206315,0.0007121091829767748,0.07869025103125057
4.45,0.03442595014394244,0.003204207822564723,0.0006675453156294158,0.07659540656427316
4.5,0.0335465132643517,0.003104801618337552,0.0006260731174979557,0.07455477600037441
4.55,0.03268799059899572,0.0030081341545003274,0.0005874584951465545,0.0725671664972852
4.6000000000000005,0.03185003457515439,0.0029141787229663295,0.0005514864570869502,0.07063139951041533
4.65,0.031032292897079112,0.002822903122997187,0.0005179594508725454,0.06874631094189769
4.7,0.030234409420250935,0.0027342703990369814,0.0004866958533813159,0.06691075134533847
4.75,0.029456024973181637,0.0026482395120245527,0.0004575285994548763,0.06512358616932212
4.800000000000001,0.028696778128432816,0.0025647659487991405,0.0004303039355615235,0.06338369602558697
4.8500000000000005,0.02795630592457395,0.0024838022740537938,0.00040488028649394384,0.06168997697024337
4.9,0.02723424454083294,0.0024052986291049887,0.0003811272243145352,0.06004134078850493
4.95,0.02653022992621489,0.0023292031815440495,0.0003589245298382179,0.05843671527519431
5.0,0.025843898384875864,0.002255462529622739,0.0003381613379076461,0.0568750445048125
5.050000000000001,0.02517488711954089,0.0021840220650071935,0.0003187353585809505,0.05535528908625807
5.1000000000000005,0.02452283473474945,0.0021148262973152455,0.00030055216712821,0.05387642639838581
5.15,0.02388738170169822,0.0020478191436353083,0.00028352455642927674,0.05243745080352561
5.2,0.02326817078643138,0.001982944186012915,0.0002675719459908618,0.05103737383687031
5.25,0.02266484744310287,0.0019201448996853786,0.00025261984236242573,0.04967522437030135
5.300000000000001,0.022077060174004813,0.0018593648546473324,0.00023859934623516823,0.048350048749774624
5.3500000000000005,0.021504460858021573,0.0018005478929409501,0.0002254467019622329,0.04706091090584951
5.4,0.020946705049130238,0.0017436382838850045,0.00021310288564647684,0.045806892437323436
5.45,0.020403452246527384,0.0016885808592870236,0.00020151322830957088,0.04458709266824795
5.5,0.01987436613791751,0.0016353211305226284,0.00019062707098701367,0.04340062867885431
5.550000000000001,0.019359114817452786,0.001583805389215775,0.00018039744889167546,0.042246635311120474
5.6000000000000005,0.01885737097976607,0.0015339807931128403,0.0001707808020571002,0.04112426514987202
5.65,0.0183688120914902,0.0014857954386120436,0.00016173671011401002,0.0400326884804325
5.7,0.017893120541607153,0.0014391984212873163,0.00015322764907198605,0.03897109322393291
5.75,0.017429983771920163,0.001394139885631944,0.00014521876817553454,0.03793868485145529
5.800000000000001,0.016979094388891686,0.0013505710651418343,0.00013767768508186984,0.03693468627823078
5.8500000000000005,0.016540150258039708,0.001308444313760581,0.0001305742977686704,0.03595833773913792
5.9,0.016112854582034576,0.0012677131296182258,0.00012388061172552414,0.03500889664675665
5.95,0.01569691596358927,0.0012283321719123318,0.00011757058111433208,0.03408563743323186
6.0,0.01529204845418662,0.0011902572717032002,0.00011161996270295387,0.033187851377185544
6.050000000000001,0.014897971589639049,0.0011534454373244253,0.00010600618148411941,0.032314846416895186
6.1000000000000005,0.01451441041342912,0.0011178548550450438,0.0001007082069891984,0.03146594695092672
6.15,0.014141095488732732,0.0010834448855599065,9.570643939482e-05,0.030640493627374917
6.2,0.013777762899982098,0.001050176056830241,9.098260460047174e-05,0.029837843122825624
6.25,0.013424154244781382,0.001018010053746264,8.651965752787529e-05,0.029057367912111044
6.300000000000001,0.013080016616945538,0.0009869097050378688,8.230169295887436e-05,0.028298456029884563
6.3500000000000005,0.012745102581391542,0.0009568389678174965,7.83138632884215e-05,0.02756051082499492
6.4,0.012419170141571225,0.0009277629101010018,7.454230262360177e-05,0.02684295070859166
6.45,0.01210198270009661,0.0008996476916174009,7.097405670901677e-05,0.026145208896846055
6.5,0.011793309013171334,0.0008724605431865099,6.759701820373565e-05,0.02546673314912316
6.550000000000001,0.011492923139406171,0.0008461697449144711,6.439986687584019e-05,0.024806985502392964
6.6000000000000005,0.011200604383562409,0.0008207446034307481,6.137201431772524e-05,0.024165442002621763
6.65,0.010916137235733831,0.0007961554283661459,5.8503552819114506e-05,0.023541592433838184
6.7,0.010639311306446811,0.0007723735082496016,5.578520806553032e-05,0.022934940045523888
6.75,0.01036992125812771,0.0007493710859816728,5.320829535799083e-05,0.022345001278934747
6.800000000000001,0.010107766733358179,0.0007271213340246976,5.076467907526118e-05,0.021771305492916275
6.8500000000000005,0.009852652280311519,0.0007055983294333273,4.844673512328248e-05,0.021213394689736258
6.9,0.00960438727573708,0.0006847770288343997,4.6247316137652074e-05,0.020670823241418262
6.95,0.009362785845835001,0.0006646332434518201,4.4159719224422804e-05,0.02014315761702249
7.0,0.009127666785339819,0.0006451436142600756,4.217765604219111e-05,0.019629976111284173
7.050000000000001,0.00889885347510916,0.0006262855873391715,4.0295225044614176e-05,0.01913086857498589
7.1000000000000005,0.00867617379849252,0.0006080373894939993,3.85068857172701e-05,0.018645436147407577
7.15,0.008459460056734851,0.0005903780041923422,3.680743465627939e-05,0.018173290991166945
7.2,0.008248548883650897,0.0005732871478678303,3.519198334845658e-05,0.017714056029734367
7.25,0.008043281159787955,0.0005567452466270446,3.3655937524057636e-05,0.017267364687878112
