Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Xe_relativistic
0.0,0.014948844356551385,0.05351428471884617,0.026494207418768397,0.02786969604045529,0.12366364020782829,0.07309049395980664,0.07571127704238953,0.050186737697142096,0.0507830238761072,0.2729050454823,0.17528412840827606,0.18191537592715704,0.15002796906276644,0.15192724728442306,0.7666793110815864,0.5739257466031987,0.6157311485896053,9.783041848875568
0.05,0.014948807486230599,0.05351272031779218,0.026494207409290652,0.027869696029049144,0.12364126531633268,0.073090492706174,0.07571127554897783,0.05018673769709923,0.050783023876061074,0.272646235217814,0.17528402265484952,0.1819152482822308,0.1500279689683865,0.1519272471806382,0.7613455647599092,0.5738788587005815,0.6156637195630296,9.771444559833236
0.1,0.014948696876026093,0.05350802741851209,0.02649420732574861,0.02786969592640175,0.123574166387856,0.07309048142829036,0.07571126211438155,0.05018673769568528,0.05078302387453999,0.27187136717237254,0.17528307323899972,0.18191410256323753,0.15002796586987605,0.15192724377390918,0.7455902323316356,0.5734712798790814,0.6150809274556276,9.735087436508579
0.15000000000000002,0.014948512528211392,0.053500206932542475,0.026494207002845556,0.027869695527265956,0.12346242060964517,0.073090437599156,0.07571120990603519,0.050186737683912644,0.05078302386187555,0.2705851136034536,0.1752793954623395,0.18190966576439463,0.15002794025420046,0.15192721561713368,0.7201304213154918,0.5719693039888476,0.6129519084619199,9.669810105350034
0.2,0.014948254446575594,0.053489260378747405,0.02649420616518593,0.027869694489695465,0.12330615645798307,0.07309032375353781,0.07571107430459885,0.05018673762973809,0.05078302380359848,0.268795208560663,0.17526988712649064,0.18189820032890416,0.15002782352848937,0.15192708735581,0.6860953056231137,0.5683523714181771,0.6078871574608385,9.570265365786458
0.25,0.014947922636423203,0.0534751898827734,0.026494204427423722,0.027869692335243175,0.12310555344501672,0.07309008760729939,0.07571079305592698,0.05018673745261199,0.05078302361306483,0.2665123691596572,0.17525028607161663,0.18187457904479187,0.15002744671435186,0.15192667348461156,0.6449360638059705,0.561551227947525,0.5985098449514313,9.4317003667709
0.30000000000000004,0.014947517104573895,0.053457998176286735,0.02649420129447007,0.027869688449238636,0.1228608417653577,0.0730896622238251,0.07571028648295733,0.05018673698813596,0.05078302311344911,0.26375018703373926,0.1752152489378343,0.1818323873738184,0.15002647399754696,0.15192560568566252,0.5983159803905553,0.5506779409280306,0.5837899929926252,9.251533193641306
0.35000000000000003,0.014947037859362224,0.05343768859599357,0.026494196161759926,0.027869682081144456,0.12257230184349016,0.07308896622690442,0.07570945775665754,0.050186735943114784,0.050783021989418024,0.26052499158902903,0.17515844941938818,0.18176405078347432,0.15002432600875443,0.15192324924236858,0.5479933558086763,0.535193351465686,0.563255754514137,9.03029833368043
0.4,0.014946484910637247,0.05341426508244349,0.02649418831557762,0.02786967234499134,0.12224026378331065,0.07308790405926657,0.07570819322492933,0.050186733841366134,0.050783019728883,0.2568556870946962,0.17507269387367128,0.18166098408950587,0.15002009844073613,0.15191861482061567,0.49570939895116917,0.5149844782153854,0.5370511647264045,8.77180792254104
0.45,0.014945858269762104,0.05338773217861707,0.02649417693344108,0.027869658219891506,0.1218651067214074,0.07308636628578401,0.07570636279813674,0.05018672996072597,0.050783015555311485,0.25276356600340594,0.17495005179976447,0.18151375934521388,0.150012481925768,0.1519102722323631,0.44309111508827376,0.4903534234078935,0.5058611544971373,8.48263510709024
