Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(2),J_7s1/2(2),J_total_Hs_relativistic
0.0,0.005509299043193254,0.020614678975424447,0.009590896622318018,0.012651503509713207,0.04570359111836228,0.026254543986462504,0.031078871668128505,0.019791613802964625,0.020760494971785837,0.08789572333930433,0.05468515723248952,0.06339942166929662,0.04602356552754524,0.047797940156672936,0.03574656744579577,0.03640127657514864,0.16722372083330034,0.10874890118548139,0.12746540325077624,0.1022123906409774,0.10674229712088373,0.1062370959203993,0.10922022798576689,0.37633651444763755,0.2557512985848408,0.3211261848835447,0.3809268939580843,0.45245907549988573,1.3687723133679757,13.446473234298026
0.05,0.005509296639159948,0.020614584418035858,0.009590896619305851,0.012651503509488389,0.045702421961095946,0.026254543978671833,0.03107887165019934,0.019791613802964573,0.020760494971785767,0.08788633506886061,0.05468515691053012,0.06339942098927394,0.04602356552752972,0.04779794015665289,0.03574656744579577,0.03640127657514864,0.1671553731828691,0.1087488905324322,0.12746537954074932,0.10221239063651312,0.10674229711477615,0.10623709592037689,0.1092202279857349,0.3756198595863337,0.25575056894263215,0.3211238998740225,0.380926659805738,0.4524579384283388,1.3409203181877065,13.389164000401255
0.1,0.005509289427069701,0.02061430074880661,0.009590896609826463,0.012651503507465052,0.04569891467862245,0.026254543908588134,0.03107887148884896,0.019791613802962838,0.020760494971783484,0.08785817655837674,0.054685154014103794,0.06339941487093333,0.04602356552701765,0.04779794015599162,0.03574656744579571,0.03640127657514858,0.16695050638912506,0.10874879474314314,0.12746516642289052,0.10221239048944838,0.10674229691361206,0.1062370959175073,0.10922022798164206,0.37347854833088234,0.2557440372963464,0.3211035163848452,0.38091944150836865,0.45242422410830235,1.2611350933695558,13.224645305259086
0.15000000000000002,0.005509277406951525,0.02061382797654609,0.00959089659255123,0.01265150349959672,0.04569306983886638,0.02625454363609561,0.031078870861449226,0.01979161380294844,0.02076049497176447,0.08781126670356901,0.054685142754855136,0.06339939108876931,0.0460235655227526,0.04779794015048407,0.03574656744579473,0.03640127657514743,0.16660964819825952,0.10874842276717783,0.12746433929261108,0.10221238926720866,0.10674229524221744,0.10623709586661524,0.10922022790915421,0.36993836606707653,0.25571884934686545,0.3210253411731154,0.3808651501511841,0.4521845858640411,1.1397980548875883,12.973038960655098
0.2,0.005509260578853774,0.020613166115936034,0.0095908965652659,0.012651503479139802,0.04568488838819575,0.026254542927732154,0.03107886923048826,0.019791613802882215,0.020760494971676872,0.08774563697455634,0.054685113496482134,0.0633993292979565,0.04602356550311645,0.04779794012512875,0.03574656744578681,0.03640127657513825,0.16613367576994614,0.10874745765034784,0.12746219498998984,0.10221238365697245,0.10674228757321397,0.10623709546483194,0.1092202273379198,0.36504171161519094,0.25565415247581463,0.32082612048202286,0.38064699930517604,0.45128890693597934,0.9914605582853195,12.661868599338511
0.25,0.005509238942844141,0.020612315187529682,0.009590896524870787,0.012651503436654415,0.045674371651162594,0.026254541456785657,0.03107886584387281,0.019791613802665538,0.020760494971390087,0.08766133138178456,0.05468505277114946,0.06339920108079128,0.04602356543887451,0.047797940042181526,0.03574656744574657,0.0364012765750916,0.16552381206608763,0.10874545871757964,0.12745775851991245,0.10221236537420278,0.1067422625936058,0.10623709346133735,0.10922022449602142,0.35884674989822446,0.2555219239703725,0.32042314777888375,0.3800447343794969,0.4490204505420308,0.8317640745761046,12.319829617648946
0.30000000000000004,0.0055092124990096586,0.020611275217750573,0.009590896467381026,0.012651503360005515,0.04566152133013995,0.026254538803428762,0.031078859735351322,0.0197916138020966,0.02076049497063681,0.0875584064283933,0.054684943302422774,0.06339897001154296,0.04602356527028127,0.04779793982451738,0.03574656744559437,0.036401276574915147,0.16478162082437225,0.1087418646051649,0.1274497923580862,0.10221231762605429,0.10674219739545783,0.10623708605717436,0.10922021402271988,0.351426260725689,0.25528807518480845,0.3197195520376299,0.3787508874337481,0.44459505659774556,0.6746826718570748,11.97175857316731
0.35000000000000003,0.005509181247456701,0.020610046238891008,0.009590896387926913,0.012651503234364357,0.045646339504855374,0.02625453445489202,0.031078849725057377,0.01979161380081426,0.020760494968938666,0.08743693104909865,0.054684764034679804,0.06339859173954758,0.0460235648906087,0.04779793933438632,0.035746567445126214,0.03640127657437244,0.16390900014567897,0.10873599711890736,0.12743680824242182,0.10221221071837375,0.10674205152356453,0.10623706389937179,0.10922018278233013,0.3428662170186744,0.2549137804202386,0.31861036295353307,0.37642640460250715,0.4374184804372447,0.5307405139160949,11.635829381460137
0.4,0.005509145188310979,0.02060862828911017,0.009590896280754315,0.012651503042210297,0.045628828631821224,0.02625452780567534,0.031078834420173188,0.019791613798229562,0.020760494965515484,0.08729698653568466,0.054684490168941655,0.06339801409033109,0.04602356412617659,0.04779793834767304,0.03574656744388991,0.036401276572939366,0.16290817473227887,0.10872706588836085,0.12741708132291155,0.10221199691652838,0.10674176004463556,0.10623700720269282,0.10922010314178089,0.33326413296867674,0.2543569701993681,0.3169889091223702,0.3727697233534047,0.4272491483708013,0.4063822868941833,11.32292117042148
0.45,0.00550910432171754,0.020607021412431897,0.009590896139225159,0.012651502763332887,0.04560899154366181,0.02625451815779764,0.031078812215712685,0.01979161379344496,0.020760494959178335,0.08713866644921768,0.05468409320505527,0.06339717718450248,0.046023562712981095,0.04779793652379361,0.035746567440985144,0.03640127656957256,0.1617816868214067,0.1087141737813212,0.1273886665184824,0.10221160468909561,0.10674122582967827,0.10623687864870825,0.10921992330999751,0.3227272282003949,0.2535739230370877,0.31475310671254314,0.36757170197017625,0.4142126364332324,0.3042835653442371,11.037512223385283
