Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_5s1/2(1),J_total_Nb_relativistic
0.0,0.04071082851790114,0.14820009831335645,0.07395265602827722,0.15219405239263914,0.36721846239384687,0.21908104690624705,0.4481002528767831,0.31092418211659256,0.4699344928234379,0.93464296456221,0.6246350602591717,1.2814998429646398,1.615014746746804,1.8123760793898882,8.498484766291796
0.05,0.04071064592686253,0.14819184166963076,0.07395265593054173,0.152194052171865,0.36707551048004394,0.21908102736816074,0.44810020920603827,0.31092418211145345,0.46993449281533595,0.9322280588962576,0.6246311897058507,1.2814910031449263,1.6150123960248168,1.7527526708943628,8.436279936346146
0.1,0.04071009816050011,0.14816707480827968,0.07395265505237712,0.15219405018519055,0.3666470132156066,0.21908085170302447,0.44809981658394976,0.3109241819421418,0.46993449254841385,0.9250238049417692,0.6245966583640142,1.2814121792372597,1.6149416487294153,1.586544479130771,8.262229004602712
0.15000000000000002,0.04070918523907364,0.14812580693666,0.07395265163952831,0.15219404246102378,0.36593404445388744,0.21908016964449892,0.4480982922497239,0.3109241805347944,0.46993449032979123,0.9131503916247317,0.6244641985988307,1.2811100615269424,1.6144278398890815,1.3469715199520187,8.009076875080588
0.2,0.04070790719634757,0.14806805339329845,0.0739526427703004,0.1521940223849224,0.36493838870248496,0.21907840036143514,0.4480943384778871,0.3109241740735182,0.469934480144367,0.8968041879162537,0.6241265471771485,1.2803408336680742,1.6124541368779621,1.0761781874255318,7.717796300569531
0.25,0.04070626407958845,0.14799383563729762,0.07395262435865109,0.15219398070690346,0.36366253328808484,0.21907473684831263,0.4480861528221612,0.310924153011518,0.46993444694477693,0.876252012102131,0.6234433063826955,1.2787866661092018,1.6072909106375104,0.8127154961938179,7.42501711912265
0.30000000000000004,0.04070425594956118,0.14790318123352064,0.07395259115851419,0.15219390555166207,0.36210965746052903,0.21906815201484114,0.4480714423180132,0.31092409798600606,0.46993436021605683,0.8518234724329615,0.6222497697797387,1.2760768201301584,1.596849933382811,0.5833310960170968,7.155192735631471
0.35000000000000003,0.04070188288052424,0.14779612383357052,0.07395253676934845,0.15219378243168524,0.36028361850857243,0.21905740641855317,0.4480474415071366,0.310923974733248,0.46993416596891613,0.8239017146026767,0.6203670343427415,1.2718116498395011,1.5792653808824544,0.4008002301995722,6.919036942918502
0.4,0.04069914496022385,0.14767270315258482,0.07395245364290406,0.15219359426324208,0.3581889349793143,0.21904105756934936,0.44801093411105986,0.310923728123486,0.46993377735278297,0.7929129698107544,0.6176126555545957,1.2655876449914647,1.5533767212687863,0.26634857194914374,6.7164548917296925
0.45,0.0406960422898871,0.14753296494187107,0.07395233309119789,0.152193321385228,0.35583076711195655,0.21901747072095332,0.4479582781472032,0.310923275455927,0.4699330641122881,0.759315331848545,0.6138111081393447,1.2570216997056036,1.51892287025866,0.17400338012693317,6.5411119073355986
0.5,0.04069257498421397,0.14737696095741235,0.07395216529568645,0.15219294158083624,0.3532148946141771,0.2189848310512535,0.44788543424942423,0.31092249917102743,0.46993184113785247,0.7235872018549246,0.6088033857407663,1.2457729999189935,1.4764567972142508,0.11471871100719083,6.38449323877801
0.55,0.04068874317136833,0.14720474892427748,0.07395193931762443,0.1521924301020264,0.3503476919258553,0.2189411571217,0.44778799692678084,0.3109212391505762,0.4699298563819504,0.6862158260982646,0.6024551945437113,1.231561256138427,1.427101714040331,0.07925367093430769,6.238553464777201
0.6000000000000001,0.04068454699296788,0.14701639249697424,0.07395164310959486,0.15219175969675575,0.3472361011300088,0.21888431549541643,0.4476612284692075,0.3109192847853188,0.4699267784270149,0.6476863179665805,0.5946633507028822,1.2141804177789706,1.3722754114797426,0.05970067946188246,6.096978227993318
0.65,0.04067998660407302,0.1468119612157884,0.07395126352819514,0.1521909006389347,0.3438876026844703,0.21881203638458538,0.4475000951873251,0.31091636699492514,0.46992218399862473,0.6084715041490654,0.585360160240244,1.1935074389793991,1.313461460309392,0.05000588464000013,5.955478845555022
0.7000000000000001,0.0406750621731747,0.14659153045915604,0.07395078634786231,0.1521898207610652,0.340310184159943,0.21872193019006264,0.4472993056558856,0.31091215038595893,0.46991554571850325,0.5690228714474084,0.5745157248241011,1.1695060764450407,1.252055098552047,0.04590377414189798,5.811569861262107
0.75,0.04066977388218116,0.14635518139212,0.0739501962758187,0.1521884854895158,0.33651230718053643,0.2186115047901296,0.44705335061655077,0.3109062257302334,0.4699062203861377,0.5297628197874886,0.562138262891979,1.1422260512587645,1.189279264088397,0.04459505321531074,5.664154696985163
0.8,0.04066412192640368,0.14610300091092637,0.07394947696811817,0.15218685788238487,0.3325028727716268,0.2184781834308523,0.44675654418590816,0.31089810293872644,0.4698934380657869,0.4910783537390391,0.548272652773942,1.1117981755627795,1.126152914222293,0.044368056637437335,5.5131027520162235
0.8500000000000001,0.04065810651454126,0.14583508158382022,0.07394861104677149,0.15218489866989873,0.3282911853268697,0.2183193230676935,0.4464030660088713,0.3108872046953624,0.4698762922377773,0.4533162736532014,0.5329974875021566,1.0784262217675213,1.063492424578691,0.044260980948948474,5.358897157602124
0.9,0.04065172786866424,0.14555152158810414,0.07394758011792803,0.15218256629728916,0.3238869154113727,0.21813223300682186,0.4459870039958665,0.3108728609008146,0.46985373124988894,0.4167798621128044,0.5164209790044147,1.0423763983821275,1.0019307168649936,0.04379806891121131,5.202372165712302
0.9500000000000001,0.040644986224196905,0.14525242464352658,0.07394636479108965,0.15217981697009061,0.31930006162142005,0.21791419369494794,0.4455023972843975,0.3108543040594819,0.4698245512770256,0.3817270045640833,0.49867606510659146,1.0039653033642912,0.9419437056434994,0.042800051018223276,5.044531230262865
1.0,0.040637881829899004,0.14493789994207132,0.07394494469933138,0.15217660470179492,0.3145409117227273,0.2176624755084509,0.44494327907156117,0.31083066572343615,0.46978739096606115,0.3483696365948573,0.4799150614107867,0.9635471691992928,0.8838778528384608,0.04125602417079548,4.886427798379526
1.05,0.04063041494784629,0.14460806207422233,0.07394329852050208,0.15217288136379759,0.3096200032890304,0.2173743573959681,0.4443037189736803,0.31080097408595536,0.46974072790860755,0.3168743752339667,0.46030416819626163,0.9215011121883466,0.8279755962862767,0.03924118961222846,4.729090880076691
1.1,0.04062258585340999,0.1442630309517823,0.07394140399937732,0.1521685967375676,0.30454808406092293,0.21704714523342541,0.44357786458219245,0.31076415279479846,0.4696828770483658,0.28736416792099523,0.4400180968548568,0.8782189698223254,0.7743972951475345,0.036866608101409785,4.573480879108964
