Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Fm_relativistic
0.0,0.006413911417556327,0.023491384850317695,0.011115741657490718,0.013843922030824551,0.05169358282193683,0.029891235318327224,0.034243105236659306,0.021869481244676317,0.02277622762361782,0.1006660894630035,0.06283280923582306,0.07106480906590022,0.05190486149019123,0.05366007793077183,0.04071728665381777,0.041375692422943575,0.19735176535741536,0.12886926967427237,0.14733831715545898,0.12059399034887662,0.1254406906795334,0.1542202054100632,0.16672779808194654,0.47757679308767104,0.3332756340931713,0.4178070061275191,2.021496013937366,14.11626969029118
0.05,0.006413907902718006,0.023491246893918672,0.011115741655066224,0.013843922030475592,0.05169189209085932,0.029891235303591744,0.03424310520772678,0.02186948124467621,0.022776227623617685,0.10065208723215804,0.06283280859433171,0.07106480787356986,0.05190486149015449,0.05366007793072581,0.04071728665381777,0.041375692422943575,0.1972419758310761,0.1288692452883646,0.14733826919549137,0.1205939903338558,0.12544069065940594,0.1542202053277567,0.16672779548868372,0.47616881096207814,0.3332728310696974,0.4177980675926415,1.9415410010972916,13.953250829204265
0.1,0.006413897358220437,0.023490833030171535,0.011115741646936387,0.013843922027335023,0.05168682024753167,0.029891235170985856,0.03424310494735777,0.021869481244672723,0.02277622762361326,0.10061009278421096,0.06283280282305015,0.07106479714671238,0.05190486148894259,0.05366007792920782,0.04071728665381756,0.04137569242294333,0.19691299243959345,0.1288690260992597,0.14733783829524844,0.12059398983944744,0.12544068999708166,0.15422019572798473,0.1667275298147832,0.4719715219814271,0.3332478515525305,0.41771894713256924,1.7217691754272753,13.504189335474004
0.15000000000000002,0.006413879784115793,0.02349014327542567,0.011115741630532241,0.013843922015122067,0.05167836834154613,0.029891234655358093,0.0342431039349564,0.021869481244643704,0.02277622762357639,0.10054014283558417,0.06283278039022908,0.07106475545629257,0.05190486147885022,0.05366007791656696,0.0407172866538138,0.04137569242293903,0.19636596856366514,0.1288681754297007,0.14733616707933775,0.12059398573582429,0.12544068450190796,0.15422004808121326,0.16672413894037452,0.465064028970567,0.3331521983945126,0.4174191394099195,1.4136347280716421,12.871432767793772
0.2,0.006413855180491032,0.023489177656928727,0.011115741601572486,0.013843921983369758,0.05166653812181513,0.02989123331494552,0.03424310130325763,0.02186948124451012,0.02277622762340656,0.10044229852252967,0.06283272210517525,0.07106464715573173,0.05190486143239513,0.05366007785838469,0.04071728665378367,0.041375692422904585,0.1956028192489746,0.12886597019153787,0.14733183881982787,0.12059396693355348,0.12544065933740475,0.15421907667935877,0.1667062526734541,0.4555753148874934,0.332908980127934,0.416668176614704,1.079155362388659,12.178123032983502
0.25,0.006413823547467892,0.0234879362128246,0.011115741554063944,0.013843921917426448,0.051651332035959605,0.02989123053160789,0.03424309583891906,0.021869481244072918,0.02277622762285057,0.10031664531457456,0.06283260116150702,0.07106442248339324,0.051904861280454295,0.05366007766810257,0.04071728665363064,0.04137569242272963,0.19462621038419017,0.1288614078919833,0.1473228955935548,0.12059390580336524,0.1254405775798933,0.15421518056702496,0.1666500505943394,0.44368010699362603,0.33241844434509693,0.4151829320321324,0.7703104468457767,11.527075861907518
0.30000000000000004,0.006413784885202892,0.023486418992150617,0.011115741480302201,0.013843921798457899,0.05163275322945292,0.029891225511155275,0.03424308598334875,0.02186948124292478,0.022776227621390283,0.10016329289358761,0.062832383197557,0.07106401770559476,0.051904860881846294,0.05366007716895673,0.04071728665305218,0.04137569242206835,0.1934395436719175,0.128853216333825,0.14730686332743975,0.12059374661362773,0.12544036485961343,0.15420393663292703,0.16652439405232278,0.4295933698118103,0.33156502598151516,0.4126600133913982,0.5179106863561512,10.978678109773929
0.35000000000000003,0.00641373919388733,0.02348462605483394,0.011115741370872435,0.013843921603449981,0.05161080554452114,0.029891217283768926,0.0342430698337685,0.02186948124033686,0.022776227618098534,0.0999823749987101,0.06283202637376718,0.07106335529968151,0.0519048599845504,0.053660076045472835,0.04071728665127431,0.04137569242003613,0.19204693751277457,0.12883986590287475,0.14728078336531963,0.1205933914149655,0.12543989071050218,0.1541782367340996,0.16630163065719245,0.4135636865604149,0.3302253121936156,0.4088088242730711,0.33139352146702006,10.550676086834827
0.4,0.006413686473747277,0.02348255747168714,0.011115741214650431,0.013843921305211974,0.05158549351879995,0.029891204704515156,0.034243045144511604,0.021869481235120652,0.022776227611463466,0.09977404923746185,0.06283148146687854,0.07106234417656584,0.051904858178805094,0.053660073784844727,0.040717286646583514,0.04137569241467474,0.19045320395485457,0.1288195843079898,0.14724125009687042,0.12059268389609715,0.1254389473885981,0.1541287381853412,0.1659650603262383,0.39586583192643854,0.328276279961712,0.4033812062000578,0.20524045743174973,10.231177847249748
0.45,0.006413626725043581,0.023480213324402976,0.01111574099880377,0.013843920872380452,0.051556822383749056,0.029891186453951862,0.034243009328554175,0.02186948122546521,0.022776227599181537,0.09953849686340067,0.06283069198067466,0.07106087994201027,0.05190485484237974,0.0536600696085876,0.04071728663557347,0.041375692402092074,0.1886638218913038,0.12879037361292986,0.14718445410473865,0.12059139181030228,0.12543722702207943,0.15404489830235898,0.16550963966369986,0.37679286291533093,0.3256031839563147,0.3961945284761229,0.12674466379306415,9.994291084411378
0.5,0.006413559948071862,0.023477593705548402,0.011115740708793205,0.013843920269423781,0.051524798062824825,0.029891161038827357,0.03424295945927871,0.02186948120874991,0.022776227577919465,0.09927592252078019,0.06282959427299674,0.0710588451958076,0.05190484907836218,0.05366006239492153,0.04071728661201241,0.041375692375168964,0.18668490671725171,0.12875002937543586,0.14710623021145053,0.12058918862548018,0.12543429802460465,0.15391613259533493,0.16493852027189304,0.3566480586165313,0.3221065520785566,0.38714639828311337,0.08192027709996028,9.811984581479289
0.55,0.006413486143162503,0.02347469871855773,0.011115740328374228,0.013843919456647206,0.051489427169412134,0.029891126792871037,0.03424289227246855,0.021869481181333035,0.022776227543045494,0.09898655395671553,0.06282811769870654,0.07105610986789017,0.051904839645852,0.05366005059240294,0.04071728656522666,0.041375692321714334,0.18452317668360257,0.12869616168754727,0.14700210974427408,0.12058563508098892,0.12542958173587368,0.1537327311809418,0.1642589155975153,0.33573702514243875,0.3177078693216466,0.37622052588000615,0.05873459118419294,9.660552300036047
0.6000000000000001,0.006413405310680656,0.023471528477725018,0.011115739839598803,0.013843918390198528,0.05145071700451645,0.029891081877675422,0.03424280416853165,0.02186948113831642,0.022776227488330344,0.09867064170143092,0.06282618476823375,0.0710525315902836,0.051904824883993936,0.05366003212538066,0.040717286477887374,0.041375692221940444,0.18218591620897184,0.12862621789257989,0.14686737628494567,0.12058016134077705,0.12542233024880425,0.1534863914563471,0.1634790708925988,0.3143602511661204,0.3123536785406697,0.3634844532732269,0.04821402485480574,9.522794549478727
0.65,0.00641331745102623,0.023468083108195665,0.011115739222817302,0.01384391702207439,0.051408675554217347,0.029891024283668993,0.03424269121495182,0.021869481073286557,0.022776227405618292,0.09832845871722488,0.06282371132130532,0.07104795610370752,0.0519048026298278,0.05366000429190764,0.04071728632308101,0.04137569204512268,0.17968093643210564,0.12853750673857706,0.14669712413274077,0.12057205041513058,0.12541160634265697,0.15317040172020294,0.1626065989879101,0.2928063558330536,0.30601798032110933,0.34908068611236576,0.04432579189219045,9.38772828335657
0.7000000000000001,0.0064132225646338905,0.023464362745957187,0.011115738456680605,0.013843915300127137,0.0513633114868848,0.029890951831179242,0.03424254914896558,0.021869480978032426,0.02277622728446884,0.09796030001684969,0.062820606715417,0.07104221769751795,0.051904770130470367,0.05365996365479062,0.04071728606053943,0.041375691745303554,0.1770165333052679,0.12842722371559417,0.14648631868419382,0.12056042348395102,0.12539626636857504,0.15277958714305015,0.16164782017738222,0.27134621838804224,0.29870295668636815,0.33321320642869734,0.04335991778585105,9.24928265290054
