Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(7),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Md_relativistic
0.0,0.006296985475521257,0.023114438883806473,0.010917364457463698,0.013684422087042578,0.050898520233072286,0.029410254645193586,0.03381699581461229,0.021589126054527983,0.02250357027330526,0.09893958154986734,0.061733290598949095,0.07001592557900266,0.05109459754230609,0.05285101614907755,0.040017668508741555,0.040674767163381635,0.1932450195782943,0.12612419779993175,0.14470256064650497,0.11819456724687054,0.12305574785625364,0.14933210914500447,0.16118435616842383,0.46919209800003014,0.3271973358705781,0.4140478957814258,2.003406197856615,14.049784234988135
0.05,0.006296982121856097,0.023114307254561508,0.010917364454974467,0.013684422086712862,0.05089690609257932,0.029410254631589652,0.03381699578741546,0.021589126054527886,0.02250357027330514,0.09892627374665718,0.061733290011295454,0.07001592447086584,0.05109459754227327,0.0528510161490363,0.040017668508741555,0.040674767163381635,0.1931416027875155,0.12612417581506774,0.14470251663253283,0.11819456723376903,0.1230557478385725,0.14933210909143546,0.16118435453036997,0.4678570297242941,0.3271947710253864,0.4140393101710686,1.9256791350563374,13.891383315547081
0.1,0.006296972060876786,0.023113912371872634,0.010917364446717467,0.013684422083745472,0.0508920639950124,0.02941025450916822,0.03381699554266573,0.0215891260545247,0.02250357027330108,0.09888636158922236,0.06173328472436904,0.07001591450134603,0.05109459754119091,0.0528510161476756,0.04001766850874138,0.040674767163381434,0.19283170155247115,0.12612397819693255,0.14470212116272577,0.11819456680249182,0.12305574725668873,0.14933210278689724,0.16118418376502328,0.46387623913948106,0.32717190679230185,0.4139633003816724,1.7116952040598328,13.454390716660006
0.15000000000000002,0.006296955292631826,0.023113254250877575,0.010917364430324875,0.01368442207220596,0.050883994911997604,0.029410254033142336,0.03381699459099394,0.021589126054498205,0.022503570273267257,0.09881987881874572,0.06173326417393982,0.07001587575366013,0.051094597532177106,0.0528510161363443,0.04001766850873824,0.04067476716337783,0.19231636138315825,0.1261232111802429,0.14470058722309173,0.11819456322231546,0.12305574242815738,0.14933200451520953,0.16118195018813958,0.4573221989779835,0.3270843101052627,0.4136752012908591,1.4107423343872094,12.836844034644539
0.2,0.006296931817202053,0.023112332916804663,0.010917364401850585,0.013684422042204504,0.05087270046254547,0.02941025279567343,0.03381699211714676,0.021589126054376236,0.022503570273111447,0.09872688161921458,0.06173321077849337,0.07001577509492761,0.05109459749068536,0.052851016084187845,0.040017668508713036,0.040674767163348974,0.19159731847134137,0.12612122256101246,0.14469661397595632,0.11819454681495406,0.12305572031167986,0.14933134720366387,0.16116983113996317,0.4483131671759887,0.3268614179260687,0.4129532836712554,1.0825585501477417,12.157367020768568
0.25,0.006296901634700638,0.023111148404971034,0.010917364355770625,0.013684421979897292,0.05085818291250183,0.029410250226080802,0.03381698698052924,0.021589126053977066,0.022503570272601366,0.09860744854054918,0.06173309997746821,0.07001556626860266,0.05109459735497259,0.05285101591360564,0.04001766850858502,0.04067476716320237,0.19067699025450338,0.12611710775845086,0.14468840287610307,0.1181944934565328,0.12305564843678171,0.14932866048234822,0.1611305733155665,0.43700951790792086,0.3264114551469071,0.4115247496581107,0.7777031160094968,11.51599007697166
0.30000000000000004,0.006296864745273082,0.023109700760780106,0.010917364284983735,0.013684421867488462,0.0508404451737794,0.029410245591134684,0.0338169777159638,0.02158912605292881,0.02250357027126164,0.09846168039119138,0.061732900284655626,0.07001519002347006,0.05109459699891997,0.05285101546611294,0.040017668508101074,0.04067476716264818,0.18955846230741924,0.12610971821158568,0.1446736799117343,0.11819435445834416,0.12305546136460616,0.1493207458566038,0.16104002535098275,0.4236088482478677,0.32562771775855476,0.4090966206119575,0.5267119788783337,10.972600807392524
0.35000000000000003,0.006296821149097218,0.023107990039718328,0.010917364180812102,0.013684421683232592,0.05081949080337035,0.029410237995432742,0.0338169625346651,0.021589126050566024,0.022503570268241624,0.09828970010036191,0.06173257335663039,0.07001457427879805,0.05109459619737082,0.05285101445882753,0.040017668506613535,0.04067476716094486,0.18824547166211966,0.12609767202201583,0.14464972365559386,0.11819404418791309,0.12305504421215517,0.14930226659001683,0.16087457583065298,0.40834008415804973,0.3243957031905968,0.40538733346761474,0.33957942696142396,10.546085751779533
0.4,0.0062967708463832085,0.023106016307351214,0.010917364033002266,0.013684421401437752,0.0507953240021406,0.029410226381859784,0.03381693932542997,0.02158912604580357,0.022503570262154212,0.0980916525502528,0.061732074076043496,0.07001363432512718,0.05109459458419546,0.05285101243186148,0.04001766850268822,0.040674767156450575,0.18674238668399884,0.12607936673092768,0.14461339873147808,0.11819342587246724,0.12305421388740792,0.14926591212381676,0.16061747497253714,0.39145684752317816,0.32260052704138015,0.4001551666010503,0.2116583846244023,10.226291434456735
0.45,0.00629671383737354,0.02310377963931865,0.010917363829726188,0.013684420992469092,0.05076794961340622,0.029410209532130388,0.03381690565604149,0.02158912603698797,0.022503570250885868,0.09786770437847993,0.061731350649571734,0.0700122730600635,0.051094591603336494,0.05285100868695732,0.04001766849347344,0.04067476714590124,0.18505418365748885,0.12605299409670823,0.14456119422827263,0.11819229609179228,0.12305269877254209,0.14920305981478596,0.16026068304141222,0.3732303677594457,0.3201340796245581,0.3932205069165638,0.13102966835112106,9.988868942849729
