Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Er_relativistic
0.0,0.011327047744447856,0.04028387488863356,0.019764524707376996,0.021488804776840554,0.08977430687468003,0.052733582169857705,0.05573251084819009,0.03623685542215232,0.036910584163048016,0.19004490355334858,0.12026419427395187,0.12766901852187315,0.09905654286349354,0.10099485217440238,0.11207653454760412,0.11563470369576793,0.5018491171597019,0.3468208429889682,0.37786018389652754,2.008673827399816,11.82894815632281
0.05,0.011327031181341991,0.040283201985256194,0.019764524704573277,0.02148880477375746,0.089765587958213,0.0527335819240919,0.05573251052422193,0.036236855422148405,0.03691058416304364,0.18995472431224358,0.12026417781152055,0.1276689962823404,0.09905654285889753,0.10099485216910634,0.11207653452626125,0.11563470361351037,0.5003298900307759,0.34681752172228303,0.37785501622315393,1.92961523884873,11.667565912127667
0.1,0.011326981492229729,0.040281183349770704,0.019764524683164794,0.021488804746010892,0.08973943657614175,0.05273357971269433,0.05573250760921641,0.03623685542201927,0.036910584162899156,0.1896844586494777,0.12026402982204254,0.12766879638998194,0.09905654270753782,0.10099485199470828,0.11207653200122054,0.11563469423663443,0.49580198854933016,0.3467879556596555,0.3778091213871514,1.7122117447933431,11.222862253996146
0.15000000000000002,0.011326898677727053,0.04027781920610162,0.019764524604163523,0.021488804638115283,0.08969586882484365,0.05273357111577937,0.05573249627740806,0.03623685542094363,0.036910584161695646,0.18923492137086692,0.12026345535874776,0.1276680206373937,0.09905654145017795,0.10099485054617163,0.11207649233367595,0.11563455480053077,0.488353721434503,0.34667492879961265,0.37763431238835976,1.4071426230737396,10.595903679234207
0.2,0.011326782738860586,0.04027310992740559,0.019764524402602558,0.02148880435761573,0.08963491151291578,0.0527335487749158,0.05573246683097251,0.03623685541599081,0.0369105841561541,0.18860746591021793,0.12026196570075562,0.12766600970978798,0.0990565356823762,0.10099484390269503,0.11207622443006462,0.11563367438617926,0.4781288880813892,0.34638822141018333,0.3771932011650458,1.0756094229494573,9.908645136715121
0.25,0.011326633677067561,0.040267056035994994,0.019764523987555814,0.02148880377511954,0.08955660213315737,0.052733502405177546,0.05573240571767683,0.03623685539978442,0.03691058413802167,0.18780397750115393,0.12025888260775036,0.12766184967776237,0.0990565169015075,0.10099482227597559,0.11207511713014245,0.11563030409893789,0.46532189365905935,0.3458117745773758,0.3763123470309655,0.7690725201626136,9.263454813363543
0.30000000000000004,0.011326451494195781,0.04025965820323109,0.0197645232421656,0.021488802724340377,0.08946098882340596,0.052733418811981896,0.055732295555536736,0.03623685535724447,0.036910584090427315,0.18682686368860538,0.12025334421509366,0.1276543809808923,0.09905646790204148,0.10099476586933667,0.11207181540260637,0.11562105226791011,0.45017127123586703,0.3448127052974932,0.3747984009733677,0.5182097770156561,8.721096123810765
0.35000000000000003,0.011326236192503574,0.04025091724938664,0.01976452202367803,0.021488801002154983,0.08934813031628744,0.052733281912682436,0.05573211516442733,0.03623685526142071,0.0369105839832217,0.185679042250026,0.12024431250892603,0.12764220979779753,0.09905635832452934,0.1009946397742591,0.11206400860685095,0.11560096040565204,0.43295193934429627,0.3432513211644956,0.37245542647554686,0.33259484695943353,8.30015732056684
0.4,0.01132598777465973,0.04024083414347816,0.019764520163486326,0.021488798368672467,0.0892180958779577,0.05273307276287472,0.05573183960457943,0.036236855068433764,0.03691058376732027,0.1843639266151754,0.1202305823049246,0.12762372167123803,0.09905613948834097,0.10099438806005322,0.11204845524403156,0.11556416145530515,0.4139665744272253,0.340991242540661,0.36910158513107005,0.20693876897338148,7.9896084996572485
0.45,0.01132570624374343,0.04022941000306775,0.019764517467181882,0.021488794547316118,0.08907096523593014,0.05273276958736359,0.055731440221878495,0.036236854711543955,0.03691058336807247,0.18288540889118785,0.12021079163950846,0.1275970972316669,0.09905573865890563,0.10099392723676014,0.11202123454912667,0.11550474804350505,0.3935365025309055,0.3379088011238057,0.36458362284225626,0.1287331513729494,7.764153200230342
0.5,0.011325391603244164,0.040216646094034594,0.019764513714613206,0.021488789224917697,0.08890682849609999,0.052732347815732085,0.055730884699868796,0.036236854094371274,0.03691058267768423,0.18124784061644483,0.12018343346860137,0.12756032983986332,0.0990550529164818,0.1009931392901826,0.11197811464421008,0.11541747194397418,0.3719925133048499,0.3339010287311711,0.3587880124039149,0.08411325631323394,7.596003144370028
0.55,0.011325043857061639,0.040202543830316274,0.019764508659952603,0.021488782051824196,0.08872578604909312,0.05273178012244314,0.05573013711835127,0.036236853083293274,0.036910581546724316,0.17945601138232842,0.12014686855674403,0.1275112449491011,0.0990539428049022,0.10099186450073347,0.1119149125707503,0.11529811122420724,0.3496659739358331,0.32889175076044797,0.35164811359485865,0.06109740301360491,7.461384453799465
0.6000000000000001,0.011324663009505673,0.04018710477361988,0.01976450203177063,0.021488772642016988,0.08852794846608288,0.052731036471396375,0.05572915801844939,0.036236851499050884,0.03691057977474923,0.17751512547610582,0.12009933942853813,0.12744752097004008,0.09905222594506963,0.10098989426428305,0.1118277665471518,0.11514353768827566,0.32688057500241685,0.32283552317851755,0.343147215905579,0.05071993215036033,7.342809149544211
