Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(1),J_7s1/2(2),J_total_Bh_relativistic
0.0,0.005618587566908093,0.020957735067688263,0.009774528880769039,0.012790772672240387,0.046408780810294266,0.02668500426877531,0.0314458782444466,0.020032185429142004,0.020993247958103818,0.08937124993457139,0.055629680650545264,0.06427424829132271,0.04669047805738976,0.048461447763942844,0.0362984541042508,0.036952967289832175,0.17065419203559945,0.111038573387847,0.1297629376972285,0.10432574116052477,0.10891693561012807,0.11038313970864193,0.11362578625778212,0.38890273327203334,0.2650056191004458,0.3323852954544864,0.4119096905623713,0.4948909924386225,1.4146589532706515,13.473720558458808
0.05,0.005618585044546654,0.020957635906677017,0.009774528877838841,0.012790772672003264,0.04640755671247995,0.02668500426033868,0.03144587822544912,0.020032185429141945,0.020993247958103742,0.08936138851061226,0.05562968030002503,0.06427424756390106,0.04669047805737256,0.048461447763920716,0.0362984541042508,0.036952967289832175,0.1705817379666071,0.11103856158668661,0.12976291181639507,0.10432574115532169,0.10891693560301678,0.11038313970860268,0.11362578625772408,0.3881179453585826,0.2650047502733348,0.3323825912933503,0.4119092478543103,0.4948888270876196,1.3841631101705816,13.410975392501044
0.1,0.0056185774774727484,0.020957338426816994,0.00977452886856674,0.012790772669869194,0.04640388462340507,0.026685004184436825,0.031445878054484955,0.020032185429140058,0.02099324795810127,0.08933181107627358,0.05562967714661547,0.06427424101915552,0.04669047805680506,0.04846144776319077,0.03629845410425074,0.0369529672898321,0.1703645697694316,0.11103845547815752,0.12976267919751494,0.10432574098393402,0.10891693536881768,0.11038313970358442,0.11362578625031182,0.38577363300249273,0.2649969759843872,0.3323584849875877,0.411895777739433,0.49482577406298334,1.29702766156576,13.231284339531134
0.15000000000000002,0.005618564865717609,0.020956842637629133,0.009774528851508254,0.012790772661570242,0.04639776515611609,0.026685003889315384,0.03144587738970452,0.020032185429124393,0.02099324795808068,0.08928253813651643,0.055629664888476274,0.06427421557988496,0.046690478052078474,0.048461447757111385,0.03629845410424959,0.03695296728983076,0.17000326864115967,0.11103804345575205,0.12976177645081421,0.10432573955975012,0.10891693342325154,0.11038313961478709,0.11362578611939021,0.3818997344128835,0.2649670160678818,0.3322661290509272,0.4117963855590794,0.49438904616619567,1.1651815061989557,12.957741603920404
0.2,0.005618547209333291,0.020956148554981034,0.009774528824256052,0.012790772639993774,0.04638919933216465,0.026685003122122176,0.03144587566157727,0.02003218542905232,0.020993247957985833,0.08921360384077101,0.055629633034887244,0.06427414948486243,0.0466904780303179,0.048461447729124155,0.03629845410424033,0.036952967289820046,0.1694988004742397,0.11103697453327603,0.12975943637383253,0.10432573302383988,0.10891692449816782,0.11038313891588106,0.11362578509143044,0.37654543363108467,0.2648901361991533,0.33203112546317465,0.4114067615132219,0.49280915061656216,1.0051937203237729,12.621647977538533
0.25,0.005618524508392671,0.020955256201086,0.009774528783440166,0.012790772595183322,0.046378188581318945,0.026685001529014825,0.03144587207321961,0.020032185428816494,0.020993247957675314,0.08912505594472168,0.05562956692474287,0.06427401233990294,0.04669047795912777,0.048461447637569696,0.03629845410419329,0.036952967289765604,0.16885251171999846,0.11103476086739783,0.1297545955615526,0.10432571172986109,0.10891689543537392,0.11038313544417387,0.11362578000080037,0.36977811470226574,0.26473320710810067,0.33155671300742656,0.41036257929615094,0.48895847784930724,0.8346200150418126,12.255208683437301
0.30000000000000004,0.005618496762989444,0.020954165604501716,0.009774528724728282,0.01279077251433982,0.04636473474115985,0.026684998655311327,0.031445865600853766,0.020032185428197263,0.020993247956859702,0.08901695575689073,0.05562944775239304,0.06427376518916893,0.04669047777230689,0.04846144739732821,0.03629845410401535,0.03695296728955969,0.16806612363254003,0.11103078126050975,0.1297459049402383,0.10432565613493215,0.10891681960615046,0.11038312267367073,0.11362576134415914,0.361681943711921,0.26445611082005027,0.33073040046134594,0.4081933396284889,0.4817575905569465,0.6688136057243583,11.88580322702904
0.35000000000000003,0.005618463973238129,0.02095287680012852,0.009774528642826118,0.01279077238182317,0.046348840056561924,0.026684993945683536,0.03144585499439712,0.020032185426801557,0.020993247955021044,0.08888937807010518,0.05562925260077829,0.064273360606525,0.04669047735160402,0.04846144685638259,0.036298454103468096,0.036952967288926435,0.16714172492766355,0.11102428561554484,0.12973174310668784,0.10432553170492825,0.10891665001872379,0.11038308466397563,0.11362570605337553,0.35235612245399883,0.26401342347746026,0.32943150286847356,0.40443401877865104,0.47058542624256794,0.5189655798274478,11.532952844228852
0.4,0.00561842613927406,0.020951389829207325,0.009774528531477885,0.012790772179154171,0.04633050717905947,0.02668498674439341,0.0314458387781818,0.020032185423988342,0.020993247951314645,0.08874241107795525,0.055628954481793565,0.06427274280670077,0.04669047650460472,0.04846144576742896,0.03629845410202302,0.0369529672872544,0.16608176290085003,0.11101440030678508,0.12971023232370002,0.10432528296870311,0.108916311314153,0.11038298800630343,0.1136255661334216,0.34191286669161186,0.2633562924262694,0.3275389917833403,0.3987361438962087,0.45544208935042063,0.3915355843929507,11.207819927624751
0.45,0.005618383261253391,0.020949704739317135,0.009774528383466832,0.012790771885016797,0.04630973916609806,0.026684976295571972,0.031445815251803885,0.020032185418780733,0.020993247944453265,0.08857615627637601,0.055628522383800054,0.06427184777596824,0.046690474938859416,0.048461443754686015,0.036298454098628086,0.036952967283326595,0.16488903305742986,0.11100013442345255,0.12967925699373467,0.10432482687828806,0.10891569088353104,0.11038277034960323,0.11362525275269256,0.33047516894914325,0.2624344185724787,0.3249390831846166,0.3909329454737141,0.4368503622194751,0.2887629603679641,10.914422047648872
0.5,0.005618335339353089,0.020947821584372195,0.009774528190615873,0.012790771475260814,0.046286539480171675,0.02668496174354078,0.03144578249110177,0.020032185409764845,0.02099324793257391,0.08839072835050774,0.05562792132619057,0.06427060342198952,0.04669047223238124,0.04846144027607996,0.03629845409135555,0.036952967274913394,0.16356666731667832,0.11098038683606438,0.12963648440641576,0.10432404565062371,0.10891462936523072,0.11038232546240587,0.11362461595538288,0.318174410315002,0.261198053707952,0.32153205220095543,0.38104733157058374,0.4156301450064295,0.20975595183735224,10.651642921106586
0.55,0.005618282373770939,0.02094574042461876,0.0097745279437883,0.012790770922904756,0.04626091198784586,0.026684942133175786,0.031445738349262946,0.0200321853949755,0.020993247913087324,0.08818625504701298,0.05562711242089996,0.06426892974244054,0.04669046780066052,0.04846143458100687,0.03629845407689776,0.036952967258189785,0.16211812085972988,0.11095395402922067,0.12957938753201856,0.10432277928040658,0.10891291079950205,0.11038148520867504,0.11362342078335215,0.30514788774663754,0.25959992633817663,0.3172378695867201,0.36925775666554655,0.39267856623308817,0.15170340235495905,10.415320534459855
0.6000000000000001,0.005618224364725535,0.02094346132663148,0.009774527632888578,0.01279077019813924,0.04623286095866742,0.02668491641031337,0.03144568045805851,0.020032185371768946,0.0209932478825104,0.08796287703205129,0.05562605294073846,0.06426673901196785,0.046690460860359925,0.04846142566389771,0.03629845404987414,0.036952967226934745,0.16054715769879357,0.11091953863874121,0.12950526961269598,0.10432081792288778,0.10891025272863654,0.11037999922305715,0.11362132114348374,0.29153632289224674,0.25759701792521733,0.31200038531286195,0.35584547971964786,0.36882050240283953,0.11091673571232888,10.199985627594284
