Orbital,Occupancy,Momentum_norm,Compton_norm,Difference,Weighted_momentum_norm,Weighted_Compton_norm
Pu_1s12,2,0.9979136524295303,0.851236761156436,-0.14667689127309436,1.9958273048590607,1.702473522312872
Pu_2s12,2,0.9996219473093522,0.9646236156633059,-0.034998331646046266,1.9992438946187043,1.9292472313266118
Pu_2p12,2,0.9999502497441026,0.9845741673288622,-0.015376082415240466,1.9999004994882053,1.9691483346577243
Pu_2p32,4,0.9999998149719667,0.9964257164690631,-0.0035740985029035777,3.9999992598878666,3.9857028658762523
Pu_3s12,2,0.9999092305703509,0.9910394796964296,-0.008869750873921278,1.9998184611407017,1.9820789593928592
Pu_3p12,2,0.9999861477210339,0.9954131112055749,-0.004573036515459039,1.9999722954420678,1.9908262224111497
Pu_3p32,4,0.9999996247390537,0.9988137782979545,-0.0011858464410992031,3.9999984989562147,3.995255113191818
Pu_3d32,4,0.9999998874547975,0.9999291441445809,-7.07433102166144e-05,3.99999954981919,3.9997165765783236
Pu_3d52,6,0.9999998674411782,0.9999663565998618,-3.351084131641979e-05,5.999999204647069,5.999798139599171
Pu_4s12,2,0.9999742890414861,0.9974972563337711,-0.0024770327077150434,1.9999485780829722,1.9949945126675421
Pu_4p12,2,0.9999970939074465,0.9987073555841313,-0.0012897383233152482,1.999994187814893,1.9974147111682625
Pu_4p32,4,1.000000571949287,0.9996614125927861,-0.0003391593565009732,4.000002287797148,3.9986456503711443
Pu_4d32,4,1.0000006839440623,0.9999782161639509,-2.246778011139039e-05,4.000002735776249,3.9999128646558035
Pu_4d52,6,1.000000769042905,0.9999903479494303,-1.042109347459963e-05,6.0000046142574295,5.999942087696581
Pu_4f52,6,0.999999979156225,1.0000005850329796,6.05876754655732e-07,5.99999987493735,6.000003510197878
Pu_4f72,8,1.0000000035908072,1.000000668054595,6.644637877695203e-07,8.000000028726458,8.00000534443676
Pu_5s12,2,0.9999937864291648,0.9993416719622112,-0.0006521144669535683,1.9999875728583296,1.9986833439244225
Pu_5p12,2,0.9999990282369361,0.9996769416535757,-0.00032208658336041474,1.9999980564738722,1.9993538833071514
Pu_5p32,4,1.0000000861830203,0.9999166943963953,-8.33917866249756e-05,4.000000344732081,3.999666777585581
Pu_5d32,4,0.9999994904301017,0.9999948124890358,-4.677941065955871e-06,3.999997961720407,3.999979249956143
Pu_5d52,6,0.9999995110171441,0.9999974836543659,-2.0273627782119163e-06,5.999997066102865,5.9999849019261955
Pu_5f52,6,0.9999997930465088,1.0000002973349125,5.042884037020912e-07,5.999998758279053,6.000001784009475
Pu_6s12,2,0.9999986552500658,0.9998698583764464,-0.00012879687361944114,1.9999973105001316,1.9997397167528927
Pu_6p12,2,1.0000012457780214,0.9999484697701339,-5.27760078875561e-05,2.000002491556043,1.9998969395402677
Pu_6p32,4,1.0000009915589625,0.9999889251462605,-1.2066412702016471e-05,4.00000396623585,3.999955700585042
Pu_7s12,2,1.0000000742782922,0.9999915274253969,-8.546852895308099e-06,2.0000001485565844,1.9999830548507938
