Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(4),J_7s1/2(2),J_total_Ds_relativistic
0.0,0.005292788060409585,0.019939915232509195,0.009228304586842647,0.012380627320026661,0.04432456192357674,0.025410994676270154,0.030366898741286685,0.019325202324152104,0.02030978465497586,0.08503303675815428,0.05285040204442084,0.061712237276584425,0.044740788824762824,0.04652256668523731,0.03469291884434245,0.035348503930443635,0.16063482084565242,0.10435382976986522,0.1230630394989755,0.09820347666916196,0.1026190551624211,0.09915010249800382,0.10176754597186646,0.35332135805241766,0.23905951144799206,0.30162564268567565,0.3972402713854446,0.3972402713854446,1.293001969424832,13.409585578878758
0.05,0.005292785878641233,0.019939829303207333,0.009228304583659754,0.012380627319824295,0.044323495471255074,0.025410994669629147,0.030366898725292392,0.01932520232415206,0.0203097846549758,0.08502452418972574,0.05285040177263083,0.06171223668097973,0.04474078882475014,0.0465225666852208,0.03469291884434245,0.035348503930443635,0.16057393781373852,0.10435382107172478,0.12306301953717468,0.09820347666584575,0.10261905515787217,0.09915010249799501,0.1017675459718544,0.3527192432037841,0.2390589858118139,0.30162395211390314,0.3972398367328816,0.3972398367328816,1.2692649744458722,13.36075624947621
0.1,0.005292779333344513,0.019939571517813597,0.009228304573736964,0.012380627318003039,0.04432029627674297,0.025410994609903897,0.030366898581354083,0.01932520232415059,0.020309784654973847,0.08499899183856205,0.05285039932762958,0.06171223132208321,0.04474078882433159,0.04652256668467591,0.03469291884434241,0.03534850393044359,0.1603914341939618,0.1043537428546104,0.12306284009414357,0.09820347655658339,0.10261905500801811,0.09915010249686378,0.101767545970308,0.35091939774347397,0.23905427706876087,0.3016088552622407,0.3972266494715017,0.3972266494715017,1.2009777401586998,13.22002444898023
0.15000000000000002,0.005292768424544433,0.01993914188386341,0.009228304555951973,0.012380627310920543,0.0443149648273572,0.025410994377703132,0.030366898021657016,0.019325202324138403,0.020309784654957586,0.08495645576159716,0.05285038982311582,0.06171221049137245,0.044740788820845395,0.046522566680137545,0.03469291884434168,0.03534850393044274,0.16008774585944202,0.1043534390806467,0.12306214356057853,0.09820347564828655,0.10261905376259357,0.09915010247674275,0.10176754594282647,0.34794120244689913,0.23903609865177997,0.30155085913628,0.3971297458105488,0.3971297458105488,1.0962496295936173,13.003162191971231
0.2,0.005292753152282675,0.01993854041391534,0.009228304528434372,0.0123806272925067,0.04430750193515267,0.025410993774092804,0.030366896566681782,0.01932520232408235,0.020309784654882673,0.08489694270228919,0.05285036512389078,0.06171215636704079,0.04474078880479436,0.04652256665924321,0.03469291884433584,0.03534850393043594,0.15966359741909542,0.10435265078503529,0.12306033745554842,0.09820347147763747,0.1026190480459171,0.0991501023172652,0.10176754572526725,0.34381657338593935,0.23898933157001054,0.3014027087587686,0.3967518673146666,0.3967518673146666,0.9666209794339713,12.732107987342559
0.25,0.005292733516617591,0.01993776712555042,0.0092283044885658,0.01238062725426434,0.04429790873671291,0.025410992520673185,0.03036689354546195,0.01932520232389898,0.020309784654637418,0.08482049006349998,0.05285031385879688,0.061712044052527545,0.04474078875227865,0.04652256659088568,0.03469291884430615,0.03534850393040139,0.15911999945857452,0.10435101771533342,0.12305659969104486,0.09820345788008204,0.10261902941619762,0.09915010151805691,0.10176754463661898,0.33858939466505766,0.23889354683049463,0.30110209631778717,0.3957454121542965,0.3957454121542965,0.824796036517591,12.430278939499944
0.30000000000000004,0.005292709517624205,0.01993682204137118,0.009228304432980148,0.01238062718527022,0.044286186692856916,0.025410990259686742,0.030366888095944518,0.019325202323417525,0.02030978465399321,0.0847271458695809,0.0528502214387993,0.06171184163032915,0.044740788614449696,0.04652256641149403,0.034692918844193836,0.0353485039302707,0.15845824469823805,0.10434808061009483,0.12304988586821076,0.09820342234819261,0.10261898076168438,0.09915009854656129,0.10176754059633064,0.3323147449923189,0.23872370666729095,0.3005751858452443,0.39366873676411956,0.39366873676411956,0.6825268615152766,12.118566818122183
0.35000000000000003,0.005292681155394213,0.01993570518900041,0.009228304357563827,0.012380627072176277,0.04427233758826233,0.025410986554156734,0.030366879165452994,0.019325202322332397,0.020309784652540925,0.0846169687177191,0.05285007008017795,0.06171151023096024,0.04474078830403299,0.04652256600750969,0.034692918843848335,0.03534850392986868,0.15767990308862734,0.10434328410069732,0.12303893853222582,0.09820334273949918,0.10261887182399322,0.09915008959066565,0.10176752844517158,0.32505793792766946,0.23845101635720395,0.2997407153438629,0.3900951820874895,0.3900951820874895,0.5491336639078046,11.812891633484039
0.4,0.005292648430035978,0.01993441660107963,0.009228304257456098,0.012380626899211187,0.044256363531005274,0.02541098088805651,0.030366865511252762,0.019325202320145222,0.0203097846496133,0.08449002771861386,0.05284983883278807,0.061711004116897214,0.04474078767898091,0.04652256519414317,0.03469291884293577,0.03534850392880692,0.15678681586952622,0.10433598021580662,0.12302229829354322,0.09820318340871752,0.10261865396086177,0.09915006648796343,0.10176749717652826,0.31689340008562694,0.23804389295796183,0.2985144090349701,0.38471659289988447,0.38471659289988447,0.43084147381607607,11.523416741246375
0.45,0.005292611341674534,0.01993295631526731,0.009228304127049456,0.012380626648182175,0.044238266952016846,0.025410972666509383,0.030366845701218406,0.019325202316096482,0.020309784644193443,0.0843464024265679,0.052849503613338886,0.061710270781300626,0.04474078652332963,0.046522563690514704,0.034692918840791245,0.03534850392631196,0.1557810886240953,0.1043254324637318,0.12299831670503868,0.09820289085246231,0.10261825427974464,0.09915001362747035,0.10176742582762931,0.30790341516014214,0.2374690135741572,0.29681342568992664,0.37739926353185255,0.37739926353185255,0.3308372510655502,11.255024939110644
0.5,0.005292569890451583,0.019931324374236798,0.009228303959990079,0.012380626298477132,0.044218050604456625,0.02541096121601901,0.0303668181146026,0.019325202309086832,0.020309784634809515,0.08418618275909336,0.05284903724363038,0.061709251061277046,0.04474078452534684,0.04652256109130022,0.03469291883619578,0.035348503920966064,0.1546650833647636,0.10431082046395045,0.12296517076786728,0.09820238896574265,0.10261756928961212,0.099149903673034,0.10176727786295789,0.29817676428269907,0.23669240386720586,0.2945605838403876,0.36818487616069095,0.36818487616069095,0.24979873045595458,11.008492271325215
0.55,0.005292524076525492,0.019929520825673976,0.00922830374917833,0.01238062582706699,0.0441957175630033,0.025410945784730188,0.03036678094290601,0.019325202297588183,0.020309784619415766,0.08400946890614713,0.05284840949367993,0.06170787926540628,0.04474078125306952,0.04652255683502082,0.03469291882705668,0.0353485039103356,0.1534414096924948,0.10429124509535548,0.12292087892362312,0.09820157401856679,0.10261645823070742,0.09914969203500898,0.10176699399555478,0.28780729486000506,0.23568052749076054,0.29168813793022497,0.3572535443125965,0.3572535443125965,0.1866239725702072,10.781866682040514
0.6000000000000001,0.005292473900071296,0.019927545722274637,0.009228303486769325,0.01238062520850839,0.0441712712230628,0.025410925542719887,0.030366732190847758,0.019325202279544637,0.02030978459525999,0.08381637122912508,0.05284758712966138,0.0617060833152258,0.044740776127342535,0.04652255016913047,0.034692918809967575,0.03534850389045998,0.15211291507568683,0.10426573412533077,0.12286331837693332,0.09820030946765917,0.10261473625059346,0.0991493101099766,0.10176648352313487,0.27689245064776297,0.23440133885510217,0.2881409265290276,0.34487227867174747,0.34487227867174747,0.13915226059781785,10.57172451443665
0.65,0.005292419361280691,0.019925399121741603,0.009228303164173552,0.012380624414946624,0.044144715299894145,0.02541089958231848,0.030366669677435735,0.019325202252263377,0.02030978455873762,0.08360701014975838,0.052846533966571,0.06170378490033101,0.044740768392480625,0.0465225401120723,0.034692918779622925,0.03534850385517158,0.1506826742992844,0.10423324828062787,0.12279024358103749,0.09819842072250061,0.10261216759943113,0.0991486574079197,0.10176561439051891,0.265531795427161,0.23282526490930902,0.28387876909458376,0.3313464241748579,0.3313464241748579,0.1047563028105263,10.374144887301549
0.7000000000000001,0.005292360460362036,0.019923081086781546,0.00922830277205756,0.012380623416118855,0.04411605382765337,0.025410866918460933,0.03036659103713619,0.019325202212295636,0.020309784505232575,0.0833815160290702,0.05284521092552626,0.06170089964671808,0.04474075708468681,0.046522525412488885,0.034692918728059886,0.03534850379521558,0.14915397813865466,0.10419268771821495,0.12269930570932362,0.09819568998658673,0.10260845901803337,0.09914759278263298,0.10176420231378981,0.25382556132486905,0.23092608620834404,0.2788780458562001,0.31698270645830307,0.31698270645830307,0.08076372030821233,10.185366406233722
0.75,0.005292297197540352,0.019920591685101557,0.009228302300344696,0.012380622179357616,0.044085291158355945,0.025410826489067853,0.03036649372114179,0.01932520215530787,0.02030978442894507,0.08314002903656402,0.05284357609559537,0.06169733729796489,0.044740740998370845,0.046522504505785746,0.03469291864369927,0.035348503697137004,0.14753032131637245,0.10414289885182344,0.12258807292829886,0.09819185129396872,0.10260325348889694,0.09914592506542359,0.10176199940282113,0.24187325065308135,0.22868169308101483,0.273132451111341,0.3020655896889114,0.3020655896889114,0.06471670939921197,10.002163509901024
0.8,0.005292229573057316,0.019917930989405416,0.00922830173821591,0.012380620669594592,0.04405243196075795,0.025410777155456192,0.030366374998737424,0.019325202075943265,0.020309784322706574,0.08288269900982882,0.05284158480004753,0.061693001908815964,0.04474071865052075,0.04652247546826054,0.034692918510156295,0.03534850354190136,0.14581538980326184,0.10408268148784411,0.12245405128212537,0.0981865858578569,0.10259612451328767,0.09914340346722249,0.10175868278861375,0.2297723172679852,0.2260746988845663,0.26665295947964474,0.28684493195487687,0.28684493195487687,0.05450315825171327,9.822010067104582
0.8500000000000001,0.005292157587171262,0.019915099077389618,0.009228301074110611,0.012380618849364661,0.04401748121915658,0.025410717702779428,0.030366231958762813,0.01932520196767371,0.02030978417778211,0.08260968530475916,0.052839189666906414,0.06168779205070884,0.044740688243289584,0.04652243596902251,0.03469291830479126,0.035348503303214346,0.14401304752782915,0.10401079622253634,0.12229470599567391,0.0981795178424545,0.10258657106680132,0.09913970815526311,0.10175384379528461,0.21761694999681813,0.22309289877098767,0.2594670845761058,0.27153171704403267,0.27153171704403267,0.04839816508637686,9.643100508118476
0.9,0.005292081240157178,0.0199120960317391,0.009228300295727592,0.01238061667881024,0.043980444232110324,0.02541064684049702,0.030366061511171112,0.019325201822642434,0.020309783983660165,0.08232115663660126,0.05283634070368175,0.06168160102875195,0.04474064762496786,0.04652238321993773,0.03469291799696981,0.035348502945506115,0.14212732256058114,0.10392597205122152,0.12210748300203521,0.09817021066141594,0.10257401337197823,0.09913444142519608,0.1017469781925677,0.2054969768206608,0.21972956876775432,0.25161753859468344,0.256298819862684,0.256298819862684,0.04505038481957951,9.46428743322727
0.9500000000000001,0.005292000532306703,0.019908921940122712,0.009228299390026,0.012380614115685877,0.04394132661107934,0.025410563202872934,0.030365860388682456,0.01932520163149743,0.0203097837278304,0.08201729091204836,0.05283298537614706,0.061674317109638783,0.04474059424951945,0.046522313923845815,0.03469291754600261,0.03534850242154545,0.14016239284164447,0.1038269141392382,0.12188983050154815,0.09815816389660795,0.10255778960992125,0.09912711987805965,0.10173747802582771,0.19349690438115613,0.21598360599896563,0.24316041909674962,0.24128447113249296,0.24128447113249296,0.04343928667717448,9.284978856184074
