Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(0),J_5s1/2(1),J_total_Nb_relativistic
0.0,0.04071097444019711,0.1482003131723966,0.07395328767564514,0.15219519940033885,0.36721422789781744,0.21907781151806552,0.44809365467179774,0.31090261533915436,0.4699012032283073,0.9287542804243104,0.6190362518720748,1.2689476259543881,1.4531796108729806,0.0,1.6940219483745385,8.194189004842013
0.05,0.04071079184689094,0.14819205653289896,0.07395328757790781,0.15219519917956184,0.36707128509429643,0.2190777919858219,0.44809361101614414,0.3109026153340311,0.4699012032202311,0.9263850623096734,0.6190326125338508,1.268939357373742,1.4531788977600484,0.0,1.6439953899735074,8.141629161738607
0.1,0.04071024407372602,0.14816728968420828,0.07395328669972655,0.15219519719286154,0.36664281508309937,0.21907761637312612,0.44809321852949285,0.3109026151652392,0.469901202954158,0.9193164636491674,0.6190001330055465,1.2688655988228374,1.453156807968183,0.0,1.503500515863337,7.993483005064709
0.15000000000000002,0.040709331140962535,0.14812602183360998,0.07395328328681294,0.15219518946859423,0.36592989148564004,0.21907693451765967,0.44809169471962895,0.3109026137622015,0.4699012007425746,0.9076645173903193,0.6188754782067213,1.2685827265855811,1.4529894821753426,0.0,1.2980229797897056,7.775021345105356
0.2,0.040708053082365726,0.14806826831951198,0.07395327441741653,0.15219516939223152,0.36493429842586483,0.21907516575926844,0.44808774230237797,0.3109026073206425,0.4699011905893528,0.8916188818741678,0.6185574825249303,1.2678618832224609,1.452310960167361,0.0,1.0608092261454036,7.518984203543356
0.25,0.040706409945203206,0.1479940506008508,0.07395325600541733,0.15219512771366991,0.3636585226994197,0.21907150332689085,0.44807955943612027,0.3109025863226235,0.46990115749424743,0.8714374193046822,0.6179133814407541,1.2664038460136122,1.45041699513886,0.0,0.8236995331928956,7.2563333486352475
0.30000000000000004,0.04070440179024125,0.1479033962422766,0.07395322280464936,0.15219505255744964,0.3621057428836889,0.2190649204233441,0.44806485391150624,0.31090253146332647,0.46990107103693035,0.8474389410003815,0.6167868587498344,1.2638581357195084,1.4462974087833096,0.0,0.6105139263187715,7.009690463685219
0.35000000000000003,0.040702028691740014,0.14779633889513283,0.07395316841444956,0.15219492943586854,0.3602798154610829,0.21905417795189225,0.4480408611598941,0.3109024085803763,0.46990087739353636,0.8199944295359871,0.6150073162421636,1.2598448821745858,1.4387973484851277,0.0,0.4345361598343829,6.79100474225622
0.4,0.04069929073744771,0.1476729182742513,0.07395308528642437,0.15219474126497237,0.35818525804745466,0.21903783381367675,0.4480043659080337,0.3109021627047587,0.46990048997575184,0.7895171027793915,0.6123997102760559,1.2539778226557794,1.4268367502443038,0.0,0.2995106980176869,6.602792229985989
0.45,0.040696188028593726,0.14753318013058817,0.07395296473242509,0.1521944683833991,0.35582722983617365,0.2190142536911077,0.4479517272727032,0.3109017113727457,0.4698997789148378,0.7564517183895926,0.6087942975257228,1.245886824886395,1.4096023249960192,0.0,0.20250182273088319,6.441208490891187
