Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_total_Cn_relativistic
0.0,0.0050801080162358086,0.019281555689882136,0.008871495349867874,0.01211931926225862,0.04298815798889694,0.024589258881467825,0.029682709108379366,0.01887728901752891,0.01987769894954624,0.08228620709021492,0.051083488481285654,0.06010430236371088,0.04352178426421204,0.04531184543445307,0.03370100385316358,0.034357952065617946,0.15440091625675198,0.10019170625739848,0.11891342642329553,0.09447305547185553,0.09878598417446245,0.0932275030427132,0.09559493232267142,0.3326810366069338,0.22427051705005385,0.28496052322134574,0.3083213024709662,0.36033820944445843,1.2274492829635821,13.377318852178451
0.05,0.005080106037926149,0.019281477648562424,0.008871495346505238,0.012119319262076156,0.042987185214796005,0.02458925887581014,0.029682709094082823,0.018877289017528873,0.019877698949546187,0.0822784833394774,0.05108348825171176,0.06010430184056025,0.04352178426420162,0.04531184543443939,0.03370100385316358,0.034357952065617946,0.15434659562259417,0.10019169913674361,0.11891340954228707,0.09447305546936278,0.09878598417103142,0.09322750304270913,0.095594932322666,0.33217102141596927,0.22427013066201976,0.2849592323624281,0.3083212603042979,0.3603380007117995,1.2069983436424347,13.33526330709881
0.1,0.00508010010300435,0.019281243526750154,0.008871495336102044,0.012119319260434006,0.04298426703189017,0.024589258824950277,0.029682708965422754,0.018877289017527624,0.01987769894954451,0.08225531664185978,0.051083486186586716,0.060104297133492066,0.043521784263857825,0.0453118454339881,0.033701003853163554,0.03435795206561791,0.1541837541753248,0.10019163510068399,0.11891325778115976,0.09447305538722064,0.09878598405798644,0.09322750304218708,0.0955949323219696,0.33064592588534464,0.22426666735250475,0.2849476954110358,0.3083199254000467,0.3603315742932739,1.1479471040874178,13.213634571867189
0.15000000000000002,0.005080090211491954,0.01928085333088583,0.00887149531771247,0.012119319254048017,0.04297940385833653,0.024589258627240176,0.02968270846513189,0.01887728901751727,0.019877698949530558,0.0822167206568172,0.05108347815874569,0.06010427883609146,0.043521784260994206,0.04531184543022921,0.03370100385316301,0.03435795206561727,0.15391275285526568,0.10019138637572524,0.11891266862366977,0.09447305470422558,0.09878598311825551,0.09322750303288453,0.09559493230956825,0.32812052078885084,0.22425328504936176,0.2849033176196401,0.3083094818235827,0.36028332868299956,1.056721022201489,13.024963398687309
0.2,0.005080076363424861,0.01928030707170325,0.00887149528976022,0.012119319237445005,0.042972596390950725,0.024589258113307495,0.02968270716457826,0.018877289017469677,0.019877698949466283,0.08216271813568204,0.05108345729639473,0.06010423129243235,0.04352178424780913,0.04531184541292281,0.033701003853158655,0.034357952065612186,0.15353419181408648,0.10019074083371945,0.11891114066178998,0.09447305156715867,0.09878597880333717,0.09322750295897224,0.09559493221111845,0.32461916142330294,0.2242188123070253,0.2847897437336418,0.3082652982884551,0.36008992702322346,0.9425864094090742,12.786943525960313
0.25,0.005080058558853332,0.019279604764228953,0.008871495250038648,0.012119319202963365,0.04296384560503771,0.024589257046117283,0.029682704463985334,0.018877289017314006,0.019877698949255843,0.08209334090004484,0.05108341399331981,0.06010413262917365,0.04352178420466808,0.04531184535630052,0.03370100385313651,0.03435795206558632,0.1530489082988434,0.1001894032277007,0.1189079777469731,0.094473041335397,0.09878596473570732,0.09322750258741025,0.09559493171673895,0.320175400036599,0.22414808755155818,0.2845587256920911,0.308135401843609,0.35955746123390003,0.81595778441211,12.518874634386467
0.30000000000000004,0.005080036797841989,0.01927874642778144,0.008871495195710918,0.01211931914075392,0.042953152754154934,0.024589255121058234,0.02968269959274001,0.018877289016905312,0.019877698948703084,0.0820086298115283,0.05108333592315564,0.06010395480039033,0.04352178409143608,0.04531184520769612,0.03370100385305275,0.034357952065488466,0.15245797370426223,0.10018699691074516,0.11890229474763629,0.09447301458578004,0.09878592797638958,0.09322750120066854,0.09559492987404454,0.3148314558495695,0.2240224169121927,0.28415257228514007,0.3078354588511308,0.35841699519854125,0.686760168619858,12.238469766329944
0.35000000000000003,0.005080011080469812,0.019277732085970178,0.00887149512331022,0.012119319038781022,0.042940519369808,0.024589251966053546,0.029682691609788304,0.018877289015984212,0.01987769894745694,0.08190863473299477,0.051083208057690045,0.06010366364503622,0.04352178383639721,0.0453118448730176,0.03370100385279502,0.03435795206518742,0.15176268980777835,0.10018306602665634,0.11889302485934251,0.09447295461909834,0.09878584562014472,0.09322749700238242,0.09559492430402995,0.3086375548086346,0.22382013448717322,0.2835070321835103,0.3072523092105371,0.35637433790336615,0.5632083518011572,11.95973795091801
0.4,0.005079981406830139,0.019276561766694365,0.00887149502874003,0.012119318882823879,0.04292594726107888,0.024589247141696316,0.02968267940411848,0.018877289014127687,0.019877698944944823,0.08179341448123921,0.051083012689173354,0.060103218956906214,0.04352178332280852,0.04531184419912753,0.0337010038521142,0.034357952064392225,0.1509645842058296,0.1001770781582322,0.11887892839993303,0.09447283451992909,0.09878568079613771,0.09322748611672277,0.09559490988733092,0.3016511540036407,0.22351724558168382,0.28255444088683773,0.3062553163051181,0.35317044213163873,0.4511667799173586,11.692124073912705
0.45,0.005079947777030666,0.019275235502141504,0.00887149490727441,0.012119318656478143,0.04290943851418689,0.024589240141409407,0.02968266169533133,0.018877289010691037,0.019877698940294102,0.08166303677123098,0.051082729456595394,0.060102574566937225,0.04352178237314579,0.04531184295321278,0.033701003850513986,0.034357952062523324,0.15006540497375948,0.1001684274159419,0.11885860300842695,0.09447261383085258,0.0987853781656023,0.09322746106552969,0.09559487677651825,0.2939360680191703,0.22308813101507247,0.28122695419674326,0.30471202488791965,0.34862816996812984,0.3540592895732617,11.440684137412282
