Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(2),J_total_Po_relativistic
0.0,0.008514055206836216,0.030465767503967685,0.014738073806548594,0.01691666633912925,0.06691124023262715,0.03903664625214744,0.042634595867363866,0.027417289466055077,0.02820461711932755,0.135627294133226,0.08507626671946747,0.09286834522105968,0.06924953770305053,0.07107086357925473,0.057627985820423853,0.05840949445268566,0.29858260729509406,0.19748242004293248,0.21885159374243668,0.19854683040457716,0.2059607596465474,0.8631344845791453,0.6826596020270205,0.8479216078525512,11.850700878892624
0.05,0.008514047754809803,0.03046547252665422,0.01473807380473526,0.01691666633819261,0.06690759075844363,0.03903664619695817,0.042634595781663606,0.02741728946605455,0.028204617119326925,0.13559377736742415,0.0850762638159607,0.09286834072146863,0.06924953770274375,0.07107086357888767,0.05762798582042377,0.05840949445268557,0.2982313479629121,0.19748222527265674,0.218851267290084,0.19854682972433077,0.2059607587328561,0.8555478727835393,0.6825485738130223,0.8476012926638592,11.833885784670555
0.1,0.008514025398787395,0.03046458761375898,0.014738073796125543,0.016916666329763092,0.06689664359597919,0.03903664570031741,0.042634595010470316,0.027417289466037154,0.028204617119306306,0.13549327934573585,0.08507623769927274,0.09286830025225108,0.0692495376926283,0.07107086356678562,0.057627985820413195,0.05840949445267354,0.2971801853700298,0.19748047778899974,0.2188483405668015,0.19854680748428985,0.20596072889025235,0.8332298031984406,0.6815969761053753,0.8449237411261449,11.779648628688832
0.15000000000000002,0.008513988138939471,0.030463112822415126,0.014738073771210856,0.01691666629698309,0.06687840252475619,0.03903664376930338,0.04263459201205161,0.02741728946589226,0.028204617119134516,0.13532595676127823,0.08507613622425211,0.09286814303741431,0.06924953760844343,0.07107086346607443,0.05762798582022399,0.05840949445245826,0.2954369332327294,0.19747371515637094,0.2188370277933713,0.19854662479640417,0.20596048412651521,0.7974588466761573,0.6781647170847531,0.8356223190051673,11.678716873188261
0.2,0.008513935975550163,0.03046104824783702,0.014738073714145412,0.016916666211760564,0.06685287384152598,0.03903663875003654,0.042634584218669974,0.027417289465224974,0.028204617118343295,0.13509207032295908,0.08507587272646082,0.09286773490065416,0.06924953722128435,0.07107086300295688,0.05762798581871245,0.058409494450738675,0.29301450668686735,0.19745625617910867,0.2188078717956054,0.1985457996022461,0.20595938084721147,0.7502179009354938,0.6701437866179517,0.814985003406639,11.521386904800188
0.25,0.00851386890901725,0.03045839402330883,0.014738073602748997,0.01691666603477497,0.0668200663565923,0.03903662832916358,0.042634568039305085,0.027417289463040853,0.028204617115753457,0.13479198408777537,0.08507532638714778,0.09286688893813905,0.06924953595645975,0.0710708614901705,0.05762798581106075,0.058409494442035303,0.2899307627548605,0.19742033261263436,0.21874801598723365,0.19854316569855684,0.20595586877207303,0.6939972478208455,0.6556239359832845,0.7799711615792804,11.302692040033987
0.30000000000000004,0.008513786939852145,0.03045515032016863,0.014738073408510863,0.016916665715485616,0.0667799913886683,0.03903660953593287,0.04263453886346027,0.027417289457305476,0.028204617108952692,0.13442616452948147,0.08507434274172347,0.09286536645494542,0.06924953264299834,0.0710708575277391,0.05762798578225906,0.058409494409281865,0.2862082810542108,0.19735626848525725,0.21864157204744022,0.1985364601301756,0.20594695668693397,0.6315631446372755,0.6334295011339847,0.7303331064020641,11.025253000311068
0.35000000000000003,0.008513690068679898,0.03045131734778791,0.014738073096594726,0.016916665192142327,0.06673266275827197,0.039036578744858996,0.0426344910660484,0.027417289444379822,0.028204617093626216,0.13399517934705682,0.08507273432926568,0.09286287815973066,0.06924952519686453,0.07107084862486793,0.05762798569418103,0.0584094943091439,0.28187408868029595,0.19725270217365176,0.21847007089767276,0.19852189285289693,0.20592766998435663,0.5657242264397263,0.6033792917028701,0.6684868788591609,10.699068781190725
0.4,0.008513578296239176,0.030446895353546586,0.014738072625844877,0.016916664391798543,0.06667809677966517,0.03903653167897381,0.042634418013351084,0.027417289418332706,0.028204617062741803,0.13349969601735265,0.08507028147990725,0.09285908561075124,0.06924951024175308,0.07107083074784638,0.057627985463137014,0.05840949404653993,0.2769593341500522,0.19709684528582935,0.21821298199928002,0.19849375453430532,0.20589057760536,0.49912410904859955,0.5662531869703146,0.5985411631224167,10.339090416102602
0.45,0.008513451623382257,0.03044188462280344,0.014738071948793396,0.01691666323032674,0.06661631225134364,0.039036463413660266,0.04263431207004376,0.02741728937013175,0.028204617005591053,0.13294048009722612,0.08506673323629622,0.09285360290490574,0.0692494826720952,0.07107079779977445,0.05762798492440608,0.05840949343441928,0.2714989161275596,0.1968747715211335,0.21784828405253104,0.19844411340133405,0.20582545619305742,0.43408029948971427,0.5235494152249561,0.5251096800399095,9.962037033011358
