Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Pu_relativistic
0.0,0.007146433358478192,0.02588151894523861,0.012365068522457631,0.014872428408616025,0.0568020021373001,0.0329702337925206,0.03701396953328296,0.023695605747559776,0.0245567036410667,0.11200720620330303,0.0700432235835853,0.07803070148416723,0.05733582135116275,0.05909513143316789,0.04556874521491779,0.04624442856158199,0.22581897220591918,0.14790752800451007,0.16606600398358756,0.13810668434653278,0.14298835284650066,0.2158402382182244,0.5378292995557534,0.37698299182925,0.44979677061552986,2.083423192793693,14.536277740361694
0.05,0.007146428704042115,0.02588133601989158,0.012365068520363832,0.014872428408119979,0.05679976168560004,0.032970233768615,0.037013969490768364,0.02369560574755959,0.02455670364106647,0.11198805319536662,0.07004322248294222,0.07803069959231648,0.05733582135108722,0.05909513143307517,0.045568745214917786,0.046244428561581986,0.22565829064242898,0.14790748072049864,0.1660659192820931,0.13810668430833037,0.142988352797174,0.21584016952493432,0.5358261750692159,0.3769779239809798,0.4497842814743191,1.9939673720546411,14.35293437646721
0.1,0.007146414740760865,0.025880787252514,0.01236506851268798,0.01487242840365567,0.05679304088965994,0.0329702335534831,0.03701396910817769,0.02369560574755344,0.024556703641058875,0.11193061477857028,0.0700432125811824,0.0780306825735658,0.057335821348596,0.059095131430017045,0.0455687452149171,0.04624442856158121,0.22517696578773994,0.14790705588443412,0.1660651586082834,0.13810668305191537,0.14298835117536254,0.21583409446402516,0.5298644889162769,0.37693287018248245,0.44967392166360715,1.749762553676537,13.85093727957901
0.15000000000000002,0.007146391468715385,0.025879872669095656,0.012365068495246902,0.014872428386295067,0.05678184142672422,0.03297023271697168,0.03701396762057368,0.023695605747502266,0.02455670364099561,0.11183495273789082,0.0700431740973821,0.0780306164378165,0.0573358213278533,0.059095131404555315,0.04556874521490477,0.04624442856156723,0.22437715191534283,0.14790540813312328,0.16606221041974287,0.13810667263657916,0.1429883377368989,0.21577068940476635,0.5200853616627416,0.37676099669445023,0.4492568545595636,1.4120224012378342,13.151675487960008
0.2,0.007146358888040577,0.025878592312950303,0.012365068461069235,0.014872428341159755,0.0567661660914143,0.03297023054246566,0.03701396375373873,0.023695605747266618,0.0245567036407042,0.11170116992817324,0.07004307412516858,0.07803044466640296,0.05733582123239688,0.05909513128739025,0.04556874521480605,0.04624442856145531,0.2232624220891321,0.14790114043876454,0.16605458254614655,0.138106624996913,0.1429882763067319,0.215503723622243,0.5067176414869891,0.37632633440054364,0.4482161736601276,1.0528310973652146,12.397352080959354
0.25,0.0071463169989253025,0.025876946244711867,0.012365068400396327,0.014872428247423375,0.05674601879455017,0.032970226027348296,0.03701395572519098,0.0236956057464953,0.024556703639750245,0.11152941009427059,0.07004286672526182,0.07803008840879326,0.057335820920280826,0.05909513090432701,0.04556874521430491,0.04624442856088721,0.22183774226465383,0.1478923217937039,0.16603884226309565,0.13810647045577504,0.14298807718638723,0.21484312360639599,0.4900687793140543,0.3754558940321003,0.4461682366090681,0.7301242014261278,11.70142348953079
0.30000000000000004,0.007146265801612379,0.025874934542329107,0.012365068300683492,0.01487242807831506,0.05672140456150165,0.032970217883644924,0.03701394124560547,0.023695605744469703,0.024556703637244857,0.11131985761986729,0.07004249305461699,0.07802944675687788,0.05733582010176667,0.05909512989986691,0.045568745212412116,0.04624442855874169,0.22010943540639197,0.14787651160947118,0.16601067135481032,0.13810606912249795,0.14298756058521217,0.21368188593004533,0.4705128271131881,0.373954749473411,0.4427109531498908,0.4754147153246291,11.12501228365825
0.35000000000000003,0.007146205296398577,0.025872557301058748,0.01236506814660162,0.01487242780112383,0.05669232953007026,0.03297020453884984,0.037013917520639115,0.02369560573990407,0.024556703631597662,0.111072737205611,0.07004188153175336,0.07802839709576057,0.05733581826004958,0.05909512764005558,0.045568745206600224,0.046244428552154465,0.21808513599031845,0.14785079047839095,0.16596493515437097,0.13810517656872556,0.1429864130036644,0.21204502289740468,0.4484762538915835,0.3716225379834793,0.4374719302211591,0.2951900152940601,10.680191770516453
0.4,0.007146135483634617,0.025869814633457104,0.012365067920039151,0.014872427377203979,0.05665880094790317,0.032970184136935636,0.03701388125315769,0.02369560573070207,0.02455670362021576,0.11078831347735302,0.07004094803774041,0.0780267955296647,0.05733581455563898,0.059095123095391736,0.04556874519128266,0.04624442853479558,0.21577373535753686,0.14781179685667592,0.16589576430221933,0.13810340545263525,0.1429841388679993,0.2100376692899703,0.4244223701335667,0.3682697804584289,0.43015011612130055,0.1797604847867036,10.347539814417562
0.45,0.007146056363725164,0.02586670666937018,0.012365067600104406,0.014872426761981432,0.05662082716944065,0.03297015453954421,0.037013828645862834,0.02369560571367,0.024556703599149146,0.11046689052546949,0.07003959615219807,0.07802447738127437,0.05733580771514063,0.05909511470476545,0.04556874515537463,0.04624442849410784,0.2131853184750107,0.1477557691464937,0.1657966477446796,0.13810018496074708,0.142980009967752,0.2077766679273483,0.3988351869382,0.36373257387155694,0.42054633220117926,0.11281486055003735,10.094958136579644
0.5,0.007145967937128822,0.025863233555922235,0.012365067163128267,0.014872425904961075,0.056578417652399064,0.03297011332735863,0.037013755404316576,0.023695605684187136,0.024556703562683233,0.11010881137640485,0.0700377174235578,0.07802125776254358,0.05733579590530964,0.05909510022155216,0.045568745078640165,0.04624442840717272,0.2103310927418973,0.1476785925824376,0.1656605353089898,0.13809472004715392,0.14297301536999424,0.2053541645087715,0.3722035122428893,0.35788451069271227,0.4085803337193604,0.07806357342665844,9.890800738899506
0.55,0.00714587020435813,0.025859395457502855,0.012365066582667221,0.014872424749735057,0.05653158295379146,0.032970057801654726,0.037013656740360557,0.02369560563583372,0.024556703502879106,0.10971445739774405,0.07003519167272312,0.07801693221473098,0.057335776593358964,0.05909507654313672,0.04556874492650237,0.046244428234840124,0.20722330955385382,0.147575850266304,0.165479948043418,0.13808595246975783,0.14296181447471462,0.2028303984352841,0.3450060101044917,0.3506450769765033,0.3942942814540956,0.062434345033892696,9.71022259278996
