Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_7p1/2(1),J_total_Lr_relativistic
0.0,0.0060665755632673315,0.02237621494286046,0.010527868559158514,0.01337488440870111,0.04935036828318194,0.028472567336432664,0.03299249518787563,0.021047102145359157,0.02197701147956669,0.09560671602977863,0.05960961713371589,0.06800224497001074,0.04954428978949621,0.05130440605816111,0.03869349068720424,0.03934892932935511,0.18537032633880662,0.12086118972435393,0.13960318893135376,0.11350610828477946,0.11834650538805022,0.13393076246815763,0.13973224198297357,0.44556638732228504,0.3080893694917324,0.3869582618938858,1.6515167370986445,1.4152653882219557,14.300369993301706
0.05,0.006066572511376471,0.02237609513105805,0.010527868556532139,0.01337488440840629,0.049348896671149965,0.028472567324833657,0.03299249516379986,0.021047102145359074,0.021977011479566586,0.09559468486314081,0.05960961663979749,0.06800224401011783,0.049544289789469904,0.05130440605812779,0.03869349068720424,0.03934892932935511,0.1852784833947641,0.1208611718412424,0.13960315189866176,0.11350610827496681,0.11834650537468809,0.1339307624668653,0.13973224197985987,0.4444204028980363,0.30808752541157747,0.38695249288212813,1.6048120824823664,1.4122051239743159,14.201370560590137
0.1,0.006066563355717858,0.02237573569997593,0.010527868547982846,0.013374884405752966,0.0493444821127556,0.028472567220458996,0.03299249494713626,0.02104710214535641,0.021977011479563158,0.0955586008792475,0.059609612196189966,0.06800223537411232,0.049544289788602126,0.05130440605702867,0.03869349068720412,0.039348929329354965,0.1850032417086207,0.1208610110769233,0.13960281911877725,0.1135061079518829,0.11834650493483957,0.13393076230466663,0.13973224159245518,0.44100127451852456,0.30807106266752216,0.38690126042319245,1.4732663496671572,1.3887568112261086,13.907120747301805
0.15000000000000002,0.006066548096333396,0.022375136662589133,0.010527868531500189,0.013374884395434774,0.04933712544101486,0.02847256681460932,0.032992494104667466,0.021047102145334253,0.0219770114795346,0.09549849261398492,0.059609594923339705,0.0680022018081576,0.04954428978137506,0.05130440604787524,0.03869349068720189,0.039348929329352404,0.18454546127224855,0.12086038700288995,0.13960152811067564,0.11350610526895542,0.11834650128360877,0.13393075951689715,0.13973223502340937,0.4353649489194165,0.30800784900112527,0.3867061399555647,1.279784983784011,1.3170678344295705,13.435231071749156
0.2,0.0060665267332929255,0.022374298040521743,0.01052786850373365,0.013374884368608564,0.049326828043992445,0.028472565759564212,0.03299249191466952,0.02104710214523228,0.02197701147940306,0.09541440758660441,0.059609550041988195,0.06800211460629343,0.049544289748105985,0.051304406005740724,0.03869349068718406,0.03934892932933191,0.1839065705954825,0.120858768617532,0.13959818325330692,0.11350609296784192,0.11834648455124247,0.1339307384057954,0.13973218614756405,0.4276029329957828,0.3078464796160375,0.38621385159519683,1.0545825156344157,1.1833893662340689,12.831845743560349
0.25,0.006066499266694222,0.022373219864045436,0.010527868459992958,0.013374884312895588,0.049313591864358824,0.028472563568749915,0.03299248736736914,0.02104710214489856,0.021977011478972415,0.09530641223896114,0.05960945690311999,0.06800193368592959,0.049544289639279995,0.0513044058679253,0.038693490687093435,0.03934892932922776,0.18308855952719774,0.12085541888387083,0.1395912684381109,0.11350605293929661,0.11834643013851796,0.13393063845539727,0.13973195967034374,0.4178397635194201,0.30751933548609683,0.3852310296762071,0.8271213537227002,1.000259998589133,12.167763249779508
0.30000000000000004,0.006066465696662994,0.022371902172077435,0.01052786839424856,0.013374884212383158,0.049297419398770484,0.02847255961697397,0.032992479165583406,0.02104710214402221,0.02197701147784131,0.09517459185060231,0.05960928902979344,0.0680016076932224,0.04954428935374001,0.05130440550635537,0.0386934906867508,0.039348929328834006,0.18209396927647437,0.12084940102054907,0.13957886454764265,0.11350594858780168,0.11834628840240984,0.13393029116526206,0.1397311921512903,0.40622961256657125,0.3069465511761665,0.3835423846189673,0.6200787432418112,0.7969740158514959,11.516910899299061
0.35000000000000003,0.006066426023352883,0.022370345012177887,0.010527868299132203,0.013374884047626778,0.04927831369707359,0.028472553140726706,0.032992465725541355,0.021047102142046907,0.021977011475291516,0.09501905042985885,0.05960901417075808,0.06800107413802135,0.04954428871085735,0.05130440469238346,0.03869349068569738,0.039348929327623516,0.18092587970467802,0.12083958648514342,0.1395586715301449,0.11350571544910365,0.11834597204314963,0.13392932275118105,0.13972911066089175,0.3929521661072504,0.3060406146691649,0.3809302254266009,0.4467849213214182,0.6028185832946197,10.934535299890204
0.4,0.006066380246945462,0.022368548440546664,0.010527868165937662,0.01337488379565275,0.049256278361331486,0.028472543238549346,0.032992445177887006,0.021047102138065443,0.021977011470151808,0.09483991058113712,0.059608594365735554,0.06800025955798503,0.049544287416840395,0.051304403054201406,0.03869349068291692,0.03934892932442875,0.17958789397835612,0.12082466457274267,0.13952803478078876,0.11350525036675015,0.1183453416463558,0.13392703204579495,0.13972433256355202,0.3782079385771807,0.3047112891175489,0.37719330793934447,0.3117855695211463,0.4366786447802702,10.448005656308213
0.45,0.006066328367650233,0.022366512522019554,0.010527867984621594,0.013374883429961253,0.049231317544676384,0.028472528871468564,0.03299241536886292,0.02104710213069539,0.021977011460637498,0.09463731334865093,0.05960798602221438,0.06799907971138001,0.04954428502537182,0.05130440002712409,0.038693490676387894,0.0393489293169276,0.17808412069106064,0.1208031535375407,0.1394839754859782,0.11350439958077459,0.1183441899002801,0.13392226283433573,0.1397146929457482,0.36221320269750135,0.3028705407872916,0.37216323752981467,0.2131980888153081,0.30559107119457757,10.060143614119939
