Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(2),J_7s1/2(2),J_total_Rf_relativistic
0.0,0.005953012236823575,0.022014473924209115,0.010336498629058857,0.013224627392107311,0.048596159424520516,0.02801522111993946,0.03259353963692149,0.02078510191538671,0.02172276130855102,0.09399599640322678,0.05858280993084695,0.06703470325624178,0.04880162686077404,0.05056410627750144,0.03806502731159253,0.038719969972913826,0.18154866882681178,0.11830864683411932,0.13706024693992475,0.1111209462279676,0.11590440640450196,0.12673788766315544,0.13151948796193785,0.4309141033379598,0.2967821084003785,0.37294314786127986,0.6120970694980041,1.6190838421398517,13.746593779044542
0.05,0.005953009326184065,0.02201435963136279,0.010336498626360109,0.013224627391828316,0.04859475414414669,0.028015221109227943,0.032593539614249094,0.020785101915386635,0.021722761308550925,0.09398455259799261,0.05858280947773757,0.0670347023616954,0.04880162686075044,0.050564106277471425,0.03806502731159253,0.038719969972913826,0.18146214373229802,0.11830863072487192,0.13706021309319386,0.11112094621959966,0.11590440639309164,0.12673788766272168,0.13151948796108925,0.42987036008802787,0.29678057805348573,0.3729383325670354,0.6120881131022555,1.5749813349040016,13.656061888323455
0.1,0.005953000594278517,0.022014016756827487,0.010336498617646558,0.0132246273893174,0.04859053856019886,0.02801522101284263,0.03259353941021435,0.020785101915384192,0.02172276130854777,0.09395022993877536,0.05858280540129202,0.06703469431352159,0.04880162685997168,0.0505641062764813,0.03806502731159243,0.03871996997291371,0.18120282864319312,0.118308485900071,0.13705990892513828,0.11112094594405059,0.11590440601744324,0.12673788760784582,0.1315194878542303,0.42675525434424494,0.29676690740715933,0.37289552753508853,0.6118395475275301,1.4505029420102975,13.399581236348075
0.15000000000000002,0.0059529860411458736,0.022013445312613983,0.010336498601066342,0.013224627379553,0.04858351344411837,0.028015220638061306,0.03259353861684873,0.020785101915363903,0.021722761308521493,0.09389305468419827,0.0585827895554756,0.06703466303182622,0.04880162685348584,0.050564106268235445,0.038065027311590546,0.03871996997291154,0.18077150288409255,0.1183079236590305,0.13705872880859785,0.11112094365544171,0.11590440289851771,0.1267378866528837,0.13151948600814733,0.4216167344816792,0.29671436254908606,0.3727322528548916,0.6102307256762283,1.2666499965533151,13.016624195111223
0.2,0.005952965666851038,0.022012645318739355,0.010336498573533222,0.013224627354166565,0.04857368008137549,0.028015219663780372,0.03259353655448501,0.020785101915270526,0.021722761308400448,0.09381307056254398,0.058582748381277194,0.06703458176244552,0.048801626823628104,0.05056410623027753,0.038065027311575475,0.03871996997289419,0.18016946114222357,0.11830646546155196,0.13705567085764517,0.11112093315962653,0.11590438860156084,0.1267378793018131,0.1315194719334746,0.41453331891820694,0.2965800357970386,0.3723194050793176,0.6048815717910117,1.0513240901970422,12.557785988909405
0.25,0.005952939471484877,0.022011616803225678,0.010336498530726873,0.013224627301443673,0.048561040271071575,0.028015217640664943,0.03259353227217759,0.020785101914964955,0.021722761308004164,0.09371033871768672,0.05858266293323808,0.06703441314529733,0.04880162672595745,0.05056410610611856,0.0380650273114989,0.03871996997280603,0.17939850721686548,0.1183034468436822,0.13704934806641578,0.11112089899448475,0.11590434209190104,0.12673784378802744,0.1315194047409146,0.40561205999867367,0.29630720240548697,0.37149281297648795,0.5930616358848086,0.8320547312714135,12.072104722910042
0.30000000000000004,0.005952907455164216,0.022010359802098183,0.010336498467093298,0.01322462720632555,0.04854559632538235,0.028015213991358864,0.03259352454829046,0.020785101914162534,0.0217227613069633,0.09358493763352993,0.058582508916509804,0.06703410930979649,0.04880162646967581,0.050564105780362634,0.03806502731120934,0.03871996997247269,0.17846094532838916,0.11829802284876399,0.13703800370477226,0.11112080989253699,0.11590422088803093,0.12673771742391315,0.13151916898539895,0.3949858045991058,0.2958283975390185,0.370067590821382,0.573195671052885,0.6304377205904592,11.599006852493135
0.35000000000000003,0.005952869618031837,0.022008874359382907,0.010336498375845354,0.013224627050411055,0.04852735106884257,0.028015208010754522,0.0325935118912525,0.020785101912353884,0.021722761304616905,0.09343696303708159,0.05858225673435898,0.06703361199705912,0.04880162589263696,0.05056410504697586,0.03806502731031901,0.038719969971447846,0.17735956904610617,0.11828917492348442,0.13701953077594417,0.11112061072820596,0.11590395021388204,0.12673735545773143,0.13151850431863377,0.3828098553377712,0.2950690147539823,0.36785379049531586,0.5455878863918995,0.459624221278246,11.164796119166098
0.4,0.005952825960256484,0.0220071605271038,0.010336498248963405,0.013224626811959092,0.048506307837472354,0.028015198866322335,0.03259349254047941,0.02078510190870832,0.021722761299887143,0.09326652778033657,0.05858187154601376,0.06703285270854378,0.04880162473108175,0.050564103570884165,0.03806502730796875,0.038719969968742725,0.176097647910094,0.11827571921526639,0.13699149529100935,0.11112021319893318,0.11590341052041211,0.12673647364066679,0.13151691310886568,0.3692581561617898,0.29395120115056284,0.36467181980957525,0.5120309507941604,0.32463533804292793,10.782561438743482
0.45,0.005952776482032852,0.022005218365279324,0.010336498077196075,0.013224626465891459,0.048482470477745676,0.028015185598499685,0.03259346446746179,0.020785101901960014,0.021722761291131598,0.09307376170117236,0.05858131333472391,0.06703175288070168,0.04880162258426557,0.05056410084312461,0.03806502730244918,0.038719969962390376,0.1746789118374542,0.11825631619472556,0.13695116306870053,0.11111948552860672,0.11590242380232096,0.12673457894146928,0.13151355760091288,0.3545191395968778,0.2923978164063593,0.36036625069951245,0.4749203102177756,0.224373007804131,10.454480896165748
0.5,0.005952721183581593,0.022003047941918524,0.010336497850061141,0.013224625983796142,0.048455843345401324,0.02801516712113914,0.0325934253770184,0.02078510189027699,0.021722761275973394,0.09285881146350075,0.05858053698588402,0.06703022408513405,0.04880161887417147,0.05056409612981271,0.03806502729062997,0.03871996994878938,0.17310753341792878,0.11822948151517096,0.1368955297272367,0.11111824151225831,0.11590073917718122,0.12673089626891407,0.1315071625045817,0.3387913796704064,0.29033623255835106,0.3548169442637772,0.43651138927509053,0.15411060332426385,10.17535951864211
0.55,0.005952660065149308,0.022000649333016563,0.01033649755584652,0.013224625333931038,0.04842643130409704,0.02801514222201567,0.032593372708713875,0.020785101871113168,0.021722761251109335,0.09262184037695395,0.05857949237504737,0.0670281682536825,0.04880161280052985,0.05056408841522459,0.038065027267143677,0.038719969921765664,0.17138810821732137,0.11819359801038956,0.1368213534982993,0.11111622924194904,0.1158980182203646,0.12672430071488006,0.1314959389084858,0.32227919445337005,0.287701776476713,0.34794680959720925,0.3985469388523883,0.10764432697678526,9.936214851514245
0.6000000000000001,0.0059525931270085495,0.02199802262254976,0.010336497181611393,0.013224624481228112,0.04839423972390735,0.02801510956339259,0.032593303638439715,0.020785101841043582,0.021722761212096327,0.09236302819641865,0.058578124465636344,0.06702547792780779,0.04880160329139101,0.05056407633932731,0.038065027223265574,0.038719969871285405,0.1695256332196289,0.11814692872233902,0.1367251904624061,0.11111311986471689,0.11589382055929937,0.12671326442786454,0.1314775416269605,0.3051883357378842,0.2844406540174785,0.3397259255124085,0.36218708792954785,0.07877004081657875,9.727103769282817
0.65,0.005952520369457814,0.02199516790247009,0.01033649671318743,0.013224623387298006,0.04835927447966578,0.02801506768264595,0.03259321508015747,0.020785101795583027,0.021722761153116336,0.09208257090176597,0.05857637341613434,0.06702203653154457,0.048801588949521524,0.050564058130123476,0.03806502714542714,0.0387199697817477,0.1675254835500837,0.11808763084197492,0.13660343178017367,0.11110849672428372,0.11588759022484238,0.1266958251074961,0.1314490661181395,0.2877218913502166,0.28051223964033256,0.3301721319219027,0.3280969332006253,0.06209283055677689,9.538915323657665
0.7000000000000001,0.005952441792821544,0.021992085272699163,0.010336496135180142,0.013224622010435061,0.048321541949152225,0.028015014992946983,0.03259310368780293,0.020785101728988318,0.021722761066720216,0.09178068045815906,0.058574174696523686,0.06701771866725417,0.04880156799491856,0.05056403153120687,0.038065027013297524,0.038719969629782164,0.16539338763134698,0.11801377043934108,0.13645234247558197,0.11110184522912223,0.11587864323649404,0.12666957999149778,0.13140708483218907,0.2700765090428786,0.27589066340298124,0.31934850002067877,0.29658099083705314,0.05333526184996432,9.364241936992293
0.75,0.005952357397450119,0.021988774841121682,0.010336495430970349,0.013224620305622789,0.04828104901112629,0.028014949784002232,0.03259296585734982,0.02078510163404442,0.02172276094355073,0.09145758455735226,0.05857145921371423,0.06701239043333478,0.048801538203757516,0.050563993724954175,0.03806502679736528,0.03871996938147426,0.16313540093380774,0.1179233378533157,0.13626810131551814,0.11109254377099151,0.11586615686295483,0.1266317058833735,0.1313477177141371,0.25243903103536813,0.27056567453615,0.30735829569107564,0.2677076685427084,0.04933697657344468,9.197603110305922
0.8,0.005952267183719857,0.021985236723578386,0.010336494582715756,0.013224618224539773,0.04823780304320746,0.028014870222851023,0.03259279772903161,0.02078510150183471,0.021722760772045123,0.09111352634042828,0.058568153445688366,0.06700590976298851,0.048801496844108415,0.05056394125180394,0.03806502645595124,0.03871996898893997,0.16075787848826623,0.11781426360707663,0.13604684132461756,0.11107985599097109,0.11584916095170689,0.1265790028866657,0.1312667283403699,0.2349836063788465,0.2645428037604227,0.2943381550581624,0.24140447729359066,0.04790103165663421,9.035296863742584
0.8500000000000001,0.005952171152033009,0.02198147104385848,0.010336493571352653,0.013224615715565994,0.04819181191960316,0.028014774354719746,0.03259259518971984,0.020785101321495636,0.021722760538117638,0.09074876410244986,0.058564179584069585,0.06699812678308871,0.0488014406087745,0.05056386992609742,0.03806502593158322,0.03871996838617131,0.15826744633517395,0.11768443471245024,0.1357846904756605,0.11106292465541107,0.11582653166286556,0.12650795745173474,0.13115963589029062,0.21786932568268697,0.25784288252643944,0.2804502053440406,0.21752340180569424,0.04758919929411172,8.8750852198184
0.9,0.0059520693028177534,0.02197747793369152,0.010336492376597731,0.013224612723789601,0.048143084008685576,0.028014660103932533,0.032592353875457135,0.02078510107995612,0.021722760224822397,0.09036357097953246,0.05855945568480451,0.06698888419213694,0.048801365545622616,0.05056377474897668,0.03806502514666412,0.038719967484075336,0.15567097208903552,0.11753171122484668,0.1354778121033282,0.1110407673633175,0.11579698787572776,0.12641481921930242,0.13102183348208613,0.20123840053664357,0.25050100484530896,0.2658738075185017,0.1958825158211245,0.04752277243238236,8.715841803309498
0.9500000000000001,0.005951961636528194,0.021973257532738814,0.010336490976950009,0.013224609191014097,0.04809162817041846,0.028014525274877834,0.03259206917414329,0.02078510076166195,0.02172275981199708,0.0899582346188728,0.05855389582663132,0.06697801765625006,0.048801266985789536,0.05056364981885359,0.038065023998366324,0.038719966164631504,0.15297553479953588,0.1173539429104464,0.13512244460267453,0.11101227426089855,0.11575909046366763,0.12629568587584938,0.1308487047846327,0.18521488920309273,0.24256503570457824,0.25079749283762964,0.17629081774574565,0.047214016226291636,8.557228190540181
1.0,0.005951848153644355,0.021968809988584293,0.010336489349692878,0.013224605055765963,0.04803745375363505,0.02801436755303034,0.03259173622837232,0.020785100348285575,0.021722759275887855,0.08953305683229543,0.058547410276991875,0.06696535622207135,0.04880113947016035,0.050563488239978416,0.03806502235268861,0.038719964274095735,0.15018839429244535,0.11714898588865887,0.1347149399928385,0.11097620788978467,0.11571124455679507,0.12614659062002073,0.13063573271440154,0.16990395164417527,0.23409377946506357,0.23541153576896123,0.15856205207300575,0.04643498356958166,8.399425855766772
1.05,0.005951728854672175,0.021964135456724848,0.010336487470896267,0.01322460025330271,0.04798057059316826,0.028014184506027683,0.0325913499384185,0.020785099818421606,0.02172275858875609,0.08908835323390527,0.058539905665029764,0.06695072274545755,0.048800976674525674,0.050563282029649194,0.03806502003761493,0.038719961615184095,0.1473169601733891,0.11691471911557572,0.13425180095082936,0.11093120524431464,0.11565170483457511,0.12596358764169993,0.13037859600999305,0.15539160126511936,0.22515492299529122,0.21990147019350956,0.14252167692938644,0.04512120533911835,8.242928386266914
1.1,0.005951603740143502,0.021959234100560183,0.010336485315418911,0.01322459471562135,0.04792098900683453,0.028013973584801375,0.032590904965369365,0.020785099147268404,0.021722757718467305,0.08862445286245903,0.05853128516130271,0.06693393433475536,0.04880077133383244,0.05056302202461248,0.038065016835319494,0.03871995793817461,0.14436876067618182,0.1166490605781248,0.1337297159491126,0.11087578206173627,0.11557858381477186,0.12574283202022474,0.13007325127023928,0.14174490824364744,0.21582286295988462,0.20444272849712664,0.12800976099511785,0.043304165070653655,8.088388156757237
1.1500000000000001,0.00595147281061609,0.02195410609138213,0.010336482856910746,0.013224588371467295,0.04785871979227269,0.028013732124761298,0.03259039573440319,0.02078509830629617,0.02172275662806294,0.08814169778909141,0.05852144866382471,0.0669148028074468,0.04880051516594915,0.05056269778721237,0.038065012473367896,0.03871995293087245,0.14135141153466588,0.11634998307381965,0.1331455921636069,0.11080833931862377,0.11548986303280337,0.12548065148631576,0.12971599950410329,0.1290126001062721,0.2061765162084011,0.18919647346845198,0.11488158155063,0.041065849732791676,7.93650793394224
1.2000000000000002,0.005951336066673593,0.021948751608363463,0.010336480067815413,0.013224581146343688,0.04779377422363913,0.028013457347033158,0.0325898164382089,0.02078509726290193,0.021722755275315496,0.08764044271105384,0.058510292990041346,0.0668931351589124,0.04880019879537047,0.05056229751184827,0.038065006614870535,0.038719946207391415,0.1382725850529139,0.11601552945730063,0.13249658585491877,0.11072717185856994,0.11538340693879102,0.125173608449975,0.12930353733316885,0.1172259992463246,0.19629719823555342,0.1743066054916597,0.10300700968876769,0.03850939805056462,7.787967594588918
1.25,0.005951193508925556,0.021943170838546206,0.010336476919372875,0.01322457296252114,0.04772616404816092,0.028013146359748185,0.032589161040545746,0.0207850959800518,0.021722753612267602,0.08712105453214407,0.05849771207433083,0.06686873404203576,0.04879981167728782,0.050561807932302215,0.03806499884755172,0.03871993729571308,0.13513997954333132,0.11564382724217712,0.1317801299645149,0.11063047903142854,0.11525697927987344,0.12481855151067757,0.12883299373447613,0.10640023414203618,0.18626663873244861,0.15989786342495216,0.0922693260682171,0.03574104190838111,7.64337731966654
1.3,0.005951045138007413,0.021937363976829417,0.01033647338162215,0.013224563739047896,0.047655901482548335,0.0280127961593844,0.03258842327994034,0.020785094415911056,0.02172275158475565,0.08658391193052357,0.05848359717061344,0.06684139825635077,0.048799342022452466,0.050561214230493944,0.038064988671705775,0.03871992562399446,0.13196128929570583,0.11523310245489313,0.1309939587083728,0.11051637718404671,0.11510826168400524,0.12441265631250446,0.1283019536679245,0.09653566079633336,0.17616518665724104,0.1460748953171502,0.08256383431594617,0.03285971436537509,7.503250235179278
1.35,0.005950890954580478,0.02193133122595646,0.010336469423404156,0.013224553391760426,0.047582999209268416,0.02801240363215872,0.03258759667351835,0.020785092523462355,0.02172274913191858,0.08602940491463712,0.05846783705964339,0.06681092324541588,0.0487987767232549,0.05056049994721671,0.03806497548701993,0.03871991050560498,0.1287441752326864,0.11478169264633296,0.13013612899276056,0.11038291380733087,0.11493487411939816,0.1239534560875351,0.12770847016363507,0.08761943297668104,0.16607024110636942,0.13292215173054567,0.07379647131374521,0.02995170192972003,7.367989025595015
1.4000000000000001,0.005950730959331941,0.021925072796501795,0.010336465012364677,0.013224541833294417,0.04750747037268121,0.028011965555469108,0.032586674520968216,0.020785090250112655,0.021722746185692497,0.08545793436796464,0.05845031826054931,0.06677710160108635,0.04879810128144024,0.05055964689539814,0.03806495857825292,0.038719891122884174,0.12549623639863441,0.11428805897653427,0.12920503851950105,0.11022808311522364,0.11473439687155172,0.12343886256305649,0.12705106651385298,0.07962716373620027,0.15605492937556534,0.12050444619935838,0.06588251409019179,0.027088504971253622,7.237882366688034
