Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Tc_relativistic
0.0,0.038638297307545026,0.14015516850010828,0.06984869344251414,0.144167719087183,0.3422935751047427,0.2037691819601544,0.4174639636860205,0.28628803582456747,0.432919209192427,0.8424868512338051,0.5572507900664262,1.1449905300803112,1.2149353395595874,0.30828440243386307,3.1783324121277854,9.32182416960704
0.05,0.03863814082876954,0.1401481787963054,0.06984869336910521,0.14416771891952612,0.3421773086531189,0.203769168483535,0.4174639333205802,0.28628803582192075,0.4329192091882439,0.8406889880593613,0.5572486170263481,1.1449855313869113,1.2149351620665647,0.30828435142726024,3.0955543442845954,9.237117381632146
0.1,0.038637671397675676,0.14012721200887535,0.06984869271008709,0.1441677174108127,0.34182876287888225,0.2037690472984614,0.4174636602781786,0.2862880357346955,0.43291920905038705,0.8353201788873011,0.5572291923206576,1.1449408672563322,1.2149295503867603,0.30828274192116467,2.861369773715187,8.99712231325546
0.15000000000000002,0.03863688902996083,0.14009227510831973,0.06984869014949908,0.14416771154480748,0.34124869755847237,0.2037685766607665,0.4174625999512025,0.2862880350093082,0.432919207903968,0.8264541653993775,0.5571544534424038,1.1447691306210352,1.2148857340367663,0.30827021124147813,2.5138711654572057,8.639837543114572
0.2,0.03863579375178613,0.14004337970736197,0.06984868349545038,0.14416769629776063,0.3404383757733011,0.20376735539766197,0.4174598487522463,0.28628803167671774,0.4329192026372804,0.8142118746489352,0.5569631023926073,1.14432985935484,1.214700847057661,0.308217539148027,2.104049056102599,8.216040646194235
0.25,0.03863438559977451,0.13998054205378335,0.0698486696821838,0.14416766464336636,0.3393995591101888,0.2037648254946456,0.4174541502166414,0.2862880208037898,0.43291918545507446,0.7987585318174647,0.5565736738439299,1.1434369949355856,1.2141590707599044,0.3080639195527074,1.6828434493743536,7.776292643343393
0.30000000000000004,0.03863266462100816,0.1399037830204032,0.06984864477296152,0.14416760755969665,0.3381345009806479,0.20376027568866797,0.41744390347560173,0.28628799236670927,0.43291914051966435,0.7802997667091408,0.5558885606009637,1.1418686267141236,1.2129128827155236,0.30771249122414546,1.291022777886137,7.360803618855394
0.35000000000000003,0.03863063087302515,0.139813128092213,0.06984860396376948,0.1441675140381009,0.33664593809731,0.20375284603940952,0.417427174030506,0.2862879285869456,0.43291903974476886,0.7590768532904916,0.5547987535570981,1.1393783986426753,1.210500587340013,0.30703631646705554,0.9543379674213747,6.994621680184756
0.4,0.03862828442381536,0.1397086073506768,0.06984854158783582,0.14416737109406044,0.3349370801562011,0.203741533442978,0.41740170674028243,0.2862878007804503,0.43291883782325835,0.7353612488019728,0.5531890194061576,1.135707874108307,1.2063959674302125,0.30589316602209515,0.683706934818952,6.687893973987256
0.45,0.038625625351815615,0.13959025545521334,0.06984845112095799,0.14416716377998437,0.33301159778358563,0.2037251980451613,0.41736494091625004,0.2862875657799406,0.43291846658462174,0.7094486179775034,0.5509432266016006,1.1305991302480487,1.2000744083893145,0.30414429750164207,0.47855349951849024,6.43930244505413
0.5,0.03862265374590416,0.13945811162187757,0.06984832518763219,0.14416687519993043,0.330873608815646,0.20370257050463367,0.4173140274022907,0.28628716199812076,0.4329178287907072,0.681652538104866,0.5479495381259653,1.123806883944146,1.1910771023276365,0.30167192516779784,0.331180321817816,6.24052947275497
0.55,0.0386193697053943,0.1393122195992626,0.06984815556797778,0.14416648652623276,0.328527662988266,0.20367226005028008,0.4172458475030391,0.2862865052063754,0.4329167914888876,0.6522980819983648,0.5441052163005923,1.1151095305228378,1.1790594305120852,0.29839164703141596,0.23068280289983406,6.0802420079008455
0.6000000000000001,0.038615773340027366,0.13915262764164482,0.06984793320544833,0.14416597701801534,0.3259787251225785,0.2036327632711312,0.41715703360903794,0.2862854841087162,0.43291517905007965,0.6217154689136355,0.53932082640556,1.1043185919804648,1.163817200276042,0.2942583978761747,0.16573703404919948,5.946919015867756
0.65,0.03861186476996493,0.13897938847939878,0.06984764821532008,0.1441653240415684,0.32323215689965434,0.20358247357234438,0.41704399135563736,0.2862839557945002,0.4329127660248725,0.590233958945246,0.5335236776225333,1.091286211018762,1.1452913036018644,0.28926643704633936,0.12621115036831407,5.83047230775632
0.7000000000000001,0.03860764412578023,0.1387925592867097,0.06984728989394788,0.14416450309256193,0.32029369732470414,0.20351969122626384,0.4169029231419342,0.28628174115561206,0.43290926995432677,0.5581761457970247,0.5266603967305932,1.0759104763974294,1.1235556451844364,0.28344497263937996,0.10385662766917925,5.722923583619883
0.75,0.03860311154844895,0.13859220164661526,0.06984684672877724,0.14416348782006877,0.3171694419873837,0.20344263394388476,0.41672985282732816,0.28627862035440566,0.4329043442727716,0.5258527775259575,0.5186985872384157,1.0581385111876438,1.0987946947109037,0.2768513041430218,0.09240807756962117,5.618474493505247
0.8,0.03859826718933917,0.13837838151340992,0.0698463064091009,0.14416225005236755,0.31386582123020174,0.20334944788905532,0.41652065141638445,0.286274328427754,0.4328975714381944,0.4935582065695061,0.509627580021867,1.0379673876720468,1.071276550065976,0.2695631165936763,0.08736987586835782,5.513255742357238
0.8500000000000001,0.038593111210200655,0.13815116917244794,0.06984565583754697,0.1441607598244931,0.31038957734159767,0.20323821905549558,0.41627106353767585,0.28626855111010835,0.43288845642167756,0.46156654070553405,0.4994583277899633,1.015443043011987,1.0413259534706392,0.2616710847775076,0.08568057560835288,5.404952088875228
0.9,0.038587643783153366,0.1379106391973835,0.06984488114228503,0.14415898540750044,0.3067477408939614,0.2031069849252024,0.4159767345191402,0.28626092095460864,0.43287642068092735,0.43012853708829835,0.4882225326498821,0.9906574536812573,1.009300055231799,0.25327246021357613,0.08536608918919884,5.292418079558175
0.9500000000000001,0.03858186509067524,0.13765687040488903,0.06984396768993593,0.1441568933394059,0.30294760634969364,0.202953746326043,0.4156332378612333,0.28625101382612483,0.43286079673444755,0.3994692534881765,0.47597112260711233,0.9637443823693904,0.9755683074643087,0.24446592474532947,0.0852351310262297,5.175340119322995
1.0,0.03857577532558926,0.13738994580689445,0.06984290009916981,0.14415444845776762,0.29899670706035303,0.20277647940630922,0.415236102909743,0.28623834583377267,0.4328408234425542,0.36978644542502515,0.46277220893528925,0.9348740395089008,0.9404968536351227,0.2353477319929761,0.08463515314270435,5.0539639609821725
1.05,0.038569374691049776,0.13710995256039316,0.06984166225497655,0.14415161393386483,0.29490278978500245,0.2025731476446926,0.4147808425325127,0.28622237076309887,0.4328156420894622,0.3412496758348438,0.44870866270424353,0.9042470056874585,0.9044371521775902,0.22600900818499867,0.08326833048603292,4.92888723133022
1.1,0.03856266340052814,0.13681698191486205,0.06984023732359179,0.1441483513084343,0.29067378885406897,0.20234171381552019,0.41426298060842415,0.28620247805992893,0.43278429334737,0.314000085770142,0.4338754466691595,0.8720877451793954,0.8677182522333624,0.21653401748781928,0.08105901022591255,4.800908046198519
