Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(1),J_6s1/2(2),J_total_Lu_relativistic
0.0,0.010719300214567703,0.03812150293252627,0.018661499542992892,0.020465324264057318,0.08459277814838365,0.049625428942455266,0.05272796586236449,0.034189454771401936,0.0348839087447369,0.17851864641707313,0.11270650744431415,0.12038611826411817,0.09278281864456082,0.09477486247296889,0.09773063827766881,0.09997368494613534,0.4667958599082126,0.3198736063715773,0.35018058528065704,0.6028462568263406,1.7755020389199632,11.460161914454307
0.05,0.010719286053201117,0.03812093144936669,0.01866149954061852,0.02046532426164218,0.08458546284973949,0.049625428760664475,0.052727965616206116,0.03418945477139936,0.03488390874473399,0.17844367118783974,0.11270649550666999,0.12038610163984546,0.09278281864167795,0.09477486246960386,0.09773063827717961,0.09997368494530914,0.4655704842927913,0.3198714335046684,0.35017713547728385,0.6028367597739216,1.7189735422940333,11.344460683851596
0.1,0.01071924356926068,0.03811921705680532,0.01866149952366689,0.020465324239906844,0.0845635209629813,0.04962542712487408,0.05272796340126201,0.03418945477131436,0.03488390874463791,0.17821894568111604,0.11270638817771447,0.12038595219647523,0.09278281854671157,0.09477486235876373,0.09773063821580372,0.09997368484216228,0.4619151010466284,0.31985205390865584,0.35014642900985454,0.6025744642649227,1.5610082873060533,11.020297851452902
0.15000000000000002,0.01071917276322435,0.038116359925583834,0.018661499462655117,0.02046532415538602,0.08452696451190284,0.04962542076541205,0.05272795479053048,0.0341894547706063,0.03488390874383757,0.17784506954473325,0.11270597145711402,0.12038537209582097,0.09278281775749321,0.09477486143774966,0.09773063716157485,0.09997368308389473,0.4558913245414401,0.31977774965791617,0.35002906545675616,0.600888207400776,1.3322320049798955,10.54756346437314
0.2,0.010719073635888716,0.038112360340236816,0.018661499308453976,0.02046532393565249,0.08447581352373533,0.04962540423809558,0.05272793241368827,0.03418945476734581,0.034883908740152174,0.17732303921395481,0.11270489049847304,0.1203838678433958,0.09278281413511479,0.09477485721123173,0.09773062918457114,0.09997366991142062,0.44759981863759873,0.3195884684366432,0.34973144119348515,0.5953280105550028,1.0718670330118656,10.001958209595298
0.25,0.01071894618836897,0.038107218699039484,0.018661498992301236,0.020465323479339513,0.08441009601052786,0.04962536993212751,0.05272788596909366,0.034189454756676084,0.03488390872809214,0.17665424346529354,0.1127026523232797,0.12038075461050658,0.09278280233140423,0.0947748434422034,0.09773059145357146,0.09997360835878166,0.437177352739206,0.3192057938433075,0.34913326658698407,0.5831586830460204,0.8163541150813369,9.453262528786288
0.30000000000000004,0.010718790422098884,0.038100935513934495,0.018661498425820346,0.020465322656172166,0.08432984794311563,0.04962530808113212,0.05272780224055842,0.03418945472866623,0.03488390869643324,0.17584045723266387,0.11269862958604845,0.12037516222233995,0.09278277150739779,0.09477480749666074,0.09773046049291148,0.09997339771340741,0.42479286628139673,0.3185380400575463,0.3480970148322041,0.5629148873175763,0.5916345469882613,8.951495685240852
0.35000000000000003,0.01071860633883078,0.038093511410437896,0.018661497501044445,0.02046532130700763,0.08423511321771197,0.04962520677731157,0.05272766511885614,0.034189454665564195,0.03488390862511264,0.17488383372623376,0.11269206535676135,0.12036604275020972,0.092782702500913,0.09477472705290942,0.09773009572689564,0.0999728201853225,0.4106427133483132,0.3174860689025611,0.3464784025443396,0.5350748489942537,0.41079599330005734,8.522924554027105
0.4,0.010718393940635477,0.03808494712752423,0.018661496090445692,0.02046531924388438,0.08412594361516976,0.049625051988698335,0.05272745562792568,0.034189454538458834,0.03488390848145802,0.17378689490524443,0.11268207887770569,0.120352179629899,0.09278256451527868,0.09477456626326593,0.09772923389907705,0.09997147873020326,0.3949452891283185,0.31594939060812105,0.34413696040008634,0.5015778853350176,0.2759698390763241,8.173418874847753
0.45,0.010718153229902251,0.0380752435174908,0.018661494046969904,0.0204653162500803,0.08400239875296807,0.04962482757947424,0.052727151955719156,0.03418945430336282,0.03488390821576349,0.17255252036650942,0.11266767224329986,0.12033219821283228,0.09278231141335883,0.09477427147039463,0.09772744159265405,0.09996873853645473,0.3779352579073245,0.31383211573827646,0.34094581889200426,0.46488478994066385,0.18217710673902165,7.895242271720624
