Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(2),J_total_Lv_relativistic
0.0,0.0046607778288454,0.01800137812904348,0.008170409116430547,0.011623739742197136,0.040418990153476206,0.02300051035789522,0.028391556418991513,0.018032712191683765,0.01906496554405147,0.07708632452917526,0.047726308894623815,0.05710442635648454,0.041256750124745355,0.04306552628120292,0.031880931568519566,0.0325419962912964,0.14285383534286492,0.09247961343023538,0.1113057821584429,0.08774757703426678,0.09188253103995826,0.08358951999317339,0.0856035638115281,0.2953392050453404,0.19763076011049135,0.25102717674556707,0.23472372088548857,0.2534595549125979,0.8107062000204582,0.6212721367803201,1.0548540557490533,14.316077434467594
0.05,0.004660776210421594,0.018001313992187865,0.008170409112681845,0.011623739742048063,0.04041818192504249,0.023000510353801355,0.028391556407503904,0.018032712191683738,0.019064965544051432,0.07707996162952792,0.04772630873081923,0.05710442594962727,0.04125675012473823,0.0430655262811934,0.031880931568519566,0.0325419962912964,0.14281044270618368,0.09247960862908647,0.11130576993556335,0.08774757703281887,0.09188253103795203,0.08358951999317238,0.0856035638115268,0.2949729929591101,0.19763055341762087,0.25102650371797275,0.2347237187712517,0.2534595508968856,0.8041781820009172,0.6212037914061606,1.0539847388746062,14.300309192142397
0.1,0.004660771355155476,0.018001121583181,0.008170409101213909,0.011623739740706426,0.040415757342138876,0.023000510317062715,0.028391556304121896,0.018032712191682825,0.019064965544050187,0.07706087622971662,0.04772630725754793,0.057104422288815196,0.041256750124503076,0.04306552628087938,0.03188093156851955,0.03254199629129638,0.14268034784567274,0.09247956544728739,0.11130566003573597,0.08774757698509497,0.09188253097183398,0.08358951999304122,0.08560356381135951,0.2938772187051113,0.19762869890499737,0.251020477157582,0.23472364988114672,0.25345942047572545,0.7849386745896311,0.6206123821394,1.0469436965131518,14.244040703325638
0.15000000000000002,0.004660763263062936,0.018000800906702735,0.008170409081361267,0.011623739735489061,0.04041171671193596,0.023000510174316,0.028391555902120377,0.018032712191675286,0.019064965544039816,0.07702907822437843,0.04772630153051084,0.05710440805784239,0.04125675012254426,0.04306552627826368,0.03188093156851924,0.03254199629129601,0.14246379965795727,0.0924793976923006,0.11130523329491722,0.08774757658813595,0.09188253042198061,0.08358951999069807,0.08560356380837213,0.2920604319848184,0.1976215217234789,0.25099722659991125,0.2347230869186694,0.2534583599972182,0.7539888286922973,0.6184480748087652,1.0236018478161744,14.126871605783005
0.2,0.00466075193417046,0.018000351970552594,0.008170409052014842,0.011623739721924336,0.04040606054631132,0.02300050980331519,0.02839155485706555,0.018032712191640664,0.019064965543992046,0.07698458409539476,0.047726286646785986,0.05710437107807249,0.04125675011352461,0.043065526266219824,0.03188093156851675,0.03254199629129308,0.14216121213190008,0.0924789621841747,0.11130412620049222,0.08774757476394308,0.09188252789584188,0.08358951997201687,0.08560356378456442,0.289536761916819,0.19760299121209463,0.250937467720453,0.23472056200316876,0.25345363590455033,0.7128936636616054,0.6132870289536547,0.9750229296137265,13.931127565559867
0.25,0.004660737368515127,0.017999774785649406,0.008170409011622035,0.011623739693752605,0.04039878956173946,0.023000509032970764,0.028391552686976927,0.018032712191527467,0.019064965543835643,0.07692741689813219,0.04772625575118673,0.05710429433096612,0.04125675008401004,0.04306552622681162,0.03188093156850407,0.032541996291278144,0.14177316309405247,0.0924780594642123,0.1113018335175084,0.08774756881031226,0.09188251965409792,0.0835895198776943,0.08560356366442042,0.28632573874827816,0.1975648594111546,0.2508152286774265,0.23471257581503735,0.2534388227390381,0.6636422948458992,0.6037035393293287,0.8988695797270781,13.653125470595189
0.30000000000000004,0.004660719566144611,0.017999069366030802,0.00817040895818682,0.01162373964292686,0.04038990467913769,0.023000507643404573,0.028391548772554048,0.018032712191230343,0.019064965543424812,0.0768576062422024,0.04772620004515029,0.057104155989554,0.04125675000653479,0.043065526123373415,0.031880931568456096,0.03254199629122165,0.1413003924597037,0.09247643478162638,0.11129771193565133,0.0877475532326882,0.09188249809881763,0.08358951952378235,0.08560356321391012,0.2824520487677101,0.19749684983489227,0.2505988217095614,0.2346924681653877,0.2534019148529526,0.6084801380835223,0.5886109959685513,0.8002814225650978,13.305263854812972
0.35000000000000003,0.0046606985271171785,0.017998235728852573,0.008170408889269882,0.011623739559613551,0.04037940702366818,0.023000505366020368,0.028391542357467707,0.018032712190560775,0.0190649655424986,0.07677518826676358,0.04772610879814341,0.05710392945879022,0.04125674983200978,0.043065525890383594,0.031880931568308464,0.03254199629104781,0.140743799996897,0.09247377935275164,0.11129098470756943,0.08774751827730394,0.09188244975444863,0.08358951844556406,0.0856035618424343,0.27794522680277284,0.19738689156594066,0.25025201782476314,0.23464934964199757,0.25332372724659624,0.5497342690056982,0.5674853349187271,0.689027054507768,12.910415168655742
0.4,0.004660674251501689,0.017997273894387877,0.008170408801988771,0.011623739432193596,0.04036729792449604,0.023000501883589937,0.028391532548715608,0.018032712189211306,0.01906496554063139,0.07668020561039264,0.0477259693615687,0.0571035834247024,0.041256749480502994,0.043065525421172986,0.03188093156791838,0.032541996290588494,0.14010444261281513,0.09246973188588782,0.11128074724126291,0.0877474481910685,0.09188235288028064,0.08358951562952753,0.08560355826360572,0.27283929175410415,0.19722139261025606,0.24973537456248251,0.2345672828018073,0.2531769383412401,0.4896516016420902,0.5404365553574355,0.5756348683660097,12.494002924119016
0.45,0.004660646739377595,0.017996183886026314,0.008170408693018102,0.011623739247263579,0.04035357891450368,0.02300049683035483,0.028391518317042216,0.018032712186713342,0.019064965537174475,0.07657270737556354,0.047725767185151126,0.05710308191223677,0.04125674883042698,0.04306552455351891,0.03188093156700126,0.03254199628950868,0.13938353117391927,0.09246388036341098,0.11126597360173175,0.08774731923843437,0.09188217476011867,0.08358950909574717,0.08560354996818847,0.26717233155283204,0.19698554552568448,0.24900766167624772,0.2344248604447217,0.2529260000219093,0.4302651453548682,0.5081443186079956,0.46860655839934273,12.078035666297765
