Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Pm_relativistic
0.0,0.012948553296098493,0.04614321896757918,0.022747366501565818,0.02429353477111707,0.10430006300815045,0.06145416219787951,0.06423750711238262,0.042103974547111,0.04273346176145304,0.22235950935462268,0.14159173004874218,0.14827519695410832,0.11701383723947377,0.11877512505779705,0.11877512505779705,0.5680587460951346,0.39349052107932686,0.4188248928356837,2.131145649653381,12.347777343762482
0.05,0.012948528987072596,0.04614221219299963,0.022747366496806518,0.024293534765408867,0.10428650156989558,0.061454161671858104,0.06423750645651322,0.042103974547099375,0.042733461761440314,0.22221644605958144,0.14159169338672628,0.14827515068838587,0.11701383722510059,0.11877512504177931,0.11877512504177931,0.5658344915396636,0.39348439071306857,0.4188164445489208,2.035623563516751,12.151923033859017
0.1,0.012948456060378213,0.04613919201510828,0.02274736645662801,0.024293534714038008,0.10424582843972426,0.06145415693908637,0.0642375005555976,0.04210397454671608,0.04273346176102063,0.22178784043994357,0.1415913639556164,0.14827473502821412,0.11701383675210929,0.11877512451471874,0.11877512451471874,0.5592177643943209,0.393429966004062,0.41874159568487607,1.7758906204938358,11.617868258292646
0.15000000000000002,0.012948334517165254,0.04613415887140806,0.02274736630333879,0.02429353451428077,0.10417807715570312,0.06145413854247423,0.06423747761925222,0.042103974543523805,0.042733461757525334,0.221075441293909,0.1415900860472101,0.14827312302901713,0.11701383282753833,0.1187751201421517,0.1187751201421517,0.5483742083132009,0.3932227873284958,0.4184575769561605,1.4194788696368286,10.880226128199045
0.2,0.012948164359350195,0.04612711349094056,0.022747365907487396,0.024293533994980913,0.10408330356226517,0.0614540907436279,0.06423741802860622,0.04210397452882807,0.0427334617414349,0.2200821499977576,0.14158677553396612,0.1482689485412203,0.11701381485380065,0.11877510012069711,0.11877510012069711,0.5335718415150432,0.39270043587681175,0.4177447524606717,1.0447863243251825,10.09511763108003
0.25,0.012947945589616011,0.046118056894091194,0.02274736508791401,0.024293532916624602,0.10396158573180687,0.06145399155791901,0.06423729438385785,0.04210397448075513,0.042733461688800885,0.21881200071469914,0.14157993281884915,0.14826032414988335,0.1170137564516191,0.11877503508177369,0.11877503508177369,0.5151695373035413,0.391658532356712,0.41633134606740374,0.713217889996127,9.38455501651179
0.30000000000000004,0.012947678211412086,0.04610699039231643,0.022747363611822603,0.024293530971445248,0.10381302385515268,0.061453812803451115,0.06423707157066143,0.042103974354614,0.042733461550695954,0.21727013296512523,0.1415676607088451,0.14824486589938604,0.11701360447584401,0.11877486589002662,0.11877486589002662,0.49360196685568714,0.3898703498388859,0.4139231086793207,0.4563861932653484,8.810965956428278
0.35000000000000003,0.012947362228954096,0.04609391558779344,0.022747361194873663,0.02429352778355819,0.10363774010111401,0.06145352016379366,0.06423670684515387,0.042103974070594845,0.042733461239750636,0.2154627568315053,0.14154768696149342,0.1482197244217982,0.11701326566477176,0.11877448884223346,0.11877448884223346,0.4693619540494457,0.3871078023191298,0.4102340919012679,0.27875326319847415,8.382606816192784
0.4,0.012946997647223867,0.046078834372992046,0.022747357501297433,0.024293522909125162,0.10343587844543457,0.06145307326431729,0.06423614993737613,0.042103973498870836,0.042733460613851956,0.2133971111427297,0.14151739119003914,0.14818162199180293,0.11701259145778413,0.11877373887933879,0.11877373887933879,0.44298130868557145,0.3831615810936409,0.4050148849620479,0.16809766366184167,8.074617777655543
0.45,0.012946584471969206,0.04606174893016937,0.02274735214402759,0.02429351583654845,0.10320760446947609,0.06145242576192865,0.0642353431727928,0.042103972442184445,0.042733459457094655,0.21108141504955188,0.141473835754712,0.14812689494470513,0.11701136158873954,0.11877237150560165,0.11877237150560165,0.4150112317806842,0.3778585181479151,0.39807539523861296,0.10612157013173647,7.850332164563063
0.5,0.01294612270970371,0.04604266173078724,0.02274734468485532,0.024293505986694622,0.10295310512906121,0.061451525447967656,0.0642342216115613,0.0421039706160129,0.04273345745809114,0.2085248134640444,0.14141380021617206,0.14805154081873795,0.11700926711102538,0.11877004416171506,0.11877004416171506,0.3860033292354413,0.37107477668971345,0.38930030969998064,0.07541920854280124,7.675270892155987
