Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Kr_relativistic
0.0,0.04687448823851478,0.17251996484853965,0.08639310565834378,0.1766272391753073,0.44690672121208397,0.26883858734091937,0.5479405954729529,0.3998892076872605,0.6038895925574546,1.3575082743427707,1.0045393580518038,2.0729303084785253,7.184857443064477
0.05,0.046874210964102575,0.1725069674785415,0.08639310544426144,0.1766272387043116,0.446651639033168,0.2688385306912645,0.54794047093229,0.3998892076431181,0.6038895924879549,1.350444882061848,1.0044875084372757,2.07280795706088,7.177351310939017
0.1,0.04687337915435692,0.17246798192334387,0.08639310351871886,0.1766272344662036,0.44588734234166344,0.26883802166650783,0.5479393519437021,0.3998892061914164,0.6038895902024541,1.3295038042200462,1.0040343090056614,2.0717407612788095,7.154084085912883
0.15000000000000002,0.04687199284974932,0.1724030278411711,0.0863930960337022,0.17662721798988532,0.44461667434715113,0.26883604713648473,0.5479350117626393,0.3998891941580845,0.6038895712591554,1.295415869479414,1.0023500103027778,2.067787250770341,7.113014963930556
0.2,0.04687005211772762,0.17231213797518546,0.08639307658209461,0.1766271751710674,0.44284435271021155,0.26883093214633763,0.5479237701853711,0.39988913912302887,0.6038894846304388,1.2493459705262082,0.9982451291433395,2.058195251550622,7.051366471861634
0.25,0.04686755705270907,0.17219535812270192,0.08639303620702334,0.17662708629355142,0.4405769382362669,0.26882036009405696,0.5479005395934721,0.39988896061263624,0.6038892036831811,1.1928191510793957,0.9904065626442039,2.0399834620395665,6.966368215658765
0.30000000000000004,0.046864507776070534,0.1720527470921529,0.08639296341492107,0.1766269260589671,0.437822791497364,0.268801400552375,0.5478588884046109,0.39988849709530405,0.6038884743064479,1.1276278580622083,0.9776397943564765,2.0105236748460014,6.8559885234629
0.35000000000000003,0.04686090443613599,0.17188437664786707,0.08639284419227726,0.17662666362490737,0.43459201782433854,0.2687705443187356,0.5477911209437409,0.39988746639523437,0.6038868527622985,1.0557291606532009,0.9590656197970319,1.9679940519860613,6.71948162358183
0.4,0.04685674720816119,0.17169033144274415,0.08639266202604791,0.17662626265138745,0.43089640122701905,0.2687237451726489,0.5476883725028455,0.3998854214512161,0.603883636328535,0.9791409389387857,0.9342392746694657,1.9116291474240543,6.55765294104291
0.45,0.046852036294315565,0.17147070893892566,0.08639239792768594,0.1766256813555383,0.4267493279072544,0.26865646772568363,0.5475407181368863,0.399881703559815,0.6038777901357137,0.8998451563409909,0.9031838149999504,1.8417564551915744,6.372832258514334
0.5,0.04684677192366138,0.17122561931657912,0.08639203046074712,0.17662487257442908,0.4221657001271276,0.268563740667371,0.5473372935527102,0.39987539534815575,0.6038678737618355,0.8197046184562513,0.866349795146093,1.7596597085142553,6.168613419849216
0.55,0.04684095435213006,0.17095518537093063,0.08639153577202034,0.1766237838358977,0.41716184128146644,0.2684402146418138,0.5470664262897917,0.3998652757186578,0.6038519711346327,0.740397445144822,0.824525037499081,1.6673349308104433,5.949454601851687
0.6000000000000001,0.04683458386249578,0.1706595423976979,0.0863908876261243,0.17662235743725363,0.4117553930986095,0.26828022393587564,0.546715775269325,0.39984977890128726,0.6038276271112527,0.6633712112458031,0.7787210651583252,1.5672071285671796,5.7202355746112294
0.65,0.04682766076434633,0.1703388380670926,0.08639005744350643,0.17662053053170215,0.4059652059554969,0.26807785112117966,0.546272476702946,0.39982695954833053,0.6037917937755012,0.5898166546505067,0.7300589202364276,1.4618614834433838,5.48584843224042
0.7000000000000001,0.046820185394051125,0.16999323228657706,0.08638901434177386,0.1766182352223246,0.3998112233419115,0.26782699376910696,0.5457232943049185,0.39979446552721853,0.6037407890381223,0.5206592199459512,0.6796699543964622,1.3538224978859885,5.250869105454406
0.75,0.046812158114726575,0.16962289705257702,0.08638772518027997,0.1766153986634357,0.39331436154374144,0.26752143235052495,0.5450547717417215,0.3997495197267196,0.6036702695756867,0.45656560189055095,0.6286196415465929,1.2453951487955202,5.019328926182078
0.8,0.046803579316198635,0.16922801629136677,0.08638615460788474,0.17661194316912548,0.38649638563634064,0.2671548984397084,0.5442533852794941,0.3996889118110411,0.6035752195313734,0.3979618775889089,0.5778563063272566,1.1385676252534185,4.794584303252117
0.8500000000000001,0.04679444941496262,0.16880878568935917,0.0863842651138009,0.17660778632877938,0.3793797828865446,0.26672114236413685,0.543305694650813,0.39960900045578107,0.6034499557598885,0.34505969977758033,0.5281825642958684,1.0349666106425572,4.579269737380072
0.9,0.04678476885414034,0.168365412513047,0.08638201708143332,0.17660284112935914,0.3719876346559933,0.26621399947755103,0.5421984902551407,0.3995057261992984,0.6032881497612367,0.29788725635798863,0.48024514126328344,0.935852455520988,4.37531389306946
0.9500000000000001,0.04677453810343443,0.16789811541885646,0.08637936884511307,0.17659701608421394,0.3643434878796721,0.265627454281572,0.5409189349287378,0.3993746346611467,0.6030828658431877,0.2563221616983806,0.43453811223567546,0.8421414194301554,4.183998109410146
1.0,0.04676375765908006,0.16740712425318718,0.0863762767496235,0.17659021536818018,0.3564712271627433,0.26495570167985993,0.5394546986661323,0.39921090953129845,0.60282661450471,0.22012402099269862,0.39141492281893153,0.75444391169852,4.006039381084965
1.05,0.046752428043793814,0.16689267984292638,0.08637269521241046,0.17658233895871808,0.3483949484967198,0.26419320471658597,0.5377940848422582,0.3990094144322586,0.6025114195615968,0.18896500943553754,0.3511053556860787,0.6731101710500407,3.8416837502789254
1.1,0.046740549806720016,0.1663550337767367,0.08636857678836474,0.17657328278282247,0.3401388355438755,0.26333474822616604,0.5359261466677788,0.3987647425095456,0.6021288971543683,0.1624573687844486,0.31373454869524425,0.5982773566826977,3.6908000874187685
1.1500000000000001,0.046728123523374236,0.16579444817742955,0.08636387223706056,0.17656293886943597,0.3317270393776728,0.2623754879019688,0.5338407928054204,0.3984712724195192,0.601670344494776,0.14017720609242176,0.2793420612134064,0.5299142005145435,3.552967787627029
1.2000000000000002,0.04671514979558418,0.16521119546574684,0.08635853059233023,0.17655119550708417,0.32318356249816493,0.26131099437623656,0.5315288812779245,0.39812322925883736,0.6011268360228504,0.12168436530242754,0.24789972648187228,0.4678610566270798,3.4275547232061383
1.25,0.046701629251427915,0.16460555811588412,0.0863524992340513,0.17653793740644405,0.31453214786612577,0.2601372919899807,0.5289823010041529,0.39771474891555697,0.6004893245585038,0.10653843001441256,0.2193275935871871,0.41186438671663667,3.313783848660364
1.3,0.04668756254516939,0.16397782840309866,0.08634572396201973,0.1765230458675495,0.3057961736194185,0.25885089201842176,0.5261940405048537,0.39723994431412246,0.5997487450332519,0.09431111329851659,0.19350766385292495,0.3616055139442941,3.2107882473636415
1.35,0.04667295035719138,0.16332830814375443,0.08633814907177911,0.17650639895133144,0.29699855405119446,0.25744882020304855,0.523158243519843,0.39669297206926624,0.5988961184686111,0.08459541172815413,0.17029539125701285,0.3167239565194238,3.1176552743406103
1.4000000000000001,0.0466577933939257,0.162657308428165,0.08632971743227391,0.17648787165518381,0.2881616473432458,0.2559286385241168,0.5198702514704504,0.396068098149832,0.5979226540159168,0.07701196166690852,0.14952907692865006,0.2768359064078093,3.033460925416478
1.4500000000000002,0.04664209238778089,0.16196514934660258,0.08632037056519179,0.17646733609224144,0.279307170460518,0.2542884612261085,0.5163266328820783,0.39535976127453937,0.5968198470743067,0.07121305174547306,0.1310373734666004,0.24154852212742908,2.95729576864887
1.5,0.04662584809706722,0.16125215970884885,0.08631004872585853,0.1764446616740518,0.2704561215256418,0.2525269651822184,0.512525200049097,0.39456263290922633,0.5955795717456158,0.06688473015619742,0.11464515007610611,0.21047071429668782,2.888283804146617
1.55,0.04660906130591914,0.16051867675766912,0.0862986909855471,0.17641971529631842,0.26162870990651627,0.2506433947514109,0.5084650133760601,0.39367167290077076,0.5941941661534949,0.06374741024144015,0.10017797288909132,0.18322105869126637,2.8255955432555044
1.6,0.0465917328242151,0.15976504587659732,0.08628623531506097,0.17639236152739118,0.25284429416651827,0.24863756134227422,0.5041463739638327,0.39268217995881755,0.5926565094366568,0.06155533171456467,0.08746543960502172,0.15943340104490483,2.7684564667758553
1.6500000000000001,0.04657386348749488,0.15899162029242359,0.08627261866945096,0.1763624627991762,0.2441213279467599,0.2465098379512708,0.49957080512565977,0.3915898363755186,0.5909600895115699,0.060095184251430754,0.0763435828114195,0.1387606378598931,2.7161518670820675
1.7000000000000002,0.04655545415687424,0.15819876077278078,0.08625777707372387,0.17632987960013669,0.2354773137737974,0.24426114898869952,0.494741023615875,0.39039074654956746,0.589099060978521,0.05918414964880083,0.06665652788127006,0.12087707833082227,2.6680289213708694
1.75,0.04653650571895715,0.15738683531922912,0.08624164570940064,0.17629447067005571,0.22692876471500822,0.24189295574359704,0.4896609014327263,0.3890814690487662,0.5870682928089216,0.05866757117734774,0.058257562795672034,0.10547971967002806,2.62349669480971
1.8,0.04651701908574542,0.156556218856241,0.0862241590017821,0.17625609319623106,0.218491173738075,0.239407237868915,0.4843354191169144,0.3876590421011781,0.5848634056948809,0.05841641584400415,0.05100975061776516,0.09228870412755764,2.58202463924929
1.85,0.046496995194545844,0.15570729291648958,0.08620525070777979,0.17621460301077402,0.21017899057110048,0.23680647129077648,0.47877061150949646,0.38612100254562903,0.5824807991600571,0.05832465781090509,0.04478619161439534,0.08104717147811699,2.543140037810066
1.9000000000000001,0.04647643500787486,0.1548404453228463,0.0861848540041704,0.17616985478868466,0.20200560580615043,0.23409360296072435,0.47297350695768237,0.3844653983959452,0.5799176687207583,0.05830667937112416,0.03947002151478447,0.07152067536843723,2.5064247482191826
1.9500000000000002,0.046455339513360686,0.1539560698674921,0.08616290157613282,0.17612170224637874,0.19398334194170305,0.23127202287802398,0.4669520609658846,0.38269079527876204,0.5771720135468057,0.058294759433410004,0.03495421507641141,0.06349629481561848,2.4715115171399833
2.0,0.04643370972364306,0.15305456598854753,0.08613932570592778,0.1760699983403439,0.1861234510186673,0.22834553381076134,0.46071508528348853,0.3807962770917008,0.5742426352025497,0.05823669796429168,0.03114124975500654,0.05678154220694741,2.4380800720918754
2.0500000000000003,0.04641154667627048,0.15213633844462507,0.08611405836158166,0.17601459546560644,0.17843611847032415,0.2253183191402408,0.45427217340166276,0.37878144129748853,0.5711291281504123,0.058093607703889286,0.027942672499209367,0.051203145236427175,2.4058531448477383
2.1,0.04638885143359506,0.1512017969877064,0.0860870312854373,0.17595534565369422,0.17093047277864956,0.2221949092436485,0.4476336234006887,0.37664638932104283,0.5678318627739583,0.057837891100894656,0.025278603137028403,0.04660576128801197,2.3745925384043556
2.15,0.04636562508266492,0.15025135603474304,0.0860581760824366,0.17589210076978565,0.16361460050781654,0.21898014681574293,0.44081035904836824,0.3743917125518553,0.5643519617268805,0.05745141020481355,0.023077200139812633,0.04285066792622405,2.3440953168911443
2.2,0.04634186873511426,0.14928543433837807,0.08602742430800212,0.17582471270874037,0.15649556627000255,0.2156791515121315,0.43381385000069606,0.3720184744746929,0.5606912704409286,0.05692384965577948,0.021274108422420984,0.03981446157759854,2.314190172444485
2.25,0.04631758352705103,0.1483044546571804,0.08599470755538653,0.17575303358971306,0.14957943716863267,0.21229728427513797,0.4266560318997551,0.36952818945933835,0.5568523226324565,0.056251267429907985,0.01981190398038065,0.03738778750533643,2.2847340036802763
2.3000000000000003,0.0462927706189422,0.14730884342578074,0.08595995754236235,0.17567691594905843,0.14287131125950916,0.20884011167901925,0.41934922710226297,0.36692279873656963,0.5528383016367497,0.055434824202663414,0.018639546330525628,0.03547411725647663,2.25560872573992
2.35,0.046267431195496776,0.14629903042529202,0.08592310619712616,0.17559621293124208,0.13637534957051867,0.20531337060496527,0.4119060667068309,0.36420464407457326,0.5486529983744383,0.054479679720337126,0.017711846711097046,0.03398858446548162,2.2267183209773993
2.4000000000000004,0.046241566465546474,0.14527544845439205,0.08588408574329551,0.1755107784774801,0.13009481122532857,0.2017229335285067,0.40433941448015903,0.36137643964922106,0.5443007667178372,0.053394043117346655,0.016988957648911212,0.032856885873784304,2.197986131381809
2.45,0.046215177661924074,0.14423853300143996,0.0858428287838793,0.17542046751183757,0.1240320912252499,0.1980747746732121,0.396662293213353,0.35844124257472343,0.5397864769795316,0.05218836343609216,0.01643588767968052,0.03201425138342753,2.1693523881243513
2.5,0.04618826604133955,0.143188721917991,0.08579926838410622,0.17532513612452533,0.11818876045577853,0.19437493725537755,0.3888878139704191,0.355402422529606,0.5351154681932944,0.05087464649584824,0.016022043600911407,0.03140448468579679,2.140771969654994
2.5500000000000003,0.046160832884253905,0.1421264550940674,0.08575333815299922,0.17522464175214225,0.11256560749978246,0.19062950201525883,0.38102910862280415,0.3522636308780988,0.5302934998005935,0.049465884557893275,0.01572080155756191,0.03097907432627612,2.112212377141732
2.6,0.04613287949475082,0.14105217413553472,0.08570497232358823,0.17511884335462075,0.10716268185740993,0.18684455720166276,0.3730992659974394,0.3490287696500732,0.5253267032963703,0.04797558582027126,0.015509107441469938,0.030696373845296415,2.0836519144184877
2.6500000000000004,0.04610440720040605,0.1399663220439255,0.08565410583165661,0.17500760158864176,0.10197933819311138,0.18302617014875344,0.3651112719018768,0.34570196070466386,0.5202215343270368,0.04641739154976585,0.015367106471422486,0.03052084876526123,2.055078058726522
2.7,0.046075417352154695,0.13886934289904296,0.08560067439292175,0.17489077897729616,0.09701428125226746,0.17918036055703646,0.3570779532293756,0.3422875153645545,0.5149847256731197,0.0448047695460856,0.01527780136595478,0.030422387589927463,2.026486008199737
2.75,0.04604591132415623,0.13776168154466809,0.08554461457855368,0.17476824007577926,0.09226561111338015,0.175313075564901,0.34901192628968636,0.33878990477032833,0.5096232414897498,0.04315077357753158,0.015226738190295344,0.030375673587639977,1.99787739210667
2.8000000000000003,0.046015890513657474,0.13664378327768487,0.08548586388894065,0.17463985163291587,0.08773086846623934,0.17143016667302635,0.34092554945817144,0.33521373116789066,0.5041442331211763,0.04146785938698494,0.015201718726047498,0.030359613892355777,1.9692591302050915
2.85,0.04598535634085339,0.13551609354092767,0.0854243608256145,0.17450548274832423,0.0834070796315583,0.1675373685615411,0.3328308801870415,0.33156370030722865,0.49855499675134596,0.03976774881212817,0.015192538055988625,0.030356822336043542,1.9406424280985957
2.9000000000000004,0.04595431024874582,0.13437905762004465,0.08536004496125363,0.17436500502503752,0.07929080106295486,0.16364027981916937,0.3247396363780561,0.3278445950980438,0.49286293310184714,0.03806133447372971,0.015190745958873203,0.03035315239386686,1.9120418961416228
2.95,0.045922753703000134,0.13323312034466128,0.08529285700768591,0.17421829271741365,0.07537816309754664,0.15974434558477704,0.3166631620761068,0.3240612506373306,0.48707550934152954,0.036358618346754044,0.01518943065659603,0.03033727665839621,1.883474780171798
3.0,0.045890688191799825,0.1320787257941161,0.08522273888181849,0.1740652228741742,0.07166491274655691,0.15585484208477196,0.3086123974076651,0.32021853069594314,0.48120022332908735,0.03466867833229064,0.015183023438543506,0.03030030934270899,1.8549602931194762
3.0500000000000003,0.045858115225699124,0.1309163170080307,0.0851496337694264,0.1739056754764258,0.06814645534196846,0.1519768630347229,0.30059785265709005,0.31632130572568745,0.4752445702709444,0.03299965768899785,0.015167122697294078,0.030235468429964538,1.8265190373262519
3.1,0.04582503633747358,0.12974633570196412,0.08507348618673663,0.17373953357052796,0.06481789487920586,0.14811530786031205,0.29262958634710673,0.3123744324255203,0.469216011841904,0.03135877285912205,0.015138335938972274,0.030137774229147644,1.798172508177993
3.1500000000000004,0.04579145308196868,0.12856922198839021,0.08499424203974917,0.17356668339568318,0.06167407291890567,0.14427487168128175,0.28471718716723765,0.30838273488500567,0.4631219477851589,0.02975233583667544,0.015094138375233929,0.030003781255707955,1.769942670410998
