Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_total_Pb_relativistic
0.0,0.008816509088347552,0.03149774663834313,0.015269102842331246,0.017386608080573913,0.06923789129742246,0.04042994828508974,0.04394642267671486,0.028290171134294242,0.029063008920067142,0.14122685476705982,0.08865242754193305,0.09642749217293851,0.07218476524198082,0.07402689130305573,0.06102479892799236,0.06185215141873993,0.3186976292728164,0.21164448218960627,0.23460818180487375,0.2234838077056714,0.23311430063595898,1.039255583627916,0.8926894862071473,11.45833632885658
0.05,0.008816500886862151,0.031497421293780976,0.015269102840519555,0.017386608079501074,0.06923385151633699,0.040429948219407166,0.04394642257709907,0.028290171134293583,0.029063008920066365,0.14118913151548082,0.08865242397370073,0.09642748674104375,0.07218476524156095,0.07402689130255545,0.06102479892799219,0.06185215141873974,0.3182757954973277,0.21164420565556205,0.2346077161780089,0.2234838055956071,0.23311429758490868,1.0265846068033977,0.8922788875943213,11.431242845544904
0.1,0.008816476282472162,0.031496445282486664,0.015269102831335458,0.017386608069845797,0.06922173366545505,0.04042994762834421,0.04394642168069176,0.028290171134271805,0.02906300892004075,0.1410760254127785,0.08865239187945935,0.09642743788944322,0.07218476522771829,0.07402689128606264,0.06102479892797001,0.06185215141871433,0.3170138418657848,0.21164172593155015,0.234603544647667,0.2234837369665903,0.2331141985508915,0.9896078841990246,0.8888732532072339,11.347678996296265
0.15000000000000002,0.008816435275376226,0.031494818671633756,0.015269102803532587,0.017386608032299255,0.06920154222096708,0.040429945330234356,0.04394641819548675,0.028290171134090415,0.02906300891982736,0.140887727238026,0.08865226718887977,0.09642724812741056,0.07218476511253046,0.07402689114883283,0.061024798927573516,0.061852151418260094,0.3149223611669192,0.2116321377441108,0.23458743797366322,0.22348317769430992,0.2331133939871246,0.9312778114342707,0.8771786466704635,11.202934665814222
0.2,0.008816377865905405,0.031492541573168685,0.015269102738369329,0.017386607934684863,0.0691732846400816,0.040429939356897086,0.04394640913705178,0.028290171133255056,0.02906300891884458,0.1406245543669536,0.08865194344523644,0.09642675555935946,0.07218476458289551,0.07402689051791517,0.061024798924409186,0.06185215141463563,0.3120188414495576,0.2116074144672565,0.2345459925427063,0.22348067876193473,0.23310981406795048,0.8560310665826413,0.8516388405582804,10.994717618588048
0.25,0.008816304054523182,0.031489614143796515,0.015269102609612333,0.01738660773196547,0.06913697135636483,0.04042992695553184,0.04394639033189238,0.02829017113052086,0.029063008915627818,0.14028694989034574,0.08865127229431224,0.09642573476438111,0.07218476285305331,0.07402688845755598,0.061024798908411663,0.061852151396316175,0.3083274197835897,0.21155662625952773,0.23446108457780668,0.22347281244990913,0.23309860480446787,0.7691790459308844,0.8091448990644708,10.727343537730944
0.30000000000000004,0.008816213841825446,0.03148603658496099,0.015269102383541419,0.017386607366253422,0.0690926157732222,0.04042990459136655,0.04394635642215509,0.028290171123341246,0.029063008907181092,0.139875481384752,0.08865006416521821,0.09642389801983052,0.07218475832281895,0.07402688306265699,0.06102479884829173,0.06185215132748999,0.30387854473458675,0.21146623546591442,0.23431047984186298,0.22345312002840934,0.23307072321086114,0.6762484486570431,0.7502330729020442,10.412802700261503
0.35000000000000003,0.008816107228540487,0.0314818091428189,0.015269102018955882,0.0173866067668235,0.06904023425552772,0.04042986795105774,0.043946300871663714,0.0282901711071614,0.029063008888146048,0.13939083934043436,0.0886480891395113,0.09642089686127078,0.07218474814615455,0.07402687094607983,0.06102479866478811,0.061852151117483725,0.2987085545094016,0.21132045980742295,0.2340685743472523,0.22341117024178686,0.23301176773373009,0.5823924075301742,0.6785875782761849,10.068579858104847
0.4,0.008815984215528979,0.03147693210820876,0.01526910146718219,0.017386605850128717,0.06897984611940883,0.04042981194683832,0.04394621597328061,0.02829017107455817,0.029063008849790448,0.13883383525283333,0.0886450780040014,0.0964163239689928,0.07218472771591852,0.07402684662709913,0.06102479818448032,0.06185215056802294,0.29285917936901595,0.21110169187356842,0.2337072368814744,0.223331914138439,0.2329013055406144,0.49195626219041394,0.599574423474966,9.713850034211191
0.45,0.008815844803783968,0.031471405816613805,0.015269100672083098,0.01738660451981899,0.06891147362019633,0.04042973072140827,0.04394609285758324,0.0282901710142283,0.029063008778818594,0.13820539938516158,0.08864072348167892,0.09640971536931481,0.07218469007176527,0.07402680182971395,0.06102479706731505,0.06185214929058074,0.2863769783008941,0.2107909618969319,0.23319672095416885,0.22319546590799727,0.23271285477235018,0.40823337773492907,0.5187028991335247,9.36591560292775
0.5,0.008815688994430854,0.03146523064811932,0.015269099570068128,0.017386602666762657,0.06883514193855013,0.04042961765356283,0.0439459215028445,0.028290170909827408,0.02906300865600658,0.1375065782110179,0.08863468163427143,0.09640055293694658,0.07218462523920778,0.0740267247008098,0.061024794700796144,0.061852146585885746,0.27931272106176985,0.21036842977383174,0.23250661217207388,0.22297736595185655,0.23241455640586395,0.3334018322511163,0.4405660494362038,9.037969227331907
0.55,0.008815516788727367,0.03145840702736429,0.015269098090105463,0.017386600169070853,0.06875087916477385,0.0404294653645516,0.04394569074630362,0.028290170738662444,0.029063008454665668,0.13673853154715096,0.08862657342905818,0.0963882671828923,0.07218451950878726,0.07402659895930563,0.06102479005400478,0.061852141277967836,0.271720727518985,0.20981389182395718,0.23160677706241967,0.22264930760191043,0.23197045579642508,0.2686028693995123,0.36838179099841245,8.738347084155535
0.6000000000000001,0.008815328188063553,0.03145093542348743,0.015269096153735222,0.01738659689212473,0.06865871628133244,0.040429265725161506,0.043945388296712636,0.028290170470240596,0.029063008138937578,0.13590252938768405,0.08861598646174158,0.09637224031067759,0.07218435466510652,0.07402640298840558,0.06102478148524821,0.06185213149590795,0.26365817672085085,0.20910728785047156,0.23046828090181085,0.22218024640620884,0.23134222961293122,0.21410956820164087,0.3039940472118261,8.470886572303916
0.65,0.008815123193961744,0.03144281635006753,0.01526909367508412,0.0173865926886055,0.06855868714358891,0.040429009863515455,0.043945000748141984,0.028290170064678117,0.029063007661925804,0.1349999484522327,0.08860247682639867,0.09635180952213176,0.07218410717616697,0.07402610888389184,0.06102476649815717,0.06185211439769399,0.2551843983115481,0.2082291946413567,0.22906424499273,0.22153776936298303,0.23049114996444262,0.16953614275690249,0.2481223945761018,8.235864463035321
0.7000000000000001,0.008814901808076528,0.03143405036505817,0.015269090560881512,0.01738658739852733,0.0684508284587778,0.04042868817357797,0.043944513595026866,0.028290169470972744,0.0290630069636675,0.13403226846140223,0.08858557112281894,0.09632627055254854,0.07218374735399495,0.07402568147203309,0.06102474144241922,0.06185208583221191,0.24636015878184417,0.2071612930912232,0.22737061782328125,0.2206895837689545,0.22938007345408754,0.13404888776174717,0.2006885314526001,8.03109220658018
0.75,0.008814664032194728,0.03142463807071687,0.015269086710476814,0.01738658084927305,0.06833517976323447,0.04042829032435807,0.043943911248434615,0.028290168625143733,0.029063005968950877,0.13300106815413468,0.08856476859088193,0.09629488141379537,0.07218323849794599,0.0740250773111357,0.06102470115698802,0.061852039937345886,0.23724695463109324,0.20588679755109301,0.22536683936312518,0.21960498935271303,0.22797527033225035,0.10655339137060582,0.16111857956648157,7.852913923046983
0.8,0.008814409868235366,0.031414580113528566,0.015269082015858299,0.01738657285563264,0.06821178339790118,0.0404278052697991,0.04394317705353168,0.02829016744824388,0.02906300458498345,0.13190802106228225,0.08853954336104203,0.09625686632285212,0.07218253603233224,0.07402424369102781,0.06102463855547356,0.06185196867433434,0.22790632383479512,0.20439083774941058,0.22303638308347304,0.21825621774278534,0.22624795578690027,0.08584525753910802,0.1285793143396987,7.696996404363709
0.8500000000000001,0.00881413931824963,0.03140387718412354,0.015269076361673264,0.017386563219844563,0.06808068448213203,0.04042722125934429,0.043942293308227166,0.02829016584424813,0.029063002698916738,0.13075489105861005,0.0885093468094723,0.09621141979234074,0.07218158665012633,0.07402311764483936,0.06102454415541471,0.061851861300832804,0.21839918609863604,0.2026607855807156,0.22036716583552943,0.21661955340429703,0.22417543956775624,0.07072119650486916,0.10214250626658952,7.558892328875509
0.9,0.008813852384420838,0.03139253001718976,0.015269069625249558,0.01738655173163985,0.06794193088582069,0.040426525849166124,0.043941241282968634,0.028290163697823723,0.029063000175233507,0.12954352769517363,0.08847361000597707,0.09615771085886345,0.07218032747445605,0.07402162498732516,0.06102440555517763,0.06185170378746773,0.2087852212729748,0.2006865211365787,0.21735182119365296,0.21467618358186438,0.22174186181699343,0.06005349476437256,0.08088830401646215,7.434404160099969
