Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Cd_relativistic
0.0,0.017094956500246204,0.06156631448354375,0.03058862086767551,0.03182179703837876,0.14605048118662192,0.08660139590303255,0.0891252780569256,0.05993732696940845,0.0605171826956708,0.34552350148318667,0.22565232848597058,0.2335442175367492,0.225985220004421,0.2300000347887674,1.430571277665613,8.992056416481942
0.05,0.017094901914610525,0.0615639392789054,0.03058862084867274,0.03182179701608253,0.14601398934354085,0.08660139295029783,0.08912527465151339,0.05993732696924176,0.06051718269549363,0.34501280085205516,0.22565193893657404,0.2335437518430088,0.2259852150775082,0.23000002892781912,1.4005341800354445,8.930880260289497
0.1,0.017094738159148037,0.06155681427474902,0.030588620678829524,0.03182179681543691,0.1459045720638909,0.08660136639187142,0.089125244022513,0.05993732696374584,0.06051718268965211,0.3434855822625282,0.22564844874446238,0.2335395809595069,0.22598505618985001,0.2299998401886205,1.3146565363980798,8.755811515020964
0.15000000000000002,0.01709446523819229,0.06154494130006083,0.030588620019722342,0.03182179603527306,0.1457224039356148,0.08660126320784747,0.0891251250300576,0.05993732691800748,0.06051718264103867,0.34095641396928117,0.22563497133026003,0.2335234842850757,0.22598377803230904,0.2299983251788855,1.1845404274075433,8.490026100939481
0.2,0.017094083158965587,0.06152832340218528,0.03058861830758243,0.031821794007316134,0.14546777540316047,0.08660099530047301,0.08912481610187689,0.05993732670766644,0.06051718241748262,0.33744930629183223,0.22560028596539078,0.2334820922564255,0.225978165910701,0.2299916924289385,1.0262976263512926,8.165684057376236
0.25,0.0170935919315786,0.06150696484537695,0.030588614753701195,0.03182178979669474,0.145141091966626,0.08660043989572655,0.08912417572255543,0.059937326020519766,0.060517181687194194,0.33299731367789936,0.22552921186436253,0.233397367756516,0.225960885290502,0.22997134371146158,0.8570022601864571,7.816816308982544
0.30000000000000004,0.017092991569029783,0.06148087110877472,0.030588608344997277,0.031821782202653554,0.14474287306520922,0.08659944010242641,0.08912302311450303,0.059937324220479885,0.060517179774235895,0.32764199176351955,0.2254031100391641,0.2332472495766237,0.22591875116365,0.22992194399237248,0.6916068460044652,7.473140727706463
0.35000000000000003,0.017092282087204633,0.061450048883799714,0.030588597844744724,0.031821769759468266,0.1442737506495753,0.08659780562579383,0.0891211391066829,0.05993732017557178,0.060517175475841664,0.3214327229847138,0.2252004925120176,0.2330064296493505,0.22583166468999527,0.22982034367559193,0.5410588648200687,7.156287539248714
0.4,0.017091463504874813,0.061414506070978994,0.030588581793461633,0.03182175073756212,0.14373446744902874,0.08659531363155577,0.08911826718606498,0.05993731205209875,0.060517166843883266,0.314425927321554,0.22489771463151095,0.23264723066797266,0.22567254399783307,0.2296357097766001,0.4117622895427786,6.878726206180513
0.45,0.017090535843697085,0.061374251776197326,0.03058855850995843,0.03182172314482284,0.14312587494061418,0.08659170975586004,0.08911411472573182,0.05993729707752275,0.06051715093323229,0.3066841772039343,0.2244697236672483,0.23214054750880295,0.22540831154233185,0.22933088867616852,0.3060741216906491,6.644774120429572
