Q,J_1s1/2,J_2s1/2,J_2p1/2,J_2p3/2,J_3s1/2,J_3p1/2,J_3p3/2,J_3d3/2,J_3d5/2,J_4s1/2,J_4p1/2,J_4p3/2,J_4d3/2,J_4d5/2,J_4f5/2,J_4f7/2,J_5s1/2,J_5p1/2,J_5p3/2,J_5d3/2,J_5d5/2,J_5f5/2,J_5f7/2,J_6s1/2,J_6p1/2,J_6p3/2,J_7s1/2,J_total_No_relativistic
0.0,0.006260456630838847,0.02276020264858681,0.010726090920271113,0.013528280142377435,0.05012153709412038,0.028938673995204126,0.03340027055848409,0.021315024643554302,0.022237192875062175,0.09725424331119585,0.060659617917830526,0.06899554762270403,0.050308295180238875,0.05206635763544907,0.03934406995881555,0.04000025219740263,0.18928223801647168,0.12347635498028638,0.1421776464704245,0.11590896821133324,0.12078862495169401,0.14490830181088454,0.1563883694689435,0.46106314765830414,0.3212696566250932,0.4103406482502329,1.9960598402136265,14.006819101063257
0.05,0.006260453431469008,0.02276007706583597,0.01072609091771455,0.01352828014206574,0.05011999595294394,0.02893867398264334,0.033400270532903044,0.021315024643554212,0.02223719287506206,0.09724159180142516,0.06065961737920597,0.06899554659180535,0.05030829518020952,0.05206635763541202,0.03934406995881555,0.04000025219740263,0.18918474729103107,0.123476335131282,0.14217760599319584,0.11590896819985844,0.12078862493609424,0.14490830177308803,0.15638836821368565,0.45979651650241427,0.321267309638556,0.4103323962475291,1.9194143268508497,13.850733268374764
0.1,0.006260443833374521,0.02275970032225511,0.010726090909317495,0.013528280139260532,0.050115372829304096,0.028938673869611232,0.03340027030269359,0.0213150246435513,0.02223719287505833,0.09720364761735252,0.060659612533381375,0.06899553731706902,0.05030829517924109,0.05206635763419,0.039344069958815404,0.04000025219740246,0.188892591976573,0.12347615670309924,0.14217724228173095,0.11590896782209471,0.12078862442265996,0.14490829729698695,0.15638823636322724,0.4560189999421233,0.32124638102688835,0.41025932835101947,1.7082411738675742,13.419824636619655
0.15000000000000002,0.006260427836600469,0.022759072431858887,0.010726090892897918,0.013528280128351704,0.050107668622770586,0.028938673430096047,0.033400269407556395,0.021315024643527084,0.02223719287502727,0.09714044178100653,0.06065959369728578,0.06899550126912224,0.050308295171175944,0.05206635762401332,0.03934406995881276,0.04000025219739943,0.18840672099792688,0.12347546411412637,0.14217583140602508,0.11590896468570629,0.1207886201615087,0.14490822687368704,0.15638649330411733,0.44979704611807936,0.3211661612805022,0.4099823112554942,1.4107729038555785,12.810039210955724
0.2,0.00626040544122199,0.022758193418003992,0.010726090864819349,0.01352828009998993,0.050096884832297454,0.028938672287536524,0.033400267080658005,0.021315024643415614,0.02223719287488418,0.09705202595016181,0.06065954475505748,0.06899540762145244,0.0503082951340499,0.05206635757717002,0.03934406995879158,0.04000025219737514,0.18772871037294767,0.12347366825719279,0.1421721764737106,0.11590895030933321,0.12078860063991753,0.14490775036252865,0.15637691812653703,0.4412391581596764,0.3209618980366756,0.40928791498314493,1.085621559329753,12.137780079864754
0.25,0.006260376647344275,0.022757063313387515,0.010726090819991246,0.013528280041087947,0.05008302355572996,0.028938669915009305,0.03340026224912872,0.02131502464305081,0.022237192874415734,0.09693847235001912,0.060659443191872255,0.06899521333389097,0.05030829501261194,0.0520663574239588,0.039344069958684,0.040000252197251715,0.1868607549703082,0.1234699517551493,0.14216462197675694,0.11590890354398617,0.12078853718140156,0.14490577653241382,0.1563454823595715,0.4304926367120621,0.320549165962953,0.4079131941908066,0.7826246425977175,11.501673243828199
0.30000000000000004,0.00626034145510257,0.02275568216004467,0.010726090751869508,0.013528279934822349,0.05006608748911455,0.02893866563549114,0.03340025353475908,0.02131502464209281,0.022237192873185353,0.096799873677737,0.06065926014119012,0.0689948632691318,0.05030829469399505,0.0520663570220159,0.03934406995827728,0.040000252196785116,0.185805657056132,0.12346327624379244,0.14215107359984522,0.11590878168233762,0.12078837196162943,0.144899876698171,0.15627197050090771,0.4177392285919796,0.3198294660598844,0.40557517114908226,0.5321561577274625,10.961319536665082
0.35000000000000003,0.006260299864662172,0.022754050009345897,0.010726090652457136,0.01352827976063589,0.050046079925812274,0.02893865862219578,0.03340023925489447,0.021315024639933473,0.022237192870411794,0.09663634297999357,0.060658960445307906,0.06899429034192878,0.050308293976680414,0.05206635611720726,0.03934406995702697,0.04000025219535085,0.18456681171415867,0.12345239160839658,0.14212902321922813,0.11590850956184223,0.12078800339619081,0.14488589072779767,0.15613582924842526,0.40318987442409265,0.3186966059621788,0.402001053690598,0.34447319900201834,10.536155318166221
0.4,0.006260251876218427,0.022752166921993267,0.010726090512305044,0.013528279494240302,0.050023004755416066,0.028938647898985297,0.03340021742352709,0.021315024635581076,0.022237192864821093,0.09644801350380777,0.06065850272907373,0.06899341570051484,0.05030829253293656,0.05206635429632993,0.03934406995372723,0.04000025219156596,0.18314818924687556,0.12343584708067519,0.14209557875156237,0.11590796703650717,0.12078726945468961,0.1448579525874519,0.1559215863230755,0.38707878157427295,0.317043373161756,0.39695550187908013,0.2153702630790364,10.216915117555882
0.45,0.00626019748999673,0.02275003296801629,0.010726090320513013,0.013528279107619622,0.04999686646247236,0.028938632340855634,0.03340018575258457,0.021315024627524454,0.02223719285447207,0.09623503852089883,0.060657839486588094,0.06899214893968941,0.05030828986495311,0.0520663509319179,0.03934406994597992,0.04000025218268048,0.18155431468672276,0.1234120040847326,0.14204749844874887,0.11590697524819508,0.12078592953413965,0.1448089262794447,0.15562084575530907,0.3696570685392648,0.3147680217194381,0.3902620919672635,0.1333471750297878,9.980072139904529
0.5,0.00626013670625252,0.022747648226767034,0.010726090064730789,0.01352827856903403,0.04996767012500774,0.02893861067449608,0.03340014165341413,0.02131502461357668,0.022237192836555633,0.09599759112591189,0.06065691718068587,0.06899038834492391,0.05030828525492581,0.05206634511949689,0.039344069929395424,0.04000025216366173,0.1797902445668781,0.1233790507037125,0.14198122917826603,0.11590528216984526,0.12078364557955804,0.14473106049323617,0.1552313057499122,0.35118623267340143,0.3117801448792286,0.38181728049747277,0.08524175672815396,9.79915417549433
0.55,0.0062600695252712805,0.02274501278691463,0.01072608973115934,0.01352827784302419,0.04993542141286128,0.028938581478922355,0.03340008223846125,0.021315024590698523,0.022237192807168165,0.09573586400888599,0.06065567635496324,0.06898802116674237,0.050308277709385,0.052066335607679856,0.039344069896450964,0.04000025212588652,0.1778615411200606,0.12333501762360075,0.14189294817971904,0.11590254791878742,0.12077996316939743,0.14461663913464914,0.15475459331184804,0.331931685296992,0.30800559121514126,0.37159638613113594,0.05944059655315123,9.651172524521613
0.6000000000000001,0.0062599959473685325,0.022742126746439106,0.010726089304552244,0.013528276890416118,0.0499001265858234,0.028938543186182903,0.03340000432314154,0.021315024554801904,0.022237192761059284,0.09545006920238777,0.06065405175808453,0.06898492392454375,0.050308265898093465,0.052066320721539903,0.0393440698349254,0.04000025205534915,0.17577424409108294,0.12327779539717272,0.14177860774806866,0.11589833034785497,0.12077429328751565,0.14445848154567506,0.15419424096750467,0.3121565783368818,0.30339018788568495,0.3596521633341007,0.04708669589618712,9.519013489846904
0.65,0.006259915972889835,0.02273899021262459,0.01072608876821723,0.013528275668326536,0.049861792491582096,0.028938494082138035,0.033399904427904394,0.021315024500533603,0.022237192691354362,0.09514043780378055,0.06065197248007529,0.06898096273894494,0.050308248087871654,0.052066298279739576,0.039344069725824715,0.04000025193028724,0.17353484036438188,0.12320515285953629,0.14163398226278454,0.11589207141535059,0.1207658954822977,0.14425024538483155,0.15355430104901796,0.29211611692465983,0.29790214790010333,0.3461073014471953,0.042085570376299064,9.391404755886953
0.7000000000000001,0.00625982960221078,0.02273560330205186,0.010726088104017865,0.013528274130168747,0.04982042656347761,0.02893843230731139,0.03339977878048688,0.021315024421039483,0.022237192589252133,0.09480721967314348,0.0606493621002802,0.06897599369164002,0.05030822207173808,0.05206626550593473,0.03934406954070826,0.04000025171812348,0.17115023162133378,0.12311475651722885,0.14145471696033768,0.11588308481273574,0.12075386306886118,0.14398655422744636,0.15283858542348203,0.27205251552250675,0.291533146835645,0.33114259524593015,0.04058633755732469,9.261817026595432
0.75,0.006259736835736988,0.022731966140590264,0.010726087292375393,0.013528272225659013,0.04977603681806656,0.0289383558578133,0.03339962331835613,0.021315024307709575,0.02223719244369784,0.09445068310739935,0.06064613884663787,0.06896986321169114,0.0503081850937806,0.052066218935007604,0.03934406923832353,0.04000025137161866,0.1686277002537085,0.12300419072546642,0.14123637783516618,0.1158705452924052,0.12073711096441174,0.1436630009641839,0.15205034685509142,0.2521907140648633,0.2842981485476289,0.3149826240949677,0.04035081229816097,9.127133544183266
0.8,0.006259637673904105,0.022728078863388977,0.010726086312270703,0.013528269900823436,0.049728631852496694,0.02893826258633542,0.03339943369133841,0.021315024149904303,0.022237192241032377,0.09407111449125166,0.06064221576589878,0.06896240848709027,0.050308133770199534,0.052066154314716395,0.03934406876045621,0.04000025082413048,0.16597487376905357,0.12287097846296863,0.14097450205148407,0.11585348008873023,0.1207143666629191,0.14327607908513412,0.15119221891831175,0.23273492814903304,0.27623413272519115,0.29788061933339977,0.040202893096901504,8.986478077714356
0.8500000000000001,0.0062595321171777935,0.022723941614867627,0.010726085141246457,0.013528267098005343,0.049678220841693585,0.02893815020321616,0.03339920526443288,0.021315023934662218,0.02223719196461786,0.09366881792557315,0.060637500904387916,0.06895345790035969,0.05030806400698672,0.052066066503378354,0.039344068026902504,0.040000249983873554,0.16319968793107192,0.12271260251081859,0.14066464825484779,0.11583076276575273,0.12068416475706045,0.14282308212580985,0.15026628428990285,0.21386606606597544,0.26739792671302276,0.28010388565159045,0.03961603500360631,8.84032210790869
0.9,0.006259420166053735,0.022719554548706285,0.010726083755409357,0.013528263755873182,0.04962481353536057,0.028938016277576153,0.03339893312080792,0.021315023646389656,0.022237191594440195,0.09324411483392642,0.06063189749889044,0.06894283148689181,0.050307970914724755,0.05206594936422884,0.039344066929472836,0.04000024872707846,0.16031034888313106,0.12252652684105089,0.14030244618786084,0.11580110975680671,0.12064484530688595,0.14230199726867324,0.1492741931613176,0.19574000759309856,0.2578633699282647,0.2619207598861305,0.03843223911613721,8.689861978866526
0.9500000000000001,0.0062593018210576196,0.022714917827834802,0.010726082129432562,0.0135282598094289,0.04956842025479342,0.02893785823852325,0.033398612064977753,0.02131502326653265,0.022237191106689147,0.0927973435479358,0.06062530417721635,0.06893034141466686,0.050307848721008436,0.05206579565712101,0.03934406532493922,0.04000024688995198,0.1573152945059143,0.12231021802205423,0.13988364503824813,0.11576307978742381,0.12059455624012858,0.1417114072542892,0.14821729015975588,0.17848670660726412,0.2477180438864987,0.24358970963476706,0.03668374105546338,8.536610932992858
1.0,0.006259177082745142,0.022710031624421517,0.010726080236558235,0.013528255190016844,0.04950905188951117,0.028937673376426207,0.03339823662615699,0.021315022773231586,0.022237190473316536,0.092328858872265,0.06061761516797911,0.06891579248392929,0.0503076906810054,0.05206559692824862,0.0393440630268435,0.04000024425934651,0.15422315526091637,0.12206116645135845,0.1394041599790848,0.11571507629570585,0.12053125985270625,0.14105040660679258,0.14709673033014695,0.16221005278862563,0.2370597882710806,0.22535084062286206,0.03448668436680458,8.382145867428747
1.05,0.0062590459517019945,0.022704896119861324,0.01072607804860026,0.013528249825333145,0.049446719893704874,0.02893745884425639,0.03339780106179056,0.021315022140959,0.02223718966157309,0.09183903162998923,0.060608720519103765,0.0688989826453521,0.050307488986684794,0.052065343398588725,0.03934405979608977,0.040000240562054146,0.15104271477003672,0.12177690723185154,0.13886011639942442,0.11565535288644169,0.12045274336374975,0.1403185332798684,0.14591357686401973,0.14698840749730252,0.22599319831531126,0.20741981963230413,0.03198172416383236,8.227958896692073
1.1,0.006258908428543863,0.02269951150476311,0.010726075535947066,0.0135282436394356,0.04938143628250583,0.02893721165899672,0.03339729936125636,0.021315021340141013,0.022237188633524665,0.09132824818918285,0.060598506324561735,0.06887970353517138,0.050307234675252166,0.05206502385177083,0.0393440553302519,0.04000023545265013,0.14778287037800533,0.1214550405148199,0.13824789136803928,0.11558202177900251,0.12035663337108769,0.13951571431616372,0.1446688793094737,0.13287571534901274,0.2146262657371798,0.18998403504555259,0.029303541047657537,8.07537707599154
1.1500000000000001,0.00625876451391642,0.022693877978936534,0.010726072667564637,0.013528236552754057,0.04931321362807517,0.028936928703116992,0.033396725249737955,0.02131502033676287,0.022237187345548463,0.09079690997157354,0.06058685495881273,0.06885774102573179,0.050306917537334926,0.05206462552208522,0.039344049251535666,0.04000022849982047,0.1444525939388705,0.12109325114227962,0.13756415192249707,0.11549306513665886,0.12024041395371309,0.1386422230926042,0.14336373370616992,0.11990308572339627,0.2030672888353361,0.17320070374146557,0.026567266143094282,7.9255251550625605
1.2000000000000002,0.006258614208495314,0.022687995751378212,0.010726069410999626,0.01352822848210128,0.04924206505551662,0.028936606726114755,0.03339607219226418,0.02131501909195912,0.022237185747809935,0.09024543294414229,0.06057364531841889,0.06883287578984847,0.05030652602546606,0.05206413398334487,0.03934404109334526,0.04000021917112071,0.14106089306039687,0.12068932743170672,0.13680588982932895,0.11538634909833824,0.12010144807996963,0.1376986455218553,0.1419993270560852,0.10808073673849015,0.19142214062647864,0.15719657878569093,0.02386425654204046,7.779314821183943
1.25,0.006258457512986169,0.022681865040257227,0.010726065732382639,0.013528219340684324,0.049168004238614414,0.02893624234612084,0.03339533339791297,0.021315017561588913,0.02223718378372109,0.08967424709457454,0.06055875307028245,0.06880488387736033,0.050306047163414164,0.05206353303931339,0.039344030285414514,0.04000020681612552,0.13761677303108732,0.12024117895829946,0.13597045251755527,0.11525964027458263,0.11993700190604356,0.13668585282032672,0.14057696869866856,0.09740019724662034,0.17979194969246273,0.14206890238642364,0.02126266876948771,7.637449806671709
1.3,0.0062582944281245724,0.02267548607290005,0.010726061596431644,0.013528209038116377,0.049091045395398325,0.028935832051568598,0.03339450182417594,0.021315015695797045,0.022237181389380963,0.0890837958914916,0.060542050905946,0.06877353730222581,0.05030546645690542,0.052062804616404994,0.03934401613747553,0.04000019064794284,0.1341291996437947,0.1197468532031258,0.13505556994627615,0.11511062441881395,0.11974427149020528,0.1356049788632545,0.13909811095215996,0.08783666917876068,0.16827121843914492,0.12788726876417483,0.018810205643308223,7.500440126467083
1.35,0.0062581249546760686,0.022668859085774786,0.010726056966455531,0.01352819748042911,0.04901120328353804,0.028935372202925892,0.03339357018148072,0.021315013438561223,0.022237178492999013,0.08847453573041346,0.06052340880138353,0.068738604638493,0.050304767806277566,0.05206192865935271,0.03934399782144979,0.04000016972308134,0.13060706311768244,0.1192045509497239,0.1340593772263782,0.11493692694385649,0.1195204114048635,0.13445740056354352,0.13756436106948317,0.07935146209515599,0.156946378688499,0.1146960998205972,0.016537595636959876,7.368621201164438
1.4000000000000001,0.006257949093436151,0.02266198432447485,0.010726051804357812,0.013528184570085497,0.048928493195568946,0.02893485903448885,0.03339253093786748,0.021315010727226198,0.022237175014302214,0.08784693536642321,0.060502694281701595,0.06869985162346391,0.050303933421597946,0.05206088303052679,0.039343974352160305,0.0400001429196752,0.12705914330678997,0.11861264032672514,0.13298043287566635,0.11473613492251436,0.119262564701028,0.13324472011287444,0.13597748622340736,0.07189442314573258,0.14589476522872158,0.10251748338235236,0.014462064295503504,7.242175193060955
