p,ChiF,ChiG,ChiTotal,I(p),J(Q)
0.0,-1.1172129558305013e-05,0.0,1.1172129558305013e-05,0.0,0.043245655697446456
0.05,-1.1096767443212744e-05,0.00041261180098064716,0.00041276099204767635,4.259290913904549e-10,0.04324565559096418
0.1,-1.0870713990941226e-05,0.0008251335411778818,0.0008252051461299936,6.809635331994242e-09,0.043245654633277494
0.15000000000000002,-1.0494067854598556e-05,0.0012374752071055563,0.0012375197023324826,3.445773780737423e-08,0.04324565091059493
0.2,-9.966993369710932e-06,0.0016495468798258613,0.001649576991140476,1.0884416998800265e-07,0.04324564123635615
0.25,-9.289720424858114e-06,0.002061258782108075,0.002061279715546446,2.655546291077023e-07,0.04324562115586407
0.30000000000000004,-8.462544280799648e-06,0.002472521325449019,0.0024725358075174315,5.502089987510291e-07,0.04324558495275767
0.35000000000000003,-7.4858253383270206e-06,0.0028832451569094485,0.002883254874689851,1.0183619373717917e-06,0.04324552565731353
0.4,-6.3599888551409116e-06,0.003293341205720939,0.0032933473468126145,1.7353818794812303e-06,0.0432454350565606
0.45,-5.085524612123548e-06,0.003702720729618112,0.0037027242219890297,2.776308749481114e-06,0.043245303706189384
0.5,-3.662986529437177e-06,0.004111295360851576,0.004111296992632618,4.225690740407502e-06,0.04324512094423339
0.55,-2.0929922329446237e-06,0.004518977151837378,0.004518977636528505,6.1774005610320375e-06,0.04324487490649759
0.6000000000000001,-3.762225715133773e-07,0.00492567862039936,0.00492567863476727,8.734431604680995e-06,0.0432445525437052
0.65,1.486578914176504e-06,0.005331312794561466,0.005331313001819688,1.2008674541624526e-05,0.04324413964033122
0.7000000000000001,3.4946065706369534e-06,0.005735793256847745,0.005735794321414876,1.6120674883811824e-05,0.04324362083508799
0.75,5.646993257646554e-06,0.006139034188048504,0.006139036785242551,2.1199372115940673e-05,0.04324297964302504
0.8,7.9428110205952e-06,0.006540950410411994,0.006540955232969855,2.7381821030218077e-05,0.04324219847920284
0.8500000000000001,1.0381071808239913e-05,0.006941457430221808,0.006941465192755304,3.481289594356366e-05,0.04324125868389713
0.9,1.2960728234961784e-05,0.007340471479721167,0.007340482921789017,4.3644978515311744e-05,0.04324014054928786
0.9500000000000001,1.5680674386557583e-05,0.007737909558346277,0.007737925446571315,5.403762992056804e-05,0.04323882334758438
1.0,1.8539746668547493e-05,0.00813368947323193,0.008133710602742789,6.615724816917046e-05,0.04323728536053594
1.05,2.15367246959355e-05,0.008527729878953751,0.008527757074337379,8.017671139259961e-05,0.04323550391027439
1.1,2.4670332223306783e-05,0.008919950316472488,0.00891998443236476,9.62750079510919e-05,0.043233455391433695
1.1500000000000001,2.793923811410376e-05,0.009310271251247143,0.009310313172650285,0.00011463685424056165,0.04323111530448895
1.2000000000000002,3.1342057347877666e-05,0.00969861411048477,0.00969866475287465,0.00013545230110366052,0.043228458290255636
1.25,3.4877352064273275e-05,0.010084901319496234,0.010084961628765075,0.00015891632977134984,0.04322545816548809
1.3,3.854363264246403e-05,0.01046905633712849,0.010469127289396545,0.0001852284382806828,0.0432220879595146
1.35,4.2339358814719726e-05,0.010851003690245218,0.010851086291566397,0.00021459221933104432,0.04321831995184502
1.4000000000000001,4.626294081275533e-05,0.0112306690072292,0.011230764293209575,0.0002472149305548772,0.043214125710685544
1.4500000000000002,5.031274054547476e-05,0.011607979050481153,0.011608088085824923,0.00028330705818988884,0.0432094761322941
1.5,5.448707280669999e-05,0.01198286174789112,0.011982985625885364,0.0003230818751478943,0.043204341481108764
1.55,5.878420651144558e-05,0.012355246223260187,0.012355386065207363,0.00036675499448081953,0.043198691430580805
1.6,6.320236595927262e-05,0.012725062825651607,0.012725219780256973,0.00041454391924695895,0.04319249510464329
1.6500000000000001,6.773973212324295e-05,0.013092243157651938,0.013092418400371725,0.0004666675897803927,0.043185721119745536
1.7000000000000002,7.239444396296563e-05,0.01345672010252452,0.013456914834879659,0.0005233459293635603,0.043178337627383344
1.75,7.716459976021896e-05,0.01381842785023881,0.013818643299098205,0.0005847993892973671,0.043170312357054805
1.8,8.204825847561285e-05,0.014177301922361045,0.014177539339197794,0.0006512484943549834,0.04316161265957125
1.85,8.704344112475067e-05,0.014533279195792847,0.014533539855916315,0.0007229133895946563,0.043152205550652974
1.9000000000000001,9.214813217233277e-05,0.014886297925346301,0.014886583127112562,0.0008000133894935611,0.04314205775473977
1.9500000000000002,9.736028094264693e-05,0.015236297765145268,0.015236608829148169,0.0008827665303489399,0.04313113574894633
2.0,0.00010267780304488326,0.015583219788844523,0.015583558057089327,0.0009713891268746947,0.04311940580709343
2.0500000000000003,0.00010809858181170733,0.015927006508659615,0.015927373343721036,0.0010660953339012328,0.04310683404374619
2.1,0.00011362046974953212,0.016267601893201998,0.016267998677368257,0.0011670967140638322,0.04309338645819154
2.15,0.00011924128999893188,0.016604951384115576,0.016605379518519967,0.0012746018123402456,0.04307902897828802
2.2,0.00012495883780364215,0.016939001911512055,0.016939462815253447,0.0013888157382716748,0.04306372750412197
2.25,0.00013077088198660853,0.017269701908204278,0.01727019701745785,0.001509939756672913,0.043047447951405325
2.3000000000000003,0.0001366751664315469,0.017597001322737952,0.01759753208985738,0.0016381708876073342,0.04303015629455155
2.35,0.0001426694115684992,0.01792085163122376,0.017921419523836066,0.001773701516370689,0.043011818609367626
2.4000000000000004,0.00014875131586188065,0.01824120584797326,0.018241812348067408,0.0019167190141945226,0.042992401115301476
2.45,0.0001549185572995294,0.01855801853494327,0.018558665137953585,0.0020674053703454197,0.04297187021718582
2.5,0.0001611687948812956,0.01887124580999484,0.01887193402388031,0.0022259368362605707,0.04295019254642112
2.5500000000000003,0.00016749967010572172,0.019180845353974425,0.019181576698294844,0.002392483582323272,0.04292733500154215
2.6,0.00017390880845338956,0.019486776416625797,0.019487552421615727,0.0025672093678440937,0.04290326478811447
2.6500000000000004,0.0001803938208655418,0.019788999821342912,0.019789822026984382,0.002750271224774858,0.0428779494579091
2.7,0.00018695230521660223,0.020087477968774893,0.02008834792386976,0.002941819155643127,0.04285135694730577
2.75,0.00019358184777925477,0.02038217483929555,0.020383094100538374,0.0031419958461549797,0.04282345561487709
2.8000000000000003,0.00020028002468076776,0.02067305599435113,0.020674026125403422,0.003350936392873488,0.0427942142781082
2.85,0.0002070444033492833,0.020960088576700897,0.02096111114726759,0.0035687680463395385,0.0427636022492087
2.9000000000000004,0.00021387254394882155,0.02124324130956645,0.02124431789447535,0.003795609969960831,0.04273158936997583
2.95,0.0002207620008017886,0.021522484494706354,0.0215236166729914,0.0040315730149538135,0.04269814604567023
3.0,0.0002277103237978057,0.02179779000943421,0.02179897936342328,0.004276759511582586,0.04266324327786793
3.0500000000000003,0.0002347150597877192,0.022069131302598567,0.022070379417006566,0.004531263076897859,0.04262685269625451
3.1,0.00024177375396168533,0.02233648338954445,0.022337791850572424,0.004795168439138794,0.04258894658932993
3.1500000000000004,0.00024888395121026413,0.02259982284607699,0.02260119324051793,0.0050685512789204554,0.04254949793399462
3.2,0.0002560431974674922,0.0228591278014483,0.022860561715800334,0.0053514780872900205,0.042508480423990275
3.25,0.0002632490410349506,0.023114377930389726,0.023115876949977337,0.005644006040696089,0.04246586849717066
3.3000000000000003,0.00027049903388587674,0.02336555444421211,0.023367120152316023,0.005946182892877105,0.04242163736158075
3.35,0.00027779073294841727,0.0236126400809975,0.023614274057993857,0.006258046883637603,0.04237576302032437
3.4000000000000004,0.00028512170136715733,0.023855619094906248,0.02385732291741565,0.0065796266644443805,0.04232822229520337
3.45,0.0002924895097421021,0.024094477244624036,0.024096252484671028,0.0069109412407391884,0.04227899284911338
3.5,0.00029989173734433554,0.024329201780973947,0.02433105000515747,0.00725199993083005,0.04222805320718382
