Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Cm_relativistic
0.0,0.006896064379758056,0.025059149460574148,0.01193656954098248,0.014515286746608458,0.05503113425893864,0.031904731977184686,0.03604725536885449,0.023058032672956603,0.023934187628418896,0.1080253094989078,0.06751320262788042,0.07557085910509133,0.055407312782952294,0.05716282488047499,0.04380960553400793,0.04447723168358788,0.21536311600573227,0.14090634651475437,0.15897584157484962,0.13123582341636522,0.13600474564515788,0.16795687082130353,0.17510153603786766,0.5071078755073368,0.35311997039911,0.42266418111518084,0.7032646368515545,1.8942809043491227,14.311580553586305
0.05,0.0068960601408489,0.025058982978134053,0.011936569538789969,0.014515286746168267,0.0550290959308992,0.03190473195686068,0.03604725533155996,0.02305803267295645,0.023934187628418705,0.10800808428157525,0.06751320171124264,0.075570857490415,0.055407312782893424,0.057162824880402266,0.04380960553400792,0.04447723168358787,0.2152225409175681,0.14090630911108837,0.15897577289011147,0.13123582338995782,0.13600474561085318,0.16795687079789914,0.1751015359720036,0.5054162576348857,0.3531163407820386,0.42265516079204124,0.7032474928047927,1.8250826484232792,14.169419944153823
0.1,0.006896047424144732,0.025058483538234227,0.011936569531027024,0.01451528674220663,0.055022981424484724,0.03190473177395991,0.03604725499594303,0.02305803267295138,0.02393418762841239,0.1079564259055461,0.06751319346471393,0.07557084296464536,0.05540731278095161,0.05716282487800349,0.04380960553400747,0.04447723168358736,0.21480139343262278,0.14090597299512367,0.15897515594657927,0.13123582252113555,0.13600474448249475,0.16795686795099454,0.17510152812278737,0.5003773789938237,0.3530840181412406,0.4225752516428694,0.7027819685529914,1.6335918963089155,13.774548759924755
0.15000000000000002,0.006896026229715449,0.02505765116313543,0.01193656951413756,0.014515286726800775,0.05501279217261756,0.03190473106276954,0.036047253690972905,0.023058032672909207,0.023934187628359783,0.10787038617058677,0.06751316141279062,0.07557078651412151,0.055407312764782356,0.057162824858030134,0.043809605533999395,0.044477231683578186,0.2141014030462247,0.14090466902974474,0.15897276414967113,0.1312358153146546,0.13600473512700997,0.16795682131936068,0.1751014034690249,0.49209786365409236,0.35296038516250267,0.4222720788832277,0.6998590690212718,1.361570989560927,13.20795795198653
0.2,0.006895996557677548,0.025056485889936864,0.011936569482195243,0.014515286686747458,0.054998530562871045,0.031904729214012835,0.036047250298828784,0.02305803267271501,0.023934187628117463,0.10775005131590965,0.06751307814406553,0.07557063988782874,0.05540731269036617,0.05716282476611219,0.04380960553393474,0.044477231683504724,0.21312543947589485,0.14090129054514783,0.15896657331662167,0.13123578232585417,0.13600469232435278,0.167956489452084,0.17510055021510762,0.480751152327173,0.35264653216896874,0.42151136174918247,0.6904977509116033,1.0607082586949146,12.568248140092468
0.25,0.00689595840819412,0.025054987770573117,0.011936569426904213,0.014515286603565044,0.05498019993652413,0.03190472537521598,0.03604724325574514,0.023058032672079395,0.023934187627324195,0.10759554187980365,0.06751290538272721,0.07557033575461994,0.055407312447018485,0.05716282446555763,0.04380960553360644,0.04447723168313174,0.21187749362607355,0.14089430605886058,0.15895379153038897,0.1312356752002815,0.13600455342906675,0.16795503144280896,0.17509696879719916,0.4665713433884817,0.35201489277068787,0.4200034895048408,0.6706869098817044,0.7763161657657575,11.941073794587904
0.30000000000000004,0.006895911781474851,0.02505315687180984,0.011936569337600081,0.014515286453496399,0.05495780458723848,0.031904718451221246,0.03604723055319406,0.02305803267041017,0.02393418762524078,0.10740701250357212,0.0675125940883613,0.07556978792250979,0.055407311808758256,0.05716282367733606,0.04380960553236605,0.04447723168172265,0.21036265119060468,0.14088177684965603,0.15893090022624223,0.13123539664508727,0.1360041925821116,0.1679503809751148,0.1750861100996307,0.4498450320060773,0.3509189175283973,0.41743541889311525,0.6389120051823267,0.537521141996177,11.38217514616439
0.35000000000000003,0.006895856677776021,0.02505099327523823,0.011936569201251227,0.014515286207512626,0.05493134975935904,0.03190470710484617,0.0360472097394036,0.023058032666647747,0.023934187620544597,0.10718465168023149,0.06751208458375757,0.07556889161923061,0.05540731037238671,0.05716282190370681,0.04380960552855596,0.044477231677394764,0.20858705914098946,0.14086137915590036,0.15889370582040147,0.1312347762000128,0.13600338968517162,0.16793857593552874,0.17505999002949577,0.4309015676696199,0.34920392100154096,0.4135037720971942,0.5968244438803489,0.3557455203746831,10.915141029511595
0.4,0.006895793097400495,0.02504849707726824,0.011936569002460373,0.014515285831317615,0.0549008416458389,0.03190468975768824,0.03604717792121078,0.023058032659064445,0.023934187611079173,0.10692868144855142,0.06751130671034368,0.07556752383301343,0.05540730748272411,0.05716281833607725,0.043809605518509855,0.04447723166598465,0.20655788541384473,0.14083043070985304,0.15883740101829247,0.13123354285783442,0.13600179559579414,0.16791330041322736,0.1750070615448838,0.4101022160063704,0.3467181794925673,0.4079452107051394,0.5480329279234657,0.22889365783059112,10.538691513264295
0.45,0.006895721040697725,0.025045668389120614,0.01193656872346645,0.014515285285353428,0.05486628738578977,0.031904664591074536,0.036047131766247666,0.02305803264502804,0.023934187593559142,0.10663935703314227,0.06751018001078513,0.07556554371233716,0.055407302145545144,0.05716281174779797,0.04380960549494767,0.04447723163922665,0.20428327217247316,0.14078592126513004,0.15875663478634902,0.13123129572145617,0.13599889518047872,0.16786581891157953,0.1749129245005887,0.38782874298949466,0.34332339834413494,0.4005609297631458,0.4964662965973705,0.14738933206929228,10.237211839113003
