Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(1),J_total_sodium
0.0,0.08151185376557099,0.38999107739319844,2.0530657652639412,0.22456808309853987,0.16302370753114198,0.7799821547863969,1.3474084985912391,2.0530657652639412,4.343480126172719
0.05,0.08150592031010645,0.3893895444108429,1.9756578256751338,0.2245674602643851,0.1630118406202129,0.7787790888216858,1.3474047615863105,1.9756578256751338,4.264853516703343
0.1,0.08148812451205728,0.38759198488603824,1.7621697772262186,0.22456189885607913,0.16297624902411456,0.7751839697720765,1.3473713931364748,1.7621697772262186,4.047701389158885
0.15000000000000002,0.08145847977307087,0.38461927985142913,1.4607851441339048,0.2245405366811914,0.16291695954614174,0.7692385597028583,1.3472432200871483,1.4607851441339048,3.740183883470053
0.2,0.0814170076036401,0.3805054746404705,1.1301248576466159,0.22448597382268468,0.1628340152072802,0.761010949280941,1.346915842936108,1.1301248576466159,3.400885665070945
0.25,0.08136373689753665,0.37529675139677854,0.8201719150348888,0.22437526742105213,0.1627274737950733,0.7505935027935571,1.3462516045263127,0.8201719150348888,3.0797444961498317
0.30000000000000004,0.08129870356900595,0.3690501648249031,0.5616229726230602,0.22418121033494212,0.1625974071380119,0.7381003296498062,1.3450872620096528,0.5616229726230602,2.807407971420531
0.35000000000000003,0.08122195065353915,0.36183224491723026,0.36521857966264404,0.22387379606746094,0.1624439013070783,0.7236644898344605,1.3432427764047656,0.36521857966264404,2.594569747208949
0.4,0.08113352871280846,0.3537175408017996,0.2273262257212305,0.22342176478463371,0.16226705742561692,0.7074350816035992,1.3405305887078023,0.2273262257212305,2.437558953458249
0.45,0.08103349627613829,0.34478714765519,0.13700723338444165,0.22279412823489475,0.16206699255227658,0.68957429531038,1.3367647694093685,0.13700723338444165,2.3254132906564666
0.5,0.08092192010218963,0.33512723584103343,0.08155673188213991,0.22196158333009328,0.16184384020437925,0.6702544716820669,1.3317694999805596,0.08155673188213991,2.2454245437491456
0.55,0.08079887517140286,0.32482759173855585,0.04965969866079811,0.2208977425388378,0.1615977503428057,0.6496551834771117,1.3253864552330268,0.04965969866079811,2.1862990877137425
0.6000000000000001,0.08066444443505345,0.3139801804511739,0.032589423581462565,0.21958013113390412,0.1613288888701069,0.6279603609023477,1.3174807868034248,0.032589423581462565,2.1393594601573422
0.65,0.08051871840828231,0.30267774649218243,0.02423874524001441,0.21799092389674712,0.16103743681656463,0.6053554929843649,1.3079455433804827,0.02423874524001441,2.098577218421427
0.7000000000000001,0.08036179470322058,0.2910124748105194,0.02064250872249935,0.2161174147774961,0.16072358940644116,0.5820249496210388,1.2967044886649766,0.02064250872249935,2.060095536414956
0.75,0.08019377757568621,0.27907473815072215,0.019389117380238508,0.21395223060729887,0.16038755515137243,0.5581494763014443,1.2837133836437933,0.019389117380238508,2.021639532476849
0.8,0.08001477752676081,0.2669519566877052,0.01910489806100764,0.21149331337947772,0.16002955505352162,0.5339039133754104,1.2689598802768662,0.01910489806100764,1.981998246766806
0.8500000000000001,0.07982491097259646,0.2547275924806527,0.01906630380600998,0.20874370463833367,0.15964982194519292,0.5094551849613054,1.252462227830002,0.01906630380600998,1.9406335385425102
0.9,0.0796242999773315,0.24248029558992917,0.01893408712089428,0.20571117042542011,0.159248599954663,0.48496059117985835,1.2342670225525207,0.01893408712089428,1.8974103008079364
0.9500000000000001,0.0794130720348463,0.23028321188343753,0.018582755921076905,0.20240770664016172,0.1588261440696926,0.46056642376687507,1.2144462398409703,0.018582755921076905,1.852421563598615
1.0,0.07919135988276854,0.21820345563917695,0.01799691047804126,0.19884896333634755,0.15838271976553708,0.4364069112783539,1.1930937800180854,0.01799691047804126,1.8058803215400177
1.05,0.07895930133381214,0.20630174374693766,0.017211345813911705,0.19505362318275588,0.15791860266762428,0.4126034874938753,1.1703217390965353,0.017211345813911705,1.7580551750719464
1.1,0.0787170391129605,0.19463218304415983,0.01627832198385791,0.1910427647844179,0.157434078225921,0.38926436608831966,1.1462565887065073,0.01627832198385791,1.709233355004606
1.1500000000000001,0.07846472069273885,0.18324219826800822,0.01525095563809283,0.1868392363968503,0.1569294413854777,0.36648439653601644,1.1210354183811018,0.01525095563809283,1.6597002119406887
1.2000000000000002,0.0782024981220945,0.17217258527730342,0.014175762365719487,0.1824670602441265,0.156404996244189,0.34434517055460684,1.094802361464759,0.014175762365719487,1.6097282906292745
1.25,0.07793052784692617,0.16145767249847792,0.013090133432740868,0.1779508825203169,0.15586105569385234,0.32291534499695584,1.0677052951219015,0.013090133432740868,1.5595718292454506
1.3,0.07764897052205082,0.15112557282723565,0.012022291545892615,0.17331547944716946,0.15529794104410163,0.3022511456544713,1.0398928766830169,0.012022291545892615,1.5094642549274826
1.35,0.07735799081548057,0.14119850829745031,0.010992350889191574,0.1685853256204667,0.15471598163096115,0.28239701659490063,1.0115119537228001,0.010992350889191574,1.4596173028378536
1.4000000000000001,0.07705775720645938,0.1316931905351256,0.010013747374125753,0.16378422737221682,0.15411551441291876,0.2633863810702512,0.9827053642333009,0.010013747374125753,1.4102210070905965
1.4500000000000002,0.07674844177892848,0.12262124118336373,0.00909467277310023,0.15893502102062623,0.15349688355785696,0.24524248236672747,0.9536101261237574,0.00909467277310023,1.361444164821442
1.5,0.07643022001207993,0.11398963796769897,0.008239350163112833,0.15405933365127328,0.15286044002415985,0.22797927593539793,0.9243560019076397,0.008239350163112833,1.3134350680303104
1.55,0.07610327056951378,0.10580117374434775,0.007449096126332375,0.14917740242213193,0.15220654113902757,0.2116023474886955,0.8950644145327915,0.007449096126332375,1.2663223992868469
1.6,0.07576777508830537,0.09805491763310263,0.006723168829150956,0.1443079472475939,0.15153555017661074,0.19610983526620526,0.8658476834855635,0.006723168829150956,1.2202162377575305
1.6500000000000001,0.07542391796905952,0.09074666909887945,0.006059424897236552,0.1394680910200282,0.15084783593811904,0.1814933381977589,0.8368085461201691,0.006059424897236552,1.1752091451532836
