Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Dy_relativistic
0.0,0.011758987495302489,0.04183259080512515,0.020553663318397596,0.02222608279594513,0.0935438509670165,0.05499565075525685,0.057928840752858,0.037742112314783756,0.0384024696293564,0.19828646304865621,0.1256890809602888,0.13287314515732188,0.10352150829661327,0.10540447173004897,0.11844017879451933,0.12172337680438439,0.5189609112900684,0.3588643936258389,0.3882281867797763,2.038583940097204,11.956594797256589
0.05,0.011758969064663716,0.041831838288239324,0.020553663315197916,0.022226082792294016,0.09353400786635041,0.054995650452495104,0.05792884036044944,0.0377421123147785,0.038402469629350566,0.19818426227853478,0.12568906051605075,0.1328731181075212,0.10352150829040521,0.10540447172296799,0.11844017876777682,0.12172337672692786,0.5172762987832574,0.3588604723182063,0.3882223069411356,1.9556749988882853,11.787150546397182
0.1,0.011758913772991613,0.041829580827465955,0.020553663289861177,0.02222608275943558,0.09350448513010477,0.05499564772829908,0.057928836829699105,0.03774211231460532,0.03840246962915806,0.19787799472535614,0.12568887675112286,0.13287287500534825,0.10352150808599211,0.10540447148983345,0.11844017560528843,0.12172336782403105,0.5122578122897816,0.3588255883834472,0.3881701181995967,1.728294764997132,11.321396960211636
0.15000000000000002,0.011758821621018812,0.04182581869243751,0.02055366319517943,0.02222608263166256,0.09345530244809377,0.054995637138172376,0.05792882310466387,0.03774211231316285,0.0384024696275546,0.19736866282310206,0.1256881635318422,0.13287193171797135,0.10352150638837618,0.1054044695539654,0.1184401259563816,0.12172323382156545,0.5040101984805591,0.35869237332641035,0.3879715197168793,1.410920980356674,10.667962472831515
0.2,0.011758692609966348,0.04182055233247545,0.02055366295248992,0.022226082299489518,0.09338649261187443,0.054995609618733926,0.057928787440864125,0.03774211230652129,0.03840246962017189,0.196657931184632,0.12568631449896675,0.13286948708716148,0.10352149860395299,0.10540446067877425,0.11843979092177062,0.12172237519168894,0.4927037544477579,0.35835496978896825,0.3874710413772216,1.0687320988380615,9.956706022319752
0.25,0.011758526741543618,0.04181378237649118,0.02055366245170079,0.022226081609692847,0.09329810147759031,0.05499555250386349,0.05792871342838428,0.037742112284790554,0.038402469596016654,0.195748117487678,0.12568248881743427,0.132864431448155,0.10352147326905588,0.10540443180124442,0.11843840753250129,0.12171903345087218,0.4785681596958785,0.3576779455036413,0.38647336682764716,0.7556340773541321,9.294833531672873
0.30000000000000004,0.011758324017948338,0.04180550963284754,0.020553661551327103,0.02222608036536673,0.0931901879140399,0.05499544954725736,0.05792858002413804,0.03774211222775462,0.038402469532618985,0.19464217981796517,0.12567561913563446,0.1328553584055914,0.10352140721006538,0.10540435652872797,0.1184342872241558,0.12170969691564633,0.46188432606871604,0.35650743684058817,0.38476228672139234,0.5027317702317159,8.743917696708914
0.35000000000000003,0.011758084441866476,0.04179573508918073,0.020553660078537067,0.02222607832599506,0.09306282373605651,0.054995280951346676,0.05792836159322311,0.03774211209929083,0.03840246938983126,0.19334370057081207,0.12566442166538022,0.13284057971900862,0.10352125958889097,0.1054041883811289,0.11842455697922129,0.12168905566825966,0.44297470426409286,0.3546834139010584,0.3821208683666248,0.31857565137834465,8.320475502099612
0.4,0.011757808016472178,0.04178445991218281,0.020553657829208552,0.022226075207539282,0.09291609362331125,0.0549950234025171,0.05792802795926904,0.03774211184059812,0.0384024691023053,0.19185686703958518,0.1256474082706061,0.1328181431123747,0.10352096502280282,0.10540385300175494,0.11840519713367827,0.12165058773608182,0.42219255015547397,0.3520519203248843,0.3783506619409914,0.19632022863743873,8.01036744112842
0.45,0.011757494745427673,0.041771685447344824,0.02055365456799579,0.02222607068254208,0.09275009502467453,0.05499465011255549,0.057927544463661065,0.037742111362263506,0.03840246857068089,0.19018644884498512,0.12562290043127075,0.13278585278712296,0.10352042599666274,0.10540323959380603,0.11837136134325409,0.12158745572977818,0.39991068215695474,0.348476239231238,0.3732880937858827,0.12206578097298182,7.785551899348958
