Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(3),J_5s1/2(1),J_total_Ru_relativistic
0.0,0.018835238593470575,0.06821166787696081,0.03397288828123167,0.03511338705896442,0.1655041704095242,0.09843405380144046,0.10091917276593883,0.06887899111346078,0.0694579152447148,0.4055895455990676,0.2680336030084448,0.27600005871691197,0.30449442235910706,0.31071423219978483,1.680126202628841,8.287802853894297
0.05,0.018835165994129283,0.06820844339322724,0.03397288824925728,0.035113387022249046,0.1654514872565599,0.09843404814741614,0.10091916636809976,0.06887899111297072,0.06945791524419759,0.40478129576328675,0.26803268747373976,0.2759989917170923,0.304494352488016,0.31071414690822086,1.6327404311472837,8.238681950726075
0.1,0.018834948198417547,0.06819877095779588,0.03397288796237922,0.03511338669185188,0.16529354535316748,0.09843399730191299,0.10091910883587035,0.06887899109681785,0.06945791522715032,0.40236698914628427,0.2680245005919276,0.27598945468661124,0.3044921651847099,0.31071148576099983,1.49934925014447,8.100054903797586
0.15000000000000002,0.018834585213271617,0.06818265361738121,0.03397288684790276,0.03511338540722576,0.16503066698329727,0.09843379981782747,0.10091888539432826,0.06887899096246185,0.06945791508535899,0.39837771666040445,0.267992982746511,0.2759527647810723,0.3044753359522073,0.310691111633132,1.3033302963409124,7.895159155514837
0.2,0.018834077050251394,0.06816009644786263,0.0339728839519031,0.035113382068145085,0.16466338801375116,0.09843328729246066,0.10091830555413715,0.0688789903450447,0.0694579144337989,0.3928645122752645,0.2679122228895773,0.2758588470845373,0.3044056809587662,0.31060732754804854,1.0753744120386433,7.654325641170245
0.25,0.01883342372553964,0.06813110655131914,0.03397287794007424,0.03511337513573449,0.16419245599168789,0.09843222537605124,0.10091710430840281,0.06887898832999524,0.06945791230742483,0.38589720536425703,0.2677476871965948,0.27566775766967716,0.30420632907671996,0.3103694182462339,0.8452010366532923,7.406604947609709
0.30000000000000004,0.01883262525994089,0.06809569305188191,0.033972867098916136,0.03511336263390719,0.16361882749543002,0.09843031517341824,0.10091494379544844,0.0688789830576907,0.06945790674418957,0.3775628698642912,0.26745783603600065,0.27533167892922256,0.30376005277126317,0.309841608632745,0.6354778155978538,7.173688234671113
0.35000000000000003,0.018831681678880035,0.06805386709040827,0.033972849337258665,0.03511334215121146,0.16294366475274358,0.0984271950285284,0.10091141541484053,0.06887897122703679,0.06945789426163587,0.3679639227925435,0.2669960360721261,0.27479726440767227,0.30292146353498467,0.3088595321437453,0.4593704179917346,6.967564640440746
0.4,0.0188305930124006,0.0680056418179821,0.03397282218812077,0.035113310843082834,0.16216833154462448,0.09842244267906172,0.10090604238059656,0.06887894750657274,0.06945786923627158,0.3572159351712178,0.26631266073695553,0.2740081937194694,0.301538551826497,0.307256677499166,0.3212663587607826,6.7914206460815105
0.45,0.018829359295162718,0.0679510323882468,0.033972782810902595,0.03511326543449955,0.16129438841635663,0.09841557776542936,0.10089828269226557,0.06887890386329745,0.06945782319663357,0.34544522595817206,0.26535726658881964,0.2729077924225119,0.2994757875214023,0.30489096241631514,0.21924223371139548,6.642289454322229
