event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
1322,2,2,22,2013,662.0,578.130617161545,83.86938283845495,27.374481937279636,304.5462194862212,-11.548149496511662,-3.09819484370031,3.09819484370031
1334,3,3,22,2013,662.0,368.55930616392385,293.44069383607615,67.32987740520059,621.2915500783469,-69.29661371334186,-18.59123934595932,18.59123934595932
1339,3,3,22,2013,662.0,262.3676112136957,399.6323887863043,100.12190536650914,753.7436409735365,-105.94130834866148,-28.42245983738215,28.42245983738215
1347,3,3,22,2013,662.0,633.1501063125665,28.84989368743345,15.241180338160854,174.11733061807735,-2.38992141119313,-0.6411799739208586,0.6411799739208586
1354,3,3,22,2013,662.0,396.6565103869791,265.3434896130209,61.076845028945286,584.4549900682816,-60.232687056861494,-16.159524131390278,16.159524131390278
1366,3,3,22,2013,662.0,288.6763738005178,373.3236261994822,89.89932404242575,721.7384997414897,-96.55139367176936,-25.903286939289625,25.903286939289625
1374,3,3,22,2013,662.0,367.39491700050155,294.60508299949845,67.60245591593228,622.7984485494065,-69.67865197176641,-18.693734465433202,18.693734465433202
1375,3,3,22,2013,662.0,631.6177206576508,30.382279342349193,15.662268932554845,178.8119295588204,-2.5809705956001285,-0.6924355970145594,0.6924355970145594
1440,3,3,22,2013,662.0,331.1078453873091,330.8921546126909,76.78527002451456,669.0744940987528,-81.82115564486885,-21.951385596550082,21.951385596550082
1450,3,3,22,2013,662.0,520.7844357425315,141.2155642574685,37.74980566688253,405.2947500397186,-24.601265790725098,-6.600149646863239,6.600149646863239
1452,3,3,22,2013,662.0,420.68580304663067,241.31419695336933,56.136170618683316,552.1368715025683,-52.733315407671775,-14.14755549680252,14.14755549680252
1469,2,2,22,2013,662.0,226.05314927454683,435.94685072545315,119.2501700382854,797.2367200115152,-119.19214301278102,-31.977459505814007,31.977459505814007
1471,3,3,22,2013,662.0,208.33899153420714,453.66100846579286,132.90826065574157,818.1985530867443,-125.76856854902196,-33.74181557797218,33.74181557797218
1471,4,3,22,2013,662.0,123.36476810282234,538.6352318971776,48.420862737094204,587.4223277063572,174.8488321111679,46.90931220084024,46.90931220084024
1482,3,3,22,2013,662.0,426.91375535652594,235.08624464347406,54.90448843034224,543.6204300412085,-50.83053071457286,-13.63706697856748,13.63706697856748
1483,3,3,22,2013,662.0,606.5117162006688,55.48828379933116,21.661534664693846,244.51555107488133,-6.29577272488813,-1.68906114345415,1.68906114345415
1488,3,3,22,2013,662.0,618.5111380710979,43.48886192890211,18.96347695879869,215.2598504075715,-4.3927985236711455,-1.1785217830409418,1.1785217830409418
1490,3,3,22,2013,662.0,197.85846820419363,464.1415317958064,144.1689791297323,830.5293463836978,-129.69219609591795,-34.79446584354639,34.79446584354639
1510,3,3,22,2013,662.0,570.2522163062433,91.74778369375667,28.85915005989869,319.661838100151,-13.166188138964857,-3.53229027868499,3.53229027868499
1514,3,3,22,2013,662.0,636.3814116386282,25.61858836137185,14.320841949721844,163.82445948767474,-2.0029250307281727,-0.5373546648659844,0.5373546648659844
1516,3,3,22,2013,662.0,525.4373448185429,136.5626551814571,36.92900855306661,397.7638679908851,-23.442376978353973,-6.289237206390004,6.289237206390004
1527,3,3,22,2013,662.0,485.5990960116456,176.4009039883544,43.97890265477267,459.78105468802863,-33.838817472646035,-9.078445844707552,9.078445844707552
1532,3,3,22,2013,662.0,528.8878368917617,133.1121631082383,36.319635914666655,392.1213950799653,-22.593204560064027,-6.061417016795719,6.061417016795719
1547,3,3,22,2013,662.0,577.4472953439035,84.55270465609647,27.50453064437765,305.878799033695,-11.685961175389362,-3.1351676446698113,3.1351676446698113
1559,3,3,22,2013,662.0,653.0653637360782,8.934636263921789,8.334156907127367,95.9739887125132,-0.4157806127064636,-0.11154768569517022,0.11154768569517022
1571,3,3,22,2013,662.0,361.7903730145933,300.2096269854067,68.93145459430177,630.0312726022541,-71.5243588667282,-19.18890986878939,19.18890986878939
1594,3,3,22,2013,662.0,313.85677167152346,348.14322832847654,81.73371180128676,690.6557230852712,-87.7448375706659,-23.5406203742752,23.5406203742752
1599,3,3,22,2013,662.0,482.22648070620704,179.77351929379296,44.58287528031232,464.80820028400973,-34.76501308847016,-9.32693019989112,9.32693019989112
1605,3,3,22,2013,662.0,396.0548876329368,265.9451123670632,61.20486791697501,585.2539003464423,-60.42353839053294,-16.210726674106997,16.210726674106997
1620,3,3,22,2013,662.0,268.34222964790575,393.65777035209425,97.6070846076955,746.5144494813767,-103.79275450883854,-27.84603515306691,27.84603515306691
1631,3,3,22,2013,662.0,500.8681312044754,161.1318687955246,41.26429874990073,436.6232904725656,-29.731725769786422,-7.976574905103966,7.976574905103966
1644,4,2,22,2013,662.0,294.78962996329346,367.21037003670654,87.79552607196993,714.2350128083908,-94.39655920372994,-25.325177256874785,25.325177256874785
1645,3,3,22,2013,662.0,417.9762231201941,244.0237768798059,56.67779431820038,555.8231478465189,-53.56656334084025,-14.37110338651821,14.37110338651821
1649,3,3,22,2013,662.0,550.2815901335321,111.71840986646794,32.51100993936186,355.8889917382789,-17.53462434451594,-4.7042760181457055,4.7042760181457055
