p_or_Q,chi_2p(p),I_2p(p),J_2p(Q)
0.0,0.0,0.0,0.04445749485704667
0.05,0.00044908565689491347,5.0419481807184e-10,0.044457494730997964
0.1,0.0008981067091716538,8.065956610591376e-09,0.04445749359670468
0.15000000000000002,0.0013469968192906972,4.0824009701533256e-08,0.044457489186459295
0.2,0.0017956862750867684,1.2897956794139975e-07,0.04445747772323549
0.25,0.0022441005239561443,3.147491976012651e-07,0.04445745392455261
0.30000000000000004,0.0026921589551642173,6.522947855883803e-07,0.04445741100814333
0.35000000000000003,0.0031397739853471574,1.2076271331851897e-06,0.04445734069965346
0.4,0.0035868504820216426,2.058479420860623e-06,0.04445723324263109
0.45,0.00403328553836916,3.294146927388606e-06,0.04445707741106787
0.5,0.00447896858967958,5.015289906834072e-06,0.044456860524738885
0.55,0.004923781857943869,7.333697404846698e-06,0.044456568467550195
0.6000000000000001,0.005367601043360755,1.0372010745847488e-05,0.04445618570905197
0.65,0.005810296275084454,1.426340683479997e-05,0.04445569532920948
0.7000000000000001,0.006251733196269136,1.915124229909342e-05,0.04445507904645457
0.75,0.006691774161247429,2.5188660801640535e-05,0.04445431724897159
0.8,0.007130279472556265,3.253816662832464e-05,0.04445338902910466
0.8500000000000001,0.007567108606016755,4.1371168343420185e-05,0.04445227222071663
0.9,0.008002121378169021,5.1867496706269245e-05,0.044450943439283463
0.9500000000000001,0.008435179019789267,6.421490119904346e-05,0.044449378124474255
1.0,0.008866145129199678,7.860852945203117e-05,0.044447550584945594
1.05,0.009294886488841641,9.525039361159712e-05,0.04444543404507016
1.1,0.009721273737508975,0.0001143488273262939,0.044443000693320536
1.1500000000000001,0.010145181898281789,0.0001361179365783494,0.0444402217320393
1.2000000000000002,0.010566490768579165,0.00016077704711395499,0.04443706742834297
1.25,0.010985085182737693,0.00018855015073750503,0.04443350716592816
1.3,0.011400855161663533,0.00021966535232511875,0.044429509497571504
1.35,0.011813695964972108,0.0002543543190129749,0.04442504219813877
1.4000000000000001,0.012223508061316612,0.0002928517326771416,0.04442007231794212
1.4500000000000002,0.012630197034691286,0.00033539474667659944,0.04441456623630586
1.5,0.013033673438779756,0.0003822224474446941,0.044408489715220746
1.55,0.013433852615645513,0.00043357532162757316,0.04440180795298429
1.6,0.01383065448867995,0.0004896947291782219,0.04439448563773817
1.6500000000000001,0.014224003341663792,0.0005508223829708218,0.04438648700082578
1.7000000000000002,0.014613827587706038,0.0006171998350456426,0.04437777586990387
1.75,0.015000059543213238,0.000689067970543574,0.04436831572174734
1.8,0.015382635200061378,0.0007666665088620622,0.04435806973469382
1.85,0.015761494010039286,0.0008502335132590561,0.04434700084068008
1.9000000000000001,0.016136578679407997,0.0009400049090309763,0.04433507177682197
1.9500000000000002,0.016507834974253288,0.0010362140105801274,0.04432224513649568
2.0,0.016875211539952032,0.001139091058072521,0.04430848341987901
2.0500000000000003,0.01723865973384565,0.0012488627640346566,0.04429374908391218
2.1,0.017598133471268138,0.0013657518703760246,0.04427800459163941
2.15,0.017953589084564184,0.0014899767163028493,0.04426121246089316
2.2,0.018304985194532258,0.0016217508175846989,0.04424333531228408
2.25,0.018652282593593274,0.0017612824576282672,0.044224335916459974
2.3000000000000003,0.018995444139903967,0.0019087742908020014,0.04420417724059802
2.35,0.019334434661593746,0.002064422958441785,0.04418282249409524
2.4000000000000004,0.019669220870301478,0.002228418717953491,0.0441602351734227
2.45,0.019999771283218774,0.0024009450854148274,0.04413637910610981
2.5,0.020326056152904146,0.0025821784920688285,0.044111218493825925
2.5500000000000003,0.020648047408649905,0.0027722879562885267,0.04408471795452103
2.6,0.020965718577723592,0.002971434763046857,0.04405684256362337
2.6500000000000004,0.02127904477926425,0.0031797721763266863,0.04402755789421023
2.7,0.02158800263488167,0.003397445143097067,0.043996830056150675
2.75,0.021892570250997424,0.003624590030973609,0.043964625734219456
2.8000000000000003,0.022192727179179805,0.0038613343748521286,0.043930912225100024
2.85,0.02248845438509172,0.004107796641170026,0.04389565747327734
2.9000000000000004,0.022779734221112288,0.004364086008861766,0.04385883010578694
2.95,0.023066550402138137,0.004630302167221734,0.04382039946579412
3.0,0.023348887984107967,0.004906535130849793,0.0437803356449782
3.0500000000000003,0.023626733344863454,0.005192865071829702,0.04373860951469872
3.1,0.02390007416705943,0.005489362169284948,0.04369519275592163
3.1500000000000004,0.024168899422929928,0.005796086476460061,0.043650057887884924
3.2,0.024433199360796215,0.006113087805485186,0.04360317829548419
3.25,0.024692965493233795,0.006440405629978494,0.043554528255359486
3.3000000000000003,0.024948190586794212,0.006778069005614032,0.04350408296066581
3.35,0.025198868653107477,0.007126096508722924,0.04345181854451068
3.4000000000000004,0.02544499494109439,0.0074844961929048095,0.043397712102043726
3.45,0.025686565929924705,0.007853265563514369,0.043341741711185384
3.5,0.02592357932230273,0.008232391569776589,0.04328388645198453
3.5500000000000003,0.0261560340376683,0.008621850614195202,0.04322412642459782
3.6,0.02638393020497956,0.009021608578873578,0.04316244276588684
3.6500000000000004,0.026607269154881208,0.009431620868375205,0.04309881766463205
3.7,0.02682605341122812,0.009851832468806056,0.04303323437536499
3.75,0.027040286682088386,0.010282178022883967,0.04296567723082203
3.8000000000000003,0.027249973850450946,0.010722581920837762,0.042896131653023695
3.85,0.02745512096488171,0.011172958407016967,0.042824584162984486
3.9000000000000004,0.027655735230300037,0.011633211702063858,0.04275102238905815
3.95,0.027851824998900942,0.012103236140392118,0.042675435073924524
4.0,0.028043399761065377,0.012582916322542747,0.042597812080225464
4.05,0.028230470135931142,0.01307212728177972,0.04251814439486017
4.1000000000000005,0.028413047861190352,0.01357073466409416,0.04243642413195376
4.15,0.02859114578167043,0.01407859492065512,0.042352644534517175
4.2,0.02876477783635561,0.01459555551171715,0.04226679997482098
4.25,0.028933959043697017,0.015121455121083451,0.04217888595350911
4.3,0.02909870548529887,0.015656123880413802,0.042088899097481466
4.3500000000000005,0.029259034288298392,0.016199383602912606,0.041996837156575074
4.4,0.02941496360692533,0.01675104802617692,0.04190269899907332
4.45,0.02956651260377538,0.0173109230641432,0.04180648460607107
4.5,0.029713701431267864,0.01787880706811723,0.041708195064721655
4.55,0.029856551213568793,0.018454491096752963,0.041607832560389954
4.6000000000000005,0.029995084029006976,0.01903775919459613,0.04150540036773558
4.65,0.03012932289274272,0.019628388678467695,0.04140090284075111
4.7,0.0302592917392349,0.020226150430613262,0.0412943454017834
4.75,0.030385015403943488,0.020830809197270986,0.041185734529570306
4.800000000000001,0.030506519603730683,0.021442123891187822,0.04107507774633015
4.8500000000000005,0.030623830915583673,0.022059847896685865,0.04096238360394594
4.9,0.030736976753542054,0.02268372937614631,0.040847661669289895
4.95,0.03084598534401789,0.023313511577192088,0.040730922508735286
5.0,0.030950885699979128,0.02394893314032931,0.04061217767190165
5.050000000000001,0.03105170759466283,0.024589728407244625,0.04049143967467646
5.1000000000000005,0.031148481535548795,0.02523562773025074,0.040368721981551475
5.15,0.031241238739237568,0.025886357783448163,0.04024403898730706
5.2,0.03133001110765429,0.02654164187599525,0.040117405998072876
5.25,0.03141483120568588,0.027201200267477837,0.03998883921179089
5.300000000000001,0.03149573224001771,0.027864750484817097,0.039858355698105835
5.3500000000000005,0.03157274803864135,0.02853200763957081,0.03972597337771107
5.4,0.031645913030320875,0.029202684743999965,0.03959171100118196
5.45,0.03171526222327436,0.029876493024009017,0.03945558812733535
5.5,0.03178083118246261,0.03055314222710768,0.03931762510115946
5.550000000000001,0.03184265600515194,0.031232340923896783,0.03917784303136344
5.6000000000000005,0.03190077329478041,0.03191379680220402,0.03903626376759813
5.65,0.03195522013353516,0.03259721695377796,0.03889290987739838
5.7,0.0320060340543386,0.033282308154184294,0.03874780462289299
5.75,0.032053253013145475,0.03396877713721103,0.03860097193732142
5.800000000000001,0.03209691536240857,0.03465633086529368,0.03845243640138766
5.8500000000000005,0.03213705982642016,0.03534467679743373,0.03830222321947376
5.9,0.032173725478893016,0.036033523155564615,0.038150358195728686
5.95,0.03220695172274113,0.0367225791895408,0.03799686771004506
6.0,0.03223677827161622,0.03741155544000052,0.03784177869393678
6.050000000000001,0.03226324513244014,0.03810016399748495,0.037685118606334535
6.1000000000000005,0.032286392588011366,0.038788118755579144,0.03752691540932332
6.15,0.032306261178792164,0.03947513565562365,0.03736719754385413
6.2,0.03232289168319547,0.040160932920792286,0.03720599390546975
6.25,0.03233632509604757,0.04084523127801859,0.037043333820089536
6.300000000000001,0.03234660260532532,0.041527754167240444,0.036879247019900085
6.3500000000000005,0.032353765567681374,0.042208227938556137,0.0367137636193955
6.4,0.032357855483575525,0.042886382038874474,0.03654691409160465
6.45,0.032358913972984425,0.04356194919034166,0.03637872924453315
6.5,0.032356982752621596,0.04423466556305832,0.03620924019783698
6.550000000000001,0.032352103615381135,0.04490427094432218,0.03603847835973477
6.6000000000000005,0.03234431841236796,0.04557050890590172,0.035866475404158146
6.65,0.03233366903746099,0.04623312696979565,0.03569326324813602
6.7,0.03232019741395789,0.046891876771777974,0.03551887402940918
6.75,0.03230394548254251,0.047546514220986776,0.03534334008427648
6.800000000000001,0.032284955189652506,0.04819679965308553,0.035166693925681426
6.8500000000000005,0.03226326847534085,0.048842497974275194,0.03498896822155715
6.9,0.03223892725988334,0.04948337879362782,0.03481019577345632
6.95,0.032211973428703224,0.05011921654196303,0.03463040949549905
7.0,0.03218244881554133,0.05074979057648194,0.03444964239367472
