Orbital,Momentum_norm
1s1/2,0.9959127073988391
2s1/2,0.998587886847533
2p1/2,0.999749563023347
2p3/2,0.9999986632462968
3s1/2,0.9992922844429956
3p1/2,0.9998483588106072
3p3/2,0.9999979537686619
3d3/2,0.9999998524165016
3d5/2,0.9999998765422984
4s1/2,0.9994503358162835
4p1/2,0.9998637265300432
4p3/2,0.9999959613732247
4d3/2,0.9999996082327721
4d5/2,0.9999997038349574
4f5/2,0.9999999127783267
4f7/2,0.9999999129643465
5s1/2,0.9996866343596513
5p1/2,0.9999137883038991
5p3/2,0.9999957526961525
5d3/2,0.9999996912372046
5d5/2,0.9999997898125592
5f5/2,0.9999999753714792
5f7/2,0.9999999823740614
6s1/2,0.9999393926278982
6p1/2,0.9999861787534472
6p3/2,0.9999994435631652
7s1/2,0.9999977642475044
