Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(3),J_7s1/2(2),J_total_Db_relativistic
0.0,0.005840539235133853,0.021657685000056395,0.010147242183957893,0.013077251428086885,0.047854914580705274,0.027565071388812215,0.032202927257555705,0.020528729926296774,0.02147420508339121,0.09242058808968245,0.05757763848091158,0.0660911254009073,0.048078660211922815,0.04984368520835868,0.037456639242926956,0.0381112375238699,0.17781459375568018,0.11581591657072614,0.13456016832282303,0.10877956649648936,0.1134986686760292,0.12041849228982213,0.12447786922665495,0.41618614183217884,0.28546112533621526,0.3580683834840076,0.5138807658878416,1.5386490690861225,13.618033595863619
0.05,0.005840536459616618,0.021657575979384433,0.010147242181184386,0.013077251427822735,0.0478535725447321,0.027565071378919954,0.03220292723619295,0.020528729926296705,0.021474205083391124,0.09240970046039801,0.05757763806509803,0.0660911245666188,0.0480786602119016,0.04984368520833161,0.037456639242926956,0.0381112375238699,0.17773307049770137,0.11581590205863475,0.13456013739761086,0.10877956648936386,0.11349866866630608,0.12041849228965958,0.12447786922638038,0.4152389555983469,0.2854598682912529,0.3580644698054568,0.5138781685047492,1.5002372694003787,13.539101776536295
0.1,0.005840528133076975,0.021657248921074422,0.010147242172295418,0.013077251425445423,0.04784954667500463,0.0275650712899105,0.03220292704394369,0.020528729926294467,0.02147420508338822,0.09237704563314608,0.057577634324212076,0.06609111706050885,0.0480786602112018,0.04984368520743847,0.037456639242926866,0.038111237523869794,0.17748873652234132,0.11581577158644203,0.13455985946855822,0.10877956625470075,0.11349866834616237,0.12041849226898303,0.12447786919154326,0.4124111171584629,0.2854486318631302,0.3580296406423826,0.5138028480039799,1.3912880939183907,13.314595883155755
0.15000000000000002,0.005840514255551113,0.02165670383624374,0.010147242155585698,0.013077251416200574,0.047842837686027505,0.027565070943812716,0.03220292629640224,0.02052872992627587,0.021474205083364017,0.09232264778008703,0.05757761978263023,0.06609108788526917,0.048078660205373436,0.04984368520000014,0.03745663924292527,0.038111237523867955,0.17708229812965598,0.11581526502818318,0.134558781059481,0.10877956430533195,0.11349866568755919,0.12041849190609367,0.12447786858257145,0.4077434510109258,0.2854053999498139,0.3578965574065,0.5132842296648007,1.2288100905885528,12.977188176863049
0.2,0.005840494827099343,0.021655940743420577,0.010147242128213248,0.0130772513921649,0.04783344676840344,0.027565070044097632,0.03220292435315039,0.02052872992619029,0.021474205083252526,0.09224654715602512,0.05757758199667799,0.06609101208676806,0.04807866017854172,0.04984368516575857,0.0374566392429125,0.03811123752385323,0.17651492884135309,0.11581395110715662,0.13455598629934037,0.10877955536313277,0.11349865349739308,0.12041848908093492,0.12447786386684973,0.4013028892717812,0.2852947215840983,0.3575592098026481,0.5114220281894362,1.0358065833989958,12.569821041457832
0.25,0.005840469847806101,0.021654959668542736,0.010147242086199668,0.013077251342247225,0.047821375588475774,0.027565068175812786,0.03220292031814397,0.020528729925910247,0.02147420508288752,0.09214880005027103,0.05757750357814153,0.06609085481600177,0.0480786600907668,0.04984368505375169,0.03745663924284761,0.038111237523778395,0.17578826395831998,0.11581123077463087,0.13455020672154316,0.10877952624599417,0.11349861382743656,0.12041847523895755,0.12447784091539857,0.39318085081927123,0.28506949477982846,0.3568815790662742,0.5069229331796735,0.8356365977680152,12.134873766025878
0.30000000000000004,0.0058404393177799475,0.021653760644956003,0.0101472420244305,0.013077251252189911,0.0478066262878283,0.027565064805770187,0.032202913040253814,0.020528729925174873,0.021474205081928797,0.09202947871936352,0.057577362227113446,0.06609057141558317,0.04807865986044127,0.049843684759866384,0.037456639242602216,0.03811123752349542,0.1749043929911478,0.11580634189797138,0.13453983481510248,0.1087794502794462,0.11349851040290836,0.12041842515593532,0.12447775852955029,0.3834910543251572,0.2846733106538114,0.3557085245871539,0.49859060656865317,0.6474608950198575,11.706568254521528
0.35000000000000003,0.005840403237153563,0.02165234371341201,0.010147241936655707,0.013077251104570682,0.04778920148264255,0.027565059282787824,0.032202901113960514,0.02052872992351736,0.02147420507976756,0.0918886713007641,0.05757713077410246,0.06609010753052538,0.04807865934181866,0.04984368409819669,0.03745663924184762,0.03811123752262532,0.17386585001310806,0.1157983652166871,0.13452294116290892,0.10877928039678453,0.11349827931436435,0.12041827891800164,0.12447752015633287,0.37236684241223805,0.28404321936469,0.3538778534359869,0.48579392901374147,0.4838821282546032,11.307702178403938
0.4,0.0058403616060837505,0.021650708922065658,0.010147241815490246,0.013077250878804863,0.047769104262912816,0.027565050837984568,0.032202882880202635,0.020528729920176427,0.021474205075410986,0.0917264817076702,0.05757677723131682,0.06608939924301067,0.048078658297791885,0.049843682766369614,0.03745663923985545,0.0381112375203284,0.17267560199842003,0.11578623151383523,0.13449729495966384,0.10877894113001593,0.11349781827371296,0.12041791497919449,0.12447693293404818,0.3599581094980364,0.28311275924659746,0.35123248269872076,0.4686262627772652,0.35077998741604516,10.949845106120534
0.45,0.005840314424751431,0.021648856326472038,0.010147241652414749,0.013077250551148025,0.047746338191519314,0.02756503858512833,0.03220285642737771,0.020528729913991992,0.021474205067346173,0.09154302950512498,0.05757626485301197,0.06608837323076762,0.04807865636806602,0.049843680305035075,0.03745663923517625,0.03811123751493393,0.17133703522147894,0.11576872993974105,0.1344603876624902,0.1087783197265414,0.11349697478165673,0.12041711470638491,0.1244756559243631,0.3464279367730739,0.28181508208909267,0.3476316803629057,0.4477615944579522,0.24861604010213556,10.635560447762874
