r,R1s,R2s,R2p
1e-06,27.6772724311025,5.895619352909511,6.104198158749793e-06
0.003001149957497875,27.183770676542615,5.7905162845504305,0.018151998148137345
0.00600129991499575,26.699416509901834,5.687023976962904,0.03596706474381156
0.009001449872493624,26.224040440372626,5.585119719743938,0.053457636188713534
0.012001599829991499,25.75747550659713,5.484780844392376,0.07062990624919817
0.015001749787489374,25.299557295607705,5.385984750214268,0.08748993350518854
0.01800189974498725,24.850123956444527,5.288708927980562,0.10404364452296952
0.021002049702485127,24.40901620887441,5.192930981488331,0.12029683695189572
0.024002199659983,23.976077347607664,5.098628647167505,0.13625518254683538
0.027002349617480874,23.551153242383524,5.005779811866263,0.1519242301181288
0.03000249957497875,23.134092334270573,4.914362528940044,0.16730940841079742
0.03300264953247663,22.724745628505246,4.824355032761397,0.18241602891469885
0.0360027994899745,22.322966684170378,4.735735751760551,0.19724928860728239
0.039002949447472374,21.928611600995115,4.648483320099808,0.21181427263056124
0.042003099404970254,21.54153900353871,4.562576588078297,0.22611595690387792
0.04500324936246813,21.16161002300287,4.47799463135764,0.2401592106740024
0.048003399319966,20.788688276900366,4.394716759093322,0.25394879900406775
0.051003549277463874,20.42263984679223,4.312722521051229,0.2674893852028081
0.05400369923496175,20.06333325429073,4.231991713783688,0.2807855331955339
0.05700384919245963,19.71063943551178,4.1525043859346855,0.29384170983824137
0.0600039991499575,19.36443171414726,4.074240842739411,0.30666228717622135
0.06300414910745537,19.024585773315668,3.9971816497790704,0.3192515446485019
0.06600429906495325,18.690979626338144,3.9213076360480663,0.33161367123942337
0.06900444902245112,18.363493586575988,3.8465998963867474,0.3437527675786169
0.072004598979949,18.042010236456147,3.7730397933297004,0.35567284799062704
0.07500474893744688,17.72641439580147,3.7006089584160184,0.3673778424953871
0.07800489889494475,17.416593089573883,3.6292892930051432,0.3788715987607295
0.08100504885244263,17.112435515130393,3.5590629686388078,0.3901578840080844
0.0840051988099405,16.813833009084192,3.489912426987053,0.40124038687249153
0.08700534876743837,16.520679013855787,3.4218203794136186,0.412122719218026
0.09000549872493625,16.23286904399265,3.3547698061937234,0.4228084179097076
0.09300564868243412,15.950300652329231,3.288743955414942,0.43330094654294427
