Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
0.0,0.03004942922871457,0.11237375818287768,0.057097742963051236,0.31488417895008536,0.198467299448075,0.18502945265959153,1.6340793508123928,5.932378864598421
0.05,0.030049142419169495,0.11235928534069647,0.05709774248869792,0.3145288960990787,0.19846708412546502,0.18502944882405153,1.5932478686496891,5.8908059642930715
0.1,0.030048281947112905,0.11231587216191036,0.05709773822205402,0.3134660749354434,0.19846515436314413,0.18502932517149934,1.4774763134123898,5.772807378727506
0.15000000000000002,0.030046847691682806,0.11224353689076992,0.05709772164499244,0.31170467362611076,0.19845769910620384,0.18502833103274796,1.304939125736434,5.596545076988218
0.2,0.03004483948037976,0.11214231651662566,0.0570976786024648,0.3092592387061433,0.19843849928885068,0.18502397011029104,1.1001623064256236,5.386511864282724
0.25,0.03004225712497584,0.11201227432950812,0.05709758936437667,0.30614942048876714,0.19839912090444137,0.18501056185285686,0.8879384943531896,5.167432278381169
0.30000000000000004,0.030039100459616223,0.11185350685040149,0.05709742871052087,0.3023994384072204,0.19832917374594325,0.184977939872924,0.6884329544070089,4.95935605930951
0.35000000000000003,0.03003536937411788,0.1116661482750732,0.05709716603698502,0.29803757138692666,0.19821662511154886,0.18491071643152032,0.5147035692901474,4.775171658568789
0.4,0.03003106383812014,0.11145037158602805,0.05709676548214212,0.2930957111870684,0.19804815584759763,0.18478837973482715,0.3726324561200621,4.620540074669205
0.45,0.030026183914839615,0.11120638656508512,0.0570961860701184,0.28760897788083917,0.19780954489772384,0.1845862677269721,0.2624453035738312,4.495425463372134
0.5,0.030020729765639676,0.11093443568977329,0.05709538186951686,0.28161537060520203,0.19748606807405114,0.18427725105820394,0.1808033720422465,4.396205654406924
0.55,0.030014701647935103,0.11063478916520143,0.05709430216515594,0.27515541853054537,0.19706289703935356,0.1838338159810642,0.12271260645062487,4.317603780175688
0.6000000000000001,0.030008099909180408,0.11030774019637514,0.05709289164065287,0.2682718035562369,0.1965254854160483,0.18323019061207552,0.0828933115494367,4.254080767333984
0.65,0.030000924979220342,0.10995360122762556,0.057091090569828355,0.26100894041475403,0.19585993040818253,0.18244419827894423,0.05657143912885271,4.200646481029559
0.7000000000000001,0.02999317736254288,0.10957270145339643,0.05708883501511536,0.2534125147593012,0.19505330020033457,0.18145862025106144,0.03981730560400167,4.153213106557796
0.75,0.029984857631276805,0.10916538556344535,0.05708605703140307,0.24552899102959394,0.19409391953486552,0.18026197012159986,0.029597556266330125,4.108655585328572
0.8,0.029975966419263127,0.10873201347549918,0.05708268487401663,0.2374051078967282,0.192971608119625,0.1788486916135049,0.02367958960235195,4.064718439282232
0.8500000000000001,0.02996650441722303,0.1082729607234451,0.0570786432098067,0.22908738037108758,0.19167786874753018,0.17721887083232932,0.02048132211570897,4.019862793206535
0.9,0.02995647236890051,0.10778861917526651,0.05707385333058386,0.22062162565834226,0.19020602410328524,0.17537759638341263,0.018917908324717615,3.973106571167077
