p,chi_1s(p),chi_2s(p),chi_2p(p)
0.0,0.2502345679622624,-2.886782465124137,0.0
0.05,0.2501869058890719,-2.875535042591451,0.19489870079289232
0.1,0.25004402946624865,-2.8421581753168024,0.3832766134386594
0.15000000000000002,0.24980627158606442,-2.7877218127182153,0.5591482379998957
0.2,0.24947419757726474,-2.7139250122037377,0.7175187609374298
0.25,0.24904861722543814,-2.6229806027522935,0.8546981819281719
0.30000000000000004,0.24853059521275886,-2.517473467807413,0.9684437634823179
0.35000000000000003,0.24792145575963584,-2.400207779139284,1.0579343601254576
0.4,0.2472227783549259,-2.2740578793999773,1.1236080095181955
0.45,0.2464363832010458,-2.1418349056810224,1.166910177690172
0.5,0.24556430690692313,-2.0061774666594063,1.1900031607053436
0.55,0.24460877054189945,-1.8694705917594172,1.195480040753702
0.6000000000000001,0.24357214307925049,-1.7337934742152779,1.1861138117866104
0.65,0.24245690372374898,-1.6008936803033702,1.1646582940636054
0.7000000000000001,0.2412656059204029,-1.472183665594896,1.1337054304502148
0.75,0.2400008455993896,-1.3487545744494072,1.0955950466012754
0.8,0.23866523494730849,-1.2314022131260738,1.052368344343034
0.8500000000000001,0.2372613823176632,-1.1206605385978214,1.005754634337349
0.9,0.23579187812149843,-1.0168387616538137,0.9571811356661714
0.9500000000000001,0.23425928603741386,-0.9200590348914217,0.9077971490608799
1.0,0.2326661385871521,-0.8302925502241811,0.8585058324191943
1.05,0.23101493601549214,-0.7473926260223153,0.8099987100526629
1.1,0.22930814744431494,-0.6711239829266301,0.7627896863469606
1.1500000000000001,0.22754821339086834,-0.6011878816457908,0.7172466205388185
1.2000000000000002,0.2257375489060716,-0.537243136042829,0.6736194559701505
1.25,0.22387854676696503,-0.47892324042345175,0.6320645345880846
1.3,0.22197358032571868,-0.42584998430782584,0.5926651310365496
1.35,0.2200250057632137,-0.37764399364752144,0.5554484737727428
1.4000000000000001,0.2180351636129026,-0.3339326543068961,0.5203996366109572
1.4500000000000002,0.2160063795103748,-0.29435585799415825,0.4874727241730557
1.5,0.21394096418838734,-0.25856997540297944,0.45659976878899716
1.55,0.21184121277963538,-0.22625041550880903,0.42769772498565745
1.6,0.20970940351434073,-0.19709308036606202,0.40067390427964916
1.6500000000000001,0.2075477959113156,-0.17081497576113355,0.3754301459106944
1.7000000000000002,0.2053586285640554,-0.14715419238810304,0.35186597328735075
1.75,0.2031441166210351,-0.12586943129307235,0.329880943851206
1.8,0.2009064490533675,-0.10673921178581695,0.3093763629439644
1.85,0.198647785793789,-0.08956086988420595,0.2902565003571176
1.9000000000000001,0.19637025481949244,-0.07414943032981171,0.2724294213406938
1.9500000000000002,0.19407594923964488,-0.060336414792467735,0.25580752149337477
2.0,0.19176692443873436,-0.04796863248306699,0.24030783659283508
2.0500000000000003,0.1894451953196554,-0.03690698641966153,0.22585218347118183
2.1,0.18711273368391382,-0.02702531847335877,0.2123671759550925
2.15,0.18477146577861478,-0.01820930854225159,0.1997841501944103
2.2,0.182423270030603,-0.010355437312386726,0.18803902596560942
2.25,0.18006997498010238,-0.003370017679567192,0.17707212438688708
2.3000000000000003,0.17771335742169014,0.0028317032970581976,0.16682795762473787
2.35,0.17535514075953498,0.00832637232336989,0.15725500236089437
2.4000000000000004,0.1729969935837549,0.013183289674752293,0.14830546580305864
2.45,0.17064052847100922,0.017465103917493213,0.13993505069206777
2.5,0.16828730100675962,0.021228445235827523,0.13210272396036501
2.5500000000000003,0.16593880901979252,0.024524501407684238,0.12477049231886303
2.6,0.16359649201767615,0.027399540614326243,0.11790318698724063
2.6500000000000004,0.16126173081489817,0.029895385261118203,0.11146825897377119
2.7,0.15893584734847055,0.03204984087573222,0.10543558571383028
2.75,0.15662010467916956,0.03389708397148226,0.09977728943418158
2.8000000000000003,0.15431570716888074,0.035468012543100766,0.09446756727519996
2.85,0.15202380082012876,0.03679056261906287,0.0894825329645757
2.9000000000000004,0.14974547375908845,0.03788999404217543,0.08480006968140232
2.95,0.14748175684559453,0.03878914839810513,0.0803996936416996
3.0,0.14523362440461876,0.03950868176617839,0.07626242785708195
3.0500000000000003,0.14300199507182437,0.04006727473235982,0.07237068547978542
3.1,0.14078773275396567,0.04048182188346874,0.06870816214171388
3.1500000000000004,0.13859164769042387,0.040767602795798934,0.06525973669277549
3.2,0.13641449759876487,0.04093843634076945,0.062011379745016866
3.25,0.13425698888525162,0.04100681995504825,0.0589500694537778
3.3000000000000003,0.132119777908,0.04098405536240325,0.05606371400221453
3.35,0.13000347228970596,0.04088036208860558,0.05334108027714704
3.4000000000000004,0.1279086322816362,0.04070497997811293,0.05077172824580445
3.45,0.1258357721773091,0.04046626180115074,0.048345950582691824
3.5,0.12378536176580829,0.04017175693125457,0.04605471713381084
3.5500000000000003,0.12175782780789318,0.03982828697528883,0.043889623825836506
3.6,0.11975355551857413,0.039442014149477844,0.041842845651197835
3.6500000000000004,0.11777289004768299,0.03901850311540371,0.03990709339854734
3.7,0.11581613795973271,0.03856277691843344,0.03807557382792525
3.75,0.11388356871911864,0.03807936760662572,0.036341953003604675
3.8000000000000003,0.11197541618316861,0.03757236205002938,0.03470032251811476
3.85,0.11009188009640578,0.037045443428058204,0.03314516837333436
3.9000000000000004,0.10823312757152524,0.03650192880599557,0.031671342305454764
3.95,0.10639929454217341,0.03594480317995021,0.030274035347798194
4.0,0.1045904871805513,0.03537675033184606,0.028948753442208933
4.05,0.1028067832838741,0.03480018080170772,0.02769129493629241
4.1000000000000005,0.10104823364004761,0.034217257253607504,0.02649772981711069
