Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_total_Ca
0.0,0.043992738121439334,0.1617177311845982,0.4252757073464354,0.09018632221048802,0.3304013208967501,1.9332556011649067,0.08798547624287867,0.3234354623691964,0.5411179332629281,0.8505514146928708,1.9824079253805007,1.9332556011649067,7.652009414278188
0.05,0.04399183239079143,0.1616727521602416,0.42402004152460077,0.09018631765982488,0.330398641378633,1.8632953877459784,0.08798366478158286,0.3233455043204832,0.5411179059589493,0.8480400830492015,1.982391848271798,1.8632953877459784,7.509469781873971
0.1,0.04398911511145618,0.16153788480770828,0.4202779985140992,0.09018627674798142,0.33037479886519977,1.6694789088598028,0.08797823022291236,0.32307576961541656,0.5411176604878886,0.8405559970281984,1.9822487931911987,1.6694789088598028,7.11393426826522
0.15000000000000002,0.04398458598195796,0.16131334487332305,0.4141234071186834,0.09018611791407562,0.3302837120773237,1.3935589857729556,0.08796917196391592,0.3226266897466461,0.5411167074844537,0.8282468142373668,1.9817022724639424,1.3935589857729556,6.5487796274422365
0.2,0.04397824441297351,0.16099951008378996,0.40567597925809346,0.09018570594357138,0.3300528568412933,1.0874427539214453,0.08795648882594702,0.3219990201675799,0.5411142356614282,0.8113519585161869,1.98031714104776,1.0874427539214453,5.917624352061793
0.25,0.043970089517003104,0.1605969365713533,0.3950966631008821,0.09018485302004835,0.32958916041185027,0.7969486124344967,0.08794017903400621,0.3211938731427066,0.5411091181202901,0.7901933262017642,1.9775349624711016,0.7969486124344967,5.311868683838862
0.30000000000000004,0.04396012023881572,0.16010636729441582,0.3825817434568577,0.09018332014606226,0.3287863024213876,0.5518567082110133,0.08792024047763145,0.32021273458883165,0.5410999208763736,0.7651634869137154,1.9727178145283257,0.5518567082110133,4.790827613806904
0.35000000000000003,0.04394833562867018,0.15952872887806685,0.3683561049327431,0.09018081889305722,0.327532666737477,0.3641822357751414,0.08789667125734037,0.3190574577561337,0.5410849133583433,0.7367122098654862,1.965196000424862,0.3641822357751414,4.378311724212448
0.4,0.043934735185637175,0.15886511898425748,0.3526660310580477,0.09017701344184292,0.32571919776905045,0.23222590035439017,0.08786947037127435,0.31773023796851496,0.5410620806510575,0.7053320621160954,1.9543151866143027,0.23222590035439017,4.070760838430026
0.45,0.04391931916855938,0.15811678956895495,0.33577185558101064,0.0901715228815071,0.3232465178831271,0.14658826850799772,0.08783863833711876,0.3162335791379099,0.5410291372890426,0.6715437111620213,1.9394791072987625,0.14658826850799772,3.8493007102408505
0.5,0.043902088793799,0.15728513132742544,0.31794073364651043,0.09016392374339224,0.32003082717028636,0.09536150542958277,0.087804177587598,0.3145702626548509,0.5409835424603535,0.6358814672930209,1.9201849630217183,0.09536150542958277,3.6901474238767067
0.55,0.043883046288488055,0.15637166243703093,0.29943976399862554,0.09015375275533194,0.3160082961638206,0.06740794492723465,0.08776609257697611,0.31274332487406187,0.5409225165319916,0.5988795279972511,1.8960497769829234,0.06740794492723465,3.5711771288176735
0.6000000000000001,0.043862194815986355,0.15537802212895788,0.2805296618464855,0.09014050980760246,0.31113784426838803,0.05384198704527379,0.08772438963197271,0.31075604425791575,0.5408430588456148,0.561059323692971,1.866827065610328,0.05384198704527379,3.47489385612935
0.65,0.04383953831870232,0.154305967838537,0.26145914837115597,0.09012366112477675,0.30540234952768247,0.048310028720768596,0.08767907663740464,0.308611935677074,0.5407419667486605,0.5229182967423119,1.8324140971660947,0.048310028720768596,3.388985430413083
0.7000000000000001,0.04381508132953154,0.15315737401647678,0.2424601838976041,0.09010264263663471,0.2988084481050629,0.046660016803859374,0.08763016265906308,0.30631474803295355,0.5406158558198083,0.4849203677952082,1.7928506886303774,0.046660016803859374,3.305651856545129
0.75,0.04378882879364728,0.1519342308678866,0.2237441283202924,0.09007686353708412,0.29138515306769947,0.04640728866820388,0.08757765758729456,0.3038684617357732,0.5404611812225047,0.4474882566405848,1.748310918406197,0.04640728866820388,3.220521052928762
0.8,0.04376078592633628,0.15063864188133932,0.20549886735753914,0.09004571001378897,0.28318155660073807,0.04621462103529736,0.08752157185267256,0.30127728376267865,0.5402742600827338,0.4109977347150783,1.6990893396044284,0.04621462103529736,3.1315894320881865
0.8500000000000001,0.04373095811700563,0.1492728196563204,0.18788689995688934,0.09000854912417464,0.27426388546079294,0.04547374283502217,0.08746191623401126,0.2985456393126408,0.5400512947450478,0.3757737999137787,1.6455833127647577,0.04547374283502217,3.038363448640281
0.9,0.04369935087798375,0.14783908003785626,0.17104434352860906,0.08996473278685675,0.26471216462987057,0.04400372897675029,0.0873987017559675,0.2956781600757125,0.5397883967211405,0.3420886870572181,1.5882729877792234,0.04400372897675029,2.9412343913427628
0.9500000000000001,0.04366596983010732,0.1463398348649956,0.15508078165575187,0.08991360185221185,0.25461671611488385,0.04185029695683744,0.08733193966021464,0.2926796697299912,0.5394816111132711,0.31016156331150374,1.5277002966893032,0.04185029695683744,2.8410556744179587
1.0,0.04363082071454853,0.14477758375969438,0.14007985464860953,0.08985449021229915,0.2440746844904687,0.03916111290364843,0.08726164142909706,0.28955516751938876,0.5391269412737949,0.28015970929721906,1.4644481069428124,0.03916111290364843,2.738873792269609
1.05,0.043593909420559844,0.14315490537995726,0.12610047712716946,0.08978672890883778,0.23318674241547235,0.03611362194460127,0.08718781884111969,0.2863098107599145,0.5387203734530267,0.2522009542543389,1.3991204544928342,0.03611362194460127,2.6357666556904364
1.1,0.04355524202052233,0.1414744484913089,0.11317855843680814,0.08970965019834531,0.22205409101868656,0.03287687262579932,0.08711048404104466,0.2829488969826178,0.5382579011900719,0.2263571168736163,1.3323245461121194,0.03287687262579932,2.5327526904510687
1.1500000000000001,0.04351482480592884,0.13973892311606878,0.1013291003598735,0.08962259153556859,0.2107758338550148,0.029594095140076614,0.08702964961185768,0.27947784623213756,0.5377355492134115,0.202658200719747,1.264655003130089,0.029594095140076614,2.4307444391873956
1.2000000000000002,0.043472664320123186,0.1379510919270727,0.09054855118815701,0.08952489943960408,0.19944677049910822,0.02637719346375558,0.08694532864024637,0.2759021838541454,0.5371493966376245,0.18109710237631402,1.1966806229946494,0.02637719346375558,2.330529021430491
1.25,0.04342876738545309,0.13611376197498992,0.08081730450258844,0.08941593321120249,0.18815562767308297,0.023307559480536866,0.08685753477090619,0.27222752394997984,0.5364955992672149,0.16163460900517687,1.128933766038498,0.023307559480536866,2.23276415199285
1.3,0.043383141123878706,0.13422977678084488,0.07210224365152278,0.08929506847429998,0.1769837225892542,0.02043984253390565,0.08676628224775741,0.26845955356168977,0.5357704108457999,0.14420448730304555,1.0619023355355253,0.02043984253390565,2.137982754561629
1.35,0.04333579297102681,0.13230200878713647,0.06435924766399663,0.08916170051949146,0.16600403507252093,0.017806752099052178,0.08667158594205362,0.26460401757427293,0.5349702031169488,0.12871849532799326,0.9960242104351256,0.017806752099052178,2.0466020165944983
1.4000000000000001,0.0432867306842638,0.1303333521389082,0.05753559004147784,0.08901524743171,0.1552806518624561,0.015423867592549156,0.0865734613685276,0.2606667042778164,0.53409148459026,0.11507118008295568,0.9316839111747366,0.015423867592549156,1.9589344766793944
1.4500000000000002,0.043235962345666096,0.12832671575632376,0.05157217757743561,0.08885515298862386,0.14486853789897786,0.013293962859937815,0.08647192469133219,0.2566534315126475,0.5331309179317432,0.10314435515487122,0.8692112273938671,0.013293962859937815,1.8751997824043367
1.5,0.043183496360877094,0.1262850166589857,0.04640559129424194,0.08868088932010036,0.13481358481166347,0.011410656496578677,0.08636699272175419,0.2525700333179714,0.5320853359206021,0.09281118258848388,0.8088815088699808,0.011410656496578677,1.7955363664119497
1.55,0.043129341454823666,0.12421117350625475,0.04196990520137057,0.08849195932246257,0.12515288559881077,0.009761362379022243,0.08625868290964733,0.2484223470125095,0.5309517559347754,0.08393981040274114,0.7509173135928646,0.009761362379022243,1.7200126346105824
1.6,0.0430735066651757,0.12210810032476586,0.03819827050097728,0.0882878988241712,0.11591518589273184,0.008329595209844038,0.0861470133303514,0.24421620064953173,0.5297273929450271,0.07639654100195456,0.695491115356391,0.008329595209844038,1.6486374537029438
1.6500000000000001,0.04301600133430576,0.11997870040247298,0.035024262901932876,0.08806827850202452,0.10712146556890036,0.007096719267131474,0.08603200266861152,0.23995740080494596,0.5284096710121471,0.07004852580386575,0.6427287934134022,0.007096719267131474,1.5813698322372356
1.7000000000000002,0.04295683510036846,0.11782586033673462,0.03238299879993833,0.08783270554902402,0.09878560912935852,0.006043236437525648,0.08591367020073692,0.23565172067346923,0.5269962332941441,0.06476599759987665,0.5927136547761511,0.006043236437525648,1.5181277494194294
1.75,0.04289601788798512,0.11565244423147188,0.030212032300518967,0.08758082509675723,0.09091512871913374,0.0051497046075091165,0.08579203577597024,0.23130488846294375,0.5254849505805433,0.060424064601037934,0.5454907723148024,0.0051497046075091165,1.4587961209503157
1.8,0.042833559898898525,0.1134612880449029,0.02845204954598925,0.08731232139655737,0.0835119093604677,0.0043973667547201785,0.08566711979779705,0.2269225760898058,0.5238739283793442,0.0569040990919785,0.5010714561628062,0.0043973667547201785,1.403233913031172
1.85,0.042769471602858135,0.11125519409462029,0.02704737975253774,0.08702691876486533,0.0765729516576069,0.0037685585410778574,0.08553894320571627,0.22251038818924057,0.522161512589192,0.05409475950507548,0.45943770994564137,0.0037685585410778574,1.3512804305170212
1.9000000000000001,0.04270376372890937,0.10903692573080942,0.025946343993743036,0.08672438229919355,0.07009109257614966,0.0032469498963995694,0.08540752745781874,0.21807385146161884,0.5203462937951613,0.05189268798748607,0.420546555456898,0.0032469498963995694,1.3027608159517823
1.9500000000000002,0.04263644725719143,0.10680920219127457,0.025101463315357612,0.0864045183719138,0.0640556897635404,0.002817664954437929,0.08527289451438286,0.21361840438254914,0.5184271102314828,0.050202926630715225,0.3843341385812424,0.002817664954437929,1.2574908042492483
2.0,0.04256753341129392,0.10457469365376049,0.024469547460246183,0.0860671749097968,0.05845325915216236,0.0024673151271894294,0.08513506682258784,0.20914938730752097,0.5164030494587808,0.048939094920492365,0.35071955491297413,0.0024673151271894294,1.215280783676735
2.0500000000000003,0.042497033651182015,0.10233601650196714,0.02401168453244023,0.08571224146784519,0.05326805923257879,0.002183972125427218,0.08499406730236403,0.20467203300393427,0.5142734488070712,0.04802336906488046,0.3196083553954727,0.002183972125427218,1.1759392178245769
2.1,0.042424959666670495,0.1000957288217967,0.023693150522569425,0.08533964910650363,0.04848261840444808,0.0019571012434176907,0.08484991933334099,0.2001914576435934,0.5120378946390218,0.04738630104513885,0.2908957104266885,0.0019571012434176907,1.1392754855746188
2.15,0.042351323371406735,0.09785632614388039,0.02348325591393013,0.08494937008181082,0.044078204239864006,0.0017774700450142653,0.08470264674281347,0.19571265228776077,0.5096962204908649,0.04696651182786026,0.26446922543918405,0.0017774700450142653,1.105102196878512
2.2,0.04227613689730994,0.09562023744743735,0.023355144721991128,0.0845414173584864,0.04003523538149248,0.0016370435185684101,0.08455227379461988,0.1912404748948747,0.5072485041509184,0.046710289443982256,0.24021141228895487,0.0016370435185684101,1.0732370416104868
2.25,0.042199412589406536,0.0933898214391277,0.023285559396323804,0.08411584395632452,0.03633363820996239,0.001528873617203898,0.08439882517881307,0.1867796428782554,0.504695063737947,0.04657111879264761,0.21800182925977435,0.001528873617203898,1.0435042270818453
2.3000000000000003,0.04212116300099893,0.09116736311888014,0.023254583114281364,0.08367274214059421,0.032953151419798814,0.0014469886951630794,0.08424232600199787,0.1823347262377603,0.5020364528435652,0.04650916622856273,0.19771890851879287,0.0014469886951630794,1.0157355572210052
2.35,0.042041400889105164,0.08895507064278518,0.02324536917998478,0.08321224246742495,0.029873582308354095,0.0013862865395005677,0.08408280177821033,0.17791014128557037,0.4992734548045497,0.04649073835996956,0.17924149385012456,0.0013862865395005677,0.9897712031574256
2.4000000000000004,0.04196013921010958,0.0867550724911203,0.023243865551470667,0.08273451269537886,0.027075018971318227,0.001342433352552432,0.08392027842021917,0.1735101449822406,0.4964070761722732,0.04648773110294133,0.16245011382790936,0.001342433352552432,0.9654602112106886
2.45,0.04187739111556906,0.08456941494747777,0.023238540979031292,0.08223975657457885,0.024538002769125242,0.0013117700599076306,0.08375478223113812,0.16913882989495554,0.4934385394474731,0.046477081958062584,0.14722801661475146,0.0013117700599076306,0.9426607902661961
2.5,0.0417931699481244,0.08240005989284664,0.023220117862351865,0.0817282125248686,0.022243665431538488,0.001291226616531449,0.0835863398962488,0.16480011978569328,0.4903692751492116,0.04644023572470373,0.13346199258923092,0.001291226616531449,0.9212404163781511
2.5500000000000003,0.04170748923747248,0.08024888291640453,0.02318131572703904,0.08120015221452602,0.02017383504620089,0.001278244492834108,0.08341497847494496,0.16049776583280906,0.4872009132871561,0.04636263145407808,0.12104301027720535,0.001278244492834108,0.9010757883118616
2.6,0.04162036269636065,0.07811767174273293,0.02311660817947501,0.08065587905103376,0.018311114967119478,0.0012707071897760864,0.0832407253927213,0.15623534348546586,0.48393527430620253,0.04623321635895002,0.10986668980271687,0.0012707071897760864,0.8820526637256088
2.6500000000000004,0.041531804216571,0.07600812497321142,0.023021995314544477,0.08009572659532846,0.0166389394104161,0.0012668784162653177,0.083063608433142,0.15201624994642285,0.48057435957197076,0.046043990629088954,0.0998336364624966,0.0012668784162653177,0.8640656018756517
2.7,0.04144182786486784,0.07392185113749414,0.02289479281226198,0.07952005691080566,0.015141609200742978,0.0012653474313555765,0.08288365572973568,0.14784370227498828,0.47712034146483395,0.04578958562452396,0.09084965520445787,0.0012653474313555765,0.847017635161251
2.75,0.041350447878887156,0.07186036804923929,0.022733438353293053,0.0789292588581507,0.013804310810846609,0.0012649809839086561,0.08270089575777431,0.14372073609847857,0.4735755531489042,0.045466876706586105,0.08282586486507965,0.0012649809839086561,0.8308198885446402
2.8000000000000003,0.04125767866295202,0.06982510245866674,0.022537315495501854,0.07832374634680078,0.012613121512752339,0.001264881255214633,0.08251535732590404,0.1396502049173335,0.4699424780808047,0.04507463099100371,0.07567872907651403,0.001264881255214633,0.8153911629019893
2.85,0.041163534783802205,0.06781738999306366,0.022306594769508484,0.07770395655352272,0.011555003142121082,0.0012643492120034564,0.08232706956760441,0.13563477998612733,0.4662237393211363,0.04461318953901697,0.0693300188527265,0.0012643492120034564,0.8006574956906184
2.9000000000000004,0.04106803096623061,0.06583847537505216,0.022042091456753617,0.0770703481182192,0.010617786674676602,0.0012628527983400144,0.08213606193246122,0.13167695075010433,0.46242208870931517,0.044084182913507235,0.0637067200480596,0.0012628527983400144,0.7865517099501276
2.95,0.04097118208862243,0.06388951290727823,0.02174513929549667,0.07642339932665874,0.009790149529979862,0.001259999427821871,0.08194236417724486,0.12777902581455647,0.45854039595995244,0.04349027859099334,0.05874089717987917,0.001259999427821871,0.77301296057827
3.0,0.04087300317839626,0.06197156721117642,0.021417479206307082,0.07576360628936565,0.009061587256107922,0.001255512277110001,0.08174600635679252,0.12394313442235284,0.4545816377361939,0.042834958412614164,0.054369523536647535,0.001255512277110001,0.7599862850188209
3.0500000000000003,0.04077350940734872,0.060085614206611106,0.02106116202791022,0.07509148112541264,0.0084223810104029,0.0012492099244820556,0.08154701881469743,0.12017122841322221,0.45054888675247584,0.04212232405582044,0.0505342860624174,0.0012492099244820556,0.7474221639475974
3.1,0.0406727160869066,0.05823254231848702,0.020678464196906773,0.07440755015933576,0.007863562036726989,0.0012409889203158927,0.0813454321738132,0.11646508463697404,0.44644530095601453,0.041356928393813545,0.047181372220361936,0.0012409889203158927,0.7352760962216089
3.1500000000000004,0.04057063866329208,0.056413153895855356,0.020271815282299568,0.07371235213884451,0.007376874148143397,0.0012308089185398899,0.08114127732658416,0.11282630779171071,0.44227411283306706,0.040543630564599135,0.04426124488886038,0.0012308089185398899,0.7235081912419011
3.2,0.04046729271260804,0.05462816682861271,0.019843736290500878,0.07300643648043648,0.006954735054640835,0.0012186800380859467,0.08093458542521607,0.10925633365722542,0.43803861888261886,0.039687472581001755,0.04172841032784501,0.0012186800380859467,0.7120827809500792
3.25,0.04036269393585149,0.05287821634658896,0.019396787682209843,0.0722903615494492,0.006590197227069221,0.0012046521606452851,0.08072538787170298,0.10575643269317792,0.43374216929669523,0.038793575364419686,0.03954118336241533,0.0012046521606452851,0.7009680529097017
3.3000000000000003,0.040256858153864115,0.05116385698564311,0.018933526083893062,0.07156469298050079,0.0062769088592801925,0.001188805905254814,0.08051371630772823,0.10232771397128622,0.4293881578830048,0.037867052167786124,0.03766145315568115,0.001188805905254814,0.6901357052959961
3.35,0.04014980130222902,0.04948556470532244,0.018456468729112798,0.07083000204368635,0.006009075378881947,0.001171245051340347,0.08029960260445804,0.09897112941064488,0.4249800122621181,0.036912937458225596,0.03605445227329168,0.001171245051340347,0.6795606241114189
3.4000000000000004,0.04004153942612348,0.04784373914268297,0.017968064724961503,0.07008686406131809,0.0057814218613139595,0.0011520902098587458,0.08008307885224696,0.09568747828536595,0.42052118436790853,0.035936129449923006,0.03468853116788376,0.0011520902098587458,0.6692205825430456
3.45,0.03993208867513735,0.04623870598701097,0.017470672303404437,0.06933585687942513,0.0055891566204444385,0.0011314735672491361,0.0798641773502747,0.09247741197402194,0.4160151412765508,0.03494134460680887,0.033534939722666635,0.0011314735672491361,0.6590959620648212
3.5,0.039821465298066704,0.04467071946041443,0.01696654128402772,0.06857755939766891,0.0054279361799852675,0.001109534549211425,0.07964293059613341,0.08934143892082887,0.41146535638601345,0.03393308256805544,0.032567617079911605,0.001109534549211425,0.6491694946493657
3.5500000000000003,0.039709685637692144,0.04313996488956513,0.01645780004167306,0.06781255016078627,0.0052938317721981315,0.0010864162710939392,0.07941937127538429,0.08627992977913027,0.40687530096471763,0.03291560008334612,0.03176299063318879,0.0010864162710939392,0.639426025277955
3.6,0.03959676612555096,0.04164656135425431,0.015946446338278474,0.06704140601414663,0.005183297462236619,0.0010622626591168928,0.07919353225110191,0.08329312270850862,0.40224843608487976,0.03189289267655695,0.031099784773419712,0.0010622626591168928,0.6298522938127007
3.6500000000000004,0.03948272327671175,0.04019056439887165,0.015434341441865253,0.06626470082550523,0.005093139956759523,0.0010372161420094054,0.0789654465534235,0.0803811287977433,0.3975882049530314,0.030868682883730507,0.03055883974055714,0.0010372161420094054,0.6204367352125046
3.7,0.03936757368455983,0.03877196879341969,0.01492320701624185,0.06548300427455432,0.005020490123009898,0.0010114158261112923,0.07873514736911966,0.07754393758683938,0.3928980256473259,0.0298464140324837,0.03012294073805939,0.0010114158261112923,0.6111692970260507
3.75,0.03925133401560108,0.03739071133122454,0.014414624322106405,0.06469688071141821,0.004962776218352421,0.0009849960787902362,0.07850266803120216,0.07478142266244908,0.3881812842685093,0.02882924864421281,0.029776657310114522,0.0009849960787902362,0.6020412730740682
3.8000000000000003,0.03913402100429155,0.03604667365109377,0.013910035323490624,0.06390688808481035,0.004917698809383373,0.0009580854553384405,0.0782680420085831,0.07209334730218754,0.3834413285088621,0.02782007064698125,0.029506192856300236,0.0009580854553384405,0.593045152233591
3.85,0.03901565144789932,0.03473968507229327,0.013410745342724626,0.0631135769401693,0.004883207343365447,0.0009308059135122157,0.07803130289579864,0.06947937014458654,0.3786814616410158,0.026821490685449253,0.02929924406019268,0.0009308059135122157,0.5841744812540672
3.9000000000000004,0.0388962422014048,0.03346952543136229,0.01291792695226531,0.06231748948771867,0.0048574783221859786,0.0009032722677186438,0.0777924844028096,0.06693905086272459,0.373904936926312,0.02583585390453062,0.029144869933115873,0.0009032722677186438,0.5754237405649298
3.95,0.03877581017244492,0.032235927910452086,0.012432624832864843,0.061519158740052655,0.004838895019675052,0.0008755918416750491,0.07755162034488984,0.06447185582090417,0.36911495244031595,0.024865249665729686,0.02903337011805031,0.0008755918416750491,0.5667882320732401
4.0,0.03865437231630616,0.031038581847551695,0.011955761364776565,0.060719107718534136,0.00482602867641443,0.0008478642842940614,0.07730874463261232,0.06207716369510339,0.3643146463112048,0.02391152272955313,0.02895617205848658,0.0008478642842940614,0.5582639779955483
4.05,0.038531945630970815,0.02987713551965113,0.011488142752171932,0.059917848727507064,0.004817621101658158,0.0008201815186903345,0.07706389126194163,0.05975427103930226,0.3595070923650424,0.022976285504343864,0.028905726609948945,0.0008201815186903345,0.5498476298179598
4.1000000000000005,0.03840854715222045,0.028751198890579366,0.011030465510876988,0.05911588269506694,0.004812568609275004,0.0007926277986624703,0.0768170943044409,0.05750239778115873,0.35469529617040163,0.022060931021753976,0.028875411655650024,0.0007926277986624703,0.5415363865307301
4.15,0.0382841939487999,0.027660346315939752,0.010583323176158142,0.05831369857890381,0.0048099072133736456,0.0007652798508619584,0.0765683878975998,0.055320692631879505,0.34988219147342287,0.021166646352316285,0.028859443280241873,0.0007652798508619584,0.5333279213371842
4.2,0.038158903117644694,0.026604119198242685,0.010147213110833676,0.057511772835528746,0.004808799009196053,0.0007382070841961486,0.07631780623528939,0.05320823839648537,0.3450706370131725,0.020294426221667352,0.028852794055176316,0.0007382070841961486,0.5252203160901832
4.25,0.03803269177917455,0.02558202858600237,0.00972254331470526,0.05671056895101842,0.004808519665719994,0.0007114718508914566,0.0760653835583491,0.05116405717200474,0.3402634137061105,0.01944508662941052,0.028851117994319962,0.0007114718508914566,0.5172120027619778
4.3,0.037905577072654885,0.02459355771121574,0.009309639154434956,0.05591053703125942,0.004808446957993126,0.0006851297461248794,0.07581115414530977,0.04918711542243148,0.33546322218755653,0.018619278308869912,0.028850681747958754,0.0006851297461248794,0.5093017113043762
4.3500000000000005,0.037777576151628155,0.02363816446027602,0.008908749948776388,0.05511211344954576,0.004808050269357599,0.0006592299352680533,0.07555515230325631,0.04727632892055204,0.33067268069727457,0.017817499897552776,0.028848301616145593,0.0006592299352680533,0.5014884233053174
4.4,0.0376487061794164,0.0227152837739873,0.008520055357731518,0.05431572054927657,0.004806880996272787,0.0006338154996235835,0.0752974123588328,0.0454305675479746,0.32589432329565937,0.017040110715463037,0.028841285977636723,0.0006338154996235835,0.4937713308948137
4.45,0.03751898432469603,0.02182432997293743,0.008143671535963239,0.05352176639941566,0.004804563791286682,0.0006089237931076732,0.07503796864939206,0.04364865994587486,0.32113059839649394,0.016287343071926478,0.028827382747720093,0.0006089237931076732,0.4861498003976228
4.5,0.03738842775714567,0.020964699005053867,0.007779657020852651,0.05273064460030945,0.004800788582746686,0.0005845868036806874,0.07477685551429133,0.041929398010107734,0.31638386760185666,0.015559314041705302,0.028804731496480118,0.0005845868036806874,0.4786233402718025
4.55,0.03725705364316764,0.020135770612707563,0.007428018334136504,0.05194273413741218,0.00479530331299887,0.0005608315144782673,0.07451410728633528,0.040271541225415125,0.3116564048244731,0.014856036668273008,0.028771819877993217,0.0005608315144782673,0.4711915729114463
4.6000000000000005,0.03712487914168338,0.019336910417243825,0.007088715283270354,0.05115839928043741,0.0047879073400374445,0.0005376802605762979,0.07424975828336676,0.03867382083448765,0.30695039568262444,0.014177430566540708,0.02872744404022467,0.0005376802605762979,0.46385420992839677
4.65,0.036991921400002896,0.018567471919304877,0.0067616659546958545,0.05037798952544002,0.00477844545078196,0.0005151510781563218,0.07398384280000579,0.037134943838609755,0.3022679371526401,0.013523331909391709,0.028670672704691758,0.0005151510781563218,0.45661103056165175
4.7,0.03685819754976829,0.01782679841376542,0.006446751396192046,0.04960183957733272,0.0047668024373383345,0.0004932580435438642,0.07371639509953658,0.03565359682753084,0.2976110374639963,0.012893502792384092,0.028600814624030007,0.0004932580435438642,0.4494618628945656
4.75,0.036723724702971125,0.017114224818530997,0.00614381998959284,0.0488302693703536,0.004752898190709912,0.0004720116001880318,0.07344744940594225,0.034228449637061995,0.2929816162221216,0.01228763997918568,0.02851738914425947,0.0004720116001880318,0.4424065675889471
4.800000000000001,0.03658851994804335,0.01642907941684727,0.005852691518474243,0.04806358412402555,0.004736683269442359,0.00045141887215178117,0.0731770398960867,0.03285815883369454,0.2883815047441533,0.011705383036948486,0.028420099616654156,0.00045141887215178117,0.4354450238718407
4.8500000000000005,0.03645260034602135,0.0157706855131384,0.00557316093806251,0.04730207443218312,0.0047181349035938965,0.0004314839631016495,0.0729052006920427,0.0315413710262768,0.28381244659309873,0.01114632187612502,0.02830880942156338,0.0004314839631016495,0.4285771175353099
4.9,0.036315982926782626,0.01513836300273347,0.0053050018566826816,0.04654601638268606,0.004697253397207359,0.0004122082401349406,0.07263196585356525,0.03027672600546694,0.2792760982961163,0.010610003713365363,0.028183520383244155,0.0004122082401349406,0.4218027307320279
4.95,0.03617868468535459,0.014531429856153038,0.00504796973964089,0.045795671705491474,0.004674058895114793,0.00039359060207135087,0.07235736937070918,0.029062859712306075,0.27477403023294883,0.01009593947928178,0.02804435337068876,0.00039359060207135087,0.41512173337007735
5.0,0.03604072257829479,0.013949203518912486,0.0048018048475873204,0.045051287946815025,0.004648588482423545,0.00037562773207341536,0.07208144515658958,0.027898407037824972,0.2703077276808902,0.009603609695174641,0.027891530894541272,0.00037562773207341536,0.40853397592916746
5.050000000000001,0.035902113520141964,0.01339100222805733,0.004566234922206084,0.04431309866717713,0.004620893587413046,0.00035831433465349603,0.07180422704028393,0.02678200445611466,0.26587859200306274,0.009132469844412168,0.027725361524478277,0.00035831433465349603,0.4020392835376588
5.1000000000000005,0.03576287437993716,0.012856146246877583,0.004340977632580763,0.04358132366120046,0.004591037660813619,0.000341643357280795,0.07152574875987432,0.025712292493755166,0.26148794196720276,0.008681955265161526,0.027546225964881717,0.000341643357280795,0.3956374511654371
5.15,0.0356230219778143,0.012343959019455076,0.004125742795840298,0.04285616919709922,0.004559094106544316,0.0003256061969256895,0.0712460439556286,0.024687918038910153,0.2571370151825953,0.008251485591680596,0.0273545646392659,0.0003256061969256895,0.3893282398019319
5.2,0.03548257308165943,0.011853768246880786,0.003920234385743222,0.04213782827387906,0.004525144440959112,0.0003101928919754378,0.07096514616331887,0.02370753649376157,0.25282696964327434,0.007840468771486444,0.027150866645754675,0.0003101928919754378,0.3831113735015467
5.25,0.03534154440383792,0.011384906887138677,0.0037241523427463397,0.04142648089434674,0.004489276659493616,0.0002953923000291631,0.07068308880767583,0.022769813774277354,0.24855888536608042,0.007448304685492679,0.026935659956961698,0.0002953923000291631,0.3769865371905463
