Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_S
0.0,0.0547393833429405,0.2314536791543821,0.7940359926270321,0.12226621608943977,0.5476516262045179,5.08466191160342
0.05,0.054737605906811246,0.23133032125728278,0.7887809983255173,0.12226619193377644,0.5476170783904368,5.073763316143628
0.1,0.05473227417258108,0.23096072451538768,0.7732520343667527,0.12226597518535809,0.5473155075431391,5.040747947394148
0.15000000000000002,0.05472338985852529,0.2303463153310565,0.748137265335229,0.12226513619909135,0.5461970891088045,4.984793114679388
0.2,0.05471095581499129,0.22948945634128998,0.7145199716342692,0.12226296928269897,0.543479818150759,4.9049378558803305
0.25,0.05469497600605213,0.2283934247760456,0.6737918181478441,0.12225850735159792,0.5383129148273776,4.800563141278982
0.30000000000000004,0.05467545548714599,0.22706238294751535,0.6275472614110168,0.12225054081663958,0.5299431013305684,4.671845849913468
0.35000000000000003,0.054652400381353626,0.2255013415924676,0.5774714190226761,0.122237639494185,0.5178471930404677,4.520064931119975
0.4,0.05462581785691759,0.22371611691190346,0.5252332048346035,0.12221817642851085,0.5018083942369616,4.34769291472576
0.45,0.054595716108181674,0.22171328222586342,0.472393349192897,0.12219035275500727,0.48193107824676484,4.158271124570987
0.5,0.0545621043414269,0.21950011518824167,0.420333700391657,0.12215222302055387,0.45860360695450114,3.9561196057839787
0.55,0.05452499276623615,0.217084541492859,0.3702106615710461,0.12210172063637176,0.43242730984561506,3.7459599548609734
0.6000000000000001,0.05448439259217482,0.2144750759562899,0.3229323933109648,0.12203668331981246,0.4041315598651371,3.532530063098282
0.65,0.05444031602985098,0.2116807617945885,0.2791569412613949,0.12195487847065463,0.37449165530030315,3.320251930196809
0.7000000000000001,0.05439277629489818,0.2087111088294549,0.2393069229872218,0.12185402843744662,0.3442605112069843,3.112987831675767
0.75,0.05434178761314599,0.2055760312727163,0.20359580562877783,0.12173183558774348,0.31411925767502574,2.9138952932558437
0.8,0.05428736522520294,0.20228578565275732,0.17206095437902544,0.12158600703269526,0.2846471483674642,2.7253728461799995
0.8500000000000001,0.05422952538883866,0.1988509093673225,0.14459928963095628,0.12141427879563936,0.2563082143974711,2.549077979137955
0.9,0.05416828537786,0.19528216027672354,0.12100231360031867,0.12121443917130906,0.22945073338370742,2.385995087072488
0.9500000000000001,0.05410366347656783,0.19159045769115796,0.10098825223527015,0.12098435100325942,0.20431539228873175,2.2365324219804754
1.0,0.05403567896929936,0.1877868250555982,0.08422996341166991,0.12072197261168525,0.18104852358509266,2.100630864883617
1.05,0.05396435212495523,0.1838823345946942,0.07037800778132777,0.12042537712756726,0.15971759275993547,1.9778720228070996
1.1,0.05388970417675,0.17988805414694287,0.059078835170515646,0.1200927700260761,0.1403269486443607,1.8675776017223162
1.1500000000000001,0.05381175729768738,0.17581499639034306,0.049988413582452706,0.11972250469652931,0.12283257495789031,1.7688956625517032
1.2000000000000002,0.053730534572442055,0.17167407063913753,0.04278184646760722,0.11931309593306941,0.10715514762366768,1.6808720694514607
1.25,0.05364605996643074,0.16747603737141822,0.0371596221023897,0.11886323127606252,0.09319110618216803,1.6025072512655245
1.3,0.05355835829288634,0.1632314656289241,0.03285115186130066,0.11837178017671927,0.08082171283120138,1.5327994839513432
1.35,0.053467455178723575,0.1589506934121594,0.029616212531443514,0.11783780099536147,0.06992023116625698,1.4707764528818497
1.4000000000000001,0.053373377029917624,0.15464379117518787,0.02724483577719255,0.1172605458765989,0.060357439213340976,1.4155170400775532
1.4500000000000002,0.053276150997023104,0.1503205285046058,0.025556102959285485,0.11663946357243091,0.052005723171180185,1.3661652390411347
1.5,0.05317580494135157,0.14599034404604225,0.024396217466473538,0.11597420030722129,0.04474199855864924,1.3219379289856596
1.55,0.05307236740221221,0.14166231871910742,0.023636146626986626,0.11526459879702364,0.03844968775427866,1.282128009295869
1.6,0.05296586756551018,0.1373451522382363,0.023169054840390432,0.11451069555030936,0.03301995631244809,1.2461041478399224
1.6500000000000001,0.05285633523389611,0.13304714293272138,0.02290769020631245,0.11371271658821218,0.028352380737475594,1.2133081592250352
1.7000000000000002,0.05274380079857111,0.1287761708348688,0.022781838566242985,0.11287107173035069,0.02435519106805837,1.1832508150537033
1.75,0.052628295212777336,0.12453968398114702,0.022735920628543946,0.11198634759747929,0.02094520458912458,1.1555067035863105
1.8,0.05250984996694379,0.1203446878479461,0.022726778424802713,0.11105929948495474,0.018047543157623372,1.1297086020196072
1.85,0.0523884970654112,0.11619773782160911,0.022721675334133152,0.11009084226156204,0.015595206289182458,1.105541699168409
1.9000000000000001,0.05226426900462644,0.11210493458216038,0.022696517938955184,0.1090820404468602,0.013528555221428337,1.0827379066183584
1.9500000000000002,0.052137198752675175,0.10807192226199737,0.022634296799033254,0.10803409761710571,0.011794749364376841,1.0610704187875533
2.0,0.052007319730009174,0.10410388922500319,0.022523735776134708,0.1069483452851944,0.010347165493010627,1.040348623145503
2.0500000000000003,0.05187466579121998,0.10020557129826384,0.02235813491156798,0.10582623139412722,0.009144821329602064,1.020413417685275
2.1,0.05173927120771264,0.09638125727794394,0.02213438932165836,0.1046693085564422,0.008151818413390442,1.0011329606068449
2.15,0.05160117065113932,0.09263479652291032,0.021852165549149354,0.10347922216404828,0.007336814006150468,0.9823988544552896
2.2,0.051460399177462195,0.08896960844435699,0.021513216836310873,0.10225769848412929,0.006672527920420058,0.964122751502716
2.25,0.05131699221152708,0.08538869369687127,0.02112081951915819,0.10100653284743227,0.00613528731493904,0.9462333571994628
2.3000000000000003,0.05117098553204193,0.08189464687594201,0.020679313919138576,0.09972757802548626,0.005704610455729958,0.9286738026300825
2.35,0.051022415256868174,0.0784896705286615,0.02019373453558658,0.09842273288327551,0.00536282900822005,0.9113993539747658
2.4000000000000004,0.050871317828546175,0.07517559028809327,0.019669515880184615,0.09709393138376912,0.005094747458392065,0.8943754261298311
2.45,0.05071772999998894,0.07195387094724491,0.01911226184660815,0.09574313201062812,0.004887337642037224,0.8775758682196015
2.5,0.05056168882029054,0.06882563329554914,0.018527568009457318,0.09437230766549813,0.004729465998963786,0.8609814902394379
2.5500000000000003,0.05040323162060656,0.0657916715489851,0.01792088765534674,0.09298343608666797,0.004611650992432245,0.8445788021396136
2.6,0.05024239600007418,0.06285247121422001,0.01729743364202967,0.09157849082662751,0.004525848088806692,0.8283589390276396
2.6500000000000004,0.050079219811747934,0.06000822723719625,0.016662109347615885,0.0901594328172784,0.0044652597373885505,0.8123167486463446
2.7,0.0499137411485352,0.05725886229721643,0.016019463008995254,0.08872820254330571,0.0044241678950235315,0.7964500197494222
2.75,0.04974599832912177,0.054604045118586325,0.015373660660053695,0.08728671283656034,0.004397786781828267,0.7807588323621987
2.8000000000000003,0.049576029883883405,0.0520432086830898,0.014728473673439327,0.08583684229726947,0.004382133716961676,0.7652450131322885
2.85,0.049403874540783786,0.04957556823782309,0.014087277593930327,0.08438042934151055,0.004373916055171063,0.7499116810148219
2.9000000000000004,0.04922957121126283,0.0472001390040706,0.013453059537336982,0.08291926686866395,0.004370432417815258,0.7347628703885856
2.95,0.049053158976122294,0.04491575350383827,0.012828431927063807,0.08145509753750299,0.004369486580773616,0.7198032203621612
3.0,0.04887467707141753,0.0427210784312667,0.012215650761430337,0.07998960963517539,0.004369312542583984,0.7050377205096174
3.0500000000000003,0.04869416487436615,0.04061463100634441,0.011616636958484357,0.07852443351956204,0.004368509447202795,0.6904715045845733
3.1,0.04851166188928506,0.03859479475805802,0.011032999620443854,0.07706113861233911,0.004365985175828787,0.6761096849129237
3.1500000000000004,0.04832720773356824,0.03665983469330028,0.010466060305312053,0.07560123091748853,0.004360907550856131,0.6619572211727168
3.2,0.0481408421237178,0.03480791181647,0.009916877595968801,0.07414615103796311,0.00435266221227606,0.6480188181491962
3.25,0.047952604861441,0.03303709697271065,0.00938627142362303,0.0726972726616763,0.00434081633309482,0.6342988478179865
3.3000000000000003,0.04776253581982547,0.03134538399513539,0.008874846738565255,0.07125590148691266,0.004325087436144058,0.6208012917731045
3.35,0.04757067492960496,0.029730702143166494,0.008383016231575278,0.06982327455659906,0.004305316660705348,0.6075297005911093
3.4000000000000004,0.04737706216552684,0.028190927825282163,0.007911021898323517,0.06840055997059706,0.00428144590438752,0.5944871672193975
3.45,0.04718173753283265,0.02672389560502286,0.007458955310247575,0.06698885694523013,0.004253498334433011,0.581676311905319
3.5,0.04698474105386186,0.025327408494077896,0.007026776511743334,0.06558919618960395,0.004221561823825626,0.5690992765522923
3.5500000000000003,0.046786112754788646,0.023999247540674243,0.006614331507667553,0.06420254056887467,0.004185774921936002,0.556757726707253
3.6,0.046585892652500585,0.02273718072534597,0.006221368339284661,0.06282978602542978,0.004146315017642256,0.5446528596574102
3.6500000000000004,0.04638412074162775,0.021538971179503867,0.0058475517727333524,0.06147176272993338,0.004103388395525877,0.5327854173494336
3.7,0.04618083698172985,0.020402384745080535,0.005492476643368837,0.060129236435320775,0.0040572219234431255,0.5211557030460556
3.75,0.04597608128464843,0.019325196895926742,0.005155679913229038,0.058802910008072674,0.004008056143037723,0.5097636008081954
3.8000000000000003,0.04576989350203071,0.018305199043614724,0.004836651508438554,0.0574934251124324,0.003956139564072287,0.4986085970390515
3.85,0.04556231341303091,0.01734020425189362,0.00453484400947971,0.05620136402462287,0.0039017239892492304,0.4876898034535426
