Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(4),J_total_sulfur
0.0,0.05532303996914179,0.2303380300370091,0.7933108105695978,0.12226621602800528,0.5476516262005751,0.11064607993828358,0.4606760600740182,0.7335972961680317,1.5866216211391957,2.1906065048023002,5.082147562121829
0.05,0.05532124125898792,0.23021502732678328,0.7880973111386574,0.12226619187234194,0.547617078386494,0.11064248251797584,0.46043005465356657,0.7335971512340517,1.5761946222773149,2.190468313545976,5.0713326242288845
0.1,0.05531584543826784,0.2298464952379259,0.7726887278542832,0.12226597512392359,0.5473155075391962,0.11063169087653568,0.4596929904758518,0.7335958507435416,1.5453774557085664,2.189262030156785,5.038560017961281
0.15000000000000002,0.05530685343546228,0.2292338574634112,0.7477614879314616,0.12226513613765685,0.5461970891048616,0.11061370687092456,0.4584677149268224,0.7335908168259411,1.4955229758629232,2.1847883564194466,4.9829835709060575
0.2,0.05529426679601048,0.2283794721679058,0.7143811144221439,0.12226296922126448,0.5434798181468161,0.11058853359202096,0.4567589443358116,0.7335778153275869,1.4287622288442878,2.1739192725872645,4.903606794686972
0.25,0.05527808768075996,0.22728661040693227,0.6739178452241257,0.12225850729016342,0.5383129148234348,0.11055617536151992,0.45457322081386453,0.7335510437409806,1.3478356904482514,2.153251659293739,4.799767789658356
0.30000000000000004,0.055258318866493183,0.22595942669381203,0.6279437070030105,0.12225054075520508,0.5299431013266256,0.11051663773298637,0.45191885338762405,0.7335032445312305,1.255887414006021,2.1197724053065023,4.671598554964364
0.35000000000000003,0.055234963750616366,0.22440292243045865,0.5781229263267574,0.1222376394327505,0.5178471930365248,0.11046992750123273,0.4488058448609173,0.733425836596503,1.1562458526535149,2.0713887721460993,4.520336233758266
0.4,0.05520802636195907,0.22262290304027219,0.5261071119869475,0.12221817636707635,0.5018083942330187,0.11041605272391813,0.44524580608054437,0.7333090582024582,1.052214223973895,2.007233576932075,4.348418717912891
0.45,0.055177511379157475,0.22062592971578615,0.473444594518853,0.12219035269357277,0.48193107824282194,0.11035502275831495,0.4412518594315723,0.7331421161614367,0.946889189037706,1.9277243129712878,4.159362500360317
0.5,0.055143424157372126,0.21841926672209547,0.42151024593140246,0.12215222295911937,0.45860360695055824,0.11028684831474425,0.43683853344419094,0.7329133377547162,0.8430204918628049,1.834414427802233,3.9574736391786893
0.55,0.05510577076324957,0.21601082518508574,0.37145870537193054,0.12210172057493726,0.43242730984167216,0.11021154152649915,0.4320216503701715,0.7326103234496235,0.7429174107438611,1.7297092393666886,3.7474701654568436
0.6000000000000001,0.055064558017209955,0.21340910424927853,0.3242008141326074,0.12203668325837796,0.4041315598611942,0.11012911603441991,0.42681820849855706,0.7322200995502678,0.6484016282652147,1.6165262394447768,3.5340952917932364
0.65,0.055019793541442416,0.21062313042303368,0.2804006400774873,0.12195487840922013,0.37449165529636025,0.11003958708288483,0.42124626084606737,0.7317292704553208,0.5608012801549745,1.497966621185441,3.3217830197246885
0.7000000000000001,0.05497148581149715,0.20766239584812166,0.2404889439222717,0.12185402837601213,0.3442605112030414,0.1099429716229943,0.4153247916962433,0.7311241702560728,0.4809778878445434,1.3770420448121656,3.1144118662320195
0.75,0.05491964420911271,0.2045367961444526,0.20468829863552548,0.12173183552630898,0.31411925767108284,0.10983928841822542,0.4090735922889052,0.7303910131578539,0.40937659727105097,1.2564770306843314,2.915157521820367
0.8,0.054864279073907174,0.2012565683955612,0.1730451645253881,0.12158600697126076,0.2846471483635213,0.10972855814781435,0.4025131367911224,0.7295160418275646,0.3460903290507762,1.1385885934540851,2.7264366592713625
0.8500000000000001,0.05480540175175703,0.1978322297609935,0.14546482076029882,0.12141427873420485,0.2563082143935282,0.10961080350351406,0.395664459521987,0.7284856724052291,0.29092964152059764,1.0252328575741128,2.5499234345254402
0.9,0.054743024638035154,0.19427451713093283,0.12174592605330058,0.12121443910987455,0.22945073337976452,0.10948604927607031,0.38854903426186566,0.7272866346592473,0.24349185210660115,0.9178029335190581,2.386616503822842
0.9500000000000001,0.05467716121431737,0.19059432817758035,0.10161242972267866,0.12098435094182491,0.20431539228478884,0.10935432242863474,0.3811886563551607,0.7259061056509495,0.20322485944535731,0.8172615691391554,2.2369355130192576
1.0,0.054607826077638796,0.18680266410707946,0.08474143848120139,0.12072197255025074,0.18104852358114976,0.10921565215527759,0.3736053282141589,0.7243318353015045,0.16948287696240277,0.724194094324599,2.100829786957943
1.05,0.05453503496183712,0.18291057437434435,0.07078638197605308,0.12042537706613275,0.15971759275599257,0.10907006992367424,0.3658211487486887,0.7225522623967965,0.14157276395210616,0.6388703710239703,1.9778866160452357
1.1,0.054458804750925786,0.17892910358965006,0.059395378638244276,0.12009276996464159,0.1403269486404178,0.10891760950185157,0.3578582071793001,0.7205566197878496,0.11879075727648855,0.5613077945616712,1.8674309883071611
1.1500000000000001,0.05437915348477339,0.17486924081859653,0.050225085400375125,0.1197225046350948,0.12283257495394741,0.10875830696954678,0.34973848163719307,0.7183350278105688,0.10045017080075025,0.49133029981578963,1.7686122870338483
1.2000000000000002,0.05429610035761764,0.17074187145432881,0.042950543835761974,0.1193130958716349,0.10715514761972478,0.10859220071523527,0.34148374290865763,0.7158785752298094,0.08590108767152395,0.4286205904788991,1.6804761970041255
1.25,0.054209665710113715,0.16655773182103348,0.0372716439917609,0.11886323121462801,0.09319110617822512,0.10841933142022743,0.33311546364206696,0.7131793872877681,0.0745432879835218,0.3727644247129005,1.6020218950464846
1.3,0.054119871015714825,0.16232736664930483,0.0329168493909057,0.11837178011528476,0.08082171282725847,0.10823974203142965,0.32465473329860967,0.7102306806917086,0.0658336987818114,0.3232868513090339,1.5322457061125931
1.35,0.05402673886221909,0.15806108954583217,0.029644792335541566,0.11783780093392696,0.06992023116231406,0.10805347772443818,0.31612217909166435,0.7070268056035618,0.05928958467108313,0.27968092464925626,1.4701729717400036
1.4000000000000001,0.05393029292930505,0.15376894656116505,0.027244281827640094,0.11726054581516439,0.06035743920939807,0.1078605858586101,0.3075378931223301,0.7035632748909864,0.05448856365528019,0.24142975683759227,1.414880074364799
1.4500000000000002,0.05383055796283085,0.14946068293954737,0.025533184855022865,0.1166394635109964,0.052005723167237276,0.1076611159256617,0.29892136587909474,0.6998367810659784,0.05106636971004573,0.2080228926689491,1.3655085252497297
1.5,0.05372755974660238,0.14514571311374339,0.024356557581395693,0.11597420024578678,0.044741998554706335,0.10745511949320476,0.29029142622748677,0.6958452014747207,0.048713115162791386,0.17896799421882534,1.3212728565770289
1.55,0.05362132507223249,0.14083309398543056,0.02358432360838169,0.11526459873558913,0.03844968775033575,0.10724265014446498,0.2816661879708611,0.6915875924135347,0.04716864721676338,0.153798751001343,1.2814638287469673
1.6,0.05351188170762644,0.13653150150833065,0.023108726028412067,0.11451069548887485,0.03301995630850518,0.10702376341525288,0.2730630030166613,0.6870641729332492,0.046217452056824135,0.13207982523402073,1.2454482166560081
1.6500000000000001,0.05339925836454228,0.13224921056716027,0.022841720155579608,0.11371271652677767,0.028352380733532686,0.10679851672908457,0.26449842113432054,0.682276299160666,0.045683440311159215,0.11340952293413074,1.2126662002693611
1.7000000000000002,0.053283484665594474,0.12799407812117322,0.022712424772401586,0.11287107166891618,0.02435519106411546,0.10656696933118895,0.25598815624234644,0.677226430013497,0.04542484954480317,0.09742076425646184,1.1826271693882973
1.75,0.05316459111099654,0.12377352955704707,0.02266471072825867,0.11198634753604478,0.020945204585181672,0.10632918222199308,0.24754705911409414,0.6719180852162687,0.04532942145651734,0.08378081834072669,1.1549045663496
