Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
0.0,0.026354726701589868,0.09712465050031392,0.25846127384157686,0.04913888176340699,0.1581180824909011,0.12265195009283424,0.9231896158772599,0.656740528602323,0.052709453403179736,0.19424930100062784,0.29483329058044194,0.5169225476831537,0.9487084949454065,1.8463792317545198,1.2265195009283423,1.9702215858069692,7.050543406102641
0.05,0.02635453105331215,0.09711531691400786,0.25826470252889544,0.04913888155234896,0.15811801661366762,0.1226519500284266,0.9150144190011229,0.6566654491689429,0.0527090621066243,0.19423063382801573,0.29483328931409375,0.5165294050577909,0.9487080996820056,1.8300288380022458,1.2265195002842662,1.9699963475068287,7.033555175781871
0.1,0.026353944123880365,0.09708732050672049,0.25767602828369995,0.04913887965257273,0.15811742510150162,0.12265194791659227,0.8909712282430764,0.6560153569845195,0.05270788824776073,0.19417464101344098,0.29483327791543634,0.5153520565673999,0.9487045506090097,1.7819424564861528,1.2265194791659226,1.9680460709535585,6.982280420958682
0.15000000000000002,0.026352965959377243,0.09704067455419262,0.256698354378975,0.04913887226326538,0.1581151332043272,0.12265193049189127,0.8524548638006719,0.6536343265401225,0.05270593191875449,0.19408134910838523,0.2948332335795923,0.51339670875795,0.9486907992259632,1.7049097276013438,1.2265193049189127,1.9609029796203676,6.89604003473127
0.2,0.02635159663621017,0.09697540188456907,0.255336801414741,0.049138853047519505,0.15810920586425936,0.1226518513028644,0.8016242433131868,0.6479513832833752,0.05270319327242034,0.19395080376913815,0.29483311828511705,0.510673602829482,0.9486552351855562,1.6032484866263736,1.226518513028644,1.9438541498501256,6.774437102846857
0.25,0.026349836260540837,0.0968915358178436,0.2535984339036679,0.04913881313259911,0.15809698159887248,0.12265159654188307,0.7411824708282841,0.6373913407450218,0.052699672521081674,0.1937830716356872,0.29483287879559467,0.5071968678073357,0.9485818895932349,1.4823649416565683,1.2265159654188307,1.9121740222350654,6.618149309663399
0.30000000000000004,0.02634768496753543,0.09678912127596669,0.2514921645408386,0.04913874111628133,0.15807511908925725,0.12265094164980851,0.6741196160124734,0.6207573258930331,0.05269536993507086,0.19357824255193337,0.294832446697688,0.5029843290816772,0.9484507145355435,1.3482392320249468,1.2265094164980852,1.8622719776790992,6.429561729004043
0.35000000000000003,0.02634514292047898,0.09666821590403817,0.24902864177447262,0.04913862308287345,0.15803965555645122,0.12264950260022668,0.6034549488114894,0.5974870188722681,0.05269028584095796,0.19333643180807633,0.2948317384972407,0.49805728354894524,0.9482379333387073,1.2069098976229788,1.226495026002267,1.7924610566168042,6.213019653275977
0.4,0.026342210309803743,0.09652889105070432,0.2462201262325398,0.049138442631154654,0.15798607569609271,0.12264668619036258,0.5320107316771643,0.5677384547747106,0.052684420619607486,0.19305778210140864,0.2948306557869279,0.4924402524650796,0.9479164541765563,1.0640214633543286,1.2264668619036259,1.703215364324132,5.974633254731666
0.45,0.02633888735208361,0.09637123248656541,0.24308036079219658,0.04913818091463423,0.15790938964473378,0.12264164368746198,0.46223990669070886,0.5323178790959072,0.05267777470416722,0.19274246497313083,0.2948290854878054,0.48616072158439316,0.9474563378684027,0.9244798133814177,1.2264164368746198,1.5969536372877218,5.721716272161659
