Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Zr_relativistic
0.0,0.04182295852843075,0.15254487738928027,0.07617201105723229,0.1565424432872657,0.3809973366304015,0.22759044506243184,0.4651490092020922,0.32505799734493396,0.49118540053232174,0.9810675291511822,0.65719142104453,1.345815657525042,0.8206318443320366,3.5415055205242925,9.663274451611473
0.05,0.041822760785257755,0.15253587692897427,0.07617201094383523,0.15654244303250345,0.38083802536615463,0.2275904212914279,0.46514895627035335,0.3250579973375654,0.491185400520718,0.9783021812178417,0.6571865289948775,1.3458046009106313,0.8206309087812823,3.42774875377762,9.546566866159043
0.1,0.04182216756344446,0.15250887909391855,0.07617200992463109,0.15654244074000184,0.3803605214720506,0.22759020758752066,0.4651484804306811,0.32505799709485006,0.4911854001385092,0.9700565529149999,0.6571429180615973,1.3457060855278193,0.8206024808661241,3.110023932421671,9.21992007383782
0.15000000000000002,0.04182117888610727,0.1524638945191021,0.07617200596334496,0.15654243182690775,0.37956611260244233,0.22758937795097067,0.46514663327341493,0.32505799507798616,0.4911853969626362,0.9564802668055115,0.656975831605402,1.345328945393658,0.8203931294359679,2.6503537011549954,8.745076901458447
0.2,0.04181979479177145,0.15240094092085021,0.07617199566873073,0.15654240866110208,0.37845693805749736,0.22758722628016317,0.4651418431660702,0.3250579858223315,0.4911853823889216,0.9378173609935392,0.6565506532468048,1.3443703520100962,0.8195745550015908,2.1280767302817893,8.200754167291258
0.25,0.04181801533436786,0.15232004308385047,0.07617197429838539,0.1565423605701447,0.3770359786490958,0.22758277217714318,0.4651319287285704,0.325057955668238,0.49118533491238975,0.9143985651185305,0.6556922618168407,1.3424379545527674,0.8173876590362701,1.6167436265830384,7.659506430529633
0.30000000000000004,0.04181584058322854,0.15222123284301,0.07617193576408139,0.15654227385377828,0.3753070426156049,0.22757476899315243,0.46511411749962966,0.32505787694347793,0.4911852109738243,0.8866310173658998,0.6541969781943688,1.339078007505366,0.8128609272805267,1.1684909279092561,7.172248158325205
0.35000000000000003,0.041813270623080975,0.15210454906016532,0.0761718726386093,0.1565421317999728,0.37327474768678626,0.22756171403327763,0.465085069598675,0.3250577007511644,0.49118493361801174,0.8549859086788957,0.6518461150190118,1.3338070404558098,0.8050475105549153,0.809340275553881,6.763822840072256
0.4,0.041810305554041034,0.15197003759567107,0.07617177616412107,0.1565419147044865,0.3709444994272451,0.22754186081806885,0.46504090613650273,0.32505734855359725,0.4911843792672129,0.819984620507512,0.6484200600241131,1.3261444539818432,0.7932560072265998,0.5431333726444691,6.437201542605484
0.45,0.04180694549160474,0.1518177512749009,0.07617163626196177,0.1565415998939138,0.3683224660126775,0.22751323328008827,0.4649772420800675,0.3250567027737606,0.49118336296304177,0.782183966140809,0.6437118525411138,1.3156435333457592,0.7771807005553957,0.3593986335657118,6.181509626180806
0.5,0.04180319056663868,0.15164774984969898,0.07617144154397582,0.15654116175218638,0.3654155496174712,0.22747364175505344,0.46488922323303944,0.3250555966614662,0.4911816224698477,0.7421611521581153,0.6375393376989263,1.3019187194737531,0.7569106698031557,0.24113561139725237,5.979844667980581
0.55,0.04179904092536918,0.15146009995482612,0.07617117932527143,0.15654057175048722,0.3622313546147259,0.22742070061076852,0.46477156695458116,0.3250538036897849,0.4911788016619338,0.7004990479997717,0.6297551803467608,1.284667498372234,0.7328521875169521,0.17046123086042955,5.814862264583897
