volume,volume_name,E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_au,Q_absolute_au
3,Volume 3,662.0,502.9799747520007,159.02002524799929,30.0,338.38904547116545,70.9410076229254,19.032405502772832,19.032405502772832
3,Volume 3,662.0,514.2474101209702,147.75258987902976,30.0,336.22797298647373,56.440718927485484,15.142196107583741,15.142196107583741
3,Volume 3,662.0,505.55970252397185,156.44029747602815,30.0,337.86231301175525,67.67703840537013,18.156731646725078,18.156731646725078
3,Volume 3,662.0,184.48934964832,477.51065035168,30.0,510.6286110560747,222.54364650691576,59.70511364736511,59.70511364736511
3,Volume 3,662.0,277.305046195377,384.694953804623,30.0,444.04868259155404,220.67288786136984,59.20321723606658,59.20321723606658
3,Volume 3,662.0,189.04081486570854,472.9591851342915,30.0,507.1714677492343,222.94372208271247,59.81244790783673,59.81244790783673
2,Volume 2,662.0,268.22729064799245,393.77270935200755,30.0,450.1507946317017,221.9256007463776,59.53930126426004,59.53930126426004
2,Volume 2,662.0,606.6052571364819,55.394742863518104,30.0,332.6704869768756,-81.24589919314603,-21.797052941515496,21.797052941515496
2,Volume 2,662.0,494.4093095426229,167.5906904573771,30.0,340.2736139126755,81.53960673613626,21.875850258394976,21.875850258394976
3,Volume 3,662.0,311.50177491731125,350.49822508268875,30.0,422.02361005510727,213.38291780292192,57.24742789920049,57.24742789920049
3,Volume 3,662.0,511.46173131901617,150.53826868098383,30.0,336.7284693116912,60.084091834711415,16.11965826792852,16.11965826792852
2,Volume 2,662.0,612.1112012797081,49.8887987202919,30.0,333.26659748930354,-90.13845546265321,-24.182792058403813,24.182792058403813
3,Volume 3,662.0,344.43588338084845,317.56411661915155,30.0,402.42243958704086,202.03484113417187,54.20290958640435,54.20290958640435
3,Volume 3,662.0,229.62394419587017,432.3760558041298,30.0,477.1585606527916,224.46211248366043,60.219809218180174,60.219809218180174
2,Volume 2,662.0,193.32769016586516,468.6723098341348,30.0,503.93120262805127,223.28091860034098,59.9029126626051,59.9029126626051
3,Volume 3,662.0,268.8017302756189,393.1982697243811,30.0,449.7616769482486,221.85423507078758,59.52015492672804,59.52015492672804
3,Volume 3,662.0,660.5944772878779,1.4055227121220923,30.0,342.31533187777967,-169.059535826065,-45.35613106956227,45.35613106956227
3,Volume 3,662.0,223.2739363620036,438.7260636379964,30.0,481.7524445988692,224.4852325981881,60.22601199721738,60.22601199721738
3,Volume 3,662.0,429.28820711470695,232.71179288529305,30.0,360.97497996352917,148.94178563284814,39.95884123240671,39.95884123240671
2,Volume 2,662.0,574.2878867141541,87.71211328584593,30.0,331.0014479982031,-30.090772894263527,-8.072901849090655,8.072901849090655
2,Volume 2,662.0,491.5088397985127,170.49116020148728,30.0,340.9578219077992,85.03944722742112,22.81480483004714,22.81480483004714
2,Volume 2,662.0,267.0305023733736,394.9694976266264,30.0,450.9627547786394,222.070911904009,59.57828606259866,59.57828606259866
3,Volume 3,662.0,245.3416745110143,416.6583254889857,30.0,465.9650703139092,223.9452860238001,60.08115245126606,60.08115245126606
2,Volume 2,662.0,199.60227696620822,462.39772303379175,30.0,499.2169651486335,223.70322949844427,60.01621232566689,60.01621232566689
3,Volume 3,662.0,532.0867945020215,129.91320549797854,30.0,333.5569743896742,32.244927413525225,8.650829111473803,8.650829111473803
3,Volume 3,662.0,319.6884017908264,342.3115982091736,30.0,416.99438265489067,210.98382319177065,56.60378689368152,56.60378689368152
3,Volume 3,662.0,374.7980723500541,287.2019276499459,30.0,385.96310168549286,187.2625304909968,50.239720793425086,50.239720793425086
3,Volume 3,662.0,256.18731068601426,405.81268931398574,30.0,458.39617140687886,223.1841486485616,59.87695073981231,59.87695073981231
3,Volume 3,662.0,636.5386514807622,25.461348519237845,30.0,336.98518057899315,-129.88332838968236,-34.84574376363085,34.84574376363085
3,Volume 3,662.0,379.23606300671236,282.76393699328764,30.0,383.69940573454016,184.72729893172684,49.559556292013916,49.559556292013916
3,Volume 3,662.0,216.26831289679336,445.73168710320664,30.0,486.86643115774547,224.39302491200462,60.20127406167458,60.20127406167458
3,Volume 3,662.0,187.12882412217763,474.87117587782234,30.0,508.62165421353734,222.7808752683141,59.76875855649654,59.76875855649654
3,Volume 3,662.0,627.2116836282194,34.78831637178064,30.0,335.3602823797514,-114.67198667666482,-30.764769536957544,30.764769536957544
2,Volume 2,662.0,247.5280786109627,414.47192138903733,30.0,464.42877785967033,223.81926343309638,60.047342485364084,60.047342485364084
3,Volume 3,662.0,398.80664752906426,263.19335247093574,30.0,374.18178370494405,172.3381583299918,46.235736181980855,46.235736181980855
3,Volume 3,662.0,222.4624574464466,439.5375425535534,30.0,482.34237656068217,224.48079495694145,60.224821444806125,60.224821444806125
3,Volume 3,662.0,457.76183687080027,204.23816312919973,30.0,350.5882266812882,122.39329717784307,32.83628102791855,32.83628102791855
3,Volume 3,662.0,412.45935172721335,249.54064827278665,30.0,368.0129760983375,162.4901833978738,43.593672605925285,43.593672605925285
3,Volume 3,662.0,261.02455554578967,400.97544445421033,30.0,455.06313863318064,222.73221766367521,59.755704452906656,59.755704452906656
2,Volume 2,662.0,509.65029691704933,152.34970308295067,30.0,337.06587964079233,62.43288311710341,16.749803646825224,16.749803646825224
3,Volume 3,662.0,341.3092840414385,320.6907159585615,30.0,404.20883641336786,203.3121414828691,54.54559006134848,54.54559006134848
3,Volume 3,662.0,495.62296840967343,166.37703159032657,30.0,339.9942515964553,80.06199356466946,21.47942886549519,21.47942886549519
3,Volume 3,662.0,508.16941908945364,153.83058091054636,30.0,337.3486937871887,64.34101167446781,17.261725843479283,17.261725843479283
3,Volume 3,662.0,208.73355027831985,453.26644972168015,30.0,492.4186484362596,224.161074107189,60.13904514892203,60.13904514892203
3,Volume 3,662.0,246.97538472682368,415.0246152731763,30.0,464.8166404276528,223.85240704729728,60.056234418625756,60.056234418625756
3,Volume 3,662.0,150.25404680250546,511.74595319749454,30.0,537.1557863834018,218.24955745269958,58.55307413054198,58.55307413054198
3,Volume 3,662.0,319.0014906729995,342.9985093270005,30.0,417.41252542163465,211.1954594261792,56.66056571269342,56.66056571269342
3,Volume 3,662.0,225.7995155581154,436.2004844418846,30.0,479.92052967216836,224.48839649137352,60.226860822178985,60.226860822178985
3,Volume 3,662.0,275.88075314523996,386.11924685476004,30.0,444.9993857860927,220.88729020186082,59.26073815974245,59.26073815974245
3,Volume 3,662.0,562.5020080727691,99.49799192723094,30.0,331.17636861012335,-12.06432604127844,-3.236677248168536,3.236677248168536
2,Volume 2,662.0,526.1714975073069,135.82850249269313,30.0,334.3395383704088,40.42866536449552,10.846402933024141,10.846402933024141
3,Volume 3,662.0,598.7338460256464,63.26615397435364,30.0,331.97504738373107,-68.60368434708036,-18.405336817571687,18.405336817571687
3,Volume 3,662.0,411.9133240573926,250.08667594260743,30.0,368.2519589095688,162.90351574487232,43.70456345874913,43.70456345874913
2,Volume 2,662.0,318.40965131140183,343.59034868859817,30.0,417.7733653841326,211.376270209292,56.70907452668952,56.70907452668952
3,Volume 3,662.0,581.3868472326079,80.61315276739208,30.0,331.0985571812515,-41.13520256797759,-11.03595623949734,11.03595623949734
3,Volume 3,662.0,270.86211966451276,391.13788033548724,30.0,448.3692729367355,221.5895700072746,59.44914927033857,59.44914927033857
2,Volume 2,662.0,509.4942630028374,152.50573699716261,30.0,337.09538314966835,62.63444707507265,16.803880225539828,16.803880225539828
3,Volume 3,662.0,495.9097707294252,166.0902292705748,30.0,339.9288343327969,79.7116873154364,21.3854469668873,21.3854469668873
3,Volume 3,662.0,389.52701034916583,272.47298965083417,30.0,378.5984053955605,178.46171686051673,47.87859484692109,47.87859484692109
3,Volume 3,662.0,492.3119848815571,169.68801511844288,30.0,340.76602950217836,84.07478977889554,22.55600174355594,22.55600174355594
3,Volume 3,662.0,314.83394223714345,347.16605776285655,30.0,419.9645949856943,212.43868188248027,56.99410360158617,56.99410360158617
3,Volume 3,662.0,297.47429881667483,364.52570118332517,30.0,430.8661991730737,216.88819566051896,58.18784123446468,58.18784123446468
3,Volume 3,662.0,274.32746057115315,387.67253942884685,30.0,446.0390696728149,221.11345959713947,59.32141600725964,59.32141600725964
3,Volume 3,662.0,520.8108098438265,141.18919015617348,30.0,335.1373461544157,47.709262962073076,12.799677779585949,12.799677779585949
3,Volume 3,662.0,401.0962789939179,260.9037210060821,30.0,373.1194960755182,170.75688332669802,45.81150387851467,45.81150387851467
3,Volume 3,662.0,440.697436992021,221.30256300797902,30.0,356.5764689215943,138.85442511818664,37.2525541045417,37.2525541045417
3,Volume 3,662.0,599.8250609257589,62.17493907424114,30.0,332.06040290245323,-70.35063957262933,-18.87401863309599,18.87401863309599
3,Volume 3,662.0,631.4801976735674,30.51980232643257,30.0,336.07277410398757,-121.63090529172051,-32.631742750060496,32.631742750060496
3,Volume 3,662.0,289.1587656718925,372.8412343281075,30.0,436.2364632206565,218.62167164093532,58.65290677122679,58.65290677122679
