Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(3),J_total_At_relativistic
0.0,0.008366878612191073,0.02996598634550255,0.014480554273943255,0.016690228276094097,0.06579079076303092,0.0383655238808246,0.04200500182797238,0.026999072444924253,0.02779366336476845,0.13294759056186073,0.08336754449180453,0.09117036151425088,0.06785998635695364,0.06967210162854699,0.05609022664700043,0.05685339004663213,0.28929459965169907,0.19102458920812754,0.2117366069564073,0.1888921318794578,0.19569203948480832,0.8071771379002912,0.6256912254529224,0.7794814920050739,12.043118182447664
0.05,0.008366871506838097,0.029965705364930734,0.014480554272121063,0.016690228275217895,0.0657873200566852,0.03836552383018527,0.04200500174837271,0.02699907244492378,0.02779366336476789,0.13291597222881693,0.08336754186850498,0.09117035741124524,0.06785998635669027,0.06967210162823119,0.05609022664700038,0.05685339004663206,0.2889730938287844,0.19102442424403038,0.21173633030462852,0.18889213143723224,0.19569203890005518,0.8008683511834235,0.6256190719932427,0.7792652240425076,12.028992268409278
0.1,0.008366850190831844,0.029964862440791287,0.01448055426373817,0.016690228267332304,0.0657769090966336,0.038365523374486656,0.04200500103207403,0.0269990724449082,0.027793663364749345,0.13282116466921842,0.08336751827172147,0.09117032050795583,0.06785998634800594,0.06967210161781874,0.056090226646992834,0.0568533900466235,0.2880108345983771,0.1910229438521164,0.21173384936102657,0.18889211695925848,0.19569201977108502,0.7822676600567402,0.6249957831634684,0.7774390915800188,11.982915971155412
0.15000000000000002,0.008366814664330341,0.02996345762581019,0.014480554240046127,0.016690228236667444,0.06575956135917832,0.0383655216026502,0.04200499824706862,0.026999072444778408,0.027793663364594847,0.1326633100848036,0.08336742658430958,0.09117017714023003,0.0678599862757269,0.06967210153116236,0.05609022664685783,0.056853390046470234,0.28641457032187234,0.1910172128411939,0.2117242554681827,0.18889199778118465,0.1956918624997728,0.7523216887434412,0.6227207255609216,0.7709989011078414,11.895555497582082
0.2,0.008366764927596967,0.02996149100785729,0.014480554186465834,0.016690228156943793,0.065735282635975,0.038365516997089295,0.04200499100831419,0.026999072444180677,0.027793663363883274,0.13244264508934936,0.08336718848909994,0.09116980492936917,0.06785998594329239,0.06967210113263876,0.056090226645778896,0.056853390045245485,0.2841954608712981,0.19100240970933727,0.21169951381302926,0.1888914579036254,0.19569115125161812,0.7125112791662305,0.6173150247421266,0.7564097291780699,11.75628661469956
0.25,0.008366700981000444,0.029958962709936122,0.014480554082590021,0.016690227991377603,0.06570408103076268,0.03836550743502475,0.04200497598018764,0.026999072442224204,0.027793663361554102,0.13215950012643768,0.08336669478497102,0.0911690333721548,0.06785998485712512,0.06967209983069428,0.05609022664031444,0.05685339003904344,0.28136894809281776,0.19097193048915306,0.21164867797884956,0.18888972828917922,0.19568887751828834,0.6647207137476451,0.6073220647077617,0.7310086145726589,11.557940288156026
0.30000000000000004,0.008366622825014833,0.02995587289016968,0.014480553902186714,0.016690227692688495,0.06566596695478948,0.03836549019032459,0.04200494887991618,0.02699907243708655,0.027793663355437724,0.13181429865721536,0.08336580582728931,0.09116764466228777,0.0678599820112886,0.0696720964200137,0.05609022661973329,0.05685339001568854,0.2779545775359696,0.19091753043499438,0.2115581807807755,0.1888853049398041,0.19568307791868164,0.6110806211470783,0.5916659064063823,0.6939038747418101,11.299901069392355
0.35000000000000003,0.008366530460219528,0.02995222174178209,0.01448055361320369,0.01669022720310919,0.06562095312093784,0.03836546193586628,0.04200490448198164,0.026999072425507756,0.027793663341653334,0.13140755612101762,0.08336435209066938,0.0911653747386813,0.06785997561493472,0.06967208875546933,0.056090226556749244,0.05685338994423158,0.27397577444253274,0.19082950000135804,0.2114121923182327,0.18887564435348173,0.19567045075463532,0.553804302143908,0.5698750246370717,0.6461270016300096,10.988680726055776
0.4,0.008366423887299242,0.029948009493076275,0.014480553177773919,0.01669022645439743,0.06556905453655427,0.03836541874641892,0.0420048366234926,0.026999072402174248,0.027793663313875724,0.13093987867252155,0.08336213485144256,0.09116191455480196,0.06785996276570998,0.06967207336184354,0.056090226391393966,0.056853389756679175,0.26945957772382434,0.19069687074797395,0.2111930342315941,0.18885687032419873,0.19564599818648057,0.4950358022536037,0.5421392731680373,0.5901783269397394,10.636363530336743
0.45,0.008366303107044002,0.02994323640740749,0.014480552552222003,0.016690225367850028,0.06551028849498944,0.038365356102042544,0.042004738210517964,0.026999072358993785,0.02779366326247263,0.130411961699875,0.08335892698667384,0.09115691156204597,0.0678599390729169,0.06967204498410398,0.05609022600546773,0.05685338931907176,0.2644363363049295,0.19050764613223728,0.2108816376399669,0.18882352474655567,0.19560273774383719,0.4367239580612581,0.5092239481690612,0.5292985617380469,10.257996055612875
0.5,0.008366168120349134,0.029937902783152875,0.01448055168707159,0.016690223854319102,0.06544467456585565,0.03836526889200094,0.042004601225374145,0.02699907228426303,0.02779366317351451,0.12982458812900347,0.08335447388603656,0.09114997139898079,0.06785989823481181,0.06967199608373985,0.05609022518481649,0.05685338838882082,0.25893937276537,0.19024905163227218,0.2104580312107992,0.18876839048410668,0.19553151899432925,0.38053105363006157,0.47229660741063595,0.46677451042125434,9.868975240766968
0.55,0.008366018928215242,0.029932008953676915,0.014480550527053772,0.016690221814230438,0.06537223458400986,0.038365151419184035,0.042004416734857226,0.02699907216172946,0.027793663027658958,0.12917862652003034,0.08334849447234549,0.09114065977718123,0.06785983157495443,0.06967191628732906,0.05609022356661103,0.05685338655514827,0.25300461964748494,0.18990779829636759,0.2099018452941385,0.18868240720072393,0.1954209698798746,0.3277789206595493,0.4327269027595498,0.4054522833704162,9.483081050887472
0.6000000000000001,0.008365855531748203,0.02992555528729288,0.014480549011116475,0.016690219137604004,0.06529299263727122,0.03836499740503536,0.04200417489941004,0.02699907196954965,0.027793662798912197,0.12847502896245072,0.08334068232606485,0.0911285045533534,0.0678597275430025,0.06967179179409419,0.05609022056885405,0.056853383159544996,0.24667023412896882,0.18947035364251008,0.20919281804496706,0.1885546923147794,0.1952575841286169,0.2794303411440949,0.3919057228858881,0.34749483754486976,9.11135259342938
0.65,0.00836567793215914,0.02991854218722022,0.014480547072434817,0.016690215704076604,0.06520697505288342,0.03836479999497948,0.04200386498321319,0.026999071679146076,0.027793662453270432,0.1277148287763713,0.08333070690865049,0.09111299797647403,0.06785957118576154,0.06967160474971174,0.05609021529951399,0.05685337719338115,0.239976196960534,0.18892321383438287,0.2083112899331449,0.18837266997448754,0.1950259479274445,0.23610008696095022,0.35110921467032086,0.294337182802246,8.76170745498042
0.7000000000000001,0.008365486130764408,0.029910970091537953,0.014480544638422459,0.01669021138292666,0.06511421038273296,0.03836455176434394,0.042003475365187865,0.026999071253964883,0.027793661947244017,0.12689913802776825,0.08331821487915808,0.09109359909778533,0.06785934359465091,0.06967133259405993,0.0560902064429763,0.05685336717015169,0.23296390165280792,0.18825317123037827,0.20723867395861495,0.18812230216028558,0.19470909215873786,0.1980880400334118,0.3114146541728542,0.24676483789316617,8.439079683160847
0.75,0.00836528012898557,0.029902839473134,0.014480541630743915,0.016690206033101136,0.06501472938733548,0.03836424472476963,0.042002993550897094,0.026999070648137252,0.02779366122626772,0.12602914486631606,0.08330283149815357,0.09106973633068015,0.06785902133602938,0.06967094739092072,0.0560901921219044,0.056853350970316234,0.225675739860818,0.18744757172709509,0.20595789018912977,0.18778840850564707,0.19428894705702857,0.165426413947165,0.27366276938132034,0.20504840542195227,8.145848030431276
0.8,0.008365059928349372,0.029894150839650566,0.014480537965327849,0.016690199503244574,0.06490856501860347,0.03836387033110306,0.042002406185331374,0.026999069805047165,0.027793660223000602,0.12510611069490168,0.08328416211260044,0.09104081014679422,0.06785857587103412,0.06967041514788774,0.05609016973310188,0.05685332565727715,0.21815468876523966,0.1864945567808454,0.20445375484547343,0.1873550557474083,0.1937468697643093,0.13793377295182388,0.23845524496776352,0.16908790324291526,7.882377933326511
0.8500000000000001,0.008364825530487726,0.029884904733425453,0.014480533552381328,0.016690191631730227,0.06479575240140954,0.03836341948876355,0.04200169906656311,0.026999068655808617,0.027793658855519248,0.12413136718045832,0.08326179371507257,0.09100619589399692,0.06785797297172456,0.06966969513487402,0.05609013575654845,0.05685328726371524,0.2104439059951753,0.1853832855684166,0.2027133159933901,0.18680599414976554,0.19306421214098374,0.11526988294825923,0.20617508573027699,0.13854127124093157,7.647563590300239
0.9,0.008364576937137673,0.02987510173142945,0.014480528296405063,0.016690182246693334,0.06467632881396018,0.038362882561577855,0.042000857160253674,0.02699906711765549,0.02779365702540836,0.1231063131162274,0.08323529657035304,0.09096524672144018,0.06785717214038585,0.06966873920965855,0.056090085537426594,0.05685323054824551,0.20258633728808725,0.18410413341753312,0.20072612987708008,0.18612511681182023,0.19222289611839352,0.09698703691607029,0.17701919425749307,0.11292678616620995,7.4393090183437804
0.9500000000000001,0.008364314150141364,0.02986474244519971,0.014480522096209586,0.016690171166066452,0.06455033366699642,0.03836224938007423,0.041999864614995656,0.026999065092247476,0.027793654615752915,0.12203241114598741,0.08320422590222906,0.09091729659639176,0.067856126038837,0.06966749115886149,0.056090013041643405,0.056853148723143475,0.19462434165102505,0.18264886337234776,0.19848447396199476,0.18529691827298375,0.19120596636969744,0.0825750760717577,0.15103525053568914,0.09169833861848106,7.254923280565705
1.0,0.008364037171446024,0.029853827520769174,0.014480514844932416,0.0166901581976169,0.06441780848183813,0.038361509250227674,0.041998704778472104,0.026999062463895628,0.027793651489036328,0.12091118436116892,0.08316812363308317,0.09086166339724405,0.06785477993450618,0.0696658860625956,0.05608991058606131,0.056853033154698994,0.18659933828726152,0.181010768533611,0.1959834947654614,0.18430693093001888,0.18999809447389418,0.07149869112254516,0.1281577218476951,0.07429703902321133,7.091426865954767
1.05,0.008363746003103923,0.029842357638592037,0.014480506430056156,0.016690143138986268,0.0642787968672902,0.03836065096264733,0.04199736021441339,0.026999059097711307,0.02779364748494926,0.119744212782108,0.08312652016871078,0.09079765206685507,0.06785307116988233,0.06966384969080888,0.05608976854536099,0.056852873038555116,0.17855147899861634,0.17918478360124682,0.19322129047128833,0.18314212104792346,0.18858601434383526,0.06322664780387467,0.10824008225153542,0.06018415028671744,6.945777471402123
1.1,0.008363440647272347,0.02983033351346528,0.014480496733427564,0.016690125777732007,0.06413334449542912,0.03835966280219697,0.04199581272033169,0.02699905483768242,0.0277936424181139,0.11853312973497296,0.0830789362206651,0.09072455781024318,0.0678509286617319,0.0696612979390155,0.05608957503814787,0.05685265505315913,0.17051934918126552,0.1771675648247577,0.19019893008852226,0.18179123013722734,0.18695887481002182,0.05725332386790154,0.09108194482402726,0.04886027855716652,6.815028031153213
1.1500000000000001,0.008363121106213551,0.029817755894446282,0.01448048563127756,0.016690105891371057,0.06398149907628997,0.038358532558038706,0.041994043346011964,0.026999049504681003,0.027793636075728788,0.11727961813613115,0.08302488465834232,0.09064166932062165,0.06784827243618413,0.06965813631071312,0.056089315595560664,0.056852362995168736,0.16253969991685469,0.17495753831234553,0.18692041247685556,0.18024505176361724,0.1851085013232667,0.05311340346993372,0.07645086012062782,0.03987499632935683,6.696430645499408
1.2000000000000002,0.008362787382294736,0.02980462556476651,0.014480472994242172,0.016690083247425533,0.06382331033147413,0.03835724753408996,0.041992032412737634,0.02699904289440636,0.027793628215139296,0.11598540669590414,0.08296387238297273,0.09054827201782163,0.0678450132054437,0.06965425945331162,0.05608897281622781,0.05685197740129765,0.1546472130359421,0.1725549173439386,0.1833925698868612,0.17849663809499275,0.1830295643192725,0.05039080475059297,0.06409913804494763,0.032830134748308315,6.5874989714401
