Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Ho_relativistic
0.0,0.011540148226624069,0.04104682533665871,0.020153401473542266,0.02185164756867206,0.09162530954397918,0.05384437386764883,0.056810057634573106,0.03697452212204666,0.03764152184293662,0.19408256314628874,0.12292046266880431,0.13021368985435702,0.10123434098402276,0.10314463824104195,0.11510030962696179,0.1185010726236192,0.5102523553685826,0.3527308319901787,0.382924410484553,2.023484672637988,11.891220744497227
0.05,0.011540130759214107,0.041046113956733625,0.020153401470553223,0.021851647565319116,0.09161604973204204,0.05384437359508631,0.05681005727834312,0.036974522122042136,0.037641521842931576,0.19398661598348194,0.12292044434197351,0.13021366535575896,0.10123434097869242,0.10314463823493139,0.11510030960377295,0.1185010725475907,0.5086533458496463,0.3527272261976501,0.3829189044130791,1.942538955353603,11.725890046160677
0.1,0.011540078357208052,0.04104397989882747,0.020153401447291493,0.021851647535144052,0.09158827622816879,0.053844371142594175,0.05681005407308217,0.036974522121892825,0.03764152184276506,0.19369907599701702,0.12292027960072371,0.13021344516980765,0.10123434080316429,0.10314463803372845,0.11510030685903808,0.11850106383171019,0.5038887373544952,0.35269513790407986,0.3828700182521536,1.7202396222310379,11.270866151715607
0.15000000000000002,0.011539991021277373,0.04104042340853015,0.02015340136087777,0.021851647417805264,0.09154200682171738,0.05384436160855093,0.05681004161311959,0.03697452212064914,0.0376415218413781,0.19322084610481818,0.12291964016130227,0.13021259072926286,0.10123433934522695,0.10314463636277264,0.11510026370987951,0.11850093314780578,0.49605463078802403,0.3525725322649721,0.38268389883858395,1.4091159593312241,10.630898943224391
0.2,0.011539868752541173,0.041035444895100213,0.02015340113986154,0.02185164711275708,0.0914772711401064,0.05384433683288918,0.05681000923580315,0.03697452211492269,0.03764152183499204,0.19255342588923055,0.12291798220177419,0.13021037608123634,0.10123433265854537,0.1031446287006013,0.11509997204095027,0.11850009968108213,0.48530739368384174,0.35226175765103973,0.38221454821152345,1.0723137032981152,9.931808146492823
0.25,0.01153971155256615,0.04102904493137801,0.020153400684243584,0.021851646479285246,0.09139411061658424,0.05384428541102842,0.05680994204166564,0.03697452209618549,0.03764152181409697,0.19169890371857318,0.1229145513010423,0.13020579531234588,0.10123431089079939,0.10314460376358618,0.11509876533036717,0.11849687288975609,0.47185817693406623,0.3516375287300716,0.3812780892655134,0.7624994157271691,9.278349193453709
0.30000000000000004,0.011539519423366557,0.04102122425366407,0.020153399865507442,0.021851645336556588,0.09129257844517873,0.05384419271334138,0.056809820922594685,0.03697452204700446,0.03764152175925346,0.19065994580253326,0.12290838927909438,0.13019757281773364,0.1012342541151165,0.10314453874205708,0.11509516339390495,0.11848790786129411,0.4559656561348368,0.3505569396920605,0.3796702342968044,0.5105756689729747,8.73171410998612
0.35000000000000003,0.011539292367404143,0.041011983761562835,0.02015339852665988,0.02185164346368283,0.09117273952289923,0.05384404091011437,0.05680962259794273,0.0369745219362267,0.037641521635725365,0.18943978226552824,0.12289834286533866,0.1301841762901335,0.10123412719182186,0.10314439343929409,0.11508663765309239,0.11846820010404938,0.4379273766185774,0.34887053775967247,0.37718495300306015,0.3256289508461627,8.30950538570823
0.4,0.01153903038758809,0.04100132451779179,0.020153396482280272,0.021851640599798525,0.09103467037928431,0.05384380900195111,0.056809319658496206,0.036974521713135464,0.03764152138696642,0.18804219034465314,0.12288307410274267,0.13016383227314704,0.10123387381687068,0.10314410349937304,0.11506963432627208,0.11843167387383098,0.4180701386307217,0.3464334465391816,0.37363235569759684,0.20161466898717914,7.999183598427751
0.45,0.01153873348727493,0.04098924774795599,0.020153393518578977,0.021851636444153083,0.09087845909340778,0.05384347285555844,0.05680888061820566,0.036974521300600846,0.03764152092698837,0.18647147484019422,0.1228610723776129,0.1301345440932789,0.10123340993782323,0.10314357293843991,0.11503984731072346,0.11837203813088887,0.3967398856473981,0.3431156063831636,0.36885409290554366,0.1253421382456526,7.774105147303373
